"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,496.723306774135,480.154601269249,538.412343084802,571.849251298414,642.408034187012,910.976092667518,550
"2",0,14,1453.00750568372,1524.20909880163,1895.76468173666,2034.06271818804,2211.31028478142,2758.36159925716,2043
"3",0,21,5357.8036572668,4677.62769586908,6351.01337275118,7309.62603145247,7833.7150215689,10072.0447709298,7745
"4",0,28,13505.7763474709,9640.48855444625,12454.4813422973,13574.8756763892,14513.4625149639,18808.5874469281,13518
"5",0,35,22783.0386048562,21777.7922396908,24422.3666912853,26387.6244852141,30249.6218783605,43179.4898173169,23640
"6",0,42,51016.4830962568,45069.0216679427,61129.438242136,70346.9763257259,76792.2865440644,86983.4283359867,77227
"7",0,49,91493.8581097866,45796.5845678665,66195.3184517495,72205.283597718,77748.1085718104,94991.6313403528,70135
"8",0,56,75402.4641825025,33858.6308553698,39712.339396627,42299.7467171772,47129.0121158443,61531.093554144,40480
"9",0,63,26060.0503517762,17538.4356768733,21670.758529136,24708.9402222605,26214.6454399537,33651.6881759542,24998
"10",0,70,9514.63106222826,8973.68645833608,11482.5593041312,12177.9221759748,13210.5405821922,17101.1219315494,11829
"11",0,77,5029.31833296032,4558.83054773999,5798.84508255114,6336.1680622238,6845.58406291774,8365.67961046732,6410
"12",0,84,5100.62604987952,3311.61266921465,4000.90619953462,4396.46651486541,4784.97570398755,6360.8500570015,4120
"13",0,91,4980.24057007526,4172.18603950314,5441.27927455226,5891.37469710076,6369.68490713873,7547.8942900918,6084
"14",0,98,9990.05443066939,5456.44439206957,7123.6302823837,7945.33933557999,8502.28998357363,10533.1619330436,8018
"15",0,105,9481.40732602154,6983.09174317264,8986.83374652766,9922.50986292892,10666.2122013088,13510.9607604713,9843
"16",0,112,10619.1359045465,10197.7308456141,13080.7491179135,13901.9876125669,15463.4371491715,20013.3040452885,14031
"17",0,119,22168.894883396,16359.4936102742,20421.6856891532,22249.9330091351,24396.7182088845,29833.3637357039,24280
"18",0,126,35503.2189454449,24274.6113128364,28598.4585733044,30688.2161731746,33205.3787978554,45859.316780911,30690
"19",0,133,60304.7765869221,39171.7355855575,47093.7204595786,50180.6765919639,54876.0167388466,67135.0735817956,50210
"20",0,140,75291.727683316,48136.8127708663,63442.6909324104,70073.6741609857,75498.3844887964,89769.3676237954,73974
"21",0,147,88978.725433208,46008.3374133347,61399.8087543353,66621.4812775296,71609.6000681352,92766.2681312001,66816
"22",0,154,77925.4802179103,39759.3915416596,50561.4382484531,54018.3011410502,58687.9110177111,83365.4358582944,52544
"23",0,161,49017.6914801538,35382.1263976673,43746.9316604053,48332.0651738242,51479.5762138073,65208.6123581393,48688
"24",0,168,40448.5449707566,24745.4693544985,33127.0977068219,37770.2769307309,40355.2726772365,49116.1810974762,38163
"25",0,175,19478.0036128551,15962.0665847805,20955.5060131937,22771.6114345893,24981.4227302535,33071.0761875107,22468
"26",0,182,14150.5769996196,10574.9187360682,14010.0182623465,14998.6911879353,15857.7309569274,20389.4601612049,14737
"27",0,189,16368.7764139075,8410.32272487219,10741.9745504304,11622.4513971115,12479.7782190195,15057.5732213502,11726
"28",0,196,6379.88187366302,5648.57729891141,7454.3155491246,8233.42388104278,8737.79460717371,10588.0847984461,8435
"29",0,203,3652.18947156431,3691.71424599419,4350.46277287686,4730.98302895807,5214.82885487026,7390.56722500323,4631
"30",0,210,3494.40677300638,2806.01038729966,3317.35524132277,3535.02709195988,3895.93583741111,5143.27943943176,3357
"31",0,217,2703.96637555579,2586.05169577223,3298.30474528738,3847.41857828663,4126.9163509779,5077.41329947208,4182
"32",0,224,2418.39709734312,1895.59690593668,2429.98276243018,2625.34608391786,2879.14714803123,3752.35371123047,2487
"33",0,231,2130.90034301588,1130.07385918425,1530.53827598184,1637.90304910346,1778.10971241087,2193.47664348278,1663
"34",0,238,1055.90046809831,860.300843700699,1031.4296402561,1112.49544444886,1188.60240698719,1463.04911964681,1092
"35",0,245,611.317508565429,499.246279073422,678.325367613074,746.90704737975,802.039958043843,991.17764459898,754
"36",0,252,506.319675013375,281.707279373175,372.142789151675,396.353142806835,429.944995202235,529.739414256263,391
"37",0,259,174.659312611566,124.421652365716,170.947937894928,183.125003470042,200.846077699976,249.247437232539,184
"38",1,7,530.108713324185,480.154601269249,538.412343084802,571.849251298414,642.408034187012,910.976092667518,550
"39",1,14,2203.08532514814,1524.20909880163,1895.76468173666,2034.06271818804,2211.31028478142,2758.36159925716,2043
"40",1,21,4991.24262865541,4677.62769586908,6351.01337275118,7309.62603145247,7833.7150215689,10072.0447709298,7745
"41",1,28,13049.7875229344,9640.48855444625,12454.4813422973,13574.8756763892,14513.4625149639,18808.5874469281,13518
"42",1,35,34600.7177222687,21777.7922396908,24422.3666912853,26387.6244852141,30249.6218783605,43179.4898173169,23640
"43",1,42,57318.322128883,45069.0216679427,61129.438242136,70346.9763257259,76792.2865440644,86983.4283359867,77227
"44",1,49,65340.1240785374,45796.5845678665,66195.3184517495,72205.283597718,77748.1085718104,94991.6313403528,70135
"45",1,56,39672.4145421801,33858.6308553698,39712.339396627,42299.7467171772,47129.0121158443,61531.093554144,40480
"46",1,63,19739.4377353893,17538.4356768733,21670.758529136,24708.9402222605,26214.6454399537,33651.6881759542,24998
"47",1,70,9670.12156135075,8973.68645833608,11482.5593041312,12177.9221759748,13210.5405821922,17101.1219315494,11829
"48",1,77,4986.15003091741,4558.83054773999,5798.84508255114,6336.1680622238,6845.58406291774,8365.67961046732,6410
"49",1,84,4501.19019099058,3311.61266921465,4000.90619953462,4396.46651486541,4784.97570398755,6360.8500570015,4120
"50",1,91,4648.84740761877,4172.18603950314,5441.27927455226,5891.37469710076,6369.68490713873,7547.8942900918,6084
"51",1,98,11817.4701972478,5456.44439206957,7123.6302823837,7945.33933557999,8502.28998357363,10533.1619330436,8018
"52",1,105,12617.347055881,6983.09174317264,8986.83374652766,9922.50986292892,10666.2122013088,13510.9607604713,9843
"53",1,112,17368.1265939616,10197.7308456141,13080.7491179135,13901.9876125669,15463.4371491715,20013.3040452885,14031
"54",1,119,21306.1715957182,16359.4936102742,20421.6856891532,22249.9330091351,24396.7182088845,29833.3637357039,24280
"55",1,126,32269.8650151564,24274.6113128364,28598.4585733044,30688.2161731746,33205.3787978554,45859.316780911,30690
