"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,424.809695816783,272.817341793508,495.364840334251,573.542042723165,722.722614070345,1301.90397171419,550
"2",0,14,2279.11814718645,868.831061193397,1625.13537933811,2084.64725230324,2532.88007773516,5178.96956883552,2043
"3",0,21,7322.10000424484,3880.45398514681,5840.6132356965,7262.33886384711,8673.0227286518,19012.1511173735,7745
"4",0,28,22569.0168401233,5329.44596458983,11441.4901522857,13459.5582918702,16055.3115239399,26802.6735269442,13518
"5",0,35,25435.0501458289,9461.16805593181,18765.9666121241,24118.3573215232,31294.9070080828,67077.8623453385,23640
"6",1,7,362.486451883102,272.817341793508,495.364840334251,573.542042723165,722.722614070345,1301.90397171419,550
"7",1,14,1472.6224014864,868.831061193397,1625.13537933811,2084.64725230324,2532.88007773516,5178.96956883552,2043
"8",1,21,4761.37295929372,3880.45398514681,5840.6132356965,7262.33886384711,8673.0227286518,19012.1511173735,7745
"9",1,28,25840.0775986832,5329.44596458983,11441.4901522857,13459.5582918702,16055.3115239399,26802.6735269442,13518
"10",1,35,15365.1441628865,9461.16805593181,18765.9666121241,24118.3573215232,31294.9070080828,67077.8623453385,23640
"11",2,7,530.125097243417,272.817341793508,495.364840334251,573.542042723165,722.722614070345,1301.90397171419,550
"12",2,14,1158.80775567107,868.831061193397,1625.13537933811,2084.64725230324,2532.88007773516,5178.96956883552,2043
"13",2,21,10185.2910568011,3880.45398514681,5840.6132356965,7262.33886384711,8673.0227286518,19012.1511173735,7745
"14",2,28,8718.18757845392,5329.44596458983,11441.4901522857,13459.5582918702,16055.3115239399,26802.6735269442,13518
"15",2,35,17396.7193420401,9461.16805593181,18765.9666121241,24118.3573215232,31294.9070080828,67077.8623453385,23640
"16",3,7,674.379111929306,272.817341793508,495.364840334251,573.542042723165,722.722614070345,1301.90397171419,550
"17",3,14,871.165886084028,868.831061193397,1625.13537933811,2084.64725230324,2532.88007773516,5178.96956883552,2043
"18",3,21,8647.34454585257,3880.45398514681,5840.6132356965,7262.33886384711,8673.0227286518,19012.1511173735,7745
"19",3,28,7083.57721477624,5329.44596458983,11441.4901522857,13459.5582918702,16055.3115239399,26802.6735269442,13518
"20",3,35,16714.1844663059,9461.16805593181,18765.9666121241,24118.3573215232,31294.9070080828,67077.8623453385,23640
"21",4,7,1301.76798961049,272.817341793508,495.364840334251,573.542042723165,722.722614070345,1301.90397171419,550
"22",4,14,1045.60578692059,868.831061193397,1625.13537933811,2084.64725230324,2532.88007773516,5178.96956883552,2043
