"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,18.2742255093145,17.2297294072221,19.2114792273207,22.1580527690424,25.0564890134238,30.0083451119594,23
"2",0,14,7.99867534482754,5.59327152891781,7.06008572855992,7.88077211992701,8.33531555130115,9.37143480604607,7
"3",0,21,7.593672271881,7.15289045421107,8.14688525871268,9.29729831528219,10.5791111577513,12.8132449169593,9
"4",0,28,52.1334030080982,36.7434507152494,39.4381300170904,48.5575452394042,50.7051297407349,58.658431751048,46
"5",0,35,276.140784519883,241.378059057282,288.294611489069,344.351753726123,432.56257861853,490.479675474094,366
"6",0,42,2448.85007316149,1608.80663891199,1997.62036476922,2164.8497672567,2351.66209260336,2875.23467187598,2249
"7",0,49,9422.02949969619,4715.0503873932,5826.9738777359,6673.78062191391,7405.70868087133,9345.93809150223,6425
"8",0,56,15033.9185154188,12366.2732136506,13916.9487731373,16338.9608173311,17585.4161209844,23452.704260614,16468
"9",0,63,27736.9182191295,18871.6285147295,21692.4978674565,24209.1587848597,27812.5727166089,31178.8106781205,26178
"10",0,70,26237.8072125653,21747.512593462,25712.5681147219,27131.0709243392,29206.9910667975,32799.7361215479,27036
"11",0,77,25217.6186993222,21420.8954291238,24329.5057908102,25651.4236913386,26790.9167434999,32412.3872089089,27355
"12",0,84,22635.4476151894,21986.8257436104,25676.5229022708,26825.3888231942,31060.9446742364,34942.7992600906,27950
"13",0,91,33329.8800973668,20365.9681738932,25090.5476902283,27415.0404341866,32180.1312132371,34471.8963870095,26739
"14",0,98,20601.4449760866,15071.0535376579,16186.7857941531,18448.5130446386,20909.380596669,23027.2470311907,18900
"15",0,105,18944.5667911644,13373.2672222117,15223.5729755743,17447.3651973358,18525.4511862951,22456.6500286149,16668
"16",0,112,16453.0341110439,10823.8706848197,12062.7304257585,13460.3145228287,14847.4073503771,20570.32962408,13777
"17",0,119,11092.7278674081,7085.37977654244,8553.28551716631,9457.58590990798,10558.297575009,12440.180865282,9409
"18",0,126,8035.13361765485,5678.45011226814,6775.95206544792,7441.8343611953,8205.03375091915,9131.62545698386,7493
"19",0,133,5600.49396515075,4599.95543522557,6068.78480647823,6754.21916737813,7420.6630411592,8605.11254282959,6532
"20",0,140,5423.63024126442,5204.54090725887,5567.71527614222,6069.1053116022,7358.847904294,8043.84559877232,5786
"21",0,147,3679.45027088327,3698.68452007257,4307.77368911499,4713.71296573565,4976.14576029063,6312.65258001514,4482
"22",0,154,3007.81315911733,2900.23112764864,3440.23896694698,3850.08095578291,4188.70260734687,5121.64212519788,3877
"23",0,161,3904.7095785928,3237.72594100496,3745.31757186466,3944.41649163918,4303.95569898106,5208.26207817959,3907
"24",0,168,3697.53647822751,3197.09978332619,3694.28142131318,4041.49011654688,4727.88231474291,5238.53392126223,4165
"25",0,175,4505.18234906904,3200.6016505,4113.73031804617,4700.15586524202,5880.22703292015,6638.2953810082,4708
"26",0,182,5719.08331860139,4113.19082194621,4516.94423812377,4954.6030222863,5562.68214597439,6909.66051045021,5163
"27",0,189,5765.74644216061,4662.36027424934,5265.37975513996,5710.50150781938,6221.08666726856,7233.32815328095,6016
"28",0,196,7594.12541888504,4620.56683765669,5835.58308702466,6864.94294153014,7619.29816943616,9280.98050904978,7033
