"","time","t","S","E","I","R"
"1",1,1,38194669.9177421,6.25692178043484,17.8318787860547,14001686.9934574
"2",2,2,38194662.5857532,10.7228212042637,15.5608642995024,14001692.1305613
"3",3,3,38194652.1111166,16.5749772661521,14.3812347891158,14001697.9326713
"4",4,4,38194635.8759794,25.6685247070075,14.3783868755249,14001705.077109
"5",5,5,38194614.5947903,36.4076085624396,15.6585697719622,14001714.3390313
"6",6,6,38194588.1501419,48.4062695742378,18.1685424181635,14001726.2750461
"7",7,7,38194551.0194355,66.0657174427598,22.108213218944,14001741.8066338
"8",8,8,38194499.8591618,90.5880510419715,28.0162519359569,14001762.5365352
"9",9,9,38194434.861277,119.757801670619,36.2779646385862,14001790.1029567
"10",10,10,38194349.5520467,157.786195099627,47.3102439262913,14001826.3515143
"11",11,11,38194237.223515,207.830278346498,61.9336392657601,14001874.0125673
"12",12,12,38194080.7426728,281.119351723005,81.7169730926982,14001937.4210023
"13",13,13,38193858.8517234,389.109259804633,109.400177658326,14002023.6388391
"14",14,14,38193531.0473169,556.504319822322,149.491760518379,14002143.9566028
"15",15,15,38193051.4329657,805.278111500874,208.700225127323,14002315.5886977
"16",16,16,38192320.6778314,1197.16399962213,297.701632337174,14002565.4565366
"17",17,17,38191222.5997698,1789.93932539132,432.977108748304,14002935.483796
"18",18,18,38189475.5078505,2767.79477560311,642.887939325032,14003494.8094346
"19",19,19,38186545.2878625,4479.03527532089,984.02894013722,14004372.6479221
"20",20,20,38181742.6754813,7301.29634191336,1549.71815368223,14005787.3100231
"21",21,21,38174221.773147,11633.616960495,2466.59968134942,14008059.0102112
"22",22,22,38163257.9215345,17649.1321782138,3876.32268185518,14011597.6236054
"23",23,23,38147073.0787656,26385.3810800462,5966.84674001762,14016955.6934144
"24",24,24,38125314.1061775,37330.3169533362,8934.15392403947,14024802.4229452
"25",25,25,38091818.8787519,55166.5713071441,13179.9466588073,14036215.6032822
"26",26,26,38047731.4326879,76830.4045666925,19178.495478344,14052640.6672671
"27",27,27,37980572.8682237,111993.05647147,27677.1261985905,14076137.9491063
"28",28,28,37881189.960104,164538.463393802,40195.1812192058,14110457.395283
"29",29,29,37739342.2493883,238119.616753628,58461.0664807206,14160458.0673774
"30",30,30,37541647.5308878,338017.969314226,84450.2849270364,14232265.2148709
"31",31,31,37245059.3912486,493645.612099183,121901.251800031,14335774.7448522
"32",32,32,36815048.3202659,718172.177576624,176717.146464528,14486443.3556929
"33",33,33,36177334.0982485,1055246.41264186,257244.215574075,14706556.2735355
"34",34,34,35251890.9373602,1540285.75040666,375494.516859714,15028709.7953734
"35",35,35,33902628.3116998,2246484.29953128,548180.164738195,15499088.2240307
"36",36,36,32068083.8933682,3160185.44095821,793266.942395108,16174844.7232785
"37",37,37,29824949.3962343,4152859.1556812,1116323.22814098,17102249.2199435
"38",38,38,27388033.4014716,5016768.23022188,1499535.23406004,18292044.1342465
"39",39,39,24851049.6093798,5710559.94089211,1911789.4411253,19722982.0086029
"40",40,40,22368385.8890486,6153202.01378845,2319843.52381173,21354949.5733513
"41",41,41,19944094.837968,6415511.28673956,2696497.70523365,23140277.1700588
"42",42,42,17855733.0208903,6315234.02305973,3011415.26488191,25013998.6911681
"43",43,43,16009931.808158,6038205.07476816,3241869.96298477,26906374.1540891
"44",44,44,14463022.4723667,5588718.28820708,3380980.33415413,28763659.9052721
"45",45,45,13093496.791463,5119991.39590455,3434375.99778067,30548516.8148519
"46",46,46,12003676.8071742,4551341.71448559,3409882.82186536,32231479.6564749
"47",47,47,11093400.8211655,3996488.10621107,3317325.99264514,33789166.0799783
"48",48,48,10331086.0093367,3478112.69116715,3172924.09627469,35214258.2032215
"49",49,49,9705897.05662098,2994760.75747509,2991063.61738885,36504659.5685151
"50",50,50,9221822.38677439,2532884.53896864,2782366.74171189,37659307.3325451
"51",51,51,8805742.2797815,2147907.00103157,2558660.77569199,38684070.943495
"52",52,52,8471862.09592839,1805478.48385494,2330274.80552955,39588765.6146872
"53",53,53,8218312.54516777,1494798.48795377,2102830.37553275,40380439.5913458
"54",54,54,8009528.36878535,1236643.9661667,1881757.66412724,41068451.0009208
"55",55,55,7830655.75882295,1028273.42240723,1672467.77421732,41664984.0445526
"56",56,56,7688935.0259517,849103.804798708,1477712.82927267,42180629.339977
"57",57,57,7571067.90224271,701871.646043096,1298734.22702554,42624707.2246887
"58",58,58,7480166.65641488,574661.036457508,1135841.58470583,43005711.7224218
"59",59,59,7406380.17412914,469971.038450539,988776.811313224,43331252.9761072
"60",60,60,7345822.22275278,384535.37621048,857240.836013943,43608782.5650229
"61",61,61,7296713.85011724,314261.236742809,740508.330680143,43844897.5824599
"62",62,62,7258777.09206031,254975.269425959,637454.27240509,44045174.3661087
"63",63,63,7229253.54763113,205814.116106396,546862.825786055,44214450.5104765
"64",64,64,7205059.7114156,166438.242099286,467673.112622251,44357209.9338629
"65",65,65,7185449.35473757,134633.869663988,398845.496221848,44477452.2793767
"66",66,66,7169163.48257039,109264.058313099,339326.79154415,44578626.6675724
"67",67,67,7155317.62372817,89205.8318423922,288116.045783597,44663741.4986459
"68",68,68,7143578.10380329,73197.3598796891,244245.243924421,44735360.2923927
"69",69,69,7133436.09232533,60492.0696241556,206802.942882099,44795649.8951685
"70",70,70,7124893.47679564,50127.9951930165,174936.292146697,44846423.2358647
"71",71,71,7117765.89544947,41580.6189657992,147860.702018426,44889173.7835664
"72",72,72,7111744.9419785,34582.533509536,124889.900111087,44925163.624401
"73",73,73,7106570.2242572,28903.3526894412,105434.505083594,44955472.9179699
"74",74,74,7102208.11842188,24188.2859378676,88977.8347496513,44981006.7608907
"75",75,75,7098346.95455757,20420.3894715624,75078.4024496364,45002535.2535213
"76",76,76,7095149.81657815,17186.5636486568,63347.7293448714,45020696.8904284
"77",77,77,7092451.93813621,14470.8315035386,53445.237940823,45036012.9924195
"78",78,78,7090124.24655961,12231.7139851125,45090.7595795652,45048934.2798759
"79",79,79,7088120.13266083,10369.9499447299,38047.0493239136,45059843.8680707
"80",80,80,7086507.98930097,8718.07723172224,32104.2315456297,45069050.7019218
"81",81,81,7085158.12550046,7324.71324660723,27085.5396006981,45076812.6216524
"82",82,82,7084043.15758772,6137.87290259378,22846.6708314138,45083353.2986784
"83",83,83,7083097.33680935,5153.05439233019,19267.076441276,45088863.5323572
"84",84,84,7082302.24318549,4327.12702715257,16245.6644666521,45093505.9653209
"85",85,85,7081535.49004976,3717.36187874992,13701.9072947904,45097426.2407769
"86",86,86,7080917.07057766,3159.45375000348,11562.1202096875,45100742.3554628
"87",87,87,7080403.52955163,2675.07790283615,9758.45814825918,45103543.9343974
"88",88,88,7079974.19092722,2260.33641142245,8236.83922615408,45105909.6334354
"89",89,89,7079590.67538052,1927.44137624531,6954.02430840373,45107908.858935
"90",90,90,7079279.63910224,1630.04304973245,5872.29930398119,45109599.0185442
"91",91,91,7079012.37961899,1382.09577397823,4959.37869799722,45111027.1459092
"92",92,92,7078762.23363397,1191.77486654284,4190.44123933958,45112236.5502603
"93",93,93,7078536.79911894,1035.90115070033,3544.17220159154,45113264.1275289
"94",94,94,7078352.75487854,890.341537557562,3000.21255988584,45114137.6910242
"95",95,95,7078191.7441201,767.631399906276,2541.51810137022,45114880.1063788
"96",96,96,7078057.04076994,658.348803513017,2154.30296441817,45115511.3074623
"97",97,97,7077945.92455512,560.895243009289,1826.73485611986,45116047.4453459
"98",98,98,7077847.24159517,481.262988742913,1549.52816222523,45116502.967254
"99",99,99,7077759.54291633,415.497047306597,1315.22159070173,45116890.7384458
"100",100,100,7077681.20045208,360.942801256532,1117.33946776648,45117221.5172791
"101",101,101,7077618.61899132,308.920399581813,949.860342408832,45117503.6002668
"102",102,102,7077564.67972188,264.715556049884,807.755203189226,45117743.8495191
"103",103,103,7077518.56631502,226.744452509966,687.141419292738,45117948.5478134
"104",104,104,7077480.6367005,192.892673462488,584.629038118994,45118122.8415881
"105",105,105,7077447.85128084,164.534081812895,497.439241538141,45118271.175396
"106",106,106,7077417.52360262,142.342964019,423.44155035263,45118397.6918832
"107",107,107,7077391.20257622,123.215774283719,360.73009437885,45118505.8515553
"108",108,108,7077369.38197687,105.843396063408,307.482554396435,45118598.2920729
"109",109,109,7077352.65802261,89.2119027521314,262.071541762819,45118677.0585331
"110",110,110,7077338.87016531,74.9330943310519,223.230340571736,45118743.9664
"111",111,111,7077327.67050185,62.617396273276,189.998301977046,45118800.7138001
"112",112,112,7077318.22057839,52.4025891861227,161.582267745754,45118848.7945649
"113",113,113,7077310.14463242,43.9958746235234,137.326280638647,45118889.5332125
"114",114,114,7077303.46260459,36.8545811994325,116.641791357157,45118924.0410231
"115",115,115,7077297.98347655,30.7724619452272,99.0051492721143,45118953.2389125
"116",116,116,7077293.45375408,25.6559386614637,83.972629668007,45118977.9176778
"117",117,117,7077289.39800733,21.6260371470833,71.1871084585869,45118998.7888473
"118",118,118,7077285.93995127,18.2624123826632,60.3360628328717,45119016.4615738
"119",119,119,7077282.98288043,15.453120519005,51.1333079069145,45119031.4306914
"120",120,120,7077280.43839722,13.1117976121148,43.334005476939,45119044.1157999
"121",121,121,7077278.20589654,11.1873948067741,36.7305881580486,45119054.8761207
"122",122,122,7077276.26516154,9.57576268674473,31.144259389012,45119064.0148166
"123",123,123,7077274.59266258,8.20590144074563,26.418934219348,45119071.782502
"124",124,124,7077273.20510255,6.99336880930572,22.4177105077926,45119078.3838183
"125",125,125,7077272.08127088,5.91040311172871,19.0226269689628,45119083.9856992
"126",126,126,7077271.10570208,5.01692526053169,16.1404273029682,45119088.7369456
"127",127,127,7077270.27759779,4.25851129454474,13.6951399091843,45119092.7687512
"128",128,128,7077269.5678086,3.6205563111855,11.6209140609368,45119096.1907213
"129",129,129,7077268.95323932,3.08757106856121,9.86235405472514,45119099.0968358
"130",130,130,7077268.44939812,2.61591188520062,8.37046111802973,45119101.5642291
"131",131,131,7077268.03432268,2.20633741203902,7.10301290659854,45119103.6563272
"132",132,132,7077267.66583259,1.87645308022501,6.02699395799164,45119105.4307206
"133",133,133,7077267.35398735,1.59457004016666,5.11438798564096,45119106.9370548
"134",134,134,7077267.09756945,1.34777814178719,4.33972131238915,45119108.2149313
"135",135,135,7077266.89162084,1.13006507324849,3.68112172955165,45119109.2971926
"136",136,136,7077266.72294276,0.944138087205923,3.12067872091947,45119110.2122407
"137",137,137,7077266.57191258,0.797340048860653,2.64453634149225,45119110.9862112
"138",138,138,7077266.44844664,0.6699179749126,2.24047326573274,45119111.6411623
"139",139,139,7077266.34370511,0.563710228637212,1.89754932011133,45119112.1950355
"140",140,140,7077266.26018925,0.470434948913592,1.60639986463768,45119112.6629761
"141",141,141,7077266.18939885,0.393517930654693,1.35919209289933,45119113.0578913
"142",142,142,7077266.12742943,0.331503499675911,1.14965958583101,45119113.3914077
"143",143,143,7077266.07787401,0.277025763827396,0.972112852181201,45119113.6729876
"144",144,144,7077266.03491289,0.232809351409206,0.821691691798024,45119113.9105863
"145",145,145,7077265.99856397,0.19585677808703,0.694399984937718,45119114.1111795
"146",146,146,7077265.9660502,0.166406223759513,0.586841801593791,45119114.280702
"147",147,147,7077265.93813831,0.14162670912023,0.496064040621725,45119114.4241711
"148",148,148,7077265.91478559,0.12019599523067,0.419419022758867,45119114.5455996
"149",149,149,7077265.89421708,0.102641592616184,0.354713967290452,45119114.6484276
"150",150,150,7077265.87729492,0.0871073219508799,0.300070386975405,45119114.7355276
"151",151,151,7077265.86345791,0.0734810889473305,0.253846097194003,45119114.8092151
"152",152,152,7077265.85239724,0.0614692707352182,0.214681073711511,45119114.8714526
"153",153,153,7077265.84314862,0.0514176176228838,0.18147903744577,45119114.9239549
"154",154,154,7077265.83521988,0.0431726861666906,0.153359265778181,45119114.9682484
"155",155,155,7077265.82857398,0.036239393304854,0.129563442843409,45119115.0056234
"156",156,156,7077265.82312588,0.0303096934144464,0.109424176807538,45119115.0371404
"157",157,157,7077265.81866543,0.0252675571436228,0.0923751426771039,45119115.0636921
"158",158,158,7077265.81482055,0.0211727634164865,0.0779518945080841,45119115.086055
"159",159,159,7077265.81172193,0.017636435302877,0.0657560740989363,45119115.1048857
"160",160,160,7077265.809225,0.014620253877583,0.0554366918843744,45119115.1207182
"161",161,161,7077265.80697815,0.0122704093361983,0.0467179532147101,45119115.1340337
"162",162,162,7077265.80501082,0.0103658210387723,0.0393699287063719,45119115.1452536
"163",163,163,7077265.80338257,0.00872862941917847,0.0331776906512527,45119115.1547113
"164",164,164,7077265.80198254,0.00737456771424012,0.027959603853891,45119115.1626835
"165",165,165,7077265.80076289,0.0062616386197828,0.0235674468495062,45119115.1694082
"166",166,166,7077265.7997146,0.00532778966289281,0.0198718365047488,45119115.1750859
"167",167,167,7077265.79882592,0.00453016316401467,0.0167612526051059,45119115.1798828
"168",168,168,7077265.79807541,0.00384759247161774,0.014141733705597,45119115.1839354
"169",169,169,7077265.79744938,0.00325814575549447,0.0119339370309097,45119115.1873587
"170",170,170,7077265.79692237,0.00275653727051097,0.0100718645207846,45119115.1902494
"171",171,171,7077265.79645068,0.00235412311820157,0.00850256002566334,45119115.1926928
"172",172,172,7077265.79601429,0.00203931233889455,0.00718281534187454,45119115.1947637
"173",173,173,7077265.79561713,0.00178226917552968,0.00607530252277343,45119115.1965255
"174",174,174,7077265.79527192,0.00155607122580335,0.00514535687922699,45119115.1980268
"175",175,175,7077265.79496222,0.00136569878203047,0.00436382104047858,45119115.1993084
"176",176,176,7077265.79470561,0.00118546048423247,0.00370573042542756,45119115.2004034
