"","time","t","S","E","I","R"
"1",1,1,52196380,1,0,0
"2",2,2,52196378.990683,1.51407820541135,0.225097686893217,0.27014114783806
"3",3,3,52196377.4374982,2.31341954877413,0.525390521407489,0.723691717073536
"4",4,4,52196375.0091814,3.58147913580704,0.95399104399156,1.4553484189625
"5",5,5,52196371.2142954,5.57467249756247,1.59359286755365,2.61743925669986
"6",6,6,52196365.3151288,8.67044042514645,2.5682142171493,4.44621653249964
"7",7,7,52196356.3234813,13.3289861546611,4.05446362551056,7.29306892739271
"8",8,8,52196342.7981607,20.2372250275478,6.29850688988607,11.6661073274595
"9",9,9,52196322.7384898,30.321180509788,9.64547315358243,18.2948565192665
"10",10,10,52196293.5046181,44.7314929443076,14.563260605864,28.2006283771905
"11",11,11,52196251.5258206,65.0143681288407,21.674447989007,42.7853632395732
"12",12,12,52196191.8181332,93.384977235659,31.822266346897,63.9746232446264
"13",13,13,52196108.3635213,132.177515589213,46.1045571932785,94.354405895733
"14",14,14,52195994.5158116,183.460475334797,65.814765366725,137.208947725253
"15",15,15,52195842.8747811,249.238223814285,92.3718202803526,196.515174829613
"16",16,16,52195644.630951,332.027188214591,127.333766177956,277.008094672141
"17",17,17,52195390.212271,434.135178172319,172.402813962958,384.249736959914
"18",18,18,52195070.895527,556.374719513712,229.247785355569,524.481968198043
"19",19,19,52194673.1527856,703.339437281972,299.69667464599,704.811102483771
"20",20,20,52194182.3065898,879.035263935193,386.015294260354,933.642852080409
"21",21,21,52193580.1562864,1089.08239433604,490.909255605334,1220.85206371333
"22",22,22,52192848.9653215,1336.80825516149,617.39238172593,1577.83404165736
"23",23,23,52191966.7555245,1627.99559311989,768.725358326268,2017.52352410329
"24",24,24,52190892.2555452,1982.70617617207,949.861281693634,2556.17699697882
"25",25,25,52189573.0317748,2423.62436616759,1168.68254682268,3215.66131219381
"26",26,26,52187952.6050565,2969.18093287303,1435.31858239838,4023.89542822223
"27",27,27,52185975.3220368,3630.88916440069,1760.71916385246,5014.06963492207
"28",28,28,52183571.7574591,4427.9588155764,2156.53483234511,6224.74889301558
"29",29,29,52180661.6398284,5382.24565788908,2635.9319121819,7701.18260151183
"30",30,30,52177144.5643831,6525.18329647693,3214.39308006975,9496.85924034208
"31",31,31,52172898.6402126,7895.6666273948,3910.83374385363,11675.859416182
"32",32,32,52167766.4307437,9549.31353904112,4749.13949866118,14316.1162186441
"33",33,33,52161532.3060895,11572.0876897582,5761.39907658009,17515.2071441612
"34",34,34,52153817.8914241,14157.7576807802,6998.74329213537,21406.6076029672
"35",35,35,52144236.641727,17441.7056921968,8532.5508890769,26170.1016916799
"36",36,36,52132370.5698213,21539.9893672803,10443.5956604048,32026.8451509716
"37",37,37,52117688.1023638,26625.0626839304,12823.4230441321,39244.4119080955
"38",38,38,52099578.3872378,32877.8135985536,15778.3276097475,48146.4715538272
"39",39,39,52077211.2355285,40602.792093,19438.1477864057,59128.8245920603
"40",40,40,52049693.188783,50054.7291227009,23959.148181195,72673.9339131345
"41",41,41,52015671.985552,61788.7524564908,29540.5820158585,89379.6799756193
"42",42,42,51973918.0802733,76068.9156432354,36419.2154233646,109974.788660167
"43",43,43,51922759.168843,93442.8078136391,44859.955865307,135319.067478085
"44",44,44,51860804.7706257,114035.981825384,55139.8200516638,166400.427497298
"45",45,45,51785868.7724268,138601.407387197,67561.5433410661,204349.276844947
"46",46,46,51696755.0389217,166804.359341855,82411.3431484315,250410.258587996
"47",47,47,51591981.6639389,198664.854830751,99891.7320953317,305842.749134973
"48",48,48,51469508.5815126,234665.257730876,120211.634279261,371995.526477222
"49",49,49,51328560.8415341,274062.917049595,143518.738234953,450238.503181343
"50",50,50,51167771.5766595,316862.973895809,169864.855495742,541881.593948984
"51",51,51,50984994.3010596,363723.091334878,199351.538632993,648312.068972588
"52",52,52,50779486.7462571,413902.016806053,232054.448865866,770937.788071105
"53",53,53,50550405.3646051,466992.715388247,267930.746791338,911052.173215359
"54",54,54,50297356.6720013,522348.256680618,306850.170375562,1069825.90094262
"55",55,55,50019152.8749695,580203.746298729,348669.925092906,1248354.45363895
"56",56,56,49710603.0276955,644067.559226775,393614.320278348,1448096.09279945
"57",57,57,49371861.6542608,711795.210907206,441986.04772727,1670738.08710482
"58",58,58,48999744.0810211,784755.980913564,493963.278737694,1917917.65932772
"59",59,59,48590698.5770425,864166.272314789,549923.866162516,2191592.28448025
"60",60,60,48146814.7922485,946112.116556879,609927.65307804,2493526.43811667
"61",61,61,47669130.0215851,1028884.63700601,673513.646206199,2824852.6952028
"62",62,62,47157496.9031819,1112322.55603475,740143.366661276,3186418.1741221
"63",63,63,46611407.8892012,1196632.48522607,809381.794754859,3578958.83081794
"64",64,64,46027531.4511096,1284297.21447751,881125.514760456,4003426.81965248
"65",65,65,45401688.5606084,1377690.85972658,955728.487164636,4461273.09250041
"66",66,66,44731700.5440489,1476709.43878916,1033679.94447519,4954291.0726868
