"","time","t","S","E","I","R","x"
"1",1,1,52196380,1,0,0,-0.22314355131421
"2",2,2,52196378.9984241,1.50776685082289,0.224432081043634,0.269376950815564,-0.213236133587794
"3",3,3,52196377.4525173,2.30309773984776,0.523362310446117,0.721022671641704,-0.212941567104982
"4",4,4,52196375.0545402,3.54956182787564,0.948330013034497,1.44756799259493,-0.202942571313671
"5",5,5,52196371.3062479,5.51448821127559,1.58063863181858,2.59862518835932,-0.199327365429175
"6",6,6,52196365.4644927,8.5817993319933,2.54454409462203,4.40916380490198,-0.201560107026152
"7",7,7,52196356.4696336,13.2700603229885,4.02339100044556,7.2369150540616,-0.216010084078371
"8",8,8,52196342.8451324,20.2771440379294,6.27375968961043,11.6039639199327,-0.231433428916191
"9",9,9,52196322.4819804,30.5959320825887,9.65711570198742,18.2649717879368,-0.248050527209594
"10",10,10,52196292.5136369,45.5193273158562,14.6742431686198,28.2927926170584,-0.267733622878184
"11",11,11,52196249.1056659,66.7217394076698,21.9974265913526,43.1751681036656,-0.287095629908356
"12",12,12,52196186.9831674,96.5289812077994,32.5304082630955,64.957443162237,-0.302893596979112
"13",13,13,52196099.2311042,137.840880723204,47.4896729059612,96.4383422154883,-0.32271870581304
"14",14,14,52195977.7804963,193.539319171657,68.3913306820861,141.28885380155,-0.349556882572585
"15",15,15,52195813.641727,266.319424228548,96.9650661339289,204.073782602617,-0.379890428893773
"16",16,16,52195596.4433973,359.148575039856,135.116318832233,290.291708815265,-0.408680558803014
"17",17,17,52195314.2479702,475.285812693375,184.967532841688,406.49868424718,-0.437003835351356
"18",18,18,52194954.8757178,617.062632335189,248.766674574653,560.294975286442,-0.468282859730645
"19",19,19,52194504.0936354,787.92189408381,328.766301668308,760.218168821331,-0.490703300032901
"20",20,20,52193943.318839,993.638211448598,427.71313686912,1016.32981267625,-0.509927973243132
"21",21,21,52193251.0445277,1240.57250854219,548.893223416548,1340.48974040789,-0.525091116762665
"22",22,22,52192403.2076272,1534.96039146434,696.182836178141,1746.64914516102,-0.541320788673938
"23",23,23,52191373.5536045,1882.95054633599,873.756839260533,2250.73900999604,-0.555380887106522
"24",24,24,52190121.8530664,2300.69979161251,1086.82497608648,2871.62216603323,-0.556372385592793
"25",25,25,52188587.1588123,2815.84493381715,1343.82001509382,3634.17623883195,-0.55107359391102
"26",26,26,52186697.5129361,3455.74262041673,1656.67984592677,4571.0645976342,-0.547897686818856
"27",27,27,52184377.8789545,4241.11470382103,2039.46020053157,5722.54614123241,-0.551207986912872
"28",28,28,52181545.6428696,5192.58538831589,2507.028235244,7135.7435069451,-0.556001827863477
"29",29,29,52178101.1503242,6337.91782455392,3075.93851058075,8865.99334072571,-0.561784184833134
"30",30,30,52173924.7786311,7712.55306711086,3765.21004086298,10978.4582609696,-0.566480972369018
"31",31,31,52168868.9490483,9363.30417750261,4597.78853684463,13550.9582374898,-0.570056162477316
"32",32,32,52162749.141702,11352.4984643621,5602.01637253285,16677.3434612058,-0.571216696579601
"33",33,33,52155320.3115095,13772.6300938338,6814.69437575558,20473.3640210231,-0.568161485886261
"34",34,34,52146201.3863275,16801.4607271778,8288.86374121357,25089.2892042237,-0.552474447399767
"35",35,35,52134882.0683519,20659.2963811404,10106.8212144436,30732.8140525867,-0.540890362228784
"36",36,36,52120826.1313304,25516.0488657636,12369.6613798262,37669.1584240626,-0.536473670373549
"37",37,37,52103407.8893103,31562.1789112856,15190.5864196758,46220.3453587814,-0.534569837411998
"38",38,38,52081868.571987,39033.860721201,18701.0478004145,56777.519491421,-0.535748332008464
"39",39,39,52055263.7293584,48247.3149815925,23055.6296170494,69814.326043007,-0.535180347033329
"40",40,40,52022444.6001977,59577.6480555938,28445.6886243268,85913.0631224751,-0.53759464308657
"41",41,41,51981956.1693445,73542.3090121842,35100.8433010758,105781.678342339,-0.53497025321004
"42",42,42,51932061.3592146,90700.6009904156,43316.1166306046,130302.923164445,-0.538664940708658
"43",43,43,51870871.3267228,111571.915600271,53417.2190067631,160520.538670249,-0.541536281463635
"44",44,44,51796323.0103791,136622.871334607,65770.9017146622,197664.216571728,-0.551394041979785
"45",45,45,51706128.0839078,166389.111718183,80745.3966252319,243118.407748919,-0.557210237750212
"46",46,46,51597970.8842679,201189.63456985,98749.1365959547,298471.344566399,-0.572583866804378
"47",47,47,51470146.9744633,240779.149384346,120090.68578466,365364.190367814,-0.58911004070908
"48",48,48,51320439.646414,285423.97409459,145022.139010439,445495.24048108,-0.602063125044547
"49",49,49,51146984.3170673,334948.883291097,173787.353374944,540660.446266772,-0.620408093586377
"50",50,50,50948565.2620925,388766.584305469,206476.153564766,652573.000037384,-0.636687940110249
"51",51,51,50723126.1209642,447178.642458679,243141.006666389,782935.229910858,-0.64766440332406
"52",52,52,50468949.9394018,510040.738994636,283874.956725291,933515.364878386,-0.661144158245247
"53",53,53,50185357.1759965,576442.702883633,328624.492743297,1105956.62837663,-0.674228514813944
"54",54,54,49871947.1928728,645529.622745948,377197.127595571,1301707.05678577,-0.687366737869093
"55",55,55,49528278.261622,716806.562975071,429294.798600703,1522001.37680225,-0.697049938797785
"56",56,56,49151154.2513609,792317.80651019,484778.852497207,1768130.08963173,-0.693796775119272
"57",57,57,48737842.8964431,872730.179023129,543945.788670313,2041862.13586354,-0.697181756765684
"58",58,58,48287640.5629751,957117.97316683,606834.409694148,2344788.05416402,-0.695869305629492
"59",59,59,47797520.0918885,1046670.0796662,673576.822674428,2678614.00577093,-0.691295072306638
"60",60,60,47267628.551562,1139362.1359148,744285.245187847,3045105.06733547,-0.69505172545434
"61",61,61,46701478.9295311,1231311.27238782,818373.067870831,3445217.7302104,-0.700166819536829
"62",62,62,46101210.0322277,1321023.341198,894902.469405563,3879245.15716881,-0.703092431172999
"63",63,63,45468097.4234783,1408205.79675295,972974.514795107,4347103.26497368,-0.703368885316851
