"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","sigma.np","sigma.value","beta.np","beta.value","gamma.np","gamma.value","tau.np","tau.value","clock","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,0.143557173030036,0,7,999997.125,0,7,1.52041685581207,0,7,1.08944034576416,0,7,0.239473134279251,0,0.19119268655777,0,0.511149168014526,0,0.0650758743286133,0,0.972853004932404,11378,0,31.4613056182861,0,5.55607938766479
"2",0,14,0.0682592159155534,0,14,999989.0625,0,14,5.48472023010254,0,14,4.04231214523315,0,14,1.26843845844269,1,0.192011818289757,1,0.513250708580017,1,0.0671458542346954,1,0.947449624538422,11378,1,31.4009552001953,1,5.62596225738525
"3",0,21,2.4050264110834,0,21,999959.375,0,21,20.1119899749756,0,21,14.8278846740723,0,21,5.04881286621094,2,0.20920318365097,2,0.49873685836792,2,0.0688427984714508,2,0.965672731399536,11378,2,33.7586212158203,2,5.22145938873291
"4",0,28,5.63769630252397,0,28,999850.4375,0,28,73.7566909790039,0,28,54.381217956543,0,28,18.9139289855957,3,0.20920318365097,3,0.49873685836792,3,0.0688427984714508,3,0.965672731399536,11378,3,33.7586212158203,3,5.22145938873291
"5",0,35,1.93478436852316,0,35,999451.1875,0,35,270.402252197266,0,35,199.40559387207,0,35,69.7594146728516,4,0.20920318365097,4,0.49873685836792,4,0.0688427984714508,4,0.965672731399536,11378,4,33.7586212158203,4,5.22145938873291
"6",0,42,26.0114497653039,0,42,997989.125,0,42,990.175659179688,0,42,730.68603515625,0,42,256.137359619141,5,0.194363698363304,5,0.501109957695007,5,0.0724667906761169,5,0.986992120742798,11378,5,29.3096523284912,5,5.35317087173462
"7",0,49,254.302564458371,0,49,992656.5625,0,49,3610.40283203125,0,49,2670.79858398438,0,49,938.235290527344,6,0.23031510412693,6,0.476958572864532,6,0.0694579258561134,6,0.967680275440216,11378,6,35.4735565185547,6,3.50020051002502
"8",0,56,474.983978227577,0,56,973492.625,0,56,12961.16015625,0,56,9674.1181640625,0,56,3420.140625,7,0.23031510412693,7,0.476958572864532,7,0.0694579258561134,7,0.967680275440216,11378,7,35.4735565185547,7,3.50020051002502
"9",0,63,3724.14182709967,0,63,908151,0,63,44032.75390625,0,63,33929.5078125,0,63,12265.78515625,8,0.231378361582756,8,0.476485133171082,8,0.0701344907283783,8,0.991111218929291,11378,8,36.0735092163086,8,3.40201830863953
"10",0,70,1194.29571205129,0,70,720872,0,70,124933.8203125,0,70,107018.9765625,0,70,41668.578125,9,0.231378361582756,9,0.476485133171082,9,0.0701344907283783,9,0.991111218929291,11378,9,36.0735092163086,9,3.40201830863953
"11",0,77,12021.0377958708,0,77,383746.625,0,77,223005.34375,0,77,255197,0,77,121936.6875,10,0.231378361582756,10,0.476485133171082,10,0.0701344907283783,10,0.991111218929291,11378,10,36.0735092163086,10,3.40201830863953
"12",0,84,4868.76043757211,0,84,118874.8125,0,84,192575.140625,0,84,381582.34375,0,84,271136.125,11,0.231378361582756,11,0.476485133171082,11,0.0701344907283783,11,0.991111218929291,11378,11,36.0735092163086,11,3.40201830863953
"13",0,91,5649.75359699271,0,91,29747.02734375,0,91,92557.2265625,0,91,371048.0625,0,91,447507.96875,12,0.231378361582756,12,0.476485133171082,12,0.0701344907283783,12,0.991111218929291,11378,12,36.0735092163086,12,3.40201830863953
"14",0,98,2134.9615506932,0,98,9182.9375,0,98,33930.828125,0,98,280821.65625,0,98,597149.25,13,0.2231605052948,13,0.474892824888229,13,0.0683557912707329,13,0.997016131877899,11378,13,34.0102043151855,13,3.90703654289246
"15",0,105,208.858747260711,0,105,3988.52563476562,0,105,11398.017578125,0,105,188348.75,0,105,703318.75,14,0.222532957792282,14,0.490483522415161,14,0.0690931305289268,14,0.943743944168091,11378,14,34.0818786621094,14,4.45109510421753
"16",0,112,195.53888665734,0,112,2317.6787109375,0,112,3814.40698242188,0,112,119357.25,0,112,772431.25,15,0.216140627861023,15,0.486574023962021,15,0.0700181052088737,15,0.971765697002411,11378,15,34.0631942749023,15,4.63913154602051
