"","x"
"1",-0.22314355131421
"2",-0.212986373748499
"3",-0.204215472367185
"4",-0.188294833016295
"5",-0.177899237327993
"6",-0.171661610342241
"7",-0.167402900568888
"8",-0.166237911581105
"9",-0.16088979847252
"10",-0.161178730960175
"11",-0.154706152723246
"12",-0.14860438795532
"13",-0.145355748849188
"14",-0.137721503755011
"15",-0.131607761835233
"16",-0.11918301568276
"17",-0.104841747845628
"18",-0.0826389795317706
"19",-0.061424749688726
"20",-0.0442400904419599
"21",-0.0395686812454561
"22",-0.0369000795485594
"23",-0.0440463449726437
"24",-0.034732004914179
"25",-0.0327261128078965
"26",-0.0398304629392351
"27",-0.0439128886735217
"28",-0.0428493873580788
"29",-0.0475276683199152
"30",-0.0551587840465227
"31",-0.0639222777026295
"32",-0.0648605164594447
"33",-0.07079971532206
"34",-0.068783175702721
"35",-0.0745926302427199
"36",-0.0801332489045358
"37",-0.0807911796169521
"38",-0.0845869284268227
"39",-0.0870580280418007
"40",-0.0890250491537637
"41",-0.0901375899126033
"42",-0.0913453517646321
"43",-0.0968586276227781
"44",-0.105856285759063
"45",-0.129198572792147
"46",-0.16272102660257
"47",-0.195348040049964
"48",-0.22080534141508
"49",-0.244012710001816
"50",-0.254144914178445
"51",-0.268786672503093
"52",-0.27788767198965
"53",-0.279857557293063
"54",-0.288744092386411
"55",-0.301967938655425
"56",-0.315062640949549
"57",-0.334010163814901
"58",-0.345921752695696
"59",-0.363725142378825
"60",-0.372641318820168
"61",-0.381153796946125
"62",-0.381435424240895
"63",-0.388199876116924
"64",-0.385752467403548
"65",-0.391707182359435
"66",-0.408677519703183
"67",-0.42938120415905
"68",-0.447121748282247
"69",-0.458648659007591
"70",-0.465292879193065
"71",-0.467364477455694
"72",-0.472365595811898
"73",-0.473948864203451
"74",-0.480513504930876
"75",-0.490084456720748
"76",-0.484169858491804
"77",-0.481228167349791
"78",-0.485356395702124
"79",-0.489663819148598
"80",-0.50341858619509
"81",-0.52543607543447
"82",-0.541705379031857
"83",-0.554735070845443
"84",-0.559032966536698
"85",-0.552589711916201
"86",-0.544393722032976
"87",-0.534400769602932
"88",-0.518818985537295
"89",-0.506900775209582
"90",-0.495062354720764
"91",-0.486718603636421
"92",-0.475867721278038
"93",-0.4650805597376
"94",-0.462172236234926
"95",-0.455323633865005
"96",-0.438067263891059
"97",-0.434497426644062
"98",-0.426989395708303
"99",-0.415254172789877
"100",-0.405100972019226
"101",-0.395032898665751
"102",-0.380961717314943
"103",-0.378048276961273
"104",-0.377510675858174
"105",-0.374933604093264
"106",-0.366318695078204
"107",-0.36302740564414
"108",-0.349971425305823
"109",-0.347173598948501
"110",-0.345120614920783
"111",-0.329732094642323
"112",-0.304716645751178
"113",-0.278742551195649
"114",-0.251700192667627
"115",-0.240154870260871
"116",-0.227078348167277
"117",-0.215418702135004
"118",-0.200080411104608
"119",-0.179087620511177
"120",-0.158853458197345
"121",-0.141920889778066
"122",-0.137799381004782
"123",-0.135316452429518
"124",-0.128020976789235
"125",-0.110226553089862
"126",-0.0861335848979801
"127",-0.0708920365080316
"128",-0.059645366664665
"129",-0.0499828643412563
"130",-0.0398773852339663
"131",-0.0453433943330823
"132",-0.0531587046621282
"133",-0.067658216438589
"134",-0.0620492636249863
"135",-0.0593461467615348
"136",-0.0569191357356485
"137",-0.0504930082058814
"138",-0.039152772953582
