"","x"
"1",14.1420495518995
"2",13.9978532914119
"3",32.4112207675232
"4",33.8621461009408
"5",53.1351721725775
"6",151.194905165452
"7",352.314863634784
"8",206.334106628586
"9",58.6769510500456
"10",17.7560176135011
"11",58.9188090986008
"12",96.5385560909105
"13",199.121210849598
"14",251.948223234419
"15",236.264427979024
"16",53.3933548578031
"17",390.231218842572
"18",169.805006341586
"19",352.946650902189
"20",421.736294602867
"21",728.42585953561
"22",701.625228405365
"23",244.615738859058
"24",2279.17273204463
"25",2373.86630931515
"26",1953.73907354411
"27",3698.55510677713
"28",5232.65937720768
"29",7779.40080749783
"30",33825.3695345142
"31",10709.930360678
"32",20335.6894607164
"33",63553.902792814
"34",81775.7643278967
"35",123747.618973903
"36",44036.0455458111
"37",491015.558420316
"38",147622.222448659
"39",875323.145592357
"40",92177.2722474062
"41",369456.20824466
"42",1257974.29044105
"43",312527.522453571
"44",337659.460561321
"45",302147.530379923
"46",267772.147340756
"47",408708.825943384
"48",682608.947574134
"49",91467.2355411719
"50",465455.245708789
"51",893676.398291302
"52",1428706.44858631
"53",665217.451179423
"54",361031.534690273
"55",41546.1073180822
"56",85871.5501571346
"57",88635.9242925277
"58",174620.94512477
"59",77928.8382870308
"60",26353.6076262277
"61",237044.515780047
"62",109350.035632076
"63",53581.6489471309
"64",98915.9347216242
"65",10777.5460423994
"66",44982.0991952541
"67",14680.8210880342
"68",32355.3434775697
"69",14993.5349000117
"70",22001.8201187244
"71",32535.6234669687
"72",9509.17215145247
"73",18173.5489866303
"74",2647.63637221429
"75",3249.67336345773
"76",16542.3523078132
"77",5612.67116794785
"78",678.161754195024
"79",995.788986881527
"80",2136.27436801854
"81",4224.01161570854
"82",1641.29543983591
"83",2470.67395428123
"84",2719.02060929032
"85",4051.01183660852
"86",936.591412538344
"87",724.490015491041
"88",156.514522603799
"89",581.088707922243
"90",287.592992775819
"91",176.795473750644
"92",282.663344910723
"93",625.337734697703
"94",48.1349992511175
"95",144.078862798933
"96",190.649577084901
"97",72.6264323468512
"98",166.454820194073
"99",151.78267985183
"100",91.8721441416097
"101",11.3947078763589
"102",556.349367713967
"103",52.1936593138414
"104",89.3737565121444
"105",57.0838615031801
"106",89.8556321554225
"107",65.6624566685249
"108",24.8157826079799
"109",34.1466703508795
"110",10.1565978288695
"111",36.628902176343
"112",10.8688995215948
"113",92.8040108044158
"114",3.05458127840038
"115",6.7437135462813
"116",16.0708046761222
"117",10.6045301280671
"118",3.74204815705019
"119",2.29961403424142
"120",4.87918116034489
"121",3.65068720235007
"122",0.746791332157852
"123",2.71286370087782
"124",2.59271367786751
"125",2.15290904191021
"126",0.675265325014319
"127",1.92551456128206
"128",3.34122137279524
"129",1.34327475328075
"130",0.316278032854754
"131",0.465846266291626
"132",0.729735179118663
"133",0.276154022642129
"134",0.0694447620065145
"135",0.667647983368165
"136",0.14296123654353
"137",0.147727169901988
"138",0.650132006298581
"139",0.0881162471254516
"140",0.268399862689728
"141",0.0415904135916996
"142",0.0723063648039499
"143",0.0757858611677989
"144",0.0264890094413435
"145",0.0340409779432227
"146",0.0460288636296897
"147",0.0666165231004328
"148",0.00853870098664865
"149",0.0197777421094535
"150",0.0389050595593986
"151",0.0112291918593845
"152",0.017016869997294
"153",0.0171555511704064
"154",0.0117295749450655
"155",0.0131076835759569
"156",0.00579116775748284
"157",0.00375246171098683
"158",0.000514944052125093
"159",0.00322778997887748
"160",0.00400826204558644
"161",0.00355475939580335
"162",0.00121745007948294
"163",0.00643697293646325
"164",0.00160385677146672
"165",0.00115441747671146
"166",0.00233704367863837
"167",0.000393760230359269
"168",0.00040249816876686
"169",0.00324804627465082
"170",0.000399612716375275
"171",0.00121130462045279
"172",8.61570577689187e-05
"173",0.000194586381028138
"174",0.000254371961330565
"175",0.000199113122614822
"176",5.83248082821657e-05
"177",0.000110778284332472
"178",3.88800747532792e-05
"179",0.000135552676209204
"180",0.000152908061504847
"181",8.99701534902077e-06
"182",0.000119903999891141
"183",1.37231777899871e-05
"184",4.44260066083421e-05
"185",4.37046773454937e-05
"186",1.81171566145713e-05
"187",1.06172647274439e-05
"188",1.68394365451232e-05
"189",1.75486472249613e-05
"190",2.06509217685304e-05
"191",1.63943033705291e-06
"192",1.92254614761127e-06
"193",1.85837384165531e-05
"194",1.13950973153581e-05
"195",5.93035258959351e-06
"196",6.14336601153413e-06
"197",5.90200067681057e-06
"198",2.78599309771508e-07
"199",4.75444176795258e-06
"200",1.10860465227765e-06
"201",1.63170536119495e-06
"202",8.77362985194726e-07
"203",1.84526835985149e-06
"204",5.8122411186019e-07
"205",9.79407229205677e-07
"206",3.96436071089944e-07
"207",1.89562581924414e-07
"208",9.98808343740068e-07
"209",5.72918406781499e-07
