"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","mu.time","mu.value","x.time","x.value","value","clock"
"1",0,0,0,0.0418187290987391,0,52196379,0,1,0,0,0,0,0,0,0,-0.084529098375804,-0.084529098375804,16915
"2",1,1.29540952447216,1,0.0903530703988236,1,52196377.6398173,1,1.92444191590644,1,0.26572767168634,1,0.170013100443082,1,-0.02,1,-0.00146759466911981,-0.084529098375804,16915
"3",2,-1.69039680137508,2,0.143816131998191,2,52196375.0180859,2,3.69538559235138,2,0.754525279296437,2,0.532003187981799,2,-0.02,2,-0.106652751825318,-0.084529098375804,16915
"4",3,1.36552918159251,3,0.255006504260743,3,52196370.0313227,3,7.07563088495601,3,1.64897809924626,3,1.24406835742661,3,-0.02,3,-0.0181865523868786,-0.084529098375804,16915
"5",4,0.262699527722651,4,0.564876177708567,4,52196359.6460663,4,14.2757492875306,4,3.40606345838893,4,2.67212094499825,4,-0.02,4,-0.00206894602529364,-0.084529098375804,16915
"6",5,-0.0492693344546223,5,1.01435157828863,5,52196338.4740358,5,28.987483611388,5,6.96318289516262,5,5.57529767652846,5,-0.02,5,-0.00598290070953947,-0.084529098375804,16915
"7",6,-0.630159136700284,6,2.61480571697279,6,52196296.8649057,6,57.5976658026035,6,14.1063868077061,6,11.431041687158,6,-0.02,6,-0.0455413166040559,-0.084529098375804,16915
"8",7,0.156305960385235,7,4.84028862874673,7,52196216.0285118,7,112.904960695636,7,28.0845680559741,7,22.9819594826634,7,-0.02,7,-0.0346530685754203,-0.084529098375804,16915
"9",8,-1.14947813412136,8,8.51970427738166,8,52196064.2307743,8,215.120316209464,8,55.1461155525751,8,45.5027939457359,8,-0.02,8,-0.104850240950885,-0.084529098375804,16915
"10",9,-0.162988083746032,9,17.1358156729959,9,52195791.2568156,9,395.884958501632,9,105.124953334119,9,87.7332725885297,9,-0.02,9,-0.11076685242987,-0.084529098375804,16915
"11",10,-0.225097995273376,10,27.1643554645972,10,52195294.1167568,10,723.879732737356,10,196.349602914229,10,165.653907560414,10,-0.02,10,-0.120226495089246,-0.084529098375804,16915
"12",11,1.02858915328769,11,50.6559073070876,11,52194344.7364788,11,1361.082138301,11,364.508446294759,11,309.672936635329,11,-0.02,11,-0.0518842747254863,-0.084529098375804,16915
"13",12,-0.663202158420442,12,111.115440410413,12,52192517.6974655,12,2591.98041479575,12,686.845765691118,12,583.476354063383,12,-0.02,12,-0.0912424927644304,-0.084529098375804,16915
"14",13,-0.629340151677888,13,168.329068880612,13,52189229.5683006,13,4766.93105631268,13,1287.8136887816,13,1095.68695431483,13,-0.02,13,-0.126592225832719,-0.084529098375804,16915
"15",14,-1.21931596909484,14,348.184683325783,14,52183627.8649028,14,8368.15281309207,14,2361.19203808458,14,2022.79024606757,14,-0.02,14,-0.196613799408233,-0.084529098375804,16915
"16",15,1.7081925650292,15,611.289558697971,15,52173490.4481082,15,15001.0103877552,15,4230.23928058349,15,3658.30222352227,15,-0.02,15,-0.0826210933798493,-0.084529098375804,16915
"17",16,-0.540411768963837,16,1142.44808613645,16,52154123.0436258,16,27889.1281280788,16,7702.37493272844,16,6665.45331345304,16,-0.02,16,-0.112905266061388,-0.084529098375804,16915
"18",17,0.41097885960356,17,2032.4388421445,17,52118215.4597468,17,51811.5651773434,17,14138.8753958598,17,12214.0996800585,17,-0.02,17,-0.0830207565159598,-0.084529098375804,16915
"19",18,-0.164398449597634,18,3679.97748993186,18,52050434.5590886,18,97148.0988562621,18,26225.76712337,18,22571.5749318139,18,-0.02,18,-0.0900890105792474,-0.084529098375804,16915
"20",19,-0.21969861978967,19,7463.89840181432,19,51925336.2308753,19,180376.756313586,19,48788.1304375927,19,41878.882373586,19,-0.02,19,-0.10022403361872,-0.084529098375804,16915
"21",20,-2.08434157592508,20,12687.2093222859,20,51715413.3308098,20,314559.392831331,20,89420.284036602,20,76986.9923222527,20,-0.02,20,-0.224895408681668,-0.084529098375804,16915
"22",21,-0.43517430910524,21,22427.0638679896,21,51387659.1777212,21,515582.636338408,21,156481.868118388,21,136656.317822023,21,-0.02,21,-0.241748636159596,-0.084529098375804,16915
"23",22,0.864682334400209,22,36090.6423422024,22,50838130.2493602,22,856893.721500685,22,265602.364138812,22,235753.665000294,22,-0.02,22,-0.177591194814807,-0.084529098375804,16915
"24",23,1.2326089081606,23,60148.9868188526,23,49842684.2179468,23,1497083.76450356,23,452045.723914328,23,404566.293635364,23,-0.02,23,-0.0938651968092127,-0.084529098375804,16915
"25",24,0.332759054375013,24,115100.540147155,24,48034192.1000905,24,2673866.58845753,24,785941.624050348,24,702379.687401669,24,-0.02,24,-0.0697346965173179,-0.084529098375804,16915
"26",25,-2.64844992670907,25,184639.751198607,25,45288505.1708329,25,4334674.44588334,25,1357613.48010502,25,1215586.90317879,25,-0.02,25,-0.230693145982212,-0.084529098375804,16915
"27",26,0.0107435634276341,26,277907.528023291,26,41657328.7833554,26,6321171.58408238,26,2204485.36017606,26,2013394.27238622,26,-0.02,26,-0.21975474507698,-0.084529098375804,16915
"28",27,0.365579847336944,27,324598.795444499,27,36879763.4367184,27,8762374.27556659,27,3375641.87481272,27,3178600.41290234,27,-0.02,27,-0.187459810068091,-0.084529098375804,16915
"29",28,-1.11548558254132,28,442978.845370089,28,31427129.5725534,28,11108092.1373507,28,4881216.53530562,28,4779941.75479022,28,-0.02,28,-0.248107494447051,-0.084529098375804,16915
"30",29,1.42024427498652,29,588198.4857753,29,25749834.1307028,29,13025360.8757053,29,6611660.24079061,29,6809524.75280132,29,-0.02,29,-0.149367067812126,-0.084529098375804,16915
"31",30,0.704785563707044,30,575555.943576167,30,20138358.5129388,30,14353904.4883166,30,8462414.20369346,30,9241702.7950511,30,-0.02,30,-0.0995792306337772,-0.084529098375804,16915
"32",31,-0.856668115633104,31,638814.329520614,31,15501701.1442881,31,14470912.2825269,31,10245331.3118942,31,11978435.2612907,31,-0.02,31,-0.148546338146581,-0.084529098375804,16915
"33",32,-1.9075770763558,32,496007.21050089,32,12241435.3411348,32,13373999.4285712,32,11726212.265489,32,14854732.9648049,32,-0.02,32,-0.259956327045987,-0.084529098375804,16915
"34",33,-1.46155602563929,33,452526.919296461,33,10065842.2112442,33,11648947.5456534,33,12762105.6507093,33,17719484.5923931,33,-0.02,33,-0.338417552277058,-0.084529098375804,16915
"35",34,0.538044005979041,34,356292.205442573,34,8503548.81000083,34,9867887.14366318,34,13343293.1504048,34,20481650.8959312,34,-0.02,34,-0.289695974303868,-0.084529098375804,16915
"36",35,-0.12421436213848,35,405008.344813892,35,7323969.50810165,35,8235412.84315369,35,13537253.0442917,35,23099744.604453,35,-0.02,35,-0.284205585270149,-0.084529098375804,16915
"37",36,-1.07376576664339,36,254999.333599108,36,6469104.6982047,36,6761634.05029284,36,13416740.9201146,36,25548900.3313879,36,-0.02,36,-0.337561208852304,-0.084529098375804,16915
