"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","mu.time","mu.value","x.time","x.value","clock"
"1",0,0,0,0,0,52196379,0,1,0,0,0,0,0,0,0,-0.118282686435379,20750
"2",1,-1.05678494326246,1,0,1,52196377.8357891,1,1.74643753003855,1,0.254516328383422,1,0.163257082468564,1,-0.02,1,-0.178682910653021,20750
"3",2,0.0919839469740485,2,0,2,52196375.8436628,2,3.01676731620087,2,0.665467811029586,2,0.474102087093675,2,-0.02,2,-0.165269323859301,20750
"4",3,1.32778177033901,3,0,3,52196372.1074777,3,5.47858118237757,3,1.36702141615295,3,1.04691974484124,3,-0.02,3,-0.0762730149104009,20750
"5",4,-0.878606137978779,4,0,4,52196365.0930098,4,10.1303434741542,4,2.6528930020212,4,2.1237537400594,4,-0.02,4,-0.127730146185637,20750
"6",5,-0.982201641464803,5,1,5,52196353.0916664,5,17.8732771535319,5,4.94791276029846,5,4.08714372628462,5,-0.02,5,-0.183068535719283,20750
"7",6,0.389485296208677,6,2,6,52196332.2790377,6,31.2559666038512,6,8.91581249586433,6,7.5491832429725,6,-0.02,6,-0.151088070574343,20750
"8",7,-0.810885150826575,7,2,7,52196296.1075616,7,54.3971018452906,7,15.8471647855368,7,13.6481717698321,7,-0.02,7,-0.194718691167947,20750
"9",8,-0.477351991139053,8,6,8,52196236.0236807,8,92.1689129969546,8,27.6467088244896,8,24.1606974365962,8,-0.02,8,-0.215645614222732,20750
"10",9,-0.755745747648135,9,4,9,52196138.244495,9,152.57723824289,9,47.2799540796408,9,41.8983126619838,9,-0.02,9,-0.252726152329162,20750
"11",10,0.849575902759542,10,17,10,52195973.3695669,10,255.612347867493,10,79.6003933982426,10,71.4176918370974,10,-0.02,10,-0.188965253617617,20750
"12",11,1.33914385529819,11,19,11,52195664.3658852,11,457.466876768182,11,135.907202593161,11,122.260035448563,11,-0.02,11,-0.098112348551281,20750
"13",12,1.30151459244444,12,27,12,52195034.9526405,12,886.539791638186,12,242.742704166266,12,215.764863732658,12,-0.02,12,-0.0140117576062945,20750
"14",13,-0.944608119518894,13,64,13,52193791.2934337,13,1735.29234234079,13,456.191906744735,13,397.222317192056,13,-0.02,13,-0.0725770973946294,20750
"15",14,1.1689861185664,14,147,14,52191335.4099982,14,3423.30094930313,14,873.067658709775,14,748.221393796269,14,-0.02,14,0.00210238492282511,20750
"16",15,0.613894936711124,15,269,15,52186056.1344338,15,7135.95170894006,15,1730.61249449629,15,1457.30136273487,15,-0.02,15,0.0388958871834109,20750
"17",16,1.72542248329417,16,641,16,52173770.682421,16,16035.3959126748,16,3603.19308709697,16,2970.72857923601,16,-0.02,16,0.14246557290142,20750
"18",17,0.851685453744103,17,1588,17,52142650.1974858,17,39139.1660652185,17,8096.3766591045,17,6494.2597898138,17,-0.02,17,0.187082883848428,20750
"19",18,-0.260337835171523,18,3876,18,52065695.3851648,18,96299.7832204295,18,19281.6731772074,18,15103.1584375532,18,-0.02,18,0.160922976953346,20750
"20",19,0.899471960434825,19,9471,19,51874155.9541726,19,239211.377606448,19,46832.1411185218,19,36180.5271024367,19,-0.02,19,0.207588080345615,20750
"21",20,0.68251170212408,20,24734,20,51371333.1702331,20,618196.409827319,20,117278.167248258,20,89572.2526913271,20,-0.02,20,0.238592926023809,20750
"22",21,-1.13100899866181,21,60782,21,50157876.9376935,21,1517083.3712939,21,296313.679666204,21,225106.011346443,21,-0.02,21,0.156208757840649,20750
"23",22,2.25241360954884,22,146132,22,47257136.5307513,22,3665768.48082715,22,722495.181499138,22,550979.80692245,22,-0.02,22,0.286567341968945,20750
"24",23,0.414570850209704,23,341488,23,40549811.7024136,23,8554963.28817248,23,1751738.25531698,23,1339866.75409689,23,-0.02,23,0.297190934428325,20750
"25",24,1.12990712030643,24,648116,24,29076766.5655841,24,16218559.3648594,24,3876517.31115982,24,3024536.7583967,24,-0.02,24,0.351425816860338,20750
"26",25,0.59725182703564,25,900062,25,16651890.7050654,25,22503670.1452539,25,7170559.18273014,25,5870259.96695054,25,-0.02,25,0.370155893936626,20750
"27",26,-0.0337138263623714,26,934553,26,8552164.0273228,26,23333618.4882926,26,10767061.496544,26,9543535.98784053,26,-0.02,26,0.349047946115183,20750
"28",27,-0.993056643130588,27,814611,27,4657282.45616462,27,20372016.8168895,27,13699843.0638715,27,13467237.6630744,27,-0.02,27,0.269787165322342,20750
"29",28,-1.83323340691011,28,655904,28,2915033.01133677,28,16391653.1957792,28,15612495.4085265,28,17277198.3843576,28,-0.02,28,0.14256110477391,20750
"30",29,0.295406892578937,29,509660,29,2037363.49218797,29,12752205.201448,29,16579448.5853417,29,20827362.7210223,29,-0.02,29,0.152856687260025,20750
