"","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0.0380818621945862,0,52196379,0,1,0,0,0,0,0,-0.02,11825
"2",1,0.0944748715927099,1,52196377.5893169,1,1.96673110372002,1,0.270790106000926,1,0.173161919610225,1,-0.02,11825
"3",2,0.170366800404333,2,52196374.773911,2,3.90396873515789,2,0.775903674032946,2,0.546216612055942,2,-0.02,11825
"4",3,0.314117293001731,3,52196369.1492517,3,7.78102915782089,3,1.75438415023903,3,1.31533500408833,3,-0.02,11825
"5",4,0.532472271959858,4,52196357.9072442,4,15.536019298611,4,3.68351742210538,4,2.87321912929914,4,-0.02,11825
"6",5,1.24595894478308,5,52196335.4335322,5,31.0440089677902,5,7.51701287422201,5,6.00544594027295,5,-0.02,11825
"7",6,2.27333634381219,6,52196290.5029994,6,62.0527572194635,6,15.161203419393,6,12.2830399692928,6,-0.02,11825
"8",7,5.03017439761868,7,52196200.6726024,7,124.052891804138,7,30.4271300381134,7,24.847375690287,7,-0.02,11825
"9",8,9.96532843543834,8,52196021.0708751,8,248.015577468203,8,60.9340725172436,8,49.9794748655132,8,-0.02,11825
"10",9,20.6222411710374,9,52195661.985306,9,495.861898303912,9,121.91526866049,9,100.237527065806,9,-0.02,11825
"11",10,36.8173532372049,10,52194944.0566344,10,991.387424203167,10,243.826374050477,10,200.729567332285,10,-0.02,11825
"12",11,86.9400128936484,11,52193508.717723,11,1982.07379285085,11,487.555220119544,11,401.653264021618,11,-0.02,11825
"13",12,151.115534899714,12,52190639.2166364,12,3962.60018053193,12,974.82216862593,12,803.361014376346,12,-0.02,11825
"14",13,396.518903339803,13,52184903.1323806,13,7921.49666294635,13,1948.9231372496,13,1606.44781911568,13,-0.02,11825
"15",14,748.739431260063,14,52173439.0598821,14,15833.1281254021,14,3896.02293572252,14,3211.78905674262,14,-0.02,11825
"16",15,1317.05343225802,15,52150536.1352515,15,31636.6896833219,15,7787.04785040425,15,6420.12721470642,15,-0.02,11825
