"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,0.0438344596885256,0,52196379,0,1,0,0,0,0,0,-0.0249141343217689,17032
"2",1,0.87080647884546,1,0.0788868976522891,1,52196377.5935883,1,1.96312285740698,1,0.270380895531751,1,0.172907924348193,1,-0.0190317171860541,17032
"3",2,-1.54509783057802,2,0.155566486100513,2,52196374.798673,2,3.88260384594216,2,0.773852465126499,2,0.544870648299013,2,-0.0280640527145314,17032
"4",3,-0.878606137978779,3,0.308633101966369,3,52196369.288647,3,7.66345185315334,3,1.74122373048324,3,1.30667741201072,3,-0.0316386462271307,17032
"5",4,0.0449618032565681,4,0.617777236446362,4,52196358.3911619,4,15.14657168196,4,3.62731131604177,4,2.83495509753208,4,-0.0292711992938534,17032
"6",5,-0.742602863645314,5,1.2547414755629,5,52196336.8285623,5,29.9553444429806,5,7.3374599322616,5,5.87863334924283,5,-0.0318473769232925,17032
"7",6,-0.477351991139053,6,2.64782486433855,6,52196294.2633212,6,59.1740009052532,6,14.650061852595,6,11.9126160278608,6,-0.032436103193337,17032
"8",7,1.67407118249979,7,4.79844432521315,7,52196209.4238617,7,117.588346814448,7,29.1155591849928,7,23.8722322424682,7,-0.0205857146576736,17032
"9",8,0.448129957104551,8,8.747825162171,8,52196038.9416331,8,235.314301405061,8,58.0122849067127,8,47.7317806147828,8,-0.0179107706797361,17032
"10",9,0.795636349108118,9,18.6886374523506,9,52195696.0078751,9,472.490023774635,9,115.98239766634,9,95.5197034459725,9,-0.0137287313564191,17032
"11",10,-2.02069545734328,10,38.9737487035556,10,52195012.0447752,10,944.348082131415,10,232.280287186497,10,191.326855526876,10,-0.0264485525093966,17032
"12",11,1.1689861185664,11,76.972246421344,11,52193650.0672174,11,1883.59929860555,11,463.931113580368,11,382.402370396311,11,-0.0185787674688004,17032
"13",12,0.613894936711124,12,165.288484552012,12,52190910.1404765,12,3777.48149273858,12,927.692446175471,12,764.685584580092,12,-0.0153174204854305,17032
"14",13,1.42142559890209,13,284.28033387726,13,52185371.3263587,13,7615.22877210088,13,1860.76635053152,13,1532.67851865415,13,-0.00801832122711868,17032
"15",14,0.851685453744103,14,614.185343973275,14,52174122.7001418,14,15424.2681477396,14,3749.2534498733,14,3083.77826059633,14,-0.00530818368237298,17032
"16",15,-0.485165406641587,15,1245.63405018071,15,52151401.5044492,15,31181.3176660199,15,7574.85320654157,15,6222.32467822893,15,-0.0107524103680949,17032
"17",16,0.940758958261954,16,2605.43289450641,16,52105574.5891639,16,62950.5236822391,16,15296.2914183751,16,12558.5957355044,16,-0.00703608181424328,17032
"18",17,0.624819656617243,17,5013.61537273144,17,52012882.4592428,17,127235.699898672,17,30900.6736991044,17,25361.1671594845,17,-0.00580443418642006,17032
"19",18,2.25241360954884,18,10797.5331547027,18,51824592.4660699,18,258036.682170098,18,62487.7740940902,18,51263.0776659672,18,0.0045336561322904,17032
"20",19,-1.13465640758892,19,22016.1390621709,19,51446014.8595393,19,520170.29429832,19,126474.268899558,19,103720.57726279,19,-0.00641759853043369,17032
"21",20,0.826078040129842,20,45126.9699655744,20,50699937.365247,20,1033510.09662927,20,254165.909599627,20,208766.628524166,20,-0.00414440806944493,17032
"22",21,2.27619879490242,21,80849.2642727265,21,49249743.3750669,21,2024641.65272459,21,505459.708782366,21,416535.263426119,21,0.00602911381458725,17032
"23",22,0.459707060356891,22,146414.402534562,22,46561446.1015466,22,3828340.80496395,22,987727.322840694,22,818865.770648807,22,0.00394599753055764,17032
"24",23,-1.83323340691011,23,251222.25107214,23,42073136.0196231,23,6706440.03307193,23,1857187.13515504,23,1559616.81215,23,-0.0109031194722965,17032
"25",24,0.783008331342074,24,419040.893407642,24,35594983.0995848,24,10521988.234244,24,3267829.45771148,24,2811579.20845969,24,-0.00806373098954309,17032
"26",25,1.37641268756406,25,584917.101493946,25,27815207.747522,25,14407925.0861183,25,5265252.93305136,25,4707994.23330835,25,-0.00233751832474609,17032
"27",26,-0.516159805368487,26,687383.689011383,26,20314119.6093284,26,16977458.3341341,26,7663352.27962714,26,7241449.77691039,26,-0.00849789846188135,17032
"28",27,0.771242034559387,27,752906.314996905,27,14340553.9173158,27,17531940.7748994,27,10082253.8429422,27,10241631.4648426,27,-0.00616194692906812,17032
"29",28,0.464448827929576,28,664572.365059498,28,10139993.7783589,28,16417404.91977,28,12161886.0653155,28,13477095.2365557,28,-0.00600803055031725,17032
"30",29,2.02018276379838,29,563692.845409374,29,7360131.21982043,29,14390699.7026797,29,13696881.9175697,29,16748667.1599302,29,0.00303577063653825,17032
"31",30,-0.582368110391682,30,484342.567259523,30,5559100.05937939,30,12073224.4838168,30,14641140.8285193,30,19922914.6282846,30,-0.00447813556573286,17032
"32",31,2.48462306895782,31,372419.520539541,31,4399112.27396024,31,9830853.77867149,31,15045042.036029,31,22921371.9113393,31,-0.0293030329587447,17032
"33",32,-0.938519609963308,32,307738.616171759,32,3644546.01213607,32,7843809.94062366,32,15003506.0769226,32,25704517.9703177,32,-0.0692501190101371,17032
"34",33,-0.698845189789146,33,267502.071261088,33,3140033.62263996,33,6175938.13892458,33,14622399.5673921,33,28258008.6710434,33,-0.100582205103599,17032
"35",34,-0.699083320958525,34,193095.354063862,34,2790134.33984835,34,4822701.55979629,34,14000627.8888948,34,30582916.2114606,34,-0.126236144736527,17032
"36",35,-1.13038112722941,35,145272.614697993,35,2540101.3712095,35,3746370.96961384,35,13221320.3570228,35,32688587.3021539,35,-0.149712127589479,17032
"37",36,0.667917560334221,36,106597.518871046,36,2355849.1656883,36,2901898.37166182,36,12350122.2128154,36,34588510.2498345,36,-0.158624445116523,17032
"38",37,-0.0227337636549199,37,89343.5252982599,37,2216558.30122493,37,2244903.14598451,37,11436826.2336934,37,36298092.3190972,37,-0.169880197286425,17032
"39",38,-0.55958527512358,38,69864.8303739331,38,2109640.92729299,38,1735973.59388802,38,10517614.7818282,38,37833150.6969908,38,-0.182172981906268,17032
"40",39,1.97252669459141,39,55681.1101686018,39,2025681.63718356,39,1343571.62096236,39,9617907.46841845,39,39209219.2734357,39,-0.17772289189321,17032
"41",40,0.987694730905535,40,41578.7269404317,40,1958519.80158492,40,1041741.02519905,40,8754910.72400447,40,40441208.4492116,40,-0.179724719919112,17032
"42",41,-0.676624287477041,41,30909.8620080221,41,1904572.92040576,41,809318.853670548,41,7939431.27552195,41,41543056.9504018,41,-0.190903896988813,17032
"43",42,1.04166145789683,42,25907.252549998,42,1860713.50969164,42,630438.983330946,42,7177580.92719002,42,42527646.5797874,42,-0.190207079370942,17032
"44",43,-0.240020956932197,43,20407.5045839036,43,1824627.13395986,43,492739.914086658,43,6472172.24181109,43,43406840.7101424,43,-0.196983438256063,17032
"45",44,0.127103444700247,44,15670.4005757011,44,1794736.89468379,44,386565.923496467,44,5823619.18940911,44,44191457.9924107,44,-0.20042702650686,17032
"46",45,-0.389424611084783,45,11704.6459337475,45,1769770.55010537,45,304570.081944734,45,5230710.04570425,45,44891329.3222457,45,-0.206207246053403,17032
"47",46,-1.2799826529117,46,9894.53912218179,46,1748836.42583854,46,241048.65317385,46,4691146.93029137,46,45515347.9906963,46,-0.216044556241995,17032
"48",47,0.65012776493069,47,7192.34159317964,47,1731093.66187502,47,191787.690327699,47,4201960.86904958,47,46071537.7787477,47,-0.213034887238613,17032
"49",48,0.79942106629206,48,5980.12897470999,48,1715869.90675211,48,153543.099269799,48,3759830.30529237,48,46567136.6886857,48,-0.209714995855311,17032
"50",49,0.440189336652741,49,5092.42730136487,49,1702756.07499801,49,123718.073970785,49,3361258.29233272,49,47008647.5586985,49,-0.209056084985217,17032
"51",50,1.14192144693321,50,4058.21919959902,50,1691401.31228992,50,100363.259429816,50,3002716.42062167,50,47401899.0076586,50,-0.204494141805843,17032
"52",51,0.487131686246042,51,3340.81348386961,51,1681534.06270507,51,81978.7181688163,51,2680755.21789137,51,47752112.0012348,51,-0.204512522712311,17032
"53",52,0.554008938028842,52,2805.98453763289,52,1672947.56556362,52,67413.5456416622,52,2392064.6402023,52,48063954.2485924,52,-0.204144217665772,17032
"54",53,-1.14541737035088,53,2237.35547261906,53,1665488.88795451,53,55775.5723800434,53,2133519.51710419,53,48341596.0225613,53,-0.213584133629569,17032
"55",54,0.3863425265688,54,1830.91951596258,54,1658990.75036284,54,46428.6358605373,54,1902201.61713835,54,48588758.9966383,54,-0.212532531965153,17032
"56",55,1.67446239898246,55,1693.07456569997,55,1653265.99200845,55,38919.5560037235,55,1695423.7504877,55,48808770.7015001,55,-0.204287785826099,17032
"57",56,-1.32628689566541,56,1327.35086824347,56,1648241.87029255,56,32816.0064608636,56,1510720.23227688,56,49004601.8909697,56,-0.214738458538931,17032
"58",57,-1.29778508140933,57,1131.18204376825,57,1643861.80339312,57,27793.1583083278,57,1345829.06126962,57,49178895.977029,57,-0.223131378184742,17032
"59",58,0.424156332245762,58,853.049619326136,58,1640012.00467761,58,23660.2256415018,58,1198697.34771359,58,49334010.4219673,58,-0.220132408028942,17032
"60",59,-0.00627788345301513,59,803.868442357814,59,1636609.83740236,59,20248.6854160306,59,1067471.68287464,59,49472049.794307,59,-0.220144392772542,17032
"61",60,-1.02639475579141,60,689.302089612712,60,1633613.23357841,60,17401.526761733,60,950476.397271447,60,49594888.8423884,60,-0.22600172351579,17032
"62",61,-2.1968025099747,61,622.15780246974,61,1630986.73190468,61,14998.3095689101,61,846198.934698334,61,49704196.0238281,61,-0.237506322852082,17032
"63",62,-1.73528379976404,62,494.168326197919,62,1628684.0470725,62,12960.5853275385,62,753278.72080309,62,49801456.6467969,62,-0.24427998434981,17032
"64",63,-0.766942563539078,63,435.883083645005,63,1626652.28879755,63,11235.9594604798,63,670497.073447102,63,49887994.6782949,63,-0.244275066362331,17032
"65",64,1.56834663761321,64,403.947135983999,64,1624840.03598143,64,9784.96382666675,64,596764.216999728,64,49964990.7831922,64,-0.230884684749969,17032
"66",65,1.20334351588144,65,331.229020443726,65,1623215.29097397,65,8561.08048480745,65,531105.916036479,65,50033497.7125047,65,-0.222013826289126,17032
"67",66,-0.514529760020966,66,301.449074206825,66,1621769.39443043,66,7510.80594938828,66,472648.016679576,66,50094451.7829406,66,-0.224598173350953,17032
"68",67,-0.940775167046567,67,293.041233731271,67,1620490.73503758,67,6598.02147933207,67,420606.355631762,67,50148684.8878513,67,-0.22915738623046,17032
"69",68,-0.320101795496467,68,243.156526231401,68,1619358.27506066,68,5804.1618174384,68,374280.420784765,68,50196937.1423371,68,-0.229332332057604,17032
"70",69,0.750285175141582,69,209.744661366775,69,1618349.67676149,69,5116.58217949969,69,333046.008362459,69,50239867.7326966,69,-0.223339888833191,17032
"71",70,-1.40556607984078,70,192.893207375124,70,1617454.49668566,70,4515.38557838093,70,296346.569154388,70,50278063.5485816,70,-0.230791465236023,17032
"72",71,-0.499622164365978,71,168.804685310197,71,1616662.52067957,71,3986.64269612946,71,263684.650736447,71,50312046.1858879,71,-0.23169925192375,17032
"73",72,0.36880925079263,72,127.750645362497,72,1615957.62894244,72,3524.74357617985,72,234617.523076953,72,50342280.1044044,72,-0.227464459330929,17032
"74",73,-0.0547810536038291,73,130.893347855858,73,1615329.52468311,73,3120.50227708229,73,208751.07765466,73,50369178.8953851,73,-0.226425406272309,17032
"75",74,-0.306669926887261,74,116.23536839995,74,1614771.09375411,74,2764.62684131176,74,185733.84111842,74,50393110.4382862,74,-0.227018579027001,17032
"76",75,-0.169568919931818,75,108.111452697694,75,1614274.72736503,75,2450.73706048951,75,165252.566779222,75,50414401.9687952,75,-0.226718337413093,17032
"77",76,-0.951320315409372,76,94.0014525631705,76,1613834.30890441,76,2172.79130013458,76,147028.26885507,76,50433344.6309404,76,-0.23095367887295,17032
"78",77,-0.978778541963618,77,70.1322017652068,77,1613444.28057491,77,1925.99586336722,77,130812.369990129,77,50450197.3535716,77,-0.234578683692855,17032
"79",78,1.05881201666997,78,73.877890931562,78,1613096.58648724,78,1709.01478307157,78,116383.785289251,78,50465190.6134404,78,-0.225866704718492,17032
"80",79,-0.109114808435234,79,62.9469446710431,79,1612785.98512947,79,1518.20309281484,79,103546.082786175,79,50478529.7289915,79,-0.225428725984609,17032
"81",80,-0.274646782534406,80,51.548232103771,80,1612509.76802436,80,1348.94169361276,80,92124.0634192923,80,50490397.2268627,80,-0.226019001991164,17032
"82",81,-1.66241077366664,81,50.2349810557227,81,1612265.22742505,81,1197.75224644774,81,81961.6209213179,81,50500955.3994072,81,-0.234457226611779,17032
