"","x"
"1",0.375497125948056
"2",0.325660538336097
"3",0.289901143009781
"4",0.425750824268852
"5",0.389769912815379
"6",0.383256286524593
"7",0.400415326889051
"8",0.461430705812381
"9",0.416000715949428
"10",0.404236545506638
"11",0.391399882666187
"12",0.347971745981372
"13",0.353678240551952
"14",0.347312280945147
"15",0.285466665104524
"16",0.349293687435604
"17",0.290653653157847
"18",0.223887645584056
"19",0.149547230623847
"20",0.173151961235357
"21",0.186442324855492
"22",0.26236351904685
"23",0.148851270711637
"24",0.242434734492015
"25",0.204333554918555
"26",0.220860779866282
"27",0.135991108571617
"28",0.201420859018134
"29",0.186250804213706
"30",0.227967880511094
"31",0.223402860952393
"32",0.179953933854058
"33",0.248707284937525
"34",0.266039523980666
"35",0.163283432009022
"36",0.20375169354834
"37",0.134763212636226
"38",0.146855460794878
"39",-0.0237667296614316
"40",-0.123798555969525
"41",-0.211449988203522
"42",-0.250352792948376
"43",-0.266372072475364
"44",-0.217081546139862
"45",-0.281009582518507
"46",-0.204342695957705
"47",-0.172518912929069
"48",-0.157806778259948
"49",-0.222290240214913
"50",-0.213352460262349
"51",-0.216846268073959
"52",-0.276356571141137
"53",-0.249290306148277
"54",-0.223083616146871
"55",-0.128455462987711
"56",-0.126791459248353
"57",-0.151045785123369
"58",-0.142113055007375
"59",-0.196242277576959
"60",-0.194766205213419
"61",-0.287192826314602
"62",-0.277012275076279
"63",-0.352309964168731
"64",-0.274290578938461
"65",-0.184550281424108
"66",-0.0593302655221414
"67",-0.0671079727715471
"68",-0.0641181442506684
"69",-0.0587001812157718
"70",-0.0508006954794862
"71",-0.094989753848667
"72",-0.00893060037313222
"73",-0.00983274189008382
"74",-0.00234819106660375
"75",-0.0175498116768956
"76",-0.012568250251031
"77",-0.0442806579773325
"78",-0.077721960708128
"79",-0.160838237322206
"80",-0.131110861060049
"81",-0.126482464512454
"82",-0.155476744421565
"83",-0.181727950256106
"84",-0.185436108109577
"85",-0.32208450993281
"86",-0.388172014463051
"87",-0.335169552753664
"88",-0.311020827522853
"89",-0.306368250233597
"90",-0.312264308518831
"91",-0.241732508506976
"92",-0.224245458487153
"93",-0.167394823911877
"94",-0.133843651229724
"95",-0.143634088449812
"96",-0.0993734451268021
"97",-0.249469260982766
"98",-0.268623130213495
"99",-0.304047860883381
"100",-0.303144021172351
"101",-0.315060653958022
"102",-0.216688594493231
"103",-0.288218117713703
"104",-0.24850829845315
"105",-0.321724828709362
"106",-0.39521020843478
"107",-0.407035918208112
"108",-0.357464248792447
"109",-0.290029926440019
"110",-0.301588153568062
"111",-0.150232054638216
"112",-0.138380656589356
"113",-0.160576769363131
"114",-0.160692570040954
"115",-0.180732472460376
"116",-0.248000613725063
"117",-0.325554949682444
"118",-0.322649757584915
"119",-0.266256267486864
"120",-0.280495370203004
