"","time","t","S","E","I","R"
"1",1,1,52196380,1,0,0
"2",2,2,52196378.6759057,1.88963850847166,0.264874369887447,0.169581448211021
"3",3,3,52196376.267358,3.48739502677196,0.729166465946384,0.516080505293846
"4",4,4,52196371.5442351,6.68236299438616,1.5786277318399,1.19477418251163
"5",5,5,52196363.2697451,12.1164000088659,3.13141536650193,2.48243950515405
"6",6,6,52196349.4935474,20.8831550953415,5.82918832693329,4.79410914778256
"7",7,7,52196325.0776119,36.586848193345,10.4786455770785,8.85689434504514
"8",8,8,52196281.1444002,65.1228046730439,18.677196492136,16.0555985791752
"9",9,9,52196194.4752181,123.420129787143,33.8661895366357,29.2384626087565
"10",10,10,52196040.539618,224.76021732484,62.0964423866975,53.6037222489822
"11",11,11,52195747.9799358,420.146538754283,114.322124613144,98.551400751748
"12",12,12,52195198.8051812,787.416318050364,212.306322489893,182.472178201694
"13",13,13,52194352.6841976,1313.69637166286,383.093417565407,331.526013127522
"14",14,14,52192977.6676842,2159.35827652905,662.127303856928,581.846735429189
"15",15,15,52190919.1507262,3371.56729484992,1102.36695779598,987.915021087771
"16",16,16,52187468.430386,5472.7918815951,1799.41565078956,1640.36208153815
"17",17,17,52182200.2487681,8589.86523447148,2905.31607695634,2685.56992043159
"18",18,18,52173116.4926121,14200.9876379534,4691.65276665001,4371.86698323673
"19",19,19,52157669.0533748,23857.1342825957,7688.60609064813,7166.20625187578
"20",20,20,52130381.1065955,41260.5046566119,12841.5532228456,11897.8355249558
"21",21,21,52081921.5353229,72478.6465225569,21895.6197392722,20085.1984151539
"22",22,22,51988987.5722348,134230.417921422,38430.3515447492,34732.6582989698
"23",23,23,51790386.9524915,272097.548253107,71143.5329184423,62752.9663369472
"24",24,24,51463025.8205888,484838.277965088,132950.751810708,115566.14963536
"25",25,25,50860571.6053317,880776.296339512,243796.559385237,211236.538943523
"26",26,26,49899471.2893341,1481977.49698086,435438.255331207,379493.958353738
"27",27,27,48108512.1352852,2646442.931187,768012.191162743,673413.74236499
"28",28,28,44958445.2922939,4681095.95387288,1360881.47996114,1195958.27387204
"29",29,29,40632460.9550617,7178843.72352269,2319548.25817688,2065528.06323867
"30",30,30,34154429.4648094,10861341.616984,3758248.60437942,3422361.31382712
"31",31,31,26352371.852056,14670077.2679257,5760418.65352596,5413513.2264923
"32",32,32,18698334.1120949,17296387.1694579,8160950.11338882,8040709.60505846
"33",33,33,12896858.3550404,17613717.5543137,10562562.5683565,11123242.5222895
"34",34,34,9334232.74789754,15934029.1354413,12542735.1101308,14385384.0065305
"35",35,35,6880672.09464266,13758942.0972645,13926615.6875323,17630151.1205607
"36",36,36,5200415.92409209,11508092.8742418,14731505.299042,20756366.9026243
"37",37,37,4022047.14215491,9432718.07879999,15035476.7790142,23706139.000031
"38",38,38,3167767.43530884,7636951.00237854,14939912.3803977,26451750.181915
"39",39,39,2626659.27612066,6055514.23312455,14535963.7419764,28978243.7487785
"40",40,40,2250842.11757583,4756494.11742421,13906920.1394772,31282124.6255229
"41",41,41,1969875.06738652,3724153.19093655,13130375.1237945,33371977.6178826
"42",42,42,1763412.18629859,2904455.24086675,12267946.4946844,35260567.0781504
"43",43,43,1595248.95616282,2271325.10879604,11367013.4449088,36962793.4901325
"44",44,44,1471455.66925735,1769693.81317715,10461510.776993,38493720.7405726
"45",45,45,1372215.07605024,1381265.20105004,9575001.62749182,39867899.095408
"46",46,46,1297907.45608747,1075432.97186707,8723603.30839445,41099437.2636512
"47",47,47,1239660.87262697,837663.789964008,7917495.14087259,42201561.1965365
"48",48,48,1189450.18689984,656614.838268291,7163280.94529544,43187035.0295365
"49",49,49,1146551.64008421,517733.258114571,6464329.41754438,44067766.6842569
"50",50,50,1111603.6411929,409193.349581547,5821155.68099681,44854428.3282289
"51",51,51,1082711.7822809,324500.581405109,5232532.17155259,45556636.4647615
"52",52,52,1060961.95972987,256346.530080477,4696055.67774485,46183016.8324449
"53",53,53,1044236.40205335,202118.899488319,4208698.93940068,46741326.7590578
"54",54,54,1027644.89206305,162278.374221804,3767600.52743936,47238857.2062759
"55",55,55,1013867.48790761,130683.209224363,3369622.60000261,47682207.7028655
"56",56,56,1003236.05702544,104843.430446104,3011198.87995365,48077102.6325749
"57",57,57,994648.447205413,84163.6695201604,2688891.31925047,48428677.564024
"58",58,58,987654.049364542,67649.4388840607,2399494.54358718,48741582.9681643
"59",59,59,981329.595816445,54977.626285732,2140047.62275666,49020026.1551412
"60",60,60,974800.651456481,45869.882290561,1907867.37954648,49267843.0867065
"61",61,61,969329.923938226,38291.0834289304,1700337.80494431,49488422.1876886
"62",62,62,964403.392087168,32272.8338021794,1514968.60687313,49684736.1672376
"63",63,63,960184.519752929,27257.6776921246,1349495.35617129,49859443.4463837
"64",64,64,956467.670838084,23153.5850956834,1201851.78977904,50014907.9542873
"65",65,65,953414.205159627,19578.5616811784,1070157.37414836,50153230.8590109
"66",66,66,950540.341484428,16805.7038117689,952739.515371549,50276295.4393323
"67",67,67,947889.13016126,14583.6060457098,848112.053332079,50385796.210461
"68",68,68,945405.435426496,12812.23800669,754924.937419252,50483238.3891476
"69",69,69,943393.347649578,11110.3675681371,671931.687830778,50569945.5969516
"70",70,70,941679.742013917,9607.82382706084,598008.254594356,50647085.1795648
"71",71,71,940195.357440474,8310.65598991898,532168.760691237,50715706.2258785
"72",72,72,938934.254808956,7169.03454418807,473534.436677419,50776743.2739696
"73",73,73,937803.552287152,6220.95758607775,421324.600002855,50831031.890124
"74",74,74,936738.436924179,5470.22444382854,374851.278431582,50879321.0602006
"75",75,75,935846.004888375,4772.22798617569,333488.292417601,50922274.474708
"76",76,76,935073.084471502,4158.47094294212,296672.532735753,50960476.9118499
"77",77,77,934359.604564405,3657.90275156298,263909.215398352,50994454.2772858
"78",78,78,933699.908329552,3245.12595081604,234760.227175234,51024675.7385445
"79",79,79,933121.035451972,2873.44387879987,208828.159524982,51051558.3611444
"80",80,80,932609.39398563,2543.54329434899,185758.384083796,51075469.6786364
"81",81,81,932204.294670729,2210.53878572136,165230.566226752,51096735.6003169
"82",82,82,931855.941934594,1917.9537609956,146961.822041944,51115645.2822626
"83",83,83,931509.98177645,1701.56518919974,130708.353174789,51132461.0998597
"84",84,84,931208.851255558,1504.62153735544,116251.208102868,51147416.3191044
"85",85,85,930941.830517332,1331.10971939436,103391.613386075,51160716.4463773
