"","x"
"1",0.0362449650097235
"2",0.0755892804418547
"3",0.18842207893231
"4",0.352911122383551
"5",0.745622204408421
"6",1.79791084753146
"7",3.67350821237506
"8",7.65318136865547
"9",12.9995038176382
"10",27.5623336587396
"11",53.8492031847622
"12",87.8681845889765
"13",219.557106146111
"14",418.819572515439
"15",917.541586986713
"16",1480.5177443711
"17",3027.20758912954
"18",4867.47344868827
"19",8753.7776731563
"20",15091.5153520371
"21",30262.0129459748
"22",54369.1340548865
"23",59385.4021531447
"24",122961.473211293
"25",160652.566517584
"26",283161.386683215
"27",341354.911991971
"28",336343.172143718
"29",528691.884207335
"30",495353.686159032
"31",506815.597374853
"32",475607.55155244
"33",396503.680381542
"34",465033.711832307
"35",423597.430424995
"36",381796.572075292
"37",336374.341190692
"38",219345.626361815
"39",196257.084619979
"40",171375.960727744
"41",130081.637425624
"42",118799.031126946
"43",78499.4283294293
"44",70130.3602887465
"45",49309.8552421543
"46",41792.3776374235
"47",38593.4624460567
"48",30626.4737437125
"49",23072.8025758487
"50",19386.4483192751
"51",13709.7553638773
"52",11628.3871474459
"53",14303.5600676292
"54",8963.21748133286
"55",6681.40720914186
"56",6057.2634040573
"57",5133.08369512346
"58",5128.52272717341
"59",5395.14532475906
"60",3302.12196630686
"61",3170.52494550893
"62",2468.60555481608
"63",2179.76707346083
"64",1666.33094557672
"65",1767.21160173104
"66",1462.7209668879
"67",1270.31087094891
"68",845.534287337743
"69",779.840517488548
"70",680.45213598936
"71",568.871982128949
"72",533.620718107035
"73",499.233392114409
"74",364.694488293464
"75",344.133285408893
"76",341.847486121096
"77",304.866059159765
"78",244.473414941521
"79",215.928981879107
"80",160.555945975385
"81",164.206730854534
"82",185.872050713547
"83",136.707558376435
"84",128.559244741979
"85",122.792835594732
"86",115.371119299133
"87",120.969279832985
"88",100.498285496999
"89",61.9208678360693
"90",66.6759560180879
"91",56.6427938074793
"92",54.9333963773849
"93",46.4020011700643
"94",46.141014266378
"95",45.1785616611941
"96",30.4153462638518
"97",31.6809858534794
"98",28.5151831059256
"99",31.0009414289245
"100",22.5108753207705
"101",22.1753170410388
"102",26.854282517201
"103",21.1278217400428
"104",21.0620631103219
"105",17.0541247320078
"106",16.5342154376968
"107",14.4103333730961
"108",13.9064499467576
"109",8.53353768532315
"110",8.99691796322483
"111",9.03818781436104
"112",5.89942789014895
"113",5.74731382790303
"114",5.77170450610637
"115",5.02271436032521
"116",4.31050478593447
"117",3.76037406453025
"118",2.90633367878236
"119",2.85195460940618
"120",2.37562992350942
"121",1.99460550862371
"122",1.98332803678777
"123",1.79482698097614
"124",1.83270144307122
"125",1.57550520544518
"126",1.37066120089862
"127",1.14704695434101
"128",1.0905901577478
"129",1.0794754189848
"130",0.890331730828857
"131",0.760439105923056
"132",0.618195712811383
"133",0.563599531169955
"134",0.561911617876824
