S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
52196380,52196380,1,1,0,0,0,0
52196378.51,52196378.55,2.037805987,2.005194093,0.27362896,0.273783772,0.17485095,0.174989229
52196375.06,52196375.59,4.518344283,4.05437326,0.834692123,0.794796368,0.582973073,0.558595883
52196367.65,52196369.59,9.805381911,8.22312562,2.038643908,1.82327971,1.504938159,1.362856089
52196352.16,52196357.4,20.76469696,16.69255406,4.575853563,3.886773377,3.501077871,3.018764568
52196319.29,52196332.66,43.97933823,33.88238187,9.952071415,8.054623935,7.77720906,6.401154142
52196254.65,52196282.48,88.68853531,68.74259589,20.98848914,16.49357303,16.66813706,13.2839936
52196133.23,52196180.76,171.3037033,139.3854934,42.28418719,33.5915585,34.17951737,27.26161366
52195884.71,52195974.72,342.556122,282.443098,84.65709312,68.22953639,69.07571533,55.61154675
52195421.26,52195557.61,656.8855399,571.9600427,166.0246848,138.3714901,136.8250161,113.059252
52194447.76,52194713.77,1333.489663,1157.516996,328.4442957,280.3329039,271.3047623,229.382138
52192451.94,52193007.65,2725.990368,2341.109893,659.5051893,567.4853709,543.5599761,464.7592786
52188217.33,52189560.22,5705.138892,4732.060767,1351.383339,1147.97936,1107.147607,940.7370553
52179807.33,52182598.78,11514.11395,9558.807989,2786.1832,2320.759123,2273.377377,1902.648973
52165339.24,52168551.85,21076.06955,19295.29255,5461.985253,4688.556417,4503.707155,3845.30397
52138514.74,52140234.94,38800.42464,38915.21099,10393.35894,9465.212034,8672.473103,7765.636149
52094641.62,52083233.48,66668.50631,78387.68684,18969.27391,19090.80879,16101.59578,15669.02071
52018605.59,51968766.89,115161.4647,157581.3872,33605.69309,38454.58384,29008.25332,31578.13968
51883678.55,51739907.88,202064.4082,315658.6865,59070.86353,77293.68321,51567.17552,63520.74567
51640647.88,51286126.39,360477.3871,628124.1111,103959.9788,154771.7521,91295.75299,127358.742
51181448.49,50400653.01,663744.1822,1234165.319,187290.8204,307733.1026,163897.5043,253829.5638
50465199.9,48724829.79,1108574.894,2367480.891,331446.4552,603803.0171,291159.7514,500267.3003
49381044.42,45727561.68,1756346.575,4346684.53,559601.7585,1156157.598,499388.2421,965977.1945
47596065.54,40866701.23,2837893.49,7407445.06,924647.5367,2121984.676,837774.4383,1800250.031
44998526.77,34090718.65,4324506.74,11286438.32,1496237.152,3644846.964,1377110.337,3174377.069
41863250.86,26342422.31,5882103.824,14932150.35,2286017.872,5725711.919,2165008.445,5196096.418
37879832.27,19159187.43,7747229.516,17085130.35,3314788.618,8130830.945,3254530.594,7821232.278
33408136.17,13569637.3,9524380.566,17280945.8,4576369.227,10480914.89,4687495.041,10864883.01
