"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","x.np","x.time","x.value","Z.np","Z.time","Z.value","k.np","k.value","gamma.np","gamma.value","sigma.np","sigma.value","E0.np","E0.value","I0.np","I0.value","R0.np","R0.value","x0.np","x0.value","tau.np","tau.value","clock","e.np","e.time","e.value","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1",0,7,272.040750170927,0,7,45122216,0,7,263.193756103516,0,7,162.423110961914,0,7,7073737.5,0,7,0.0699362829327583,0,7,1198.78491210938,0,1.57058954238892,0,0.937047898769379,0,0.118796281516552,0,-14.9903841018677,0,-11.3663501739502,0,0.135491743683815,0,0.258446007966995,0,0.0863689333200455,4438,0,7,-0.918221175670624,0,163.581588745117,0,-2.31448841094971
"2",0,14,216.490370742349,0,14,45121208,0,14,207.915771484375,0,14,133.183044433594,0,14,7074830.5,0,14,-0.00524363154545426,0,14,1063.82653808594,1,1.55623877048492,1,0.911257088184357,1,0.112371571362019,1,-15.3263931274414,1,-11.5715484619141,1,0.153488487005234,1,0.48725152015686,1,0.230289086699486,4438,0,14,0.00736147910356522,1,161.807159423828,1,-3.97846269607544
"3",0,21,158.153744160864,0,21,45120544,0,21,126.652397155762,0,21,81.621452331543,0,21,7075627,0,21,0.0140457404777408,0,21,744.799133300781,2,1.5521696805954,2,0.971142709255219,2,0.101760856807232,2,-15.6788816452026,2,-11.1692457199097,2,0.195081979036331,2,0.441598415374756,2,0.211743772029877,4438,0,21,0.174710601568222,2,161.957138061523,2,-2.90979099273682
"4",0,28,98.6641265852955,0,28,45120032,0,28,112.368705749512,0,28,67.4021377563477,0,28,7076166.5,0,28,0.237106069922447,0,28,525.602905273438,3,1.55826389789581,3,0.996765911579132,3,0.0752818360924721,3,-12.7954196929932,3,-11.9952125549316,3,0.270080715417862,3,0.534038364887238,3,0.197411864995956,4438,0,28,0.634129703044891,3,166.740859985352,3,-2.21760582923889
"5",0,35,105.636972690243,0,35,45119476,0,35,138.877105712891,0,35,77.4638671875,0,35,7076688,0,35,0.4671770632267,0,35,531.272399902344,4,1.55826389789581,4,0.996765911579132,4,0.0752818360924721,4,-12.7954196929932,4,-11.9952125549316,4,0.270080715417862,4,0.534038364887238,4,0.197411864995956,4438,0,35,1.50389075279236,4,166.740859985352,4,-2.21760582923889
"6",0,42,127.239111346024,0,42,45118780,0,42,159.449081420898,0,42,94.0646820068359,0,42,7077346.5,0,42,0.25352531671524,0,42,675.161254882812,5,1.55826389789581,5,0.996765911579132,5,0.0752818360924721,5,-12.7954196929932,5,-11.9952125549316,5,0.270080715417862,5,0.534038364887238,5,0.197411864995956,4438,0,42,0.375911682844162,5,166.740859985352,5,-2.21760582923889
"7",0,49,165.171748524162,0,49,45117880,0,49,246.864440917969,0,49,132.482681274414,0,49,7078119,0,49,0.480617672204971,0,49,811.054382324219,6,1.55925965309143,6,1.06028127670288,6,0.0874111503362656,6,-12.8813552856445,6,-11.5249843597412,6,0.207725167274475,6,0.43957132101059,6,0.17110812664032,4438,0,49,-0.27620455622673,6,165.859390258789,6,-1.31220257282257
"8",0,56,593.685590564856,0,56,45112964,0,56,1971.60131835938,0,56,879.572387695312,0,56,7080567,0,56,0.935400366783142,0,56,3194.83544921875,7,1.55925965309143,7,1.06028127670288,7,0.0874111503362656,7,-12.8813552856445,7,-11.5249843597412,7,0.207725167274475,7,0.43957132101059,7,0.17110812664032,4438,0,56,-0.243017390370369,7,165.859390258789,7,-1.31220257282257
"9",0,63,12596.9899007123,0,63,45020244,0,63,40694.5,0,63,17012.09765625,0,63,7118431,0,63,1.07971358299255,0,63,53996.88671875,8,1.55925965309143,8,1.06028127670288,8,0.0874111503362656,8,-12.8813552856445,8,-11.5249843597412,8,0.207725167274475,8,0.43957132101059,8,0.17110812664032,4438,0,63,-0.702991604804993,8,165.859390258789,8,-1.31220257282257
"10",0,70,140992.783780287,0,70,43999520,0,70,346670.28125,0,70,169295.53125,0,70,7680894,0,70,0.721846759319305,0,70,714746.4375,9,1.56331431865692,9,1.16277289390564,9,0.091802567243576,9,-12.7412700653076,9,-12.1047105789185,9,0.126720607280731,9,0.0704132318496704,9,0.200408294796944,4438,0,70,-0.553148090839386,9,166.195541381836,9,-1.53358912467957
