"","np","time","value","q025","q25","q50","q75","q975","R"
"1",0,7,7073737.5,3147498.5,9152065,11343968,11343968,14098551,14849957.4472465
"2",0,14,7074830.5,3148611.75,9153104,11345036,11345036,14099677,14850947.3394151
"3",0,21,7075627,3149391.5,9153943,11345880,11345880,14100402,14851853.9587859
"4",0,28,7076166.5,3149940.25,9154535,11346384,11346384,14100923,14852436.8101113
"5",0,35,7076688,3150407.5,9155110,11346800,11346800,14101363,14852901.4851759
"6",0,42,7077346.5,3150890.25,9155809,11347342,11347342,14101884,14853402.8215668
"7",0,49,7078119,3151777.25,9156708,11348216,11348216,14102727,14854169.043829
"8",0,56,7080567,3154462.75,9158744,11350381,11350381,14105662,14856789.9217297
"9",0,63,7118431,3182144.5,9189155,11382405,11382405,14143295,14880538.6550543
"10",0,70,7680894,3617064,9637586,11972577,11972577,14708391,15352792.5850722
"11",0,77,11004448,6875662,12703379,14745671,14745671,18212246,18156744.6557258
"12",0,84,20320262,15718286,20273862,24175924,24175924,26697874,26361187.7051869
"13",0,91,27140372,22629941.8,26339884,30469206,30469206,34113073.9,33823214.0408671
"14",0,98,30244066,25645778.7,29111344,33261578,33261578,37053117.8,36773957.7223555
"15",0,105,31644164,26901571.65,30526610,34686272,34686272,38199872.6,38102239.8561553
"16",0,112,31896852,27188241.1,30806704,34959600,34959600,38460323.7,38352171.3108339
"17",0,119,31936778,27227039.9,30846908,34996548,34996548,38499303.5,38392124.4558439
"18",0,126,31941812,27232348.85,30853258,35001320,35001320,38504350.6,38397678.9453653
"19",0,133,31942280,27232896.8,30853882,35001856,35001856,38504896.8,38398243.149799
"20",0,140,31942328,27232945.75,30853932,35001908,35001908,38504948.8,38398304.0828512
"21",0,147,31942332,27232950.7,30853936,35001912,35001912,38504952.8,38398308.9776217
"22",0,154,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3224982
"23",0,161,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3498734
"24",0,168,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3522224
"25",0,175,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524808
"26",0,182,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524967
"27",0,189,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"28",0,196,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"29",0,203,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"30",0,210,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"31",0,217,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"32",0,224,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"33",0,231,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"34",0,238,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"35",0,245,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"36",0,252,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"37",0,259,31942332,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"38",1,7,8013292.5,3147498.5,9152065,11343968,11343968,14098551,14849957.4472465
"39",1,14,8014674,3148611.75,9153104,11345036,11345036,14099677,14850947.3394151
"40",1,21,8015555.5,3149391.5,9153943,11345880,11345880,14100402,14851853.9587859
"41",1,28,8016172.5,3149940.25,9154535,11346384,11346384,14100923,14852436.8101113
"42",1,35,8016686,3150407.5,9155110,11346800,11346800,14101363,14852901.4851759
"43",1,42,8017220.5,3150890.25,9155809,11347342,11347342,14101884,14853402.8215668
"44",1,49,8017944.5,3151777.25,9156708,11348216,11348216,14102727,14854169.043829
"45",1,56,8021233.5,3154462.75,9158744,11350381,11350381,14105662,14856789.9217297
"46",1,63,8059039.5,3182144.5,9189155,11382405,11382405,14143295,14880538.6550543
"47",1,70,8437172,3617064,9637586,11972577,11972577,14708391,15352792.5850722
"48",1,77,10882294,6875662,12703379,14745671,14745671,18212246,18156744.6557258
"49",1,84,19721596,15718286,20273862,24175924,24175924,26697874,26361187.7051869
"50",1,91,27126016,22629941.8,26339884,30469206,30469206,34113073.9,33823214.0408671
"51",1,98,29601266,25645778.7,29111344,33261578,33261578,37053117.8,36773957.7223555
"52",1,105,30485672,26901571.65,30526610,34686272,34686272,38199872.6,38102239.8561553
"53",1,112,30709842,27188241.1,30806704,34959600,34959600,38460323.7,38352171.3108339
"54",1,119,30746212,27227039.9,30846908,34996548,34996548,38499303.5,38392124.4558439
"55",1,126,30750822,27232348.85,30853258,35001320,35001320,38504350.6,38397678.9453653
"56",1,133,30751234,27232896.8,30853882,35001856,35001856,38504896.8,38398243.149799
"57",1,140,30751278,27232945.75,30853932,35001908,35001908,38504948.8,38398304.0828512
"58",1,147,30751284,27232950.7,30853936,35001912,35001912,38504952.8,38398308.9776217
"59",1,154,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3224982
"60",1,161,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3498734
"61",1,168,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3522224
"62",1,175,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524808
"63",1,182,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524967
"64",1,189,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"65",1,196,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"66",1,203,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"67",1,210,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"68",1,217,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"69",1,224,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"70",1,231,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"71",1,238,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"72",1,245,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"73",1,252,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"74",1,259,30751284,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"75",2,7,10184587,3147498.5,9152065,11343968,11343968,14098551,14849957.4472465
"76",2,14,10186008,3148611.75,9153104,11345036,11345036,14099677,14850947.3394151
"77",2,21,10186785,3149391.5,9153943,11345880,11345880,14100402,14851853.9587859
"78",2,28,10187358,3149940.25,9154535,11346384,11346384,14100923,14852436.8101113
"79",2,35,10187894,3150407.5,9155110,11346800,11346800,14101363,14852901.4851759
"80",2,42,10188548,3150890.25,9155809,11347342,11347342,14101884,14853402.8215668
"81",2,49,10189448,3151777.25,9156708,11348216,11348216,14102727,14854169.043829
"82",2,56,10192603,3154462.75,9158744,11350381,11350381,14105662,14856789.9217297
"83",2,63,10237143,3182144.5,9189155,11382405,11382405,14143295,14880538.6550543
"84",2,70,10891407,3617064,9637586,11972577,11972577,14708391,15352792.5850722
"85",2,77,14121555,6875662,12703379,14745671,14745671,18212246,18156744.6557258
"86",2,84,22711422,15718286,20273862,24175924,24175924,26697874,26361187.7051869
"87",2,91,28933980,22629941.8,26339884,30469206,30469206,34113073.9,33823214.0408671
"88",2,98,31493640,25645778.7,29111344,33261578,33261578,37053117.8,36773957.7223555
"89",2,105,32463256,26901571.65,30526610,34686272,34686272,38199872.6,38102239.8561553
"90",2,112,32686952,27188241.1,30806704,34959600,34959600,38460323.7,38352171.3108339
"91",2,119,32722816,27227039.9,30846908,34996548,34996548,38499303.5,38392124.4558439
"92",2,126,32727768,27232348.85,30853258,35001320,35001320,38504350.6,38397678.9453653
"93",2,133,32728264,27232896.8,30853882,35001856,35001856,38504896.8,38398243.149799
"94",2,140,32728310,27232945.75,30853932,35001908,35001908,38504948.8,38398304.0828512
"95",2,147,32728316,27232950.7,30853936,35001912,35001912,38504952.8,38398308.9776217
"96",2,154,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3224982
"97",2,161,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3498734
"98",2,168,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3522224
"99",2,175,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524808
"100",2,182,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524967
"101",2,189,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"102",2,196,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"103",2,203,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
"104",2,210,32728316,27232951.75,30853936,35001912,35001912,38504952.8,38398309.3524977
