"","np","time","value","q025","q25","q50","q75","q975","S"
"1",0,7,45122216,38097344,40851944,40851944,43043804,49048360,37345991.5550519
"2",0,14,45121208,38096392,40850984,40850984,43042956,49047432,37345027.6961313
"3",0,21,45120544,38095760,40850260,40850260,43042156,49046756,37344263.099584
"4",0,28,45120032,38095296,40849836,40849836,43041624,49046244,37343771.85224
"5",0,35,45119476,38094852,40849408,40849408,43041048,49045792,37343275.3046955
"6",0,42,45118780,38094272,40848776,40848776,43040224,49045260,37342789.2193801
"7",0,49,45117880,38093200,40847736,40847736,43039284,49044060,37341635.3388461
"8",0,56,45112964,38087380,40843776,40843776,43035292,49039548,37337550.5489779
"9",0,63,45020244,38003000,40752752,40752752,42958452,48969232,37275894.4787994
"10",0,70,43999520,36880820,39740596,39740596,42003300,48030736,36225541.7499601
"11",0,77,38498508,31293588,34753848,34753848,37028152,42509492,31893029.4473187
"12",0,84,28453328,21526578,24798338,24798338,28640186,33128166.85,22209103.7182547
"13",0,91,23600562,16546762.625,20330052,20330052,24537142,27870444.75,16894224.1636707
"14",0,98,21159056,14503073.95,18157562,18157562,22227896,25856364.75,14636840.9035211
"15",0,105,20373260,13818897.375,17312156,17312156,21470280,25090909.45,13921886.595243
"16",0,112,20273450,13708360.675,17210168,17210168,21361246,24980261.4,13816503.2940467
"17",0,119,20255998,13693332.925,17196354,17196354,21344684,24965330.55,13800072.8247429
"18",0,126,20254212,13691620.375,17194642,17194642,21342612,24963606.85,13798278.3456147
"19",0,133,20254064,13691441.25,17194482,17194482,21342458,24963443.2,13798089.2597008
"20",0,140,20254048,13691428.25,17194468,17194468,21342444,24963430.25,13798072.9399684
"21",0,147,20254048,13691427.775,17194468,17194468,21342444,24963428.25,13798071.7406299
"22",0,154,20254048,13691427.775,17194468,17194468,21342444,24963428.25,13798071.6552354
"23",0,161,20254048,13691427.775,17194468,17194468,21342444,24963428.25,13798071.648384
"24",0,168,20254048,13691427.775,17194468,17194468,21342444,24963428.25,13798071.6475651
"25",0,175,20254048,13691427.775,17194468,17194468,21342444,24963428.25,13798071.647506
