"","x"
"1",0.0438429924808653
"2",0.0360860649774657
"3",0.0450982229437027
"4",0.0690246914087376
"5",0.100541043538594
"6",0.174712735876974
"7",0.218321703380617
"8",0.394227837178311
"9",0.552900884422328
"10",0.894319529407508
"11",1.51441346974636
"12",2.55927589677218
"13",3.70855113440674
"14",5.99853842626881
"15",7.40948861537098
"16",16.7542597829795
"17",26.9395277303085
"18",38.8116190528565
"19",42.3312399960618
"20",62.217372833063
"21",73.9236419692882
"22",130.881379634573
"23",175.330883663189
"24",197.126626305219
"25",273.172545981269
"26",338.10847099631
"27",469.665359251257
"28",560.684733883124
"29",779.601556145047
"30",709.894158595117
"31",1076.8511907034
"32",1417.77003685061
"33",2163.87625144978
"34",2501.23626338357
"35",3076.58052453481
"36",4675.49667686046
"37",5407.75375999959
"38",8696.60239435773
"39",12888.5576543054
"40",15643.3163589163
"41",20320.8705997118
"42",36241.0910766365
"43",40643.8246796739
"44",49709.3175388449
"45",89024.4303967732
"46",96152.3480053885
"47",131501.584881205
"48",156398.71094191
"49",215218.267200823
"50",258349.783793405
"51",330286.507969028
"52",265051.820840145
"53",347906.972209018
"54",357608.252155633
"55",336829.458786038
"56",320593.331786571
"57",303341.927158674
"58",273889.826246975
"59",273930.455013242
"60",207163.912693703
"61",170273.338128261
"62",156771.866858518
"63",150471.028800757
"64",91840.6302702386
"65",78502.0179720398
"66",68482.3801909464
"67",47819.8785313068
"68",38500.5518256781
"69",32627.2213476064
"70",27801.8073052489
"71",25124.3243456653
"72",19157.6439273658
"73",14218.3115385819
"74",13409.9570213854
"75",9307.00940249011
"76",8020.43927419861
"77",7342.59540637007
"78",6172.77452492528
"79",6758.01070403863
"80",4655.65779356396
"81",4306.25025357807
"82",3733.83822750142
"83",3159.3403079097
"84",2876.02397382184
"85",2292.06316980515
"86",2089.43745544503
"87",1922.72495858944
"88",1670.10505766914
"89",1503.65969007239
"90",1597.19880704379
"91",1177.73214563634
"92",1001.02863755658
"93",864.611137320399
"94",673.459166394807
"95",517.803649328887
"96",564.58870801904
"97",465.853183125319
"98",400.049787197099
"99",453.147739114714
"100",359.151508320428
"101",334.666228061731
"102",219.703222796947
"103",234.038256131884
"104",183.059856430463
"105",150.953646134789
"106",146.239508573096
"107",136.062231645614
"108",131.503713266033
"109",104.233192155772
"110",106.112867818272
"111",90.1479449017425
"112",77.9810559308634
"113",71.1736011063256
"114",65.7698110009863
"115",51.9167446267975
"116",55.2689599543411
"117",51.3805410158146
"118",49.4592580003649
"119",40.731167960302
"120",37.2796931412078
"121",28.0221102532534
"122",25.858266266546
"123",23.2776932726235
"124",19.8611917552856
"125",20.4347123333635
"126",14.6616293126191
"127",15.9318531111067
"128",13.4073683174434
"129",11.6131650359531
"130",13.5711903252922
"131",12.0269042968503
"132",10.2725031463962
"133",10.1561939444881
"134",8.07832442111345
"135",7.25448265438014
"136",7.63445013236332
"137",6.68297719286679
"138",4.80691756757036
"139",4.76216986939129
"140",4.52952521938326
"141",4.15213634951564
"142",3.04035054197913
