"","x"
"1",0
"2",0.128397659445268
"3",0.0393297515949864
"4",0.114828946782747
"5",0.0711682429390137
"6",0.0458521095379676
"7",0.0314331357970163
"8",0.00119475551726192
"9",-0.0141757434218203
"10",-0.0245336554050494
"11",0.0215104419654248
"12",0.0257255939562144
"13",0.108143024688889
"14",0.155520530587553
"15",0.114420062946637
"16",0.0565408746697668
"17",0.110742103698461
"18",-0.0518778041949084
"19",-0.297550552035021
"20",-0.174643077724195
"21",-0.159338199354597
"22",-0.257655525572566
"23",-0.324296342653501
"24",-0.358813388851699
"25",-0.526075104957751
"26",-0.582097070198818
"27",-0.619476858048546
"28",-0.670741110483193
"29",-0.600376319169652
"30",-0.620259197318846
"31",-0.661256574017715
"32",-0.612575007007969
"33",-0.499020386127702
"34",-0.480264271318869
"35",-0.420426232353431
"36",-0.386111786775523
"37",-0.299072853920825
"38",-0.301784540285207
"39",-0.357948544423335
"40",-0.282716668217801
"41",-0.336160462402607
"42",-0.238915190429851
"43",-0.255193338789867
"44",-0.222258820364799
"45",-0.242790216500127
"46",-0.400526804108613
"47",-0.392478815676297
"48",-0.36296753488065
"49",-0.428814378884367
"50",-0.454890894359768
"51",-0.489568315114171
"52",-0.54562748652639
"53",-0.637228836345196
"54",-0.57582058970685
"55",-0.56060567015376
"56",-0.551502525070447
"57",-0.622500619734026
"58",-0.420298017644089
"59",-0.520946472296203
"60",-0.560177093371847
"61",-0.512376586469174
"62",-0.462889619418649
"63",-0.532507885709998
"64",-0.563836848418661
"65",-0.661652992216104
"66",-0.672791365665277
"67",-0.662021305088778
"68",-0.564960388015892
"69",-0.527959037807323
"70",-0.555367897931759
"71",-0.466510468237441
"72",-0.477401009173577
"73",-0.524066395037763
"74",-0.466547618946757
"75",-0.348323764816193
"76",-0.310053791080576
"77",-0.210395127285667
"78",-0.183011284699988
"79",-0.167125255902304
"80",-0.207950630396915
"81",-0.294396387974886
"82",-0.224587524243545
"83",-0.211668947191201
"84",-0.21271113522676
"85",-0.0508252611902382
"86",0.0941933943005983
"87",0.0936904405742551
"88",0.111885630670971
"89",0.0744837078093368
"90",0.0379584629192813
"91",0.0336352354808547
"92",-0.0139308276736275
"93",-0.0736345459607535
"94",-0.00874761395428768
"95",0.051652676180744
"96",-0.0189437953363909
"97",-0.0764500631600308
"98",-0.113925257385783
"99",-0.115324333200149
"100",-0.0564410040484876
"101",-0.03516253895214
"102",-0.163770999989006
"103",-0.12482196693035
"104",-0.160066734195579
"105",-0.189536919847781
"106",-0.151229829437703
"107",-0.127267181839598
"108",-0.0419583735505446
"109",0.0631442274577628
"110",0.0857048065548232
"111",-0.0367710946812106
"112",-0.0125912277162777
"113",0.0221302691339801
"114",0.0822244037165009
"115",0.0126733337527799
"116",0.040454577880244
"117",0.170563807509494
"118",0.221663530276264
"119",0.235742150053797
"120",0.0700225090396733
"121",0.0323591552021773
"122",-0.0458133607849127
"123",-0.0693580004075487
"124",-0.117954298115073
"125",0.0455759694850908
"126",0.0861774852833052
"127",0.155919450569447
"128",0.16413698497816
"129",0.237333690201668
"130",0.168692379097205
"131",0.136552560528072
"132",0.186504467516272
"133",0.263732037347415
"134",0.274147626530035
"135",0.301669937608306
"136",0.357201436504554
"137",0.375268849744906
"138",0.325930487103035
"139",0.162254138056346
"140",-0.00566044107845332
"141",0.182011111881216
"142",0.177812093874731
"143",0.144183846384475
"144",0.189626709527167
"145",0.157705432964124
"146",0.167899095975869
"147",0.242000590507985
"148",0.20410402665703
"149",0.184839178121016
"150",0.310616841022304
"151",0.183351568088825
"152",0.124479124449694
"153",0.0810612981532259
"154",0.0302171455485792
"155",-0.0135443582957875
"156",-0.157792000576305
"157",-0.184750509068638
"158",-0.332044384162962
"159",-0.289293304971985
"160",-0.394830659413425
"161",-0.351134513800752
"162",-0.398749666945914
"163",-0.389471046649005
"164",-0.338716669765938
"165",-0.343371415910655
"166",-0.333691424023456
"167",-0.3800601669782
"168",-0.296352478344541
"169",-0.300975691623516
"170",-0.3140424059686
"171",-0.327369450666651
"172",-0.298675645921136
"173",-0.240546819209449
"174",-0.26861940514218
"175",-0.215628631217161
"176",-0.00882423296757684
"177",0.000374731950732844
"178",-0.0616738100827543
"179",-0.241769192627301
"180",-0.250476103288847
"181",-0.301544172937446
"182",-0.323864920161761
"183",-0.381354495744308
"184",-0.245361742762752
"185",-0.186573570102688
"186",-0.297425121402276
"187",-0.228699948657263
"188",-0.299441706158991
"189",-0.233335505101516
"190",-0.323541676218219
"191",-0.22118610876349
"192",-0.147239262232157
"193",-0.10781750299602
"194",-0.166945350161738
"195",-0.0836766169746092
"196",-0.0873212522365828
"197",-0.209473761089773
"198",-0.133311037091998
"199",-0.0207166154440174
"200",-0.00513672393370525
"201",-0.0775809313451605
"202",-0.0867509947431338
"203",-0.0562460413762771
"204",-0.00934519377564344
"205",0.0692881071780972
"206",0.0389194457469426
"207",-0.157406315749383
"208",-0.206758325736516
"209",-0.252892614314149
"210",-0.105639101047588
"211",-0.0645053810872331
"212",-0.0794842259372896
"213",-0.126584090068187
"214",-0.0699935598085618
"215",-0.0212921251057244
"216",0.0540543008145205
"217",0.184096596548547
"218",0.144454624783095
"219",0.159164139912646
"220",0.230880710790054
"221",0.396149969295697
"222",0.303942187584128
"223",0.287902827100086
"224",0.296528760308698
"225",0.23624189964655
"226",0.273185886067591
"227",0.336912922965257
"228",0.350620506572871
"229",0.317626361558376
