"","time","t","S","E","I","R"
"1",1,1,44265497.6913024,269.749329738303,29.2701263287074,7930584.28924158
"2",2,2,44265434.8418658,192.681279497322,100.567313132841,7930652.90954158
"3",3,3,44265338.1691068,174.918245640624,113.943055757932,7930753.96959184
"4",4,4,44265247.9085098,160.22411216469,113.136955287752,7930859.73042274
"5",5,5,44265161.1673142,149.651916391059,107.955842719998,7930962.22492669
"6",6,6,44265071.9600568,145.854698764153,103.300065527577,7931059.88517893
"7",7,7,44264987.1675553,140.580524408814,99.4955438982511,7931153.75637637
"8",8,8,44264901.8730137,138.165798673455,96.5388642666549,7931244.42232338
"9",9,9,44264815.9007546,137.419562827342,94.7734404505365,7931332.90624212
"10",10,10,44264733.8730121,134.096819974575,93.1035683890192,7931419.92659952
"11",11,11,44264660.6716401,125.726894414849,89.8221336624495,7931504.77933185
"12",12,12,44264580.7676624,126.260346965751,87.358772334842,7931586.61321825
"13",13,13,44264504.3004234,124.025700903059,85.8636554672943,7931666.81022023
"14",14,14,44264429.8206723,121.355076914778,84.2461065004651,7931745.57814432
"15",15,15,44264357.4325823,118.372539352813,82.4349484551005,7931822.75992995
"16",16,16,44264281.8432837,119.186005075578,81.4459750433,7931898.52473622
"17",17,17,44264205.3300413,120.340037924175,81.4460564535671,7931973.88386441
"18",18,18,44264131.6007812,118.88033588642,81.2552961185111,7932049.26358688
"19",19,19,44264060.4478406,116.16319947721,80.2804861930996,7932124.10847377
"20",20,20,44263990.9463622,113.472601459653,78.8003657519098,7932197.78067067
"21",21,21,44263927.1291669,107.790251169919,76.365951660745,7932269.71463027
"22",22,22,44263866.370167,102.468956503944,73.181968012642,7932338.97890853
"23",23,23,44263805.8212981,99.4840580107769,70.3313110659732,7932405.36333285
"24",24,24,44263745.6989271,97.598984111211,68.2408642229542,7932469.46122461
"25",25,25,44263687.9535185,94.8380463875766,66.4073578373887,7932531.8010773
"26",26,26,44263627.5522101,95.3630435868977,65.3709751812881,7932592.71377119
"27",27,27,44263568.3591408,94.7639187458447,64.8718859528566,7932653.00505453
"28",28,28,44263502.8528719,99.1818515454031,65.6735959689441,7932713.2916807
"29",29,29,44263444.311598,96.3410251164905,65.9612050123034,7932774.38617191
"30",30,30,44263380.3515174,98.8547490473979,66.2801290322021,7932835.5136046
"31",31,31,44263319.993456,97.5126060775102,66.4544781217388,7932897.03945989
"32",32,32,44263253.8306581,101.13240283272,67.2248960955175,7932958.81204307
"33",33,33,44263195.8634959,96.9385322998234,67.0419998835216,7933021.15597195
"34",34,34,44263138.5175129,94.203659622404,65.6563116751942,7933082.62251586
"35",35,35,44263083.1638056,91.2564003983144,63.9396963761919,7933142.6400976
"36",36,36,44263027.3913722,90.0034099734314,62.4796233523572,7933201.12559454
"37",37,37,44262972.766192,88.493517238105,61.3130427626952,7933258.42724802
"38",38,38,44262912.3047507,92.06993263188,61.4962171803672,7933315.12909952
"39",39,39,44262855.1800301,91.5061674445059,61.9670675376823,7933372.34673493
"40",40,40,44262796.7419463,92.1748535128111,62.2436634676652,7933429.83953676
"41",41,41,44262734.8906102,95.0917334931501,63.1822538899071,7933487.83540247
"42",42,42,44262669.0241547,99.6693412567925,65.1412751161828,7933547.16522895
"43",43,43,44262605.8842082,100.064452637312,66.7390678270048,7933608.31227133
"44",44,44,44262539.6061963,102.598600649451,68.0884298977221,7933670.70677317
"45",45,45,44262474.9081369,102.759927545744,69.0673744831429,7933734.26456107
"46",46,46,44262408.2335509,104.308934122125,69.8812696113651,7933798.57624538
"47",47,47,44262336.8429188,108.670765935745,71.5314966179894,7933863.95481865
"48",48,48,44262263.3943024,112.548113627661,73.8293367153737,7933931.2282472
"49",49,49,44262175.233529,125.664940400613,78.5930167724562,7934001.50851383
"50",50,50,44262067.6421991,147.333366693709,87.8415384480737,7934078.18289572
"51",51,51,44261931.875137,180.172657300941,102.944257075589,7934166.00794858
"52",52,52,44261770.7483805,216.779523931543,123.131380083429,7934270.3407155
"53",53,53,44261570.5010405,265.699316032528,148.994834965583,7934395.80480845
"54",54,54,44261269.1030261,368.375577445998,191.813301821598,7934551.70809456
"55",55,55,44260857.0760748,507.026041220913,258.601920160472,7934758.29596378
"56",56,56,44260246.7296544,731.315998238568,361.216571727819,7935041.73777556
"57",57,57,44259391.9972389,1035.86043827363,511.436188028126,7935441.70613473
"58",58,58,44258246.0033933,1417.60515075509,712.982466968613,7936004.40898889
"59",59,59,44256787.6929965,1855.0753205214,961.927070691809,7936776.3046122
"60",60,60,44254696.1488135,2566.25692755504,1303.49507722911,7937815.09918168
"61",61,61,44251658.4582353,3662.24949280436,1816.90672700169,7939243.38554483
"62",62,62,44247002.4624295,5475.65297115347,2630.21219503189,7941272.67240419
"63",63,63,44240075.1465119,8166.36788928564,3889.06070486144,7944250.42489383
"64",64,64,44229312.9124599,12513.7229318502,5860.08984544068,7948694.27476268
"65",65,65,44212690.7174505,19283.2855238903,8958.74342143369,7955448.25360404
"66",66,66,44184690.1800096,31565.2031740319,14183.6962081027,7965941.92060811
"67",67,67,44144367.3782428,47443.4447409486,22058.842519283,7982511.33449683
"68",68,68,44079694.4761121,74394.9097794665,34181.933376505,8008109.68073184
"69",69,69,43987771.0420002,109359.339027561,51784.3885155701,8047466.23045655
"70",70,70,43863494.6904071,152302.775058925,74904.6437395201,8105678.89079427
"71",71,71,43691278.9150636,211276.216312379,105373.044615323,8188452.8240086
"72",72,72,43463867.1229821,284186.133499668,144788.918235228,8303538.82528287
"73",73,73,43154783.758337,384516.816811333,196637.655403431,8460442.76944808
"74",74,74,42706364.9317367,543319.46467325,271732.764993021,8674963.83859693
"75",75,75,42087875.1102634,756366.541457506,378724.700843274,8973414.64743567
"76",76,76,41236726.5054758,1045185.33308929,525796.368001599,9388672.79343322
"77",77,77,40052177.6013186,1450197.35020107,729340.792159793,9964665.2563204
"78",78,78,38515638.9200104,1929708.11659194,993297.436554406,10757736.5268432
"79",79,79,36526670.4799997,2523104.22342019,1322188.91271325,11824417.3838668
"80",80,80,34157063.0753491,3120789.66945468,1698076.32045589,13220451.9347402
"81",81,81,31452286.7867258,3684379.02443906,2086706.17205114,14973009.0167839
"82",82,82,28996542.5520052,3790941.32463787,2362157.29131584,17046739.832041
"83",83,83,26470083.3881208,3893851.01445864,2519459.60639491,19312986.9910256
"84",84,84,23909561.288146,3970502.41101236,2620211.58927653,21696105.711565
"85",85,85,21504521.6736098,3893458.03852928,2654192.39919708,24144208.8886638
"86",86,86,19398360.3223145,3628761.92665728,2589314.9196357,26579943.8313924
"87",87,87,17846670.7034877,3076398.94068331,2380792.89044032,28892518.4653886
"88",88,88,16548359.150533,2593607.77157352,2089675.45758744,30964738.6203059
"89",89,89,15488331.3596248,2160569.6983533,1788043.60046775,32759436.3415541
"90",90,90,14653186.7149151,1764390.60105248,1499031.48133683,34279772.2026955
"91",91,91,14046877.7600204,1385039.79718783,1224876.46438245,35539586.9784094
"92",92,92,13607224.0291706,1060365.12098951,973634.074348014,36555157.7754918
"93",93,93,13277714.2505006,806449.113539227,758317.020484113,37353900.6154761
"94",94,94,13019945.4096973,618538.234543974,585228.27192377,37972669.0838349
"95",95,95,12834481.8663228,465433.622363333,447892.533544753,38448572.9777691
"96",96,96,12706318.1568976,341841.897391041,337790.356656374,38810430.5890549
"97",97,97,12609221.0029596,253210.11031674,252194.944245427,39081754.9424782
"98",98,98,12537849.6653732,187149.198925939,187487.440571213,39283894.6951297
"99",99,99,12481959.5949937,140623.333141715,139621.196536545,39434176.875328
"100",100,100,12443017.3974513,103431.859132606,103810.132523417,39546121.6108927
"101",101,101,12414729.0828993,75812.0958524837,76729.835442454,39629109.9858057
"102",102,102,12395726.5750716,54296.0946227737,56155.7081127818,39690202.6221928
"103",103,103,12381862.2692701,39068.1168456353,40747.4350152555,39734703.178869
"104",104,104,12371721.7800554,28230.2134078487,29487.6988744099,39766941.3076623
"105",105,105,12365131.8011995,19858.8166838542,21179.8359945908,39790210.5461221
"106",106,106,12360571.6888219,13912.935928247,15058.0710163329,39806838.3042335
"107",107,107,12357711.1476558,9502.20166250727,10570.9924496652,39818596.6582321
"108",108,108,12355976.2167125,6329.22693686175,7290.48405850992,39826785.0722921
"109",109,109,12354905.4968033,4153.24228574362,4938.3290995695,39832383.9318114
"110",110,110,12354224.2921477,2709.42586659013,3297.60568034915,39836149.6763054
"111",111,111,12353778.8812756,1768.11507055688,2181.65181234575,39838652.3518415
"112",112,112,12353510.5104446,1137.55278876389,1431.05217066428,39840301.884596
"113",113,113,12353351.4696908,721.913125447625,928.875536205819,39841378.7416476
"114",114,114,12353250.4941359,458.14175581938,597.712864116745,39842074.6512442
"115",115,115,12353184.0313345,292.463437881778,383.064759997567,39842521.4404676
"116",116,116,12353139.5950724,188.156762728802,245.536232079109,39842807.7119329
"117",117,117,12353112.6928498,119.827434885301,157.267587845307,39842991.2121275
"118",118,118,12353093.9783227,77.459695674868,100.828847260491,39843108.7331344
"119",119,119,12353082.5602968,49.5796243642555,64.7115694260116,39843184.1485094
"120",120,120,12353075.3940037,31.630977869758,41.4606921260977,39843232.5143264
"121",121,121,12353071.1295939,19.9563374249591,26.4593684788415,39843263.4547002
"122",122,122,12353068.1082252,12.8305463996331,16.8794437803822,39843283.1817846
"123",123,123,12353066.3302286,8.12988104029417,10.7669451232621,39843295.7729452
"124",124,124,12353065.2300942,5.13203103443863,6.84539688054862,39843303.7924779
"125",125,125,12353064.4974186,3.26730764316336,4.34818860717482,39843308.8870852
"126",126,126,12353064.0227169,2.08613244116836,2.76598373167015,39843312.1251669
"127",127,127,12353063.7090388,1.33967112853428,1.76408201850661,39843314.187208
"128",128,128,12353063.5190933,0.851981092041106,1.12571990746508,39843315.5032057
"129",129,129,12353063.391259,0.546935388006791,0.718847656097156,39843316.342958
"130",130,130,12353063.3020802,0.356283734107773,0.461376838507577,39843316.8802592
"131",131,131,12353063.2461556,0.230525898881659,0.297379707118201,39843317.2259388
"132",132,132,12353063.2104308,0.148823172247348,0.191865819167513,39843317.4488802
"133",133,133,12353063.1886169,0.0951711140780896,0.123569534270957,39843317.5926424
"134",134,134,12353063.1751182,0.0605333061273977,0.0792789244089988,39843317.6850695
"135",135,135,12353063.1668289,0.0382831974798195,0.0506370187229925,39843317.7442509
"136",136,136,12353063.1619088,0.023978192177285,0.0321578095679415,39843317.7819552
"137",137,137,12353063.1590071,0.0148869795122378,0.0202812626569302,39843317.8058246
"138",138,138,12353063.1571879,0.00925544819688114,0.0127209414938824,39843317.8208357
"139",139,139,12353063.1561438,0.00568893633490904,0.00793618336166518,39843317.8302311
"140",140,140,12353063.1555115,0.00349075108666247,0.00492175427312006,39843317.8360759
"141",141,141,12353063.1551102,0.00215238470174024,0.00304298220005416,39843317.8396944
"142",142,142,12353063.1548607,0.00132813263215923,0.00188183533639852,39843317.8419293
"143",143,143,12353063.1547047,0.000821393915624534,0.00116234893691042,39843317.8433115
"144",144,144,12353063.1546047,0.000510507356254736,0.000719088441106795,39843317.8441657
"145",145,145,12353063.1545408,0.000318608264356213,0.000445987107778185,39843317.8446946
"146",146,146,12353063.1545005,0.000199143988199598,0.000277348828399797,39843317.845023
"147",147,147,12353063.154474,0.000125414393598721,0.000172895739297284,39843317.8452277
"148",148,148,12353063.1544572,7.89218000849699e-05,0.000108136335929288,39843317.8453557
"149",149,149,12353063.1544459,5.01174338851394e-05,6.78079322606509e-05,39843317.8454361
"150",150,150,12353063.1544389,3.16855877824965e-05,4.27197728471968e-05,39843317.8454867
"151",151,151,12353063.1544344,2.00824437318216e-05,2.70925328130642e-05,39843317.8455184
"152",152,152,12353063.1544314,1.2853398575816e-05,1.7149399771215e-05,39843317.8455386
"153",153,153,12353063.1544294,8.31715939414775e-06,1.08725287940121e-05,39843317.8455514
"154",154,154,12353063.1544282,5.36251198630804e-06,6.9510902846172e-06,39843317.8455595
"155",155,155,12353063.1544274,3.4083354666259e-06,4.50682876674113e-06,39843317.8455647
"156",156,156,12353063.1544269,2.14992687195121e-06,2.93671785882084e-06,39843317.845568
"157",157,157,12353063.1544266,1.38370898045926e-06,1.88208290888026e-06,39843317.8455701
"158",158,158,12353063.1544264,9.14831690227861e-07,1.18170334521692e-06,39843317.8455715
"159",159,159,12353063.1544262,5.98251758193643e-07,7.55715705748232e-07,39843317.8455724
"160",160,160,12353063.1544261,3.87787844864468e-07,4.97751094840538e-07,39843317.845573
"161",161,161,12353063.1544261,2.50675903447114e-07,3.21712931459621e-07,39843317.8455734
"162",162,162,12353063.154426,1.59529287881961e-07,2.04015737352883e-07,39843317.8455736
"163",163,163,12353063.154426,9.52459148700882e-08,1.20483565630067e-07,39843317.8455738
"164",164,164,12353063.154426,6.75583706421291e-08,8.46206516498524e-08,39843317.8455739
"165",165,165,12353063.1544259,4.79487938280539e-08,5.95958152954748e-08,39843317.8455739
"166",166,166,12353063.1544259,3.39840835258718e-08,4.20418312263698e-08,39843317.845574
"167",167,167,12353063.1544259,2.40438073228481e-08,2.96811636700665e-08,39843317.845574
"168",168,168,12353063.1544259,1.67812226318584e-08,2.08914534034598e-08,39843317.845574
"169",169,169,12353063.1544259,1.16475575016057e-08,1.46511145034473e-08,39843317.845574
"170",170,170,12353063.1544259,8.12538685234865e-09,1.02607376710356e-08,39843317.845574
"171",171,171,12353063.1544259,5.69322277504757e-09,7.18687086525268e-09,39843317.8455741
"172",172,172,12353063.1544259,4.00881283384985e-09,5.04076333763325e-09,39843317.8455741
"173",173,173,12353063.1544259,2.82443397477073e-09,3.53966723996669e-09,39843317.8455741
"174",174,174,12353063.1544259,1.98288959529945e-09,2.48543703051207e-09,39843317.8455741
"175",175,175,12353063.1544259,1.38447498220929e-09,1.74262985290441e-09,39843317.8455741
"176",176,176,12353063.1544259,9.62391697976827e-10,1.21910589537582e-09,39843317.8455741
"177",177,177,12353063.1544259,6.75465081607165e-10,8.53577325730384e-10,39843317.8455741
"178",178,178,12353063.1544259,4.73517623840612e-10,5.97835636632749e-10,39843317.8455741
"179",179,179,12353063.1544259,3.30686863645203e-10,4.18403836462427e-10,39843317.8455741
"180",180,180,12353063.1544259,2.31181964699735e-10,2.92742981930439e-10,39843317.8455741
"181",181,181,12353063.1544259,1.62378465992093e-10,2.05027513254838e-10,39843317.8455741
"182",182,182,12353063.1544259,1.14059110851758e-10,1.43703763145949e-10,39843317.8455741
"183",183,183,12353063.1544259,8.00618690600101e-11,1.00760438030876e-10,39843317.8455741
"184",184,184,12353063.1544259,5.58193566881647e-11,7.05463018287029e-11,39843317.8455741
"185",185,185,12353063.1544259,3.8845910537388e-11,4.93153401308113e-11,39843317.8455741
"186",186,186,12353063.1544259,2.6943988201325e-11,3.44048770349704e-11,39843317.8455741
"187",187,187,12353063.1544259,1.87314790929169e-11,2.39810269305748e-11,39843317.8455741
"188",188,188,12353063.1544259,1.30565561062522e-11,1.67154390541644e-11,39843317.8455741
"189",189,189,12353063.1544259,9.15039147709133e-12,1.16673242437916e-11,39843317.8455741
"190",190,190,12353063.1544259,6.48273661218608e-12,8.17503771546881e-12,39843317.8455741
"191",191,191,12353063.1544259,4.63564468202878e-12,5.75854832534868e-12,39843317.8455741
"192",192,192,12353063.1544259,3.31527051211139e-12,4.07265098493239e-12,39843317.8455741
"193",193,193,12353063.1544259,2.35524015879614e-12,2.88377347690654e-12,39843317.8455741
"194",194,194,12353063.1544259,1.64750114348922e-12,2.03535227670294e-12,39843317.8455741
"195",195,195,12353063.1544259,1.13876942204677e-12,1.42869433519732e-12,39843317.8455741
"196",196,196,12353063.1544259,7.81652732324523e-13,9.97078756443861e-13,39843317.8455741
"197",197,197,12353063.1544259,5.35679444971557e-13,6.92645573637684e-13,39843317.8455741
"198",198,198,12353063.1544259,3.67931007912565e-13,4.79794529389245e-13,39843317.8455741
"199",199,199,12353063.1544259,2.54740324766954e-13,3.32312142179323e-13,39843317.8455741
"200",200,200,12353063.1544259,1.77086052579612e-13,2.30375951661911e-13,39843317.8455741
"201",201,201,12353063.1544259,1.22527140303924e-13,1.59630773984653e-13,39843317.8455741
"202",202,202,12353063.1544259,8.46858960380013e-14,1.10540255444928e-13,39843317.8455741
"203",203,203,12353063.1544259,5.85707412476196e-14,7.65227767287876e-14,39843317.8455741
"204",204,204,12353063.1544259,4.02431908854451e-14,5.28748059854099e-14,39843317.8455741
"205",205,205,12353063.1544259,2.75730838780048e-14,3.64584988589717e-14,39843317.8455741
"206",206,206,12353063.1544259,1.89856485608767e-14,2.51303322104418e-14,39843317.8455741
"207",207,207,12353063.1544259,1.31211962395877e-14,1.73333026156644e-14,39843317.8455741
"208",208,208,12353063.1544259,9.02671189495607e-15,1.19477491830465e-14,39843317.8455741
"209",209,209,12353063.1544259,6.24230481578397e-15,8.24212750912379e-15,39843317.8455741
"210",210,210,12353063.1544259,4.32713300293757e-15,5.69263576494919e-15,39843317.8455741
"211",211,211,12353063.1544259,2.98849532978815e-15,3.93171537607098e-15,39843317.8455741
"212",212,212,12353063.1544259,2.05164407654285e-15,2.71145296518365e-15,39843317.8455741
"213",213,213,12353063.1544259,1.41233364369045e-15,1.86908181150189e-15,39843317.8455741
"214",214,214,12353063.1544259,9.74790218585209e-16,1.28881250688893e-15,39843317.8455741
"215",215,215,12353063.1544259,6.66378882518356e-16,8.86803951968281e-16,39843317.8455741
"216",216,216,12353063.1544259,4.5577839383782e-16,6.09294996270191e-16,39843317.8455741
"217",217,217,12353063.1544259,3.10307290109453e-16,4.17698730319721e-16,39843317.8455741
"218",218,218,12353063.1544259,2.10758802821739e-16,2.85707476642629e-16,39843317.8455741
"219",219,219,12353063.1544259,1.42981874337071e-16,1.95040306958986e-16,39843317.8455741
"220",220,220,12353063.1544259,9.75137965682921e-17,1.33115056665375e-16,39843317.8455741
"221",221,221,12353063.1544259,6.62530848965991e-17,9.07530560577251e-17,39843317.8455741
"222",222,222,12353063.1544259,4.51775052651307e-17,6.18749557174246e-17,39843317.8455741
"223",223,223,12353063.1544259,3.09760408430845e-17,4.22429239442709e-17,39843317.8455741
"224",224,224,12353063.1544259,2.12920035407242e-17,2.88869475148416e-17,39843317.8455741
"225",225,225,12353063.1544259,1.4567495037905e-17,1.97561565413109e-17,39843317.8455741
"226",226,226,12353063.1544259,9.94036365081436e-18,1.35041318201556e-17,39843317.8455741
"227",227,227,12353063.1544259,6.82764195871312e-18,9.24139709632963e-18,39843317.8455741
"228",228,228,12353063.1544259,4.70084306012352e-18,6.33352612444081e-18,39843317.8455741
"229",229,229,12353063.1544259,3.23807398338915e-18,4.34598783349965e-18,39843317.8455741
"230",230,230,12353063.1544259,2.23268904161861e-18,2.98567805776297e-18,39843317.8455741
"231",231,231,12353063.1544259,1.54138336027138e-18,2.0536104226789e-18,39843317.8455741
"232",232,232,12353063.1544259,1.06973902713964e-18,1.41563194458606e-18,39843317.8455741
"233",233,233,12353063.1544259,7.47502934228672e-19,9.79144395322372e-19,39843317.8455741
"234",234,234,12353063.1544259,5.2832732494424e-19,6.80932591493516e-19,39843317.8455741
"235",235,235,12353063.1544259,3.74787429190346e-19,4.75951823185244e-19,39843317.8455741
"236",236,236,12353063.1544259,2.65800012025338e-19,3.33928544920497e-19,39843317.8455741
"237",237,237,12353063.1544259,1.87593406045545e-19,2.34646521488469e-19,39843317.8455741
"238",238,238,12353063.1544259,1.32144877320828e-19,1.64988955674436e-19,39843317.8455741
"239",239,239,12353063.1544259,9.28472760264563e-20,1.15987570389669e-19,39843317.8455741
"240",240,240,12353063.1544259,6.50253376646345e-20,8.14590047626225e-20,39843317.8455741
"241",241,241,12353063.1544259,4.55067070136935e-20,5.71567025136564e-20,39843317.8455741
"242",242,242,12353063.1544259,3.17539110484546e-20,4.00470831787559e-20,39843317.8455741
"243",243,243,12353063.1544259,2.2194302288243e-20,2.80414543135771e-20,39843317.8455741
"244",244,244,12353063.1544259,1.56112897139182e-20,1.96580122878284e-20,39843317.8455741
"245",245,245,12353063.1544259,1.09929042308812e-20,1.37968902001726e-20,39843317.8455741
"246",246,246,12353063.1544259,7.73969688658886e-21,9.69124712422965e-21,39843317.8455741
"247",247,247,12353063.1544259,5.48991794750465e-21,6.82478257892845e-21,39843317.8455741
"248",248,248,12353063.1544259,3.98254961129582e-21,4.84417943418463e-21,39843317.8455741
"249",249,249,12353063.1544259,2.90570080322148e-21,3.46413334296718e-21,39843317.8455741
"250",250,250,12353063.1544259,2.12419824032205e-21,2.49236329102898e-21,39843317.8455741
"251",251,251,12353063.1544259,1.57524326793109e-21,1.80852351618304e-21,39843317.8455741
"252",252,252,12353063.1544259,1.17416737245505e-21,1.32247742629444e-21,39843317.8455741
"253",253,253,12353063.1544259,8.64013673442955e-22,9.68823477186504e-22,39843317.8455741
"254",254,254,12353063.1544259,6.37797075298732e-22,7.11322120327557e-22,39843317.8455741
"255",255,255,12353063.1544259,4.73431390536823e-22,5.2394419654277e-22,39843317.8455741
"256",256,256,12353063.1544259,3.48386641182832e-22,3.85817170652121e-22,39843317.8455741
"257",257,257,12353063.1544259,2.55338458074077e-22,2.83711532463663e-22,39843317.8455741
"258",258,258,12353063.1544259,1.88017054164421e-22,2.08710650110116e-22,39843317.8455741
"259",259,259,12353063.1544259,1.40910374499618e-22,1.54384716022218e-22,39843317.8455741
"260",260,260,12353063.1544259,1.05940727046126e-22,1.14757323283493e-22,39843317.8455741
"261",261,261,12353063.1544259,8.0544290764186e-23,8.58880955393491e-23,39843317.8455741
"262",262,262,12353063.1544259,6.10235521072366e-23,6.45236072617276e-23,39843317.8455741
"263",263,263,12353063.1544259,4.68270442180194e-23,4.87944926660921e-23,39843317.8455741
"264",264,264,12353063.1544259,3.64167307407839e-23,3.72278580086659e-23,39843317.8455741
"265",265,265,12353063.1544259,2.85062377159549e-23,2.86388529589116e-23,39843317.8455741
"266",266,266,12353063.1544259,2.2408387660197e-23,2.21878619297459e-23,39843317.8455741
"267",267,267,12353063.1544259,1.75565397999064e-23,1.72538883314159e-23,39843317.8455741
"268",268,268,12353063.1544259,1.37135937287904e-23,1.34370640631958e-23,39843317.8455741
"269",269,269,12353063.1544259,1.07310418412819e-23,1.04812686253944e-23,39843317.8455741
"270",270,270,12353063.1544259,8.49188007049112e-24,8.21530749868698e-24,39843317.8455741
"271",271,271,12353063.1544259,6.70743540145547e-24,6.45602209431458e-24,39843317.8455741
"272",272,272,12353063.1544259,5.25543958276872e-24,5.06838288877214e-24,39843317.8455741
"273",273,273,12353063.1544259,4.08296772519899e-24,3.96499523458346e-24,39843317.8455741
"274",274,274,12353063.1544259,3.19023689777843e-24,3.10055202782639e-24,39843317.8455741
"275",275,275,12353063.1544259,2.5322404644527e-24,2.43683104855842e-24,39843317.8455741
"276",276,276,12353063.1544259,2.00666233808431e-24,1.92057377894157e-24,39843317.8455741
"277",277,277,12353063.1544259,1.59212570744874e-24,1.51714594135314e-24,39843317.8455741
"278",278,278,12353063.1544259,1.25914187077859e-24,1.19893451588428e-24,39843317.8455741
"279",279,279,12353063.1544259,9.91984519258943e-25,9.46466385908365e-25,39843317.8455741
"280",280,280,12353063.1544259,7.89467052462844e-25,7.49243013589053e-25,39843317.8455741
"281",281,281,12353063.1544259,6.40399262611899e-25,5.98158958199073e-25,39843317.8455741
"282",282,282,12353063.1544259,5.19955133461621e-25,4.80379205115505e-25,39843317.8455741
"283",283,283,12353063.1544259,4.17830547266999e-25,3.85874504738965e-25,39843317.8455741
"284",284,284,12353063.1544259,3.35264864191447e-25,3.09842087827925e-25,39843317.8455741
"285",285,285,12353063.1544259,2.71703400019825e-25,2.49607071008564e-25,39843317.8455741
"286",286,286,12353063.1544259,2.18140682822635e-25,2.00839743524538e-25,39843317.8455741
"287",287,287,12353063.1544259,1.74773159613501e-25,1.61356138111671e-25,39843317.8455741
"288",288,288,12353063.1544259,1.41359138283978e-25,1.2994334473635e-25,39843317.8455741
"289",289,289,12353063.1544259,1.15839600340264e-25,1.05299189631333e-25,39843317.8455741
