"","x"
"1",9.94276006822305
"2",7.33735287122589
"3",5.54117452432275
"4",10.0744440767551
"5",11.08343253018
"6",13.197380992019
"7",16.6833941045606
"8",21.5781359094518
"9",30.3680837233767
"10",36.5283773861026
"11",58.4600415030172
"12",64.3435348525516
"13",95.2546154369852
"14",109.310890943394
"15",176.214987459495
"16",218.122044973954
"17",370.317818360836
"18",429.690483654135
"19",648.094784455141
"20",836.172429885577
"21",1190.58453246288
"22",1439.74380282377
"23",2072.99763731313
"24",3026.55277140602
"25",4362.71294493577
"26",4693.89844693915
"27",7256.90035083184
"28",8237.01400044454
"29",14663.429103951
"30",14806.4276554171
"31",20130.8854358193
"32",31213.1530415225
"33",34272.276007508
"34",41694.5345251187
"35",53800.9612768413
"36",73987.1301713387
"37",102061.631855962
"38",159342.118042033
"39",201647.032922037
"40",207951.476433508
"41",321671.156975292
"42",451647.800312993
"43",453735.125354452
"44",635650.175977684
"45",690920.101596459
"46",655939.539041462
"47",739504.921648055
"48",530559.054800669
"49",478380.206700683
"50",422869.273435367
"51",334882.222459656
"52",249885.913859701
"53",168365.496629631
"54",125742.526145821
"55",69093.3569270621
"56",62682.8595065735
"57",48278.3257730336
"58",27710.1371774857
"59",20814.6974122447
"60",16979.3271571103
"61",12665.7442806006
"62",7109.08397837144
"63",6905.92841689956
"64",4785.95246284473
"65",3742.18612534104
"66",2505.94047673936
"67",2235.83704295555
"68",1612.75031691097
"69",1573.74693429717
"70",933.756816123813
"71",780.114131703418
"72",639.484063663232
"73",494.827992381284
"74",516.936206176267
"75",389.991876504893
"76",285.538925817201
"77",274.097842773374
"78",197.341749079411
"79",166.031620422682
"80",126.527712366639
"81",144.31470836871
"82",96.0643582006374
"83",70.3347000349185
"84",48.4144872543332
"85",48.8237258025122
"86",45.5022927155609
"87",32.7918726999005
"88",25.5695136348134
"89",21.8502061862906
"90",20.6155824213795
"91",17.5188906584172
"92",12.1108939342107
"93",14.0719208786417
"94",9.03118251607306
"95",7.94449987557876
"96",6.44196357973978
"97",5.12431880386451
"98",4.40748730506525
"99",3.0540113075959
"100",2.93279901432037
"101",2.31161012612426
"102",1.70527038777163
"103",1.27635151303002
"104",1.12223132534943
"105",0.864076623944034
"106",0.764263238141902
"107",0.576950752745384
"108",0.401908595440802
"109",0.342972270767353
"110",0.330215346732981
"111",0.227009476765453
"112",0.169077651735071
"113",0.135914176467242
"114",0.123552661627654
"115",0.111289126517186
"116",0.0882773240384789
"117",0.064375473080573
"118",0.0522465223444525
"119",0.0399695293150845
"120",0.0400862340018777
"121",0.0369671458815848
"122",0.0274051780045429
"123",0.0182440050296744
"124",0.0148644207645379
"125",0.0106385186789579
"126",0.00956858712510671
"127",0.0104196462839067
"128",0.00801601239115212
"129",0.00655426108234106
"130",0.0049746844079564
"131",0.00373883027503419
"132",0.00271873590422083
"133",0.00267813590728942
"134",0.00222782302780745
"135",0.00158073170285947
"136",0.00119657845637312
"137",0.00121511559260502
"138",0.000758262939819822
"139",0.000783159518088596
"140",0.000721677985285504
"141",0.000488192566946803
"142",0.00031725023812723
"143",0.000328834965844462
"144",0.000267580134471094
"145",0.000217987642768719
"146",0.000143985916112382
"147",0.000130215826993883
"148",0.000111538908462463
"149",0.000107466523446347
"150",6.74864145785134e-05
"151",5.3822898331746e-05
"152",4.59089704371613e-05
"153",4.51239810510336e-05
"154",2.835545046324e-05
"155",2.62805598792576e-05
"156",1.70120130708127e-05
"157",1.57917141887298e-05
"158",1.14911227785661e-05
"159",1.11809239081778e-05
"160",9.6048285811571e-06
"161",6.86127927581836e-06
"162",6.86176946249278e-06
"163",6.23334005708558e-06
"164",4.08792833731129e-06
"165",3.83612120450359e-06
"166",3.13572095971219e-06
"167",2.58080564806129e-06
"168",1.89283313368608e-06
"169",1.45701951856113e-06
"170",1.21546938985046e-06
"171",9.39971673125037e-07
"172",7.25074437675315e-07
"173",6.36972046372053e-07
"174",5.36901148666477e-07
"175",4.30056954270058e-07
"176",3.74874196326509e-07
"177",3.02496654875628e-07
"178",2.99168526991728e-07
"179",2.15586274192207e-07
"180",1.89633811613499e-07
"181",1.50376048073784e-07
"182",1.20265861160167e-07
"183",1.22096735754526e-07
"184",8.58802490441225e-08
"185",7.02796265029487e-08
"186",6.16590649883749e-08
"187",4.44966541677048e-08
"188",3.63270989158046e-08
"189",4.18568003343892e-08
"190",2.9348263322878e-08
"191",2.65847844710503e-08
"192",2.42893492195784e-08
"193",1.9456115006326e-08
"194",1.36059106134967e-08
"195",1.24475232314528e-08
"196",9.49593789604976e-09
"197",8.41962626310354e-09
"198",6.79436863055562e-09
"199",5.39000069279686e-09
"200",4.72133395646286e-09
"201",3.30399741741323e-09
"202",3.3845651832577e-09
"203",2.14843543478557e-09
"204",2.16113041077408e-09
"205",1.89068922606952e-09
"206",1.37336028002841e-09
"207",1.23101003686899e-09
