"","x"
"1",20.9946487479755
"2",65.9455195034526
"3",871.777126820061
"4",83.0313727729567
"5",102.553777902927
"6",911.171443339088
"7",248.211622062611
"8",664.849171434044
"9",862.641553768466
"10",263.472768435302
"11",601.75144143092
"12",260.565213772975
"13",1657.1795057323
"14",317.262057726596
"15",519.688107519247
"16",1259.44552640833
"17",1085.89928236894
"18",2172.88382898331
"19",8078.9021318789
"20",1479.76654401795
"21",17184.2620461457
"22",4740.21099072827
"23",2046.54006986092
"24",3179.72010017775
"25",5426.07218494817
"26",10175.4930178169
"27",5742.14238373564
"28",16314.6828767558
"29",6219.31770150937
"30",16984.3762922703
"31",26557.407710821
"32",43556.3580813791
"33",12310.5013372931
"34",14688.398784078
"35",99511.1298765024
"36",36413.2887784503
"37",30736.9940223043
"38",45194.9134187791
"39",52626.6962159879
"40",44686.7448368911
"41",59222.2318137387
"42",35873.2776899391
"43",60764.1915502631
"44",303321.458328176
"45",61127.5048899463
"46",54123.5808337004
"47",180266.179589802
"48",168164.971221677
"49",53086.2355806187
"50",116515.761008941
"51",134061.390903213
"52",831217.089227128
"53",242680.099202469
"54",99535.3316636245
"55",109088.79137914
"56",136632.456386264
"57",412278.580010505
"58",239126.970683495
"59",103931.228847804
"60",230333.693939044
"61",464009.682893249
"62",299914.455550826
"63",321126.82230224
"64",433662.083952213
"65",393601.54201978
"66",350984.85896227
"67",103273.133342649
"68",127199.869763253
"69",705246.905578421
"70",340298.695392088
"71",177239.73760055
"72",144982.071257104
"73",67193.0911110776
"74",8299.5564321937
"75",79367.4849211669
"76",155848.983106128
"77",375339.934788345
"78",80940.8138696128
"79",42686.188186995
"80",15060.7952651675
"81",140347.169126104
"82",81376.0261853493
"83",59819.5604033298
"84",35065.9994793407
"85",49721.327092636
"86",36212.8663812902
"87",120242.278356117
"88",87220.8770765973
"89",34228.8616511264
"90",8025.5181235678
"91",30332.6891783568
"92",14578.640864143
"93",14653.9743859018
"94",14264.8051439354
"95",71652.1583349596
"96",20763.587649279
"97",4515.46884865074
"98",52171.1759990905
"99",16398.0015940323
"100",24502.0598982406
"101",58097.6660948575
"102",3880.21683573293
"103",32793.8887642164
"104",4475.34487471152
"105",18490.5973768198
"106",25886.1607882437
"107",1932.81330949514
"108",4369.05120481631
"109",5400.4935820779
"110",39472.6456846868
"111",8159.7800770232
"112",13282.3591529232
"113",6836.8453532794
"114",6689.71333974327
"115",5169.36037434979
"116",3220.12642898173
"117",4875.60854153303
"118",923.018157163737
"119",11306.1553302987
"120",4222.66737260235
"121",12366.0802562684
"122",2067.65043824875
"123",2994.37279362241
"124",6642.86536770383
"125",21181.9510386832
"126",1457.16083176762
"127",2489.07970585786
"128",2113.92297626621
"129",3474.09280935766
"130",6368.74481473847
"131",2915.99602010007
"132",5112.59434721861
"133",1358.99293445438
"134",839.344098326674
"135",1802.77719936919
"136",744.749685369739
"137",731.742226544319
"138",429.200803097149
"139",916.259905776147
"140",827.740557133498
"141",878.568165153833
"142",153.661763612597
"143",1553.46513175423
"144",504.328459091188
"145",889.465282371696
"146",1728.63290909005
"147",416.276575583447
"148",279.574050414712
"149",1319.5183089304
"150",1101.60340385461
"151",3703.24276278021
"152",389.706379992774
"153",305.984610666777
"154",261.786147279244
"155",471.21374080445
"156",1257.1935812982
"157",245.080588253663
"158",196.969518261401
"159",139.473228064497
"160",293.735346693642
"161",71.3556329910566
"162",572.787851560768
"163",309.934779551674
"164",647.946761619506
"165",12.0359585857953
"166",784.288474366236
"167",63.1464516974713
"168",156.013725893689
"169",103.478119334977
"170",395.41141608115
"171",213.745775285286
"172",374.32919214357
"173",155.828772376506
"174",103.461586134864
"175",33.2271927836044
"176",138.357920812117
"177",109.081277417893
"178",169.116358233961
"179",86.5428424394942
"180",176.174006034234
"181",72.4738555265762
"182",52.2642410649873
"183",237.937907175558
"184",34.9992830976937
"185",131.440454820885
"186",33.050604663107
"187",189.347806305052
"188",33.8722626961696
"189",63.2396833573158
"190",41.7257405769781
"191",22.4388364575232
"192",30.6439399988298
"193",29.0742230545317
"194",30.8179585509174
"195",23.0022496394318
"196",48.7096227046151
"197",12.4414373627331
"198",108.978620813438
"199",29.7749309736678
"200",44.3039714173242
"201",12.0626490381248
"202",19.714267623147
"203",66.1989577451963
"204",14.0864693722985
"205",65.776238569313
"206",27.1675469022011
"207",69.5490054018336
"208",57.2777034890174
"209",39.115099879471
"210",50.4582151882078
"211",62.309574585355
"212",54.7948580260788
"213",204.739620099477
"214",17.1656578117042
"215",63.1387223287022
"216",140.081441215514
"217",8.58511689671616
"218",91.3715033656871
"219",54.6607773342456
"220",28.4424672212253
"221",12.5057272353218
"222",103.517851522703
"223",26.5942871564343
"224",33.0009851522718
"225",66.4361091537001
"226",24.3440041634765
"227",22.5423439298702
"228",19.4191237538178
"229",85.2809850780796
"230",52.9569062362006
"231",15.9472934121049
"232",79.5061906876653
"233",60.5879284860217
"234",98.9950632700239
"235",34.4417451357108
"236",36.3932230034986
"237",39.3316379493059
"238",34.6259590690051
"239",66.1640528617856
"240",68.193259584372
"241",99.1691460573861
"242",35.1196749040793
"243",34.6719089937185
"244",20.4138719328674
"245",54.6280132399257
"246",39.0356265974628
"247",19.8064964545957
"248",34.8035031740287
"249",19.7093280990668
"250",68.1104973513135
"251",14.3068835944157
"252",35.9233895949489
"253",14.8389751707289
"254",43.5414281875748
"255",112.80346922242
"256",10.5036141445879
"257",67.9168373192881
"258",10.5041789105713
"259",24.2995788770775
"260",18.2800725556455
"261",20.7158234380083
"262",19.4166420030771
"263",15.7365149637441
"264",99.2105324585092
"265",12.2814346844576
"266",36.9289291465464
"267",29.7381447878602
"268",30.5647255536591
"269",17.0293304960874
"270",81.8307206307638
"271",40.7219540405728
"272",112.959239335089
"273",16.6382780858891
"274",16.2219313850737
"275",45.2671189777887
"276",6.95570828549729
"277",32.772276952982
"278",7.45200077744952
"279",43.5700313284483
"280",9.53170846070999
"281",39.326647561045
"282",32.9937925324531
"283",41.7243312916738
"284",36.9103175780428
"285",47.6501535893334
"286",123.112558325782
"287",94.1844545769758
"288",15.8947635179589
"289",40.8538630702359
"290",9.73555362402209
"291",8.72070309923143
"292",14.1412661307586
"293",122.904834791299
"294",12.6047101747036
"295",32.7929475377402
"296",6.3720827205052
"297",49.5760618445899
"298",24.9480566177702
"299",8.86053825994159
"300",38.7760957359503
"301",65.4904585717287
"302",196.115511649018
"303",7.02739789792333
"304",33.0194412516659
"305",16.8726247894785
"306",37.4472918358851
"307",22.0903669560561
"308",15.736279882445
"309",13.2176267073585
"310",15.1490748052491
"311",15.3754919198283
"312",8.09872676697401
"313",12.8617299146217
"314",9.22873410491558
"315",9.06101124990393
"316",6.80634078265567
"317",6.52136679159911
"318",31.3278960164601
"319",8.70160677116161
"320",10.0605754726876
"321",29.7169131584056
"322",2.95653899840537
"323",11.3734638867142
"324",10.9622531206173
"325",3.43662139954901
"326",3.42840335205717
"327",3.42748550086023
"328",9.35222476293012
"329",21.532731898236
"330",4.19248234224633
"331",8.45124627192744
"332",8.06671985485689
"333",1.85094936830972
"334",3.10961431508185
"335",1.79137778057254
"336",1.78357800906788
"337",1.78631134238615
"338",14.0945813811494
"339",1.49346586896731
"340",3.74674108844849
"341",8.99092557260446
"342",1.97700817203464
"343",3.90532649023354
"344",1.05830484151532
"345",4.63821817433909
"346",3.25285023105677
"347",2.59768947082114
"348",1.22539596052257
"349",0.961614192002402
"350",4.7518988274473
"351",0.426668585190763
"352",5.85069963242196
"353",1.04293346750957
"354",0.857824345277367
"355",1.05825284093941
"356",1.32021336642054
"357",0.447708474984827
"358",0.565509722714525
"359",0.647435441667726
"360",2.39166909425544
"361",0.534819810994946
"362",0.945275647956425
"363",0.60714474873221
"364",0.545115606119927
"365",0.270223775128382
