"","time","t","S","E","I","R"
"1",1,1,40571954.7183144,1906.92291143904,4895.0405828428,11617624.3181913
"2",2,2,40569050.5064169,4356.12681562751,4425.37930570221,11618548.9874618
"3",3,3,40566294.5428119,6343.69223397837,4323.90360179942,11619418.8613523
"4",4,4,40563471.7247079,8130.79542335129,4482.67410767962,11620295.8057611
"5",5,5,40560449.5601827,9867.19933522825,4839.18979335282,11621225.0506887
"6",6,6,40557120.7649444,11659.3819275512,5358.55814923991,11622242.2949788
"7",7,7,40553388.1074722,13590.401448748,6024.28771608728,11623378.203363
"8",8,8,40549166.819399,15720.7176891933,6831.99528199512,11624661.4676298
"9",9,9,40544340.9721629,18131.9325223119,7787.25882270627,11626120.8364921
"10",10,10,40538833.4026428,20858.5719941723,8902.02705769097,11627786.9983053
"11",11,11,40532491.4849165,24001.0914773983,10194.8936065846,11629693.5299994
"12",12,12,40525179.8742517,27630.4804006566,11692.0683109203,11631878.5770367
"13",13,13,40516763.831881,31807.6466474417,13423.5496007595,11634385.9718707
"14",14,14,40507024.9024462,36663.6072164788,15426.4036504011,11637266.0866869
"15",15,15,40495761.4082369,42296.2620452664,17745.703016979,11640577.6267009
"16",16,16,40482638.6098809,48914.6616107516,20438.4139395414,11644389.3145688
"17",17,17,40467299.7286259,56720.8791812818,23577.5859195159,11648782.8062733
"18",18,18,40449195.9075119,66069.2460209741,27259.3164210236,11653856.5300461
"19",19,19,40427796.7920219,77249.8181580374,31603.6883623417,11659730.7014577
"20",20,20,40402534.2809977,90549.2209157739,36746.3040894107,11666551.1939971
"21",21,21,40373006.6634787,106060.411256951,42822.4961878963,11674491.4290765
"22",22,22,40338505.1111374,124150.563287216,49973.4853965704,11683751.8401788
"23",23,23,40298551.9964539,144921.782422279,58344.912708193,11694562.3084156
"24",24,24,40251516.3352528,169540.222950156,68139.6249928137,11707184.8168042
"25",25,25,40196529.3928806,198304.400857605,79616.8231987537,11721930.383063
"26",26,26,40132828.2674574,231374.647121426,93018.2408476666,11739159.8445734
"27",27,27,40058855.1502141,269631.356256682,108610.800473143,11759283.693056
"28",28,28,39972590.861047,314268.922215057,126747.525718524,11782773.6910194
"29",29,29,39872650.3022737,365729.56565129,147822.139777736,11810178.9922972
"30",30,30,39757347.7943222,424679.670764996,172228.436141447,11842125.0987713
"31",31,31,39624684.180978,491986.345526465,200389.812266693,11879320.6612289
"32",32,32,39471133.550874,569827.60403836,232852.056354602,11922567.7887331
"33",33,33,39294619.7497905,658738.781557446,270233.222344782,11972789.2463073
"34",34,34,39090472.2314536,761604.583744609,313266.377718498,12031037.8070833
"35",35,35,38856629.0688641,878490.546440199,362736.631740279,12098524.7529554
"36",36,36,38589285.4130102,1011079.02418117,419404.484580155,12176612.0782284
"37",37,37,38282904.192909,1162445.76014519,484202.628163044,12266828.4187828
"38",38,38,37933798.5912372,1333528.86449772,558150.630023307,12370902.9142417
"39",39,39,37536642.3675179,1526670.37479517,642299.629544803,12490768.6281421
"40",40,40,37086049.4051396,1743955.79804339,737796.486427653,12628579.3103893
"41",41,41,36576202.3318331,1987595.77726774,845858.875910421,12786724.0149887
"42",42,42,36001577.7663109,2259225.31052728,967734.35683415,12967843.5663276
"43",43,43,35359508.4007722,2557598.67529383,1104463.92497358,13174809.9989603
"44",44,44,34648119.0624458,2880889.16069233,1256703.90145,13410668.8754118
"45",45,45,33875636.2011799,3218096.23710502,1424138.45123386,13678510.1104812
"46",46,46,33051025.1821229,3558979.98417993,1605144.35610027,13981231.4775968
"47",47,47,32177099.3813975,3900409.42638559,1797543.81896713,14321328.3732497
