"","x"
"1",-0.22314355131421
"2",-0.212986373748499
"3",-0.204940905922893
"4",-0.203973929105322
"5",-0.198713515719202
"6",-0.193557016782694
"7",-0.199231993863101
"8",-0.214006028867601
"9",-0.225319219101934
"10",-0.23601664005236
"11",-0.240577261015699
"12",-0.247500753069905
"13",-0.2536926147498
"14",-0.266952370350361
"15",-0.27963164069378
"16",-0.284113146868076
"17",-0.288504856207896
"18",-0.292410944822238
"19",-0.291702064801427
"20",-0.291478833164724
"21",-0.285068196251511
"22",-0.285948662367734
"23",-0.287236266247697
"24",-0.296618684691575
"25",-0.305586899358494
"26",-0.321710560057501
"27",-0.331365002303411
"28",-0.342344151261564
"29",-0.352860215781169
"30",-0.367229266587954
"31",-0.373747173752899
"32",-0.378567967969209
"33",-0.377604662435125
"34",-0.372649768674255
"35",-0.368814088531781
"36",-0.368339702468632
"37",-0.367467278994994
"38",-0.351801731919109
"39",-0.349662253300182
"40",-0.336355901612358
"41",-0.317225647372217
"42",-0.305205869460056
"43",-0.285851203817547
"44",-0.264615866050242
"45",-0.255734019320819
"46",-0.241979198128406
"47",-0.226515569184333
"48",-0.209464541556187
"49",-0.19943140201422
"50",-0.201082870038218
"51",-0.208110956672882
"52",-0.22294308690396
"53",-0.24375413318947
"54",-0.258383511263221
"55",-0.274794321326684
"56",-0.290994899300394
"57",-0.297692391087474
"58",-0.301828937372923
"59",-0.30752289663631
"60",-0.3015227862317
"61",-0.293575127479242
