"","x"
"1",0
"2",13.6700897217667
"3",39.5848010472398
"4",67.3725245669563
"5",99.2244733687894
"6",108.200036343903
"7",123.018945960975
"8",133.065253863783
"9",156.737029211971
"10",216.679004426327
"11",216.077183999741
"12",200.649543437557
"13",289.475193946662
"14",293.657314488811
"15",353.703703214625
"16",347.678356269707
"17",357.907661435277
"18",378.949385280503
"19",453.640513717625
"20",446.815593498122
"21",438.077133847608
"22",466.106027151362
"23",515.075417208954
"24",483.707846863279
"25",540.639002793485
"26",547.478157789006
"27",552.495395264905
"28",579.075952230805
"29",638.456430304764
"30",541.528876897641
"31",666.374771653553
"32",552.706394723907
"33",668.728056406852
"34",583.903547126418
"35",623.604295401451
"36",573.436547625824
"37",728.107413369159
"38",593.361506386432
"39",729.766852332555
"40",721.741125792863
"41",668.748673779983
"42",586.943741738409
"43",607.072045381894
"44",689.105306391976
"45",708.163239579589
"46",721.841520181115
"47",755.863960174579
"48",653.341863860262
"49",771.226883186055
"50",709.912538353647
"51",805.4776068452
"52",716.648536732116
"53",797.516376596231
"54",849.351658175687
"55",827.934711982603
"56",843.643761449623
"57",873.314084224702
"58",1013.36738419117
"59",795.603225379174
"60",960.320096643066
"61",1019.42617534176
"62",987.463443976995
"63",1136.92688486082
"64",1078.10987307108
"65",1186.93500322205
"66",1093.99977785868
"67",1080.19792741464
"68",1314.11993770765
"69",1291.54615876112
"70",1197.68487206026
"71",1580.7120740883
"72",1853.22260958493
"73",2001.9649415717
"74",2030.10384471837
"75",2262.04217581364
"76",2357.36439304526
"77",3111.20232731073
"78",3189.54844215453
"79",3496.04373280015
"80",3555.11708919806
"81",4119.24594525408
"82",4291.19039491593
"83",3819.46549212386
"84",3768.63133766356
"85",4397.2755989741
"86",4526.35726673806
"87",5404.33065446019
"88",6261.37860423601
"89",4741.40394309429
"90",6746.14575532189
"91",6457.28245575531
"92",6264.53267593
"93",5621.94502486384
"94",6411.55924441736
"95",6449.63474018726
"96",6961.44693798153
"97",5279.92841590789
"98",5416.28452097194
"99",5727.38421904715
"100",6140.16087084215
"101",6576.69506897922
"102",5624.26681498508
"103",6728.5106225344
"104",5545.50833724549
"105",6759.71908002614
"106",7276.44904188101
"107",6456.86117561589
"108",6324.77488182993
"109",7064.21490578837
"110",7500.45982603548
"111",7491.97808836783
"112",8264.48410382943
"113",8440.78741211347
"114",6869.89750450228
"115",7138.3034108865
"116",7666.68997051004
"117",8055.63961023543
"118",7852.79702385655
"119",9676.84348722698
"120",11592.1252250808
"121",9856.67371279433
"122",10559.5347881827
"123",10151.5485877257
"124",11356.2766747342
"125",8896.66803888997
"126",13640.450236386
"127",13187.9974528207
"128",13442.4627246182
"129",18659.3854288436
"130",17107.6105056826
"131",21803.3473921047
"132",21073.5401386993
"133",30292.8960547983
"134",28137.0033973783
"135",37316.3512786643
"136",37334.0884743348
"137",40973.2986081802
"138",53349.7007597199
"139",64842.9988265367
"140",66627.4134431167
"141",93280.4661876402
"142",119077.250529392
"143",125635.742377894
"144",154400.597533488
"145",195682.619936948
"146",214533.212343302
"147",205909.600778338
"148",307699.567328741
"149",308200.864705896
"150",358681.859183163
"151",399296.204199664
"152",580339.565082837
"153",569644.483159897
"154",731831.678219279
"155",988932.700256733
"156",1168947.02306442
"157",1236997.71555985
"158",1362116.00563678
"159",1671397.96788094
"160",1527660.43969558
"161",1804811.8978493
"162",1850478.13257494
"163",1965527.56482937
"164",2676390.55390652
"165",2756243.06091429
"166",2969006.09009614
"167",2581560.89440354
"168",2719889.64567744
"169",2918016.88804517
"170",3399115.18111429
"171",2855584.49816661
"172",3287376.37379017
"173",3510661.05895818
"174",3505316.41832839
"175",3817405.4994815
"176",3477842.69459073
"177",3794363.76883693
"178",3064073.37756286
"179",3853942.58198291
"180",3690358.10006258
"181",3318400.32924111
"182",4273082.93205121
"183",3286501.71768521
"184",3987312.09000446
"185",3816883.30562221
"186",3710117.48278684
"187",4256547.81991825
"188",3899181.55562865
"189",4334323.2114737
"190",4325378.51965965
"191",4000942.85792321
"192",4456084.15394843
"193",5131115.73153261
"194",3785508.10063083
"195",3924334.55586785
"196",3669452.96310828
"197",3868496.20436941
"198",3625634.02685763
"199",3549257.0818759
"200",3787716.80719086
"201",3249822.80977769
"202",3397913.9082345
"203",4765627.47111674
"204",3665142.79913088
"205",3757276.62733044
"206",3660901.69580346
"207",3771422.3981241
"208",3908887.53619903
"209",4074343.59092059
"210",3670802.35811455
"211",3695019.1870711
"212",4144515.64317565
"213",4225950.8384134
"214",3736451.01916283
"215",4240363.87840048
"216",3723232.11978612
"217",3913259.70031889
"218",3587204.96299538
"219",3602698.83701839
"220",3329112.98131434
"221",3995065.77836034
"222",3761052.31267261
"223",4209814.12541934
"224",3893095.51869078
"225",3669675.37328606
"226",4842122.70439993
"227",4047062.93003336
"228",4365412.43627705
"229",3463217.98927266
"230",4511984.73300092
"231",3844844.82496124
"232",4198625.48075121
"233",4443527.24373034
"234",3555941.94891235
"235",4486838.02450814
"236",4286503.67768437
"237",4155916.69966964
"238",4302631.4190826
"239",3708292.07438282
"240",4168530.79006712
"241",4106204.25994433
"242",3883651.01354509
"243",4847721.7009445
"244",3853102.05631948
"245",4076312.67887405
"246",4547625.56062796
"247",3687922.42773802
"248",4031224.9860333
"249",3956147.35692134
"250",4534232.50007942
"251",3845664.69887111
"252",4155173.20185261
"253",3513864.05245081
"254",3841604.11503668
"255",3562066.08703872
"256",3803606.49555507
"257",4052791.80250091
"258",3989109.06557054
"259",4196128.77654979
"260",3868167.66313095
"261",3567559.85414688
"262",3730947.39537424
"263",3243549.11733881
"264",3443694.5710904
"265",3822411.99565975
"266",4023848.65858072
"267",3779131.75039877
"268",4023336.040736
"269",3925211.54182722
"270",3387691.08753532
"271",4127324.60511338
"272",3870475.27315526
"273",3659961.70732736
"274",3940478.83151225
"275",3983131.44885485
"276",4099480.82439242
"277",3125293.84318906
"278",3170185.77072415
"279",3990723.0429049
"280",4069173.45672237
"281",3856122.32961278
"282",3564101.66648952
"283",3653512.13646038
"284",3392855.68026118
"285",3856014.46044136
"286",4178973.65809587
"287",4460768.02146901
"288",4232105.42802673
"289",4283884.85212337
"290",3752845.98008767
"291",3614063.06784919
"292",4677259.21859523
"293",4176287.86009296
"294",4308960.40872367
"295",3484535.90414384
"296",3988064.3796073
"297",4330418.06926529
"298",3688935.92797668
"299",4419123.14357274
"300",3446508.19849888
"301",3559547.31442441
"302",3558386.94281063
"303",3557288.1059788
"304",3594886.15802465
"305",4620327.92913251
"306",3397224.80797749
"307",3724014.26930825
"308",5011498.5070702
"309",5080959.48956463
"310",3473554.6300988
"311",3710212.32918957
"312",4003630.84408619
"313",4110987.77036119
"314",3702698.92812129
"315",4217329.3272629
"316",4084276.89900965
"317",4179718.92279103
"318",3530112.23813367
"319",3741960.3620475
"320",4735620.00338854
"321",3429435.79475393
"322",3872987.43765055
"323",3611694.2180058
"324",3940970.26773265
"325",3768133.26074789
"326",4019611.5963528
"327",4290096.02830778
"328",3610923.53031803
"329",3651452.53108869
"330",4187838.76204385
"331",4807215.84066974
"332",4019330.87844827
"333",3830000.59902074
"334",3475755.91066678
"335",3647060.24788699
"336",3961587.45058639
"337",3802526.94047316
"338",3704824.65700817
"339",3977524.00360316
"340",4451127.55751211
"341",4124504.08685361
"342",4006550.2130758
"343",3531557.27160334
"344",3621440.5325651
"345",4444559.76200934
"346",3479345.95323567
"347",3919060.36035358
"348",3491564.44727289
"349",3824315.16120434
"350",4066229.49387417
"351",3513775.96965973
"352",3623668.19159706
"353",3300386.77501814
"354",4818151.32108962
"355",4201498.54432706
"356",3813863.29677906
"357",3996536.88728529
"358",4025735.27272853
"359",4057279.14366164
"360",3815746.25194274
"361",3444186.41187619
"362",3831269.50813169
"363",3902632.00601895
"364",4254439.61032531
"365",3790113.80965233
"366",4214333.88738793
