"","e.time","e.value","y.time","y.value","value","value.1","value.2","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,308.931748454037,-9.96298012183979,-10.2287137086969,0.0417323509432921,0,50013940.3722469,0,2356.45922315033,0,1806.47866814998,0,2178277.68986178,0,0,28484
"2",1,-2.20490955821675,1,272.972632825004,-9.96298012183979,-10.2287137086969,0.0417323509432921,1,50012390.2068122,1,2393.85873940688,1,1703.81728568242,1,2179893.11716276,1,-0.154343669075173,28484
"3",2,1.43923653031996,2,314.09140574248,-9.96298012183979,-10.2287137086969,0.0417323509432921,2,50010947.12167,2,2351.25860104679,2,1642.31582013362,2,2181440.30390884,2,-0.0535971119527753,28484
"4",3,-0.839637526202768,3,311.377712143527,-9.96298012183979,-10.2287137086969,0.0417323509432921,3,50009513.9461749,3,2312.77400940006,3,1609.47532297281,3,2182944.80449267,3,-0.112371738786969,28484
"5",4,0.535867198424444,4,311.797914655807,-9.96298012183979,-10.2287137086969,0.0417323509432921,4,50008125.7922803,4,2264.36816040017,4,1572.80408497459,4,2184418.03547428,4,-0.074861034897258,28484
"6",5,-0.0772423668837964,5,306.376251885705,-9.96298012183979,-10.2287137086969,0.0417323509432921,5,50006744.4189379,5,2231.32070694715,5,1544.52860948287,5,2185860.7317457,5,-0.0802680005791237,28484
"7",6,0.953065487062273,6,304.684416980503,-9.96298012183979,-10.2287137086969,0.0417323509432921,6,50005342.6634548,6,2233.18929731337,6,1524.73498990199,6,2187280.41225798,6,-0.0135534164847646,28484
"8",7,-0.544953893135394,7,330.5187651847,-9.96298012183979,-10.2287137086969,0.0417323509432921,7,50003930.0781557,7,2236.86177004786,7,1523.1793206451,7,2188690.88075356,7,-0.0517001890042422,28484
"9",8,0.274620825980796,8,307.808428911789,-9.96298012183979,-10.2287137086969,0.0417323509432921,8,50002533.1622422,8,2230.43694564888,8,1518.32363696005,8,2190099.07717521,8,-0.0324767311855865,28484
"10",9,-0.529751664036083,9,287.107712867393,-9.96298012183979,-10.2287137086969,0.0417323509432921,9,50001152.6987352,9,2211.6246331846,9,1513.54638357394,9,2191503.13024803,9,-0.0695593476681124,28484
"11",10,0.577533786303639,10,307.981847028527,-9.96298012183979,-10.2287137086969,0.0417323509432921,10,49999777.772924,10,2201.60291326719,10,1502.33763324817,10,2192899.28652946,10,-0.0291319826268576,28484
"12",11,-0.772843077277282,11,261.148074228648,-9.96298012183979,-10.2287137086969,0.0417323509432921,11,49998419.9934802,11,2178.41611174277,11,1495.20221451533,11,2194287.38819352,11,-0.0832309980362673,28484
"13",12,-0.594876138932837,12,316.072296784931,-9.96298012183979,-10.2287137086969,0.0417323509432921,12,49997138.2461149,12,2109.96290416557,12,1470.72407282939,12,2195662.0669081,12,-0.124872327761566,28484
"14",13,0.431812697273374,13,266.109373774152,-9.96298012183979,-10.2287137086969,0.0417323509432921,13,49995892.1463276,13,2050.19317237284,13,1432.25052278924,13,2197006.40997727,13,-0.0946454389524297,28484
"15",14,-0.64869207230197,14,265.179897942575,-9.96298012183979,-10.2287137086969,0.0417323509432921,14,49994687.8186207,14,1983.56634060525,14,1394.27811229087,14,2198315.33692633,14,-0.140053884013568,28484
"16",15,-1.26142958845625,15,221.037483531904,-9.96298012183979,-10.2287137086969,0.0417323509432921,15,49993596.5800827,15,1862.07689704233,15,1339.50729278211,15,2199582.83572741,15,-0.228353955205505,28484
"17",16,0.99739642835698,16,251.253956338511,-9.96298012183979,-10.2287137086969,0.0417323509432921,16,49992568.0193226,16,1757.00027827639,16,1266.43326423686,16,2200789.54713481,16,-0.158536205220517,28484
"18",17,-0.307362349859573,17,185.928634313787,-9.96298012183979,-10.2287137086969,0.0417323509432921,17,49991569.7329619,17,1674.9068412442,17,1203.81276677285,17,2201932.54743005,17,-0.180051569710687,28484
"19",18,0.748960226218153,18,192.105834500662,-9.96298012183979,-10.2287137086969,0.0417323509432921,18,49990605.4204666,18,1608.99524558399,18,1146.62057121449,18,2203019.96371657,18,-0.127624353875416,28484
"20",19,0.196829939106866,19,206.491170935631,-9.96298012183979,-10.2287137086969,0.0417323509432921,19,49989651.304028,19,1565.14103133899,19,1103.75121745811,19,2204060.80372318,19,-0.113846258137936,28484
"21",20,1.75523598952435,20,166.386103924993,-9.96298012183979,-10.2287137086969,0.0417323509432921,20,49988661.6512098,20,1573.00393254559,20,1077.63203823762,20,2205068.71281939,20,0.00902026112876916,28484
"22",21,-0.4111559224086,21,229.599486534407,-9.96298012183979,-10.2287137086969,0.0417323509432921,21,49987635.3689086,21,1599.21944084554,21,1080.14442536929,21,2206066.2672251,21,-0.0197606534398329,28484
"23",22,-0.594880429699035,22,185.116780113913,-9.96298012183979,-10.2287137086969,0.0417323509432921,22,49986640.2353097,22,1589.73765748069,22,1082.83148918488,22,2207068.19554354,22,-0.0614022835187653,28484
"24",23,1.55185014603177,23,203.777979939602,-9.96298012183979,-10.2287137086969,0.0417323509432921,23,49985610.5728726,23,1616.44597554149,23,1083.65239269827,23,2208070.32875912,23,0.0472272267034583,28484
"25",24,-0.686916592648349,24,215.651377228785,-9.96298012183979,-10.2287137086969,0.0417323509432921,24,49984539.4127337,24,1655.50711282292,24,1103.81648294637,24,2209082.26367048,24,-0.000856934781926128,28484
"26",25,-1.57065127932792,25,209.853239763715,-9.96298012183979,-10.2287137086969,0.0417323509432921,25,49983533.7362496,25,1625.035682145,25,1112.17843386443,25,2210110.04963428,25,-0.11080252433488,28484
"27",26,2.61820982487428,26,195.624768605578,-9.96298012183979,-10.2287137086969,0.0417323509432921,26,49982491.3963651,26,1647.67801859096,26,1105.83938886131,26,2211136.08622738,26,0.0724721634063194,28484
"28",27,-0.84948091178983,27,206.921459000553,-9.96298012183979,-10.2287137086969,0.0417323509432921,27,49981375.4208679,27,1704.94957327341,27,1130.63602263812,27,2212169.99353617,27,0.0130084995810313,28484
"29",28,1.83211420805399,28,261.777153593105,-9.96298012183979,-10.2287137086969,0.0417323509432921,28,49980189.3238778,28,1796.92172579185,28,1164.02995014101,28,2213230.7244462,28,0.141256494144811,28484
"30",29,0.274623612091021,29,251.411446889973,-9.96298012183979,-10.2287137086969,0.0417323509432921,29,49978856.999885,29,1950.90304991927,29,1234.5627161632,29,2214338.53434884,29,0.160480146991182,28484
"31",30,0.261161928695201,30,278.870963098044,-9.96298012183979,-10.2287137086969,0.0417323509432921,30,49977404.5318275,30,2123.43494991132,30,1329.2136883205,30,2215523.81953423,30,0.178761481999846,28484
"32",31,-0.822566047644732,31,338.689993691324,-9.96298012183979,-10.2287137086969,0.0417323509432921,31,49975867.0540565,31,2274.33050092737,31,1435.74317315863,31,2216803.87226932,31,0.121181858664715,28484
"33",32,-1.03718262342107,32,296.403546292844,-9.96298012183979,-10.2287137086969,0.0417323509432921,32,49974322.4708382,32,2358.21748904413,32,1524.06435755291,32,2218176.24731513,32,0.0485790750252398,28484
"34",33,-1.42790770096292,33,320.085600307131,-9.96298012183979,-10.2287137086969,0.0417323509432921,33,49972837.6543974,33,2355.46724407628,33,1573.85354367097,33,2219614.02481484,33,-0.0513744640421644,28484
"35",34,0.728950127086095,34,270.315704521742,-9.96298012183979,-10.2287137086969,0.0417323509432921,34,49971362.0925603,34,2354.74231452402,34,1585.88248089008,34,2221078.28264426,34,-0.000347955146137748,28484
"36",35,0.383122972561636,35,372.835079439444,-9.96298012183979,-10.2287137086969,0.0417323509432921,35,49969815.5640619,35,2405.75352051083,35,1605.13954511071,35,2222554.54287244,35,0.0264706529331767,28484
"37",36,0.631593463099402,36,235.801307568815,-9.96298012183979,-10.2287137086969,0.0417323509432921,36,49968185.3005338,36,2497.04722735686,36,1642.33258151182,36,2224056.31965726,36,0.0706821953501349,28484
"38",37,0.966038739882245,37,324.226024414366,-9.96298012183979,-10.2287137086969,0.0417323509432921,37,49966406.609573,37,2659.13874444968,37,1709.86883480775,37,2225605.38284763,37,0.138304907141892,28484
"39",38,-1.45475349379614,38,336.578017532589,-9.96298012183979,-10.2287137086969,0.0417323509432921,38,49964572.0564678,38,2775.54875842345,38,1801.96727307972,38,2227231.42750061,38,0.0364721625761622,28484
"40",39,-0.539391366310422,39,350.588512488156,-9.96298012183979,-10.2287137086969,0.0417323509432921,39,49962785.264472,39,2805.74294425486,39,1860.27060168387,39,2228929.72198197,39,-0.00128523306556735,28484
"41",40,-0.0950270484233711,40,325.277913049369,-9.96298012183979,-10.2287137086969,0.0417323509432921,40,49960996.2674723,40,2824.6217141025,40,1891.81473125582,40,2230668.2960823,40,-0.00793712645520333,28484
"42",41,-0.120576115638726,41,371.676314969701,-9.96298012183979,-10.2287137086969,0.0417323509432921,41,49959197.0797604,41,2841.63659753335,41,1912.20760004839,41,2232430.07604196,41,-0.0163774545499141,28484
