"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,17.8593587726492,17.8906318906265,20.5942682312387,23.8103777714415,25.4227991245263,30.3058916263547,23
"2",0,14,6.77734895722524,6.02959263389208,6.73867736591559,7.3227734703754,8.29142789487915,9.45140551506018,7
"3",0,21,8.42837798076499,6.36513928217189,7.58438892343125,8.50336593967326,9.82368462725165,11.0206772543889,9
"4",0,28,58.9491907438692,40.1138362009334,46.331987671788,48.463753502841,56.5377988983121,69.8452408336214,46
"5",0,35,337.580454317274,230.120888388284,316.61294988953,352.88293776333,396.113063309545,499.131899192149,366
"6",0,42,3168.87115126377,1641.71401061822,1938.45999307905,2137.41171299431,2470.3272721036,3490.64931058349,2249
"7",0,49,5536.31378562573,4975.81172470098,5553.26630469557,6624.65307372023,7484.80028654985,8287.36417713663,6425
"8",0,56,16942.1770350696,12273.8947270419,14838.0482951616,16754.2779684151,17469.8760496624,19858.5834693032,16468
"9",0,63,21635.9382548993,19964.9111363352,22643.546486601,24845.8486752507,29009.9792595934,34567.6413247552,26178
"10",0,70,23583.0957217435,20476.9518703738,25052.9733912936,27017.07231579,30394.379941423,35366.9180796634,27036
"11",0,77,34182.4537149095,19588.9227520023,23176.6943331923,25678.7212238231,29451.5167378302,33297.382500481,27355
"12",0,84,30408.9656918941,20511.3885694546,23986.9158877636,26379.9876882542,30364.5714654512,34311.3698680018,27950
"13",0,91,22757.7524094555,19837.4967908938,23774.7782235684,26316.4990075126,27817.3244207573,32578.4618795921,26739
"14",0,98,16272.0068451333,13917.3968456216,16247.7269160614,18200.1253744702,20169.2058943907,23272.0190303105,18900
"15",0,105,16458.0643753524,14270.5869090368,16108.5556555162,17069.0322898067,19284.007120906,21235.0925118072,16668
"16",0,112,15495.8499396091,10706.8030690566,13232.3904042591,13924.9683228524,14404.7298234921,15584.7263783966,13777
"17",0,119,9547.48071835794,7293.0526075416,8166.91940769735,9719.69268076851,10637.3428242348,12610.9843709851,9409
"18",0,126,8734.68166909261,5650.03209602988,6145.91807708419,7140.02924273568,7584.72046029841,8952.11637672286,7493
"19",0,133,6280.65362328958,5236.73357980219,6183.9172942127,6789.07060100201,6993.74010456066,8682.84884826928,6532
"20",0,140,5426.91067007204,5099.02635169003,5578.7523732242,5899.77535193834,6321.72672724659,7767.51413854827,5786
"21",0,147,4570.44509345942,3240.19669983185,4157.0519466721,4577.10047481124,4803.16507358234,5262.42695588091,4482
"22",0,154,2905.98469278034,2696.37307892933,3333.93533345283,4084.27698508818,4389.70993911984,5250.42504977566,3877
"23",0,161,3565.47185177078,3280.41236711556,3678.46686128799,3849.85669921284,4289.28737626774,4751.85559370653,3907
"24",0,168,4176.45897840595,3237.20492961831,3767.29545075631,4046.54772369526,4674.06331534938,5371.4574737603,4165
"25",0,175,3601.86512783963,3354.29486185103,4169.10777313238,4557.84461925491,5079.50211711933,6335.20814187161,4708
"26",0,182,4872.47874043993,3907.44500570752,4695.65756001623,5085.81147985532,5707.4157389117,7178.2745902615,5163
"27",0,189,6347.47247404217,4727.36379034197,5462.58042917241,6045.03655143506,6559.01653277654,7186.30611190673,6016
"28",0,196,6647.42846506729,5622.05106946091,6250.95321035738,6701.50787806508,8020.50570911096,8631.69230496721,7033
"29",0,203,7409.95718252498,5377.8563513817,6469.81555358754,7128.93736361674,7942.11615015231,9102.95533667386,6944
"30",0,210,7477.14278705484,6587.24440658195,7651.58924317137,8073.90716160403,8839.11293597918,10213.2938827488,8212
"31",0,217,19766.1702686466,11568.1251155051,13426.1303402963,14821.9517870855,16643.4257681048,20135.8221590617,15569
"32",0,224,15200.9618125825,12974.5625486391,17241.007812694,19604.7724218275,21493.385258503,26195.2837551916,19476
"33",0,231,29105.0778247391,20016.9902701409,24957.3830861164,26888.0756808383,29207.1316902939,31039.5473246336,26912
"34",0,238,43759.5204285235,30894.8732680211,35570.4520088253,39203.5517117552,43669.8308996136,52744.4945456389,40314
"35",0,245,94228.4674416487,53923.3423333185,65628.9076011852,74882.7142983766,81863.4294947844,99908.6697855401,71085
"36",0,252,93306.4658325839,69701.7571475595,85772.9357696383,93086.5535792091,100834.788953729,132039.413976745,92787
"37",0,259,128135.230983427,86921.151493742,94931.1090701185,102326.458006461,109930.051095745,127510.492243184,103385
"38",0,266,153609.231915252,94719.9089766416,117153.873722365,131396.778525657,150591.046584547,167908.030507168,131061
"39",0,273,117055.446366317,99470.6375146323,119951.301705965,128123.932027157,154100.521758241,187931.458941266,132673
"40",0,280,164004.6404277,117228.561760401,139087.041833623,156352.037322012,164137.431736638,181040.928171965,149683
"41",0,287,126266.308829374,106854.245404589,125987.731612194,146027.794122179,155814.710339385,175139.684471428,153502
"42",0,294,127411.556056834,88886.1480531228,103850.34738545,115786.300731639,126069.984094343,141210.660563711,115139
"43",0,301,109794.238974821,64670.3034451334,88434.4356450597,98913.5678744487,105534.380822606,125251.010633229,88223
"44",0,308,68548.5541530394,69291.4758054405,81989.7013978757,89285.0100910433,96472.9534434344,114270.736706563,89785
"45",0,315,113025.31141617,102644.551889388,117876.09363565,124257.656498825,137057.767320437,159646.437869009,126048
"46",0,322,213386.888149002,164043.219817505,183964.716644827,212026.201742507,232577.991461126,263751.985061477,204659
"47",0,329,303428.588254242,205343.065264974,223268.963140935,237703.304543379,279739.213012087,323118.858210022,246495
"48",0,336,395010.958270701,279778.876816571,326867.413000641,354506.760627329,375456.654279296,402732.309002072,361941
"49",0,343,373266.217302025,268616.689564809,308173.653605849,353885.232067425,386775.243385866,463198.568741934,345065
"50",0,350,258019.139303234,194029.016134514,238061.078401417,263977.161036214,304935.866366985,382847.069171727,274715
"51",0,357,231554.411432177,170676.05710798,183190.58835982,210896.670251379,226942.02570196,268881.352714661,205354
"52",0,364,98362.9974271339,104178.332771545,143449.011346424,149701.060579626,169683.620046404,215721.863219617,149628
"53",0,371,92936.4098168137,93388.3837084305,106636.276710125,114429.18720778,123782.194997557,144888.66459119,109494
"54",0,378,110193.849018149,58835.5260134214,73562.0004874487,76740.6652731604,85163.146761611,106505.916643803,77766
"55",0,385,57427.3397309241,46926.7316222219,60993.2902270967,66344.3700514266,74027.6863765361,78294.05512841,68385
"56",0,392,50469.871518585,33288.3041313444,42047.1837665029,45188.8526388302,50562.2918194372,56917.4431296559,47619
"57",0,399,34507.5770257217,27381.1335246753,30078.5646313056,33531.1128414517,37766.7395979392,44437.4296452656,34719
"58",0,406,42522.4000010575,25271.8796299322,27452.9658177276,31708.7783878913,36751.5676077495,44238.1573402329,33440
"59",0,413,36251.21452402,23338.3244585759,31692.8060670077,34378.4464927831,39299.87219125,45087.3225876504,32802
"60",0,420,42818.6172360066,23515.9654065618,28910.9298628705,32084.7795787432,34824.2250968747,41705.1993272114,31372
"61",1,7,23.4344495496288,17.8906318906265,20.5942682312387,23.8103777714415,25.4227991245263,30.3058916263547,23
"62",1,14,7.33726582664143,6.02959263389208,6.73867736591559,7.3227734703754,8.29142789487915,9.45140551506018,7
"63",1,21,8.07278833994403,6.36513928217189,7.58438892343125,8.50336593967326,9.82368462725165,11.0206772543889,9
"64",1,28,46.8391957956088,40.1138362009334,46.331987671788,48.463753502841,56.5377988983121,69.8452408336214,46
"65",1,35,400.822242189884,230.120888388284,316.61294988953,352.88293776333,396.113063309545,499.131899192149,366
"66",1,42,1643.76920176801,1641.71401061822,1938.45999307905,2137.41171299431,2470.3272721036,3490.64931058349,2249
"67",1,49,5361.94513630053,4975.81172470098,5553.26630469557,6624.65307372023,7484.80028654985,8287.36417713663,6425
"68",1,56,20169.9511600132,12273.8947270419,14838.0482951616,16754.2779684151,17469.8760496624,19858.5834693032,16468
"69",1,63,24577.0899472375,19964.9111363352,22643.546486601,24845.8486752507,29009.9792595934,34567.6413247552,26178
"70",1,70,30003.0895398427,20476.9518703738,25052.9733912936,27017.07231579,30394.379941423,35366.9180796634,27036
"71",1,77,22474.7807410132,19588.9227520023,23176.6943331923,25678.7212238231,29451.5167378302,33297.382500481,27355
"72",1,84,34630.9613299139,20511.3885694546,23986.9158877636,26379.9876882542,30364.5714654512,34311.3698680018,27950
"73",1,91,25156.9220471913,19837.4967908938,23774.7782235684,26316.4990075126,27817.3244207573,32578.4618795921,26739
"74",1,98,20573.6698441759,13917.3968456216,16247.7269160614,18200.1253744702,20169.2058943907,23272.0190303105,18900
"75",1,105,20188.1352524579,14270.5869090368,16108.5556555162,17069.0322898067,19284.007120906,21235.0925118072,16668
"76",1,112,15041.5293080683,10706.8030690566,13232.3904042591,13924.9683228524,14404.7298234921,15584.7263783966,13777
"77",1,119,10238.7576826351,7293.0526075416,8166.91940769735,9719.69268076851,10637.3428242348,12610.9843709851,9409
"78",1,126,5493.76220189731,5650.03209602988,6145.91807708419,7140.02924273568,7584.72046029841,8952.11637672286,7493
"79",1,133,8241.11366135492,5236.73357980219,6183.9172942127,6789.07060100201,6993.74010456066,8682.84884826928,6532
"80",1,140,5896.64242333501,5099.02635169003,5578.7523732242,5899.77535193834,6321.72672724659,7767.51413854827,5786
"81",1,147,3858.4438025973,3240.19669983185,4157.0519466721,4577.10047481124,4803.16507358234,5262.42695588091,4482
"82",1,154,5681.77410217659,2696.37307892933,3333.93533345283,4084.27698508818,4389.70993911984,5250.42504977566,3877
"83",1,161,3780.67676672607,3280.41236711556,3678.46686128799,3849.85669921284,4289.28737626774,4751.85559370653,3907
"84",1,168,4814.85662499314,3237.20492961831,3767.29545075631,4046.54772369526,4674.06331534938,5371.4574737603,4165
"85",1,175,5814.38430988147,3354.29486185103,4169.10777313238,4557.84461925491,5079.50211711933,6335.20814187161,4708
"86",1,182,5678.72328388608,3907.44500570752,4695.65756001623,5085.81147985532,5707.4157389117,7178.2745902615,5163
"87",1,189,6555.37865443762,4727.36379034197,5462.58042917241,6045.03655143506,6559.01653277654,7186.30611190673,6016
"88",1,196,5146.76746014656,5622.05106946091,6250.95321035738,6701.50787806508,8020.50570911096,8631.69230496721,7033
"89",1,203,5397.85125300669,5377.8563513817,6469.81555358754,7128.93736361674,7942.11615015231,9102.95533667386,6944
"90",1,210,8748.77673824347,6587.24440658195,7651.58924317137,8073.90716160403,8839.11293597918,10213.2938827488,8212
"91",1,217,15224.5244673884,11568.1251155051,13426.1303402963,14821.9517870855,16643.4257681048,20135.8221590617,15569
"92",1,224,21540.2095428319,12974.5625486391,17241.007812694,19604.7724218275,21493.385258503,26195.2837551916,19476
"93",1,231,25260.7357349276,20016.9902701409,24957.3830861164,26888.0756808383,29207.1316902939,31039.5473246336,26912
"94",1,238,37894.3452465053,30894.8732680211,35570.4520088253,39203.5517117552,43669.8308996136,52744.4945456389,40314
"95",1,245,78042.9453168903,53923.3423333185,65628.9076011852,74882.7142983766,81863.4294947844,99908.6697855401,71085
"96",1,252,104386.36046503,69701.7571475595,85772.9357696383,93086.5535792091,100834.788953729,132039.413976745,92787
"97",1,259,86533.6181598352,86921.151493742,94931.1090701185,102326.458006461,109930.051095745,127510.492243184,103385
"98",1,266,119932.396669949,94719.9089766416,117153.873722365,131396.778525657,150591.046584547,167908.030507168,131061
"99",1,273,128723.606213372,99470.6375146323,119951.301705965,128123.932027157,154100.521758241,187931.458941266,132673
"100",1,280,159158.537437606,117228.561760401,139087.041833623,156352.037322012,164137.431736638,181040.928171965,149683
"101",1,287,160290.453448971,106854.245404589,125987.731612194,146027.794122179,155814.710339385,175139.684471428,153502
"102",1,294,101363.413863668,88886.1480531228,103850.34738545,115786.300731639,126069.984094343,141210.660563711,115139
"103",1,301,132023.577522498,64670.3034451334,88434.4356450597,98913.5678744487,105534.380822606,125251.010633229,88223
"104",1,308,93094.5196695406,69291.4758054405,81989.7013978757,89285.0100910433,96472.9534434344,114270.736706563,89785
"105",1,315,138159.298432121,102644.551889388,117876.09363565,124257.656498825,137057.767320437,159646.437869009,126048
"106",1,322,271639.677147618,164043.219817505,183964.716644827,212026.201742507,232577.991461126,263751.985061477,204659
"107",1,329,213271.118183033,205343.065264974,223268.963140935,237703.304543379,279739.213012087,323118.858210022,246495
"108",1,336,372456.83819888,279778.876816571,326867.413000641,354506.760627329,375456.654279296,402732.309002072,361941
"109",1,343,308422.217326037,268616.689564809,308173.653605849,353885.232067425,386775.243385866,463198.568741934,345065
"110",1,350,238877.743278881,194029.016134514,238061.078401417,263977.161036214,304935.866366985,382847.069171727,274715
