"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,552,506.975,552,569,586,625,550
"2",0,14,2014,1921.975,2007,2041.5,2080,2158.025,2043
"3",0,21,7741,7536.95,7684,7755,7825,7969,7745
"4",0,28,13640,13159.975,13375.75,13473,13562,13762.05,13518
"5",0,35,23710,23203,23421.5,23559.5,23730,24020.025,23640
"6",0,42,77670,76449.85,76935.75,77184,77435.5,77885,77227
"7",0,49,80026,69395.675,69777.5,69974.5,70197.25,70724.075,70135
"8",0,56,40366,40021.875,40332,40505.5,40677.25,41004.15,40480
"9",0,63,25515,24578.925,24824.5,24965,25096.25,25385.025,24998
"10",0,70,11970,11444.975,11602.75,11715,11842.75,12038.125,11829
"11",0,77,6310,6236.975,6358,6420,6491,6609.05,6410
"12",0,84,4192,3995.975,4102,4145,4193.25,4283,4120
"13",0,91,6039,5874,5979.75,6043,6109.25,6237.075,6084
"14",0,98,7964,7766.95,7903,7981.5,8064,8253,8018
"15",0,105,9792,9649.95,9843.75,9939.5,10029.25,10184.025,9843
"16",0,112,13628,13730.85,13994,14118,14211,14384.025,14031
"17",0,119,24370,23868.775,24097,24228.5,24366,24698.2,24280
"18",0,126,31033,30297.85,30550,30682,30820,31139.025,30690
"19",0,133,50513,49389.775,49730,49955,50252.25,50763.375,50210
"20",0,140,73282,73281.875,73766.5,74075.5,74336.25,74791.075,73974
"21",0,147,66604,66246.925,66809.5,67214,67528.25,67928.025,66816
"22",0,154,51970,51876.75,52207.5,52424,52667.25,53123.025,52544
"23",0,161,48152,48047.925,48354.75,48535,48741,49179.025,48688
"24",0,168,38046,37788.75,38158.5,38374.5,38574.5,38844.15,38163
"25",0,175,22847,21986.875,22224,22366,22561.25,22968.275,22468
"26",0,182,14899,14505.975,14686,14789.5,14889.25,15080.1,14737
"27",0,189,11729,11447.95,11594.75,11676,11753,11933.2,11726
"28",0,196,8310,8266.975,8447.75,8547,8635,8768.075,8435
"29",0,203,4382,4456,4570,4624,4683,4813.025,4631
"30",0,210,3408,3194.95,3287,3344.5,3404.25,3530.025,3357
"31",0,217,4069,4001.975,4130,4186,4246,4353.025,4182
"32",0,224,2533,2367,2449.75,2488.5,2528.25,2617.025,2487
"33",0,231,1724,1548,1631,1666,1702,1768,1663
"34",0,238,1027,1015,1078.75,1109.5,1133.25,1183.05,1092
"35",0,245,753,683,731,759,783,827,754
"36",0,252,394,361,390,406.5,426,468.05,391
"37",0,259,202,155,176,185,195,218.025,184
"38",1,7,538,506.975,552,569,586,625,550
"39",1,14,2009,1921.975,2007,2041.5,2080,2158.025,2043
"40",1,21,7867,7536.95,7684,7755,7825,7969,7745
"41",1,28,13474,13159.975,13375.75,13473,13562,13762.05,13518
"42",1,35,23665,23203,23421.5,23559.5,23730,24020.025,23640
"43",1,42,77673,76449.85,76935.75,77184,77435.5,77885,77227
"44",1,49,79768,69395.675,69777.5,69974.5,70197.25,70724.075,70135
"45",1,56,40278,40021.875,40332,40505.5,40677.25,41004.15,40480
"46",1,63,25221,24578.925,24824.5,24965,25096.25,25385.025,24998
"47",1,70,12001,11444.975,11602.75,11715,11842.75,12038.125,11829
"48",1,77,6698,6236.975,6358,6420,6491,6609.05,6410
"49",1,84,4205,3995.975,4102,4145,4193.25,4283,4120
"50",1,91,5998,5874,5979.75,6043,6109.25,6237.075,6084
"51",1,98,7904,7766.95,7903,7981.5,8064,8253,8018
