"","np","time","value","q025","q25","q50","q75","q975","Y"
"1",0,7,510.983677507683,484.547113612031,506.304353373718,540.346050543527,598.800398627753,643.054972488769,546.48450746
"2",0,14,495.729569656604,469.54450876192,498.851267113466,525.07857440302,568.705563207593,612.313892564556,508.48156068
"3",0,21,633.755269776049,517.15684891203,560.792391913948,611.94743126049,631.77505740103,676.986457514085,622.06309902
"4",0,28,1065.76165036937,1053.01343312428,1069.5545299361,1148.59386365334,1216.13975706596,1236.38919787031,1151.1930479
"5",0,35,1696.95264112876,1733.22183966313,1964.47940419314,2166.74610216769,2377.92519484047,2497.93620216561,1958.8401516
"6",0,42,2825.90944066757,2746.82353626895,2824.770857068,3108.71304447812,3411.98609955468,3518.2931332378,2879.8807219
"7",0,49,5033.0484335934,4605.01785232721,4815.70292336623,5155.68782069995,5379.20023215007,5499.60889553259,4807.2792403
"8",0,56,10285.4429032749,8087.78685126447,9483.01149272273,10372.1996310904,10787.6812166366,10962.9209618366,9841.4215667
"9",0,63,28720.4955940328,24076.0295887939,25007.3640303993,26095.7988455348,27070.5186643406,29416.7523216883,26356.212205
"10",0,70,117381.119248368,118365.384694654,125613.008669815,130691.116789721,132363.26801658,140607.030533889,132874.208461
"11",0,77,800211.608770291,778167.205644129,818343.762975857,830667.85315127,875946.210578359,951060.957726997,881970.37951
"12",0,84,2079916.71800649,1977272.52036994,2091015.18484574,2168807.86983,2300986.72497341,2430633.1297605,2242801.8711
"13",0,91,1855687.28136876,1769593.3896006,1888073.38139614,2000977.7717812,2017262.59987457,2261182.02119784,1960870.7033
"14",0,98,913463.048891168,803516.193429883,890853.995984092,910563.736318735,925441.761004166,974852.0081373,874786.62176
"15",0,105,263703.984506259,260807.903967605,267044.01013691,293108.84868705,322621.941688953,349743.897301495,338436.33122
"16",0,112,84843.4686531367,65172.7579214459,71735.3067835466,77228.5257761036,84604.9851062786,85603.2918365785,74133.140131
"17",0,119,27820.4346611831,21370.1736183977,22770.5952776053,23329.518090982,25528.8786529582,28316.1296196327,25211.35627
"18",0,126,8920.68655002828,7722.93131160476,7988.44798998938,8840.87499758297,8943.85298628823,9352.13131903704,8329.2983736
"19",0,133,2799.06837334633,2777.37190333857,2786.84099624411,2802.65973351806,2911.35209993895,3492.10595401786,2825.510106
"20",0,140,710.024471809675,639.002163936738,713.764780517312,765.017504891017,815.079782811313,837.649277497331,783.5369825
"21",0,147,131.935096905812,124.530065626354,129.884672618515,132.578527316374,136.054729731618,158.696916351071,139.461643447
"22",0,154,22.918411204188,17.1579066946519,17.318811603511,18.0647892864152,20.03394436061,22.4231415956631,18.459970776
"23",0,161,1.92764355386308,1.49139511867057,1.52640076171622,1.64361738646314,1.71551260393594,2.05144431627762,1.732519421
"24",0,168,0.141920819852441,0.137400236061162,0.14487486540469,0.155739037720189,0.161970711035656,0.175332230638821,0.144324543
"25",0,175,0.0148284349669822,0.0132205095838374,0.0142472034560387,0.0148235373764344,0.0158934807763792,0.0168246750501985,0.014081231
"26",0,182,0.00162256750814981,0.00147569221874338,0.00163010646313562,0.00169084594669829,0.00183901931607099,0.00188662639197186,0.0016420915
"27",0,189,0.000261017226266144,0.000233143825440619,0.000245595980845573,0.00025865515483908,0.000269688932934913,0.000273618894219594,0.0002760031
