"","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","clock"
"1",0,0.0516212597231129,0,999999,0,1,0,0,0,0,9409
"2",1,0.0433092317963921,1,999998.945543764,1,0.828895740795393,1,0.203669066196168,1,0.0218914295989192,9409
"3",2,0.0375012121394286,2,999998.806352092,2,0.770030228423703,2,0.345771135304055,2,0.077846544484958,9409
"4",3,0.0407641553352624,3,999998.60474418,3,0.779120351029025,3,0.457242439283898,3,0.158893030095327,9409
"5",4,0.0462208056534673,4,999998.351164553,4,0.832061515980323,4,0.555941736184499,4,0.260832195342759,9409
"6",5,0.0420476545401697,5,999998.049123321,5,0.916148070161962,5,0.65247562031985,5,0.382252989224492,9409
"7",6,0.0493448597459389,6,999997.697924443,6,1.0251688099662,6,0.753471509268442,6,0.523435238350706,9409
"8",7,0.0542124944394702,7,999997.294149629,7,1.15667488075543,7,0.863422370677063,7,0.685753119922135,9409
"9",8,0.0577232715896753,8,999996.832439137,8,1.31046657654591,8,0.985733003918046,8,0.871361282706852,9409
"10",9,0.0560800110560762,9,999996.305871809,9,1.48776524375734,9,1.12332087295993,9,1.08304207504045,9409
"11",10,0.0866723249961528,10,999995.706112739,10,1.69077161627947,10,1.27896946115956,10,1.32414618403559,9409
"12",11,0.088458978566855,11,999995.023421826,11,1.922443654142,11,1.45554531746268,11,1.59858920336407,9409
"13",12,0.102599354514372,12,999994.246574185,12,2.18640080353495,12,1.65614138169388,12,1.91088363034196,9409
"14",13,0.131841586331023,13,999993.362719602,13,2.48690301686552,13,1.88418200805111,13,2.26619537420587,9409
"15",14,0.136830127917272,14,999992.357194623,14,2.82887613833825,14,2.14350993762323,14,2.67041930177944,9409
"16",15,0.16839983061757,15,999991.213293118,15,3.21796836760763,15,2.43846703102667,15,3.13027148451975,9409
"17",16,0.18990007334458,16,999989.911996482,16,3.66062994053624,16,2.77397590919377,16,3.65339766889445,9409
"18",17,0.190216984945903,17,999988.43166182,17,4.16421242231907,17,3.15562711153871,17,4.24849864691935,9409
"19",18,0.205225145948945,18,999986.747664477,18,4.73708650190972,18,3.58977504181936,18,4.92547398043124,9409
"20",19,0.254251180753242,19,999984.831989871,19,5.38877869810929,19,4.08364531661382,19,5.69558611544825,9409
"21",20,0.332681131038592,20,999982.65276833,20,6.13012838157473,20,4.64545587174916,20,6.57164741738221,9409
"22",21,0.307083952800109,21,999980.173745481,21,6.97346723479509,21,5.28455415888273,21,7.5682331258462,9409
"23",22,0.402577226807048,22,999977.353679546,22,7.93282385723607,22,6.01157289047978,22,8.70192370719468,9409
"24",23,0.390864565477641,23,999974.145655623,23,9.02415675871118,23,6.83860702005834,23,9.99158059853174,9409
