"","time","S","E","I","R"
"1",1,999999,1,0,0
"2",2,999998.945597763,0.828800466361964,0.203732048951665,0.0218697217736269
"3",3,999998.80641392,0.769920836059711,0.345843554583001,0.0778216896194963
"4",4,999998.604793899,0.779031826939444,0.457301231118238,0.158873042821169
"5",5,999998.351200994,0.831995804858174,0.555985655193176,0.260817545766633
"6",6,999998.049147984,0.916102409114359,0.652506532599132,0.382243074483896
"7",7,999997.697939919,1.02513849358766,0.753492570453218,0.523429016626572
"8",8,999997.29415829,1.15665556360444,0.86343650846691,0.685749638150288
"9",9,999996.83244267,1.31045506040552,0.985742406840365,0.871359862133696
"10",10,999996.30587168,1.48775868379608,1.12332750957829,1.08304212660423
"11",11,999995.706109626,1.69076852118365,1.2789744171998,1.32414743508564
"12",12,999995.023416088,1.92244300681519,1.45554939559485,1.59859150975882
"13",13,999994.246565135,2.18640217665525,1.65614542008935,1.91088726832844
"14",14,999993.362706342,2.48690641802451,1.88418653546263,2.26620070438787
"15",15,999992.357176441,2.82888175211458,2.14351519556333,2.67042661062813
"16",16,999991.213267018,3.21797686796342,2.43847413682592,3.13028197646298
"17",17,999989.911959692,3.66064234460476,2.77398550434661,3.65341245914667
"18",18,999988.431612614,4.16422920250217,3.15563975478896,4.24851842880779
"19",19,999986.747602037,4.73710778483911,3.5897910950858,4.92549908238404
"20",20,999984.831908709,5.38880636573259,4.08366618040807,5.69561874467456
"21",21,999982.652672912,6.13016091371467,4.64548039604882,6.57168577821111
"22",22,999980.173639239,6.97350340873742,5.28458151389088,7.5682758379565
"23",23,999977.353554547,7.93286634086492,6.01160515148547,8.70197396008958
"24",24,999974.145508335,9.02420683326312,6.83864501825644,9.99163981269199
"25",25,999970.496132686,10.2656783384799,7.77945954319475,11.4587294323622
"26",26,999966.344717928,11.6779314962045,8.84969970595107,13.1276508695611
"27",27,999961.622204983,13.2844568253206,10.0671687384823,15.0261694522742
"28",28,999956.250036635,15.1119750485723,11.4521185007207,17.1858698154055
"29",29,999950.138851816,17.1908811359577,13.0275859411444,19.6426811068677
"30",30,999943.187000354,19.5557492878866,14.8197758948858,22.4374744626814
"31",31,999935.278853764,22.2459069430715,16.8584967031401,25.6167425898163
"32",32,999926.282884755,25.306087624311,19.1776551455472,29.2333724745827
"33",33,999916.049486146,28.7871722213211,21.815818581958,33.3475230501818
"34",34,999904.408474118,32.7470371873535,24.8168586711206,38.027630023374
"35",35,999891.166269523,37.2515122793504,28.2306777553006,43.3515404424473
"36",36,999876.102689075,42.3754705037356,32.1140358964209,49.4078045246811
"37",37,999858.967287821,48.2040700139039,36.5314937365409,56.2971484282946
"38",38,999839.4752041,54.8341650353001,41.5564831245423,64.1341477401643
"39",39,999817.302436279,62.3759089731826,47.272524428508,73.0491303190401
"40",40,999792.080475918,70.9545752329946,53.7746097981624,83.1903390501566
"41",41,999763.390199023,80.7126295636101,61.1707769903898,94.7263944231021
"42",42,999730.754933145,91.8120804368216,69.5838960180669,107.849090400091
"43",43,999693.632554528,104.437157311097,79.1537052779327,122.776582882976
"44",44,999651.406564744,118.797333107472,90.039110534723,139.756991614153
"45",45,999603.375887614,135.130777974784,102.420813341841,159.072521068962
"46",46,999548.743300169,153.70827267367,116.504291133107,181.044136024317
"47",47,999486.602303883,174.837646237252,132.523178481674,206.036871398267
"48",48,999415.922208569,198.868813092729,150.743108311253,234.465870027402
"49",49,999335.531238822,226.199472114936,171.466061765914,266.803227297344
"50",50,999244.097228822,257.281611368872,195.035338004972,303.585821804406
"51",51,999140.105852521,292.628833834158,221.841157361707,345.424156282656
"52",52,999021.835941219,332.824650650871,252.327012360719,393.012395769083
"53",53,998887.331427431,378.531890322682,286.996886034565,447.139796211293
"54",54,998734.369569369,430.503334695182,326.423423816499,508.703672118687
"55",55,998560.424985466,489.59373018397,371.257179246799,578.724105103251
"56",56,998362.628928361,556.773351030281,422.237080910221,658.360639698043
"57",57,998137.72322655,633.14329369569,480.202263072321,748.931216682326
"58",58,997882.008344239,719.952664549746,546.105399726004,851.933591485255
"59",59,997591.284598556,818.617950049586,621.027789045156,969.06966234949
"60",60,997260.785885172,930.744756902598,706.196345783394,1102.27301214212
"61",61,996885.105095847,1058.1521476265,803.002706485954,1253.74005004053
"62",62,996458.110394232,1202.89978753225,913.024661006064,1425.96515723033
"63",63,995972.850598212,1367.31839087446,1038.05034465048,1621.78066626317
"64",64,995421.449753276,1554.04337528098,1180.10515384182,1844.40171760098
"65",65,994794.989269017,1766.05211475589,1341.48178483819,2097.47683138864
"66",66,994083.376148792,2006.70506887819,1524.77379041376,2385.14499191653
"67",67,993275.196505741,2279.79090297538,1732.91277212064,2712.0998191629
"68",68,992357.553327249,2589.5756446428,1969.20945828785,3083.66156982105
"69",69,991315.887403112,2940.85581095456,2237.39895190603,3505.85783402765
"70",70,990133.780586271,3339.01543247961,2541.6902135057,3985.51376774423
"71",71,988792.741384922,3790.08636693439,2886.8197396533,4530.35250849066
"72",72,987271.971994952,4300.8113122502,3278.10963755822,5149.10705523951
"73",73,985548.117774528,4878.70846404181,3721.52956165375,5851.64419977631
"74",74,983595.000774186,5532.13611105629,4223.76195066834,6649.10116408938
"75",75,981383.339702451,6270.35478672774,4792.26987236211,7554.03563845927
"76",76,978880.460327796,7103.58404828353,5435.36601026154,8580.58961365901
"77",77,976050.002300312,8043.04976470997,6162.28088198852,9744.66705299023
"78",78,972851.630849118,9101.01641228546,6983.22776376644,11064.1249748302
"79",79,969240.764649163,10290.7976904651,7909.46069649935,12558.9769638729
"80",80,965168.334865361,11626.7369114263,8953.32094175782,14251.6072814554
"81",81,960580.594776227,13124.1465448079,10128.2660216329,16166.9926573328
"82",82,955419.004259341,14799.194407051,11448.8737810079,18332.9275526008
"83",83,949620.219110271,16668.7216785117,12930.8122304253,20780.2469807923
"84",84,943116.221290391,18749.9757358964,14590.7640709946,23543.0389027188
"85",85,935834.632276171,21060.2392457032,16446.2926700784,26658.8358080475
"86",86,927699.257493669,23616.3359181359,18515.6343577328,30168.7722304622
"87",87,918630.914427475,26433.9935740087,20817.4002900214,34117.6917084952
"88",88,908548.599185154,29527.0476265619,23370.1699498791,38554.1832384052
"89",89,897371.044904083,32906.4731172911,26191.9583493805,43530.5236292457
"90",90,885018.718570171,36579.2421882146,29299.540568569,49102.4986730454
"91",91,871416.288561987,40547.0173730902,32707.6209575968,55329.073107326
"92",92,856495.571805719,44804.7096970438,36427.8410823334,62271.8774149041
"93",93,840198.927623542,49338.9554958466,40467.6333747442,69994.4835058672
"94",94,822483.060799889,54126.5907687927,44828.9269015978,78561.4215297201
"95",95,803323.053226776,59133.24182437,49506.7646704895,88036.9402783645
"96",96,782716.461463968,64312.1716702768,54487.8842602022,98483.4826055531
"97",97,760687.223805258,69603.5711206925,59749.3298378491,109959.8752362
"98",98,737289.062004904,74934.4546120514,65257.2310488982,122519.252334146
"99",99,712608.012368786,80219.3505714118,70965.8763100659,136206.760749736
"100",100,686763.712819657,85361.9552218755,76817.208027704,151057.123930764
"101",101,659909.134578114,90257.7952000959,82740.9131960245,167092.157025765
"102",102,632228.501098423,94797.9081568133,88655.2216551852,184318.369089578
"103",103,603933.276391425,98873.425389245,94468.4887235628,202724.809495768
"104",104,575256.314313045,102380.751775158,100081.621715987,222281.31219581
"105",105,546444.444852308,105226.998470956,105391.253967124,242937.302709613
"106",106,517749.90995545,107335.200261058,110293.57292772,264621.316855773
"107",107,489421.294797721,108648.81767147,114688.55587961,287241.331651199
"108",108,461694.639442921,109135.076115988,118484.320683497,310685.963757595
"109",109,434785.409402746,108786.786630189,121601.27245597,334826.531511096
"110",110,408881.895778549,107622.502628697,123975.703211221,359519.898381534
"111",111,384140.482094396,105684.973455331,125562.58221138,384611.962238893
"112",112,360682.949559089,103038.137480856,126337.311813194,409941.601146862
"113",113,338595.843808763,99762.9681952824,126296.324686833,435344.863309121
"114",114,317931.638842045,95952.6271813303,125456.577112313,460659.156864312
"115",115,298711.436894956,91707.3602045973,123853.963746953,485727.239153494
"116",116,280928.737461961,87129.5907920196,121540.882671863,510400.789074157
"117",117,264553.818517397,82319.5512267664,118583.203758785,534543.426497051
"118",118,249538.367103617,77371.6661787831,115056.883723912,558033.082993688
"119",119,235820.012735658,72371.8288834095,111044.476746356,580763.681634576
"120",120,223326.515251836,67395.6014658107,106631.769458276,602646.113824077
"121",121,211979.465251022,62507.2193816768,101904.737292352,623608.57807495
"122",122,201697.396761103,57759.3618359061,96946.8938581964,643596.347544795
"123",123,192398.305828477,53193.494343298,91837.1461845669,662571.053643658
"124",124,184001.60639971,48840.6209289765,86648.190028574,680509.582642739
"125",125,176429.563740586,44722.3420923451,81445.3838617029,697402.710305366
"126",126,169608.309262314,40852.049202325,76286.0837450003,713253.557790361
"127",127,163468.462243214,37236.1886931194,71219.4067648178,728075.942298849
"128",128,157945.484495046,33875.4929413238,66286.2923163691,741892.730247261
"129",129,152979.804643985,30766.1365896178,61519.8375818294,754734.221184567
"130",130,148516.78012525,27900.7814000701,56945.8174605691,766636.621014111
"131",131,144506.541915584,25269.4924685065,52583.3312808545,777640.634335055
"132",132,140903.762262318,22860.5191513543,48445.524738694,787790.193847634
"133",133,137667.374326443,20660.9454299744,44540.3411411257,797131.339102457
"134",134,134760.2667558,18657.2183073345,40871.2686384427,805711.246298423
"135",135,132148.969758252,16835.5664188231,37438.0583181277,813577.405504797
"136",136,129803.344222179,15182.3232937595,34237.3946512466,820776.937832815
"137",137,127696.281865446,13684.1692146229,31263.507327382,827356.04159255
"138",138,125803.42143011,12328.3052701789,28508.7183643458,833359.554935366
"139",139,124102.883769063,11102.5721975599,25963.9222334292,838830.621799948
"140",140,122575.027201664,9995.52497317471,23619.0001366205,843810.447688541
"141",141,121202.22340067,8996.4727342584,21463.1715338103,848338.132331261
"142",142,119968.653344882,8095.49214216806,19485.2874244559,852450.567088494
"143",143,118860.122424938,7283.42085604788,17674.0708270154,856182.385891999
"144",144,117863.893500193,6551.83659082408,16018.3102124794,859565.959696503
"145",145,116968.536566939,5893.02613875703,14507.0117168421,862631.425577462
"146",146,116163.793655262,5299.94779209325,13129.5157982263,865406.742754419
"147",147,115440.457582883,4766.18984269958,11875.58363715,867917.768937268
"148",148,114790.263251525,4285.92718829901,10735.458148966,870188.35141121
"149",149,114205.790251252,3853.87755323465,9699.90399162031,872240.428203894
"150",150,113680.375628585,3465.25842085666,8760.23043857325,874094.135511985
"151",151,113208.035771344,3115.74544452952,7908.30049391998,875767.918290206
"152",152,112783.396458994,2801.43284969719,7136.52915475262,877278.641536556
"153",153,112401.630219218,2518.79614562882,6437.87328737752,878641.700347776
"154",154,112058.400218063,2264.65731757568,5805.81519039554,879871.127273966
"155",155,111749.809964221,2036.15255385756,5234.34157458533,880979.695907337
"156",156,111472.35835627,1830.70254670209,4717.91929591826,881979.01980111
"157",157,111222.899193202,1645.98514292025,4251.46922134778,882879.646442531
