"","time","t","S","E","I","R"
"1",1,1,52196380,1,0,0
"2",2,2,52196378.5137141,2.0378059868462,0.273628959814393,0.174850950423829
"3",3,3,52196375.0639905,4.51834428299505,0.834692123434277,0.58297307301267
"4",4,4,52196367.651036,9.80538191062234,2.03864390770587,1.50493815883107
"5",5,5,52196352.1583716,20.7646969591478,4.57585356337061,3.5010778706404
"6",6,6,52196319.2913813,43.9793382315614,9.95207141487454,7.77720906042627
"7",7,7,52196254.6548385,88.6885353079905,20.9884891373791,16.6681370561691
"8",8,8,52196133.2325921,171.303703343944,42.284187194928,34.1795173657906
"9",9,9,52195884.7110696,342.556121964233,84.6570931238097,69.0757153315731
"10",10,10,52195421.2647592,656.885539890193,166.024684771929,136.825016141811
"11",11,11,52194447.7612785,1333.48966343583,328.44429567917,271.304762346999
"12",12,12,52192451.9444662,2725.99036843358,659.505189309851,543.559976093668
"13",13,13,52188217.3301615,5705.13889244548,1351.38333864275,1107.14760746643
"14",14,14,52179807.325471,11514.1139521787,2786.18320006572,2273.37737680583
"15",15,15,52165339.2380468,21076.0695451803,5461.98525258096,4503.70715545949
"16",16,16,52138514.743317,38800.424638443,10393.3589417079,8672.47310286712
"17",17,17,52094641.6240005,66668.5063084541,18969.2739075534,16101.5957835055
"18",18,18,52018605.5888547,115161.464728015,33605.6930932346,29008.253324005
"19",19,19,51883678.5527237,202064.408233767,59070.8635256257,51567.1755168993
"20",20,20,51640647.8810967,360477.387121061,103959.978791841,91295.7529904119
"21",21,21,51181448.493132,663744.182206008,187290.82037187,163897.504290129
"22",22,22,50465199.899192,1108574.89427506,331446.455177302,291159.751355673
"23",23,23,49381044.4249665,1756346.57450617,559601.758461183,499388.242066137
"24",24,24,47596065.5354253,2837893.48961457,924647.53670046,837774.438259627
"25",25,25,44998526.7706048,4324506.74023364,1496237.15242394,1377110.33673758
"26",26,26,41863250.8585071,5882103.82414985,2286017.87186264,2165008.44548036
"27",27,27,37879832.2725965,7747229.51591991,3314788.6175829,3254530.59390068
"28",28,28,33408136.1652795,9524380.56624563,4576369.22723128,4687495.04124357
"29",29,29,28917280.3887469,10830606.1160966,5991569.20343069,6456925.29172581
"30",30,30,24810399.3888629,11463065.2417473,7421108.72422409,8501807.64516566
"31",31,31,20742747.9696205,11905048.1446732,8780300.10882384,10768284.7768825
"32",32,32,16479825.0889584,12369288.0020281,10091198.6937093,13256069.2153043
"33",33,33,13019209.7547447,12017494.8237343,11260872.448032,15898803.9734891
"34",34,34,10335060.8368078,11098420.7348284,12170613.9120107,18592285.516353
"35",35,35,8214926.00688219,9938410.73307722,12781495.627223,21261548.6328176
"36",36,36,6677354.60845841,8590213.16064295,13084119.7769098,23844693.4539888
"37",37,37,5586274.8472615,7225182.46048659,13092182.8849852,26292740.8072667
"38",38,38,4746188.12059108,6008201.23822023,12857894.3539414,28584097.2872472
"39",39,39,4168153.71038222,4894362.06839074,12428985.3214241,30704879.899803
"40",40,40,3744076.30160206,3947994.64860933,11854074.3355729,32650235.7142157
"41",41,41,3413203.28110968,3174244.9308845,11183371.6168117,34425561.1711941
"42",42,42,3176166.95868167,2527925.60032713,10454579.7417587,36037708.6992325
"43",43,43,2988486.49287865,2012813.41227203,9698927.53283495,37496153.5620144
"44",44,44,2825147.67835757,1614252.10326415,8943466.71880451,38813514.4995738
"45",45,45,2691728.28607135,1296878.54515758,8206145.46803453,40001628.7007365
"46",46,46,2577825.69125645,1047460.18547118,7499215.11595105,41071880.0073213
"47",47,47,2485414.70408725,846552.178264833,6829785.39866485,42034628.7189831
"48",48,48,2404051.00380681,689943.550624494,6202495.21548363,42899891.2300851
"49",49,49,2330829.59385688,568239.416727224,5620020.79857935,43677291.1908365
"50",50,50,2265356.72098028,472317.823406239,5083051.13422814,44375655.3213853
"51",51,51,2210531.29098693,392945.113631633,4590266.41300275,45002638.1823787
"52",52,52,2164748.33396476,326990.134830397,4139542.05164065,45565100.4795642
"53",53,53,2128190.46535948,270868.631344071,3728180.76407131,46069141.1392251
"54",54,54,2096007.37215051,226059.356018635,3353784.11573028,46520530.1561006
"55",55,55,2066076.53667827,191267.533169316,3014247.42092084,46924789.5092316
"56",56,56,2039759.28605477,162611.059348534,2707154.81733656,47286855.8372601
"57",57,57,2018547.48793382,137314.332468868,2429613.46138548,47610905.7182118
"58",58,58,1999599.67729775,116818.022853927,2179139.39711643,47900823.9027319
"59",59,59,1983453.55074537,99401.5444692191,1953389.42747601,48160136.4773094
"60",60,60,1969627.34723681,84677.5713382214,1750097.38486394,48391978.696561
"61",61,61,1957384.6147369,72487.6160016548,1567270.3345905,48599238.4346709
"62",62,62,1947894.9884381,61228.9266411942,1402855.81515154,48784401.2697692
"63",63,63,1939696.45395985,51890.1714793469,1255063.71920222,48949730.6553586
"64",64,64,1932200.19998784,44432.9729160491,1122397.48579798,49097350.3412981
"65",65,65,1925809.17720666,38019.7665525587,1003410.77783623,49229141.2784045
"66",66,66,1920513.86882778,32380.2163302187,896728.034534892,49346758.8803071
"67",67,67,1916264.59305661,27352.8091078041,801087.596959005,49451676.0008766
"68",68,68,1912804.34919308,23011.0930630133,715353.71611407,49545211.8416298
"69",69,69,1909534.05242838,19655.6724980922,638589.634584015,49628601.6404895
"70",70,70,1906770.05230155,16772.2503885985,569901.21583022,49702937.4814796
"71",71,71,1904203.79783933,14484.4455021614,508489.098142589,49769203.6585159
"72",72,72,1902002.7080887,12496.8439261571,453608.579335085,49828272.86865
"73",73,73,1900048.58099029,10833.4482037947,404579.241758013,49880919.7290479
"74",74,74,1898158.49337834,9560.8409587071,360811.078346562,49927850.5873164
"75",75,75,1896320.59366217,8579.82109665627,321777.196404341,49969703.3888368
"76",76,76,1894680.57954752,7689.11724455169,286976.300060485,50007035.0031474
"77",77,77,1893310.793606,6803.42485615703,255938.112420761,50040328.6691171
"78",78,78,1892211.57936233,5926.20218268672,228235.41398203,50070007.8044729
"79",79,79,1891222.48882705,5190.89490304353,203508.229330053,50096459.3869398
"80",80,80,1890272.24440907,4618.92276222989,181450.858712869,50120038.9741158
"81",81,81,1889366.54348248,4160.12488399245,161788.711880424,50141065.6197531
"82",82,82,1888551.06567005,3747.19541338027,144264.2839511,50159818.4549655
"83",83,83,1887794.8940116,3394.39058004681,128646.322296286,50176545.3931121
"84",84,84,1887065.15888222,3114.40178318797,114731.805793397,50191469.6335412
"85",85,85,1886341.59608043,2900.82582937934,102344.597608129,50204793.980482
"86",86,86,1885727.49310854,2651.25679845615,91311.4625663032,50216690.7875267
"87",87,87,1885189.96290678,2402.39477950055,81477.2854701181,50227311.3568436
"88",88,88,1884734.44883756,2149.83720306737,72706.044647083,50236790.6693123
"89",89,89,1884354.05690499,1899.94436368744,64878.0648858659,50245248.9338454
"90",90,90,1884050.06456307,1652.45645502331,57886.2029802667,50252792.2760016
"91",91,91,1883775.88951297,1445.93306232092,51640.9959358917,50259518.1814888
"92",92,92,1883517.62183041,1280.84417615556,46066.2878220066,50265516.2461714
"93",93,93,1883278.12252511,1143.89519060877,41092.6637954426,50270866.3184888
"94",94,94,1883052.59032106,1031.58263531169,36657.2803272756,50275639.5467163
"95",95,95,1882843.12852221,935.062741944073,32703.4364956429,50279899.3722402
"96",96,96,1882659.77694391,842.579638598706,29177.7633328461,50283700.8800846
"97",97,97,1882478.18488802,773.432922104394,26035.0193771095,50287094.3628128
"98",98,98,1882296.52865054,722.471920054059,23236.189323199,50290125.8101062
"99",99,99,1882128.78856312,672.974900179383,20744.0681816897,50292835.168355
"100",100,100,1881980.34677373,620.367170579099,18523.5210505603,50295256.7650051
"101",101,101,1881842.39368653,572.852712530354,16544.2691726554,50297421.4844283
"102",102,102,1881712.22275954,531.52433005569,14780.0454368824,50299357.2074735
"103",103,103,1881586.47978726,497.060318703098,13208.2004800796,50301089.2594139
"104",104,104,1881478.49000142,456.573871319036,11806.7169489544,50302639.2191783
"105",105,105,1881386.73783801,413.062802864706,10555.4655960389,50304025.7337631
"106",106,106,1881306.94645837,370.979352729248,9437.386062384,50305265.6881265
"107",107,107,1881237.24723984,331.370577276531,8437.9437780377,50306374.4384048
"108",108,108,1881179.85154539,291.975216803369,7543.76507220178,50307365.4081656
"109",109,109,1881127.74573797,258.578224397216,6743.7222862686,50308250.9537514
"110",110,110,1881081.0709256,229.364295843562,6028.198398025,50309042.3663805
"111",111,111,1881041.54775481,201.958676905402,5388.03898969374,50309749.4545786
"112",112,112,1881004.91026897,179.291185021215,4815.55295130693,50310381.2455947
"113",113,113,1880974.83623182,157.062581586942,4303.46577428389,50310945.6354123
"114",114,114,1880950.19339371,136.172193664215,3845.09994212131,50311449.5344705
"115",115,115,1880929.07298806,117.799640194411,3434.83503753856,50311899.2923342
"116",116,116,1880912.07221504,100.909903901293,3067.50113324315,50312300.5167478
"117",117,117,1880895.64710566,87.9962118129953,2738.89419860265,50312658.4624839
"118",118,118,1880881.19545715,76.8612656607322,2445.12078628019,50312977.8224909
"119",119,119,1880867.77854353,67.8373485804305,2182.61578946185,50313262.7683184
"120",120,120,1880854.66989137,60.9488165607023,1948.27451730615,50313517.1067748
"121",121,121,1880842.54442342,55.0223822075735,1739.21694807301,50313744.2162463
"122",122,122,1880832.33694294,49.0711055132421,1552.61697168744,50313946.9749799
"123",123,123,1880822.68801469,44.230006217421,1386.07750788903,50314128.0044712
"124",124,124,1880813.63731502,40.1679405560605,1237.50943949652,50314289.6853049
"125",125,125,1880805.26776359,36.6004935357409,1105.00517955771,50314434.1265633
"126",126,126,1880797.78048493,33.230075105939,986.80870878753,50314563.1807312
"127",127,127,1880791.07005227,30.1006198778912,881.341764088359,50314678.4875638
"128",128,128,1880784.88074498,27.3589423414243,787.233402888865,50314781.5269098
"129",129,129,1880779.33958605,24.7805731236606,703.259872717685,50314873.6199681
"130",130,130,1880774.9126436,21.9309515031227,628.256788474586,50314955.8996164
"131",131,131,1880771.52953902,18.9702422675217,561.156825002768,50315029.3433937
"132",132,132,1880768.39798634,16.5780481977454,501.137598740855,50315094.8863667
"133",133,133,1880765.71946586,14.4413184876883,447.466445708224,50315153.3727699
"134",134,134,1880763.35286033,12.601993744027,399.486904785661,50315205.5582411
"135",135,135,1880761.47344142,10.8393751957798,356.583300668617,50315252.1038827
"136",136,136,1880759.93082334,9.26181922561773,318.208172841773,50315293.5991846
"137",137,137,1880758.61377925,7.91188115119652,283.891933795357,50315330.5824058
"138",138,138,1880757.52542285,6.72725483665227,253.212012344191,50315363.53531
"139",139,139,1880756.62080008,5.70318701439864,225.787918930547,50315392.888094
"140",140,140,1880755.83693645,4.84950082737412,201.284269178715,50315419.0292935
"141",141,141,1880755.166781,4.12549305565529,179.400180022431,50315442.3075459
"142",142,142,1880754.63601743,3.4756716482467,159.857808628596,50315463.0305023
"143",143,143,1880754.22250038,2.89989602184113,142.406239446941,50315481.4713641
"144",144,144,1880753.88291928,2.4153916818741,126.825234261044,50315497.8764548
"145",145,145,1880753.58432593,2.02559228057016,112.921477655487,50315512.4686041
"146",146,146,1880753.31126052,1.71832221485293,100.522309320609,50315525.4481079
"147",147,147,1880753.05951067,1.47424058015564,89.4720879086986,50315536.9941608
"148",148,148,1880752.84708018,1.26218743156518,79.6263963597138,50315547.264336
"149",149,149,1880752.65458512,1.08969293885695,70.8564320952769,50315556.3992898
"150",150,150,1880752.4845916,0.943620877947121,63.0471162736453,50315564.5246712
"151",151,151,1880752.34427933,0.811800453448715,56.0929666516987,50315571.7509536
"152",152,152,1880752.20979069,0.710155533994313,49.9022717573167,50315578.177782
"153",153,153,1880752.0823212,0.629782311353687,44.3934789237115,50315583.8944175
"154",154,154,1880751.95919767,0.566910874115101,39.4934946844199,50315588.9803968
"155",155,155,1880751.84980869,0.508941388778926,35.1354969216372,50315593.505753
"156",156,156,1880751.75782023,0.451499839810074,31.2587084488064,50315597.5319715
"157",157,157,1880751.68169688,0.396072053446799,27.8088237741767,50315601.1134073
"158",158,158,1880751.61238363,0.349473552466332,24.7390157885264,50315604.299127
"159",159,159,1880751.5536444,0.306377226347958,22.0073026583055,50315607.1326757
"160",160,160,1880751.50049899,0.270059640081846,19.5765486867813,50315609.6528927
"161",161,161,1880751.45154811,0.239732400158904,17.4140982637683,50315611.8946212
"162",162,162,1880751.41017924,0.211073781757151,15.4902119855929,50315613.888535
"163",163,163,1880751.37358697,0.185995345345244,13.7784989831873,50315615.6619187
"164",164,164,1880751.34050757,0.164667322946777,12.2556646170483,50315617.2391605
"165",165,165,1880751.30929891,0.147351530049939,10.9012209407466,50315618.6421286
"166",166,166,1880751.28275715,0.130658475220071,9.69650653259255,50315619.8900778
"167",167,167,1880751.26030578,0.114973643799499,8.62473088292591,50315620.9999897
"168",168,168,1880751.23955429,0.102064040909942,7.67126494589332,50315621.9871167
"169",169,169,1880751.2195167,0.091923761144528,6.82335254934576,50315622.865207
"170",170,170,1880751.2020222,0.0823835975071917,6.0692754079461,50315623.6463188
"171",171,171,1880751.18431322,0.0756041939665202,5.39880478381118,50315624.3412778
"172",172,172,1880751.16580943,0.0712754299952815,4.80304033667391,50315624.9598748
"173",173,173,1880751.14815758,0.0673587790179435,4.27377990594979,50315625.5107037
"174",174,174,1880751.13217495,0.0630033823101739,3.80353364732584,50315626.001288
"175",175,175,1880751.1189858,0.0575037510649573,3.38538119977967,50315626.4381292
"176",176,176,1880751.10567157,0.0535431254448044,3.01358996306588,50315626.8271953
"177",177,177,1880751.09352369,0.0496470095519576,2.68303268854066,50315627.1737966
"178",178,178,1880751.0825292,0.0457640032450332,2.38909307667256,50315627.4826137
"179",179,179,1880751.07379609,0.0410018441192358,2.12750332540623,50315627.7576987
"180",180,180,1880751.06634006,0.0364257792694902,1.89456394406994,50315628.0026702
"181",181,181,1880751.05978064,0.0323051525529084,1.68710790459986,50315628.2208063
