"","x"
"1",-0.02
"2",-0.02
"3",-0.02
"4",-0.02
"5",-0.02
"6",-0.02
"7",-0.02
"8",-0.02
"9",-0.02
"10",-0.02
"11",-0.02
"12",-0.02
"13",-0.02
"14",-0.02
"15",-0.02
"16",-0.02
"17",-0.02
"18",-0.02
"19",-0.02
"20",-0.02
"21",-0.02
"22",-0.02
"23",-0.02
"24",-0.02
"25",-0.02
"26",-0.02
"27",-0.02
"28",-0.02
"29",-0.02
"30",-0.02
"31",-0.02
"32",-0.02
"33",-0.02
"34",-0.02
"35",-0.02
"36",-0.02
"37",-0.02
"38",-0.02
"39",-0.02
"40",-0.02
"41",-0.02
"42",-0.02
"43",-0.02
"44",-0.02
"45",-0.02
"46",-0.02
"47",-0.02
"48",-0.02
"49",-0.02
"50",-0.02
"51",-0.02
"52",-0.02
"53",-0.02
"54",-0.02
"55",-0.02
"56",-0.02
"57",-0.02
"58",-0.02
"59",-0.02
"60",-0.02
"61",-0.02
"62",-0.02
"63",-0.02
"64",-0.02
"65",-0.02
"66",-0.02
"67",-0.02
"68",-0.02
"69",-0.02
"70",-0.02
"71",-0.02
"72",-0.02
"73",-0.02
"74",-0.02
"75",-0.02
"76",-0.02
"77",-0.02
"78",-0.02
"79",-0.02
"80",-0.02
"81",-0.02
"82",-0.02
"83",-0.02
"84",-0.02
"85",-0.02
"86",-0.02
"87",-0.02
"88",-0.02
"89",-0.02
"90",-0.02
"91",-0.02
"92",-0.02
"93",-0.02
"94",-0.02
"95",-0.02
"96",-0.02
"97",-0.02
"98",-0.02
"99",-0.02
"100",-0.02
"101",-0.02
"102",-0.02
"103",-0.02
"104",-0.02
"105",-0.02
"106",-0.02
"107",-0.02
"108",-0.02
"109",-0.02
"110",-0.02
"111",-0.02
"112",-0.02
"113",-0.02
"114",-0.02
"115",-0.02
"116",-0.02
"117",-0.02
"118",-0.02
"119",-0.02
"120",-0.02
"121",-0.22
"122",-0.22
"123",-0.22
"124",-0.22
"125",-0.22
"126",-0.22
"127",-0.22
"128",-0.22
"129",-0.22
"130",-0.22
"131",-0.22
"132",-0.22
"133",-0.22
"134",-0.22
"135",-0.22
"136",-0.22
"137",-0.22
"138",-0.22
"139",-0.22
"140",-0.22
"141",-0.22
"142",-0.22
"143",-0.22
"144",-0.22
"145",-0.22
"146",-0.22
"147",-0.22
"148",-0.22
"149",-0.22
"150",-0.22
"151",-0.22
"152",-0.22
"153",-0.22
"154",-0.22
"155",-0.22
"156",-0.22
"157",-0.22
"158",-0.22
"159",-0.22
"160",-0.22
"161",-0.22
"162",-0.22
"163",-0.22
"164",-0.22
"165",-0.22
"166",-0.22
"167",-0.22
"168",-0.22
"169",-0.22
"170",-0.22
"171",-0.22
"172",-0.22
"173",-0.22
"174",-0.22
"175",-0.22
"176",-0.22
"177",-0.22
"178",-0.22
"179",-0.22
"180",-0.22
"181",-0.22
"182",-0.22
"183",-0.22
"184",-0.22
"185",-0.22
"186",-0.22
"187",-0.22
"188",-0.22
"189",-0.22
"190",-0.22
"191",-0.22
"192",-0.22
"193",-0.22
"194",-0.22
"195",-0.22
"196",-0.22
"197",-0.22
"198",-0.22
"199",-0.22
"200",-0.22
"201",-0.22
"202",-0.22
"203",-0.22
"204",-0.22
"205",-0.22
"206",-0.22
"207",-0.22
"208",-0.22
"209",-0.22
"210",-0.22
"211",-0.22
"212",-0.22
"213",-0.22
"214",-0.22
"215",-0.22
"216",-0.22
"217",-0.22
"218",-0.22
"219",-0.22
"220",-0.22
"221",-0.22
"222",-0.22
"223",-0.22
"224",-0.22
"225",-0.22
"226",-0.22
"227",-0.22
"228",-0.22
"229",-0.22
"230",-0.22
"231",-0.22
"232",-0.22
"233",-0.22
"234",-0.22
"235",-0.22
"236",-0.22
"237",-0.22
"238",-0.22
"239",-0.22
"240",-0.22
"241",-0.22
"242",-0.22
"243",-0.22
"244",-0.22
"245",-0.22
"246",-0.22
"247",-0.22
"248",-0.22
"249",-0.22
"250",-0.22
"251",-0.22
"252",-0.22
"253",-0.22
"254",-0.22
"255",-0.22
"256",-0.22
"257",-0.22
"258",-0.22
"259",-0.22
"260",-0.22
"261",-0.22
"262",-0.22
"263",-0.22
"264",-0.22
"265",-0.22
"266",-0.22
"267",-0.22
"268",-0.22
"269",-0.22
"270",-0.22
"271",-0.22
"272",-0.22
"273",-0.22
"274",-0.22
"275",-0.22
"276",-0.22
"277",-0.22
"278",-0.22
"279",-0.22
"280",-0.22
"281",-0.22
"282",-0.22
"283",-0.22
"284",-0.22
"285",-0.22
"286",-0.22
"287",-0.22
"288",-0.22
"289",-0.22
"290",-0.22
"291",-0.22
"292",-0.22
"293",-0.22
"294",-0.22
"295",-0.22
"296",-0.22
"297",-0.22
"298",-0.22
"299",-0.22
"300",-0.22
"301",-0.22
"302",-0.22
"303",-0.22
"304",-0.22
"305",-0.22
"306",-0.22
"307",-0.22
"308",-0.22
"309",-0.22
"310",-0.22
"311",-0.22
"312",-0.22
"313",-0.22
"314",-0.22
"315",-0.22
"316",-0.22
"317",-0.22
"318",-0.22
"319",-0.22
"320",-0.22
"321",-0.22
"322",-0.22
"323",-0.22
"324",-0.22
"325",-0.22
"326",-0.22
"327",-0.22
"328",-0.22
"329",-0.22
"330",-0.22
"331",-0.22
"332",-0.22
"333",-0.22
"334",-0.22
"335",-0.22
"336",-0.22
"337",-0.22
"338",-0.22
"339",-0.22
"340",-0.22
"341",-0.22
"342",-0.22
"343",-0.22
"344",-0.22
"345",-0.22
"346",-0.22
"347",-0.22
"348",-0.22
"349",-0.22
"350",-0.22
"351",-0.22
"352",-0.22
"353",-0.22
"354",-0.22
"355",-0.22
"356",-0.22
"357",-0.22
"358",-0.22
"359",-0.22
"360",-0.22
"361",-0.22
"362",-0.22
"363",-0.22
"364",-0.22
"365",-0.22
