"","x"
"1",-0.22314355131421
"2",-0.213236133587794
"3",-0.212941567104982
"4",-0.202942571313671
"5",-0.199327365429175
"6",-0.201560107026152
"7",-0.216010084078371
"8",-0.231433428916191
"9",-0.248050527209594
"10",-0.267733622878184
"11",-0.287095629908356
"12",-0.302893596979112
"13",-0.32271870581304
"14",-0.349556882572585
"15",-0.379890428893773
"16",-0.408680558803014
"17",-0.437003835351356
"18",-0.468282859730645
"19",-0.490703300032901
"20",-0.509927973243132
"21",-0.525091116762665
"22",-0.541320788673938
"23",-0.555380887106522
"24",-0.556372385592793
"25",-0.55107359391102
"26",-0.547897686818856
"27",-0.551207986912872
"28",-0.556001827863477
"29",-0.561784184833134
"30",-0.566480972369018
"31",-0.570056162477316
"32",-0.571216696579601
"33",-0.568161485886261
"34",-0.552474447399767
"35",-0.540890362228784
"36",-0.536473670373549
"37",-0.534569837411998
"38",-0.535748332008464
"39",-0.535180347033329
"40",-0.53759464308657
"41",-0.53497025321004
"42",-0.538664940708658
"43",-0.541536281463635
"44",-0.551394041979785
"45",-0.557210237750212
"46",-0.572583866804378
"47",-0.58911004070908
"48",-0.602063125044547
"49",-0.620408093586377
"50",-0.636687940110249
"51",-0.64766440332406
"52",-0.661144158245247
"53",-0.674228514813944
"54",-0.687366737869093
"55",-0.697049938797785
"56",-0.693796775119272
"57",-0.697181756765684
"58",-0.695869305629492
"59",-0.691295072306638
"60",-0.69505172545434
"61",-0.700166819536829
"62",-0.703092431172999
"63",-0.703368885316851
"64",-0.697498194282167
"65",-0.686637974284946
"66",-0.675092517567356
"67",-0.658959915284205
"68",-0.63838765863611
"69",-0.606764915482552
"70",-0.589938102786972
"71",-0.567945573598925
"72",-0.539966585929606
"73",-0.516588435551523
"74",-0.492807736033743
"75",-0.472840046608666
"76",-0.454966824015023
"77",-0.438604883119394
"78",-0.426948792689273
"79",-0.423703286738563
"80",-0.422972042052954
"81",-0.419099230637797
"82",-0.416512899644115
"83",-0.414028604334665
"84",-0.419522633390208
"85",-0.425984856530304
"86",-0.424963370880114
"87",-0.424127128588196
"88",-0.417807505773991
"89",-0.412881802082701
"90",-0.401329614755652
"91",-0.393680070598451
"92",-0.392345784591422
"93",-0.388758235110489
"94",-0.391413478372254
"95",-0.388406314105456
"96",-0.384747579205788
"97",-0.374891867114324
"98",-0.367626586981191
"99",-0.35792638872607
"100",-0.352983863469738
"101",-0.349758040604741
"102",-0.352903579878856
"103",-0.344009211989614
"104",-0.335230525584442
"105",-0.315775069187204
"106",-0.3006681560411
"107",-0.285638690084933
"108",-0.266476831330658
"109",-0.249752052339729
"110",-0.231476844850217
"111",-0.221302807257972
"112",-0.202252471008607
"113",-0.183687044403321
"114",-0.169282945881165
"115",-0.158817137296188
"116",-0.144255485236541
"117",-0.137698984851331
"118",-0.139818765679489
"119",-0.143143492773876
"120",-0.14685343095311
"121",-0.148804748476607
"122",-0.152984418041219
"123",-0.158031731298737
"124",-0.158576723923585
"125",-0.156544505741807
"126",-0.163434271022516
"127",-0.178003157248454
"128",-0.183212324620127
"129",-0.189515134846519
"130",-0.182359565977975
"131",-0.186860009171223
"132",-0.191813636595515
"133",-0.191814340168789
"134",-0.189818408457115
"135",-0.192453405679518
"136",-0.187893524683175
"137",-0.18527117786177
"138",-0.176259391872225
"139",-0.165419529453594
"140",-0.149879208538973
"141",-0.142886195701944
"142",-0.132973787312969
"143",-0.116827462453056
"144",-0.105782235167507
"145",-0.0865095415522399
"146",-0.0592996335682778
"147",-0.041406913331194
"148",-0.0299209793252423
"149",-0.0306178878637198
"150",-0.0311195946868512
"151",-0.0371908238331964
"152",-0.053128887794483
"153",-0.0667340303880858
"154",-0.0757141334644394
"155",-0.0863963001394667
"156",-0.0997345982520924
"157",-0.109966815412606
"158",-0.113819937788502
"159",-0.115878548954125
"160",-0.1304812180916
"161",-0.14259713644274
"162",-0.151889848480824
"163",-0.171133194009842
"164",-0.181745861192953
"165",-0.202760804943139
"166",-0.221377022364593
"167",-0.24254065907052
"168",-0.265809740572818
"169",-0.293734276962696
"170",-0.310207649997865
"171",-0.329903575998508
"172",-0.343462690694678
"173",-0.360133359092421
"174",-0.378282118888322
"175",-0.398726301776841
"176",-0.420278962245948
"177",-0.436564683162459
"178",-0.447130916708477
"179",-0.462112546494638
"180",-0.474950482640116
"181",-0.476717565404993
"182",-0.483136115997964
"183",-0.498760079739479
"184",-0.521767686926532
"185",-0.547823980594395
"186",-0.574876132787167
"187",-0.603778735552368
"188",-0.637190782890449
"189",-0.669720099837298
"190",-0.69656085530962
"191",-0.714445396522378
"192",-0.724151572776085
"193",-0.724150741453874
"194",-0.725925755695866
"195",-0.715744813297195
"196",-0.702863626914883
"197",-0.687672787185726
"198",-0.671359134538899
"199",-0.650765828916146
"200",-0.628760461015839
"201",-0.616713929650612
"202",-0.610613472007848
"203",-0.623234078368157
"204",-0.635550113369778
"205",-0.639254343667156
"206",-0.65111075301864
"207",-0.66824753974107
"208",-0.67414810406566
"209",-0.67825869157671
"210",-0.690724941684029
"211",-0.697112498819109
"212",-0.703028527687858
"213",-0.706925069511732
"214",-0.711087820727156
"215",-0.714294495193765
"216",-0.723700047560232
"217",-0.732099311765731
"218",-0.731936555904191
"219",-0.733677554709752
"220",-0.726213196941859
"221",-0.721998033166956
"222",-0.723339659189195
"223",-0.718453425566848
"224",-0.720537790740651
"225",-0.717262601057793
"226",-0.718008009826247
"227",-0.716127758736315
"228",-0.716775974166088
"229",-0.719796154946745
"230",-0.720304650979738
"231",-0.710531285466967
"232",-0.708194700594427
"233",-0.706778933130953
"234",-0.708003710313091
"235",-0.705149884194752
"236",-0.712597425609407
"237",-0.723853392085686
"238",-0.742612789877866
"239",-0.762957959803796
"240",-0.773927490177377
"241",-0.788435994579115
"242",-0.807877902382235
"243",-0.825594651573788
"244",-0.843829025387529
"245",-0.857039646242367
"246",-0.866293589453359
"247",-0.875427939091965
"248",-0.881025230097669
"249",-0.890290338467147
"250",-0.887993171377097
"251",-0.879643120421825
"252",-0.866291387956648
"253",-0.856393908991508
"254",-0.847518434447288
"255",-0.838841887136433
"256",-0.827216022221962
"257",-0.817539390841759
"258",-0.805905751931725
"259",-0.794075070711443
"260",-0.781831210048589
"261",-0.778043948085982
"262",-0.781701503246309
"263",-0.784402821782973
"264",-0.776234173556909
"265",-0.772079517317582
"266",-0.77086888904312
"267",-0.770258873883737
"268",-0.767950229197131
"269",-0.76509861245624
"270",-0.762414117025951
"271",-0.749108722395055
"272",-0.736830572684228
"273",-0.740783688499772
"274",-0.742122825950137
"275",-0.739274655723613
"276",-0.73766254259568
"277",-0.738574913449339
"278",-0.742649051760233
"279",-0.741105635950112
"280",-0.74295994919577
"281",-0.736311091861862
"282",-0.719707270297248
"283",-0.705370834037916
"284",-0.688677146422869
"285",-0.678205754048671
"286",-0.66919204618754
"287",-0.653604267934761
"288",-0.652856452367974
"289",-0.64195210034054
"290",-0.624429510974847
"291",-0.613196014029229
"292",-0.596682014845841
"293",-0.580369248369006
"294",-0.582978594519183
"295",-0.58557926937782
"296",-0.585650018117399
"297",-0.597704539988539
"298",-0.613103851228001
"299",-0.629647408542741
"300",-0.640884382555035
"301",-0.657462945109835
"302",-0.667947107533434
"303",-0.687051143880542
"304",-0.710958366214565
"305",-0.739975931036477
"306",-0.768873511672762
"307",-0.786178252545335
"308",-0.798162286350523
"309",-0.810993905022017
"310",-0.819593641090034
"311",-0.812861785006294
"312",-0.806336643112401
"313",-0.798054491744729
"314",-0.789203289695198
"315",-0.775066039589925
"316",-0.756442714390583
"317",-0.745472276655849
"318",-0.736274204496604
"319",-0.734163787604771
"320",-0.730558718345973
