"","x"
"1",0
"2",-1.16187827069234
"3",-0.610232932577789
"4",-2.24856058257319
"5",-3.50157501853263
"6",-2.3447893473608
"7",-3.12003289407473
"8",-6.45972183805892
"9",-5.99679867141795
"10",-7.28907518191154
"11",-5.55552444772674
"12",-6.25789230396664
"13",-8.1071251921004
"14",-8.36706076427888
"15",-8.07042491909193
"16",-8.74612947920095
"17",-8.41046780553339
"18",-7.22083873506102
"19",-7.07400522816809
"20",-6.82605593986455
"21",-7.50705984727408
"22",-6.54379164435129
"23",-8.81270671576705
"24",-8.22391512451628
"25",-8.7580326146084
"26",-8.28413061690728
"27",-9.16235067625611
"28",-9.07274360198108
"29",-9.26501764283979
"30",-9.62931780551226
"31",-7.89812384394582
"32",-9.16364277748175
"33",-9.32201094917789
"34",-8.16140821926964
"35",-8.39788319914072
"36",-7.90332696474929
"37",-8.3949543709103
"38",-6.91391729382605
"39",-7.49354359924794
"40",-4.50483277120638
"41",-5.56494757991249
"42",-5.1766905207404
"43",-4.02802963620617
"44",-2.59587108086866
"45",-4.61781766531357
"46",-5.11865533570698
"47",-6.31394647553762
"48",-8.66448218399828
"49",-8.40396548444828
"50",-9.22184704736187
"51",-7.48236905328787
"52",-8.19103329466171
"53",-7.73075997352358
"54",-6.00326126379697
"55",-5.36400392816376
"56",-4.73342907369172
"57",-4.7161943556574
"58",-4.5581337062407
"59",-4.5443578787249
"60",-5.25468123180748
"61",-4.89869976707431
"62",-5.73400613975726
"63",-3.17804347776766
"64",-2.66216773851585
"65",-2.67291337604465
"66",-3.1977269407298
"67",-4.0332662637318
"68",-2.15705451543934
"69",-2.21903779030624
"70",-0.997287278731502
"71",-0.0244405032255085
"72",0.422956739839938
"73",2.56365817814233
"74",4.07723564349903
"75",4.64718936993297
"76",3.56837605767201
"77",3.70776032461062
"78",5.24893357886151
"79",4.87783652750817
"80",4.86127463804478
"81",5.82821007242964
"82",7.45961669582453
"83",7.30732700312143
"84",8.5484698397539
"85",7.38731975069449
"86",6.40272753873493
"87",6.77914901757214
"88",6.57144478287464
"89",6.66156647336026
"90",6.38708915761677
"91",6.6331294965862
"92",6.50928951479102
"93",6.25142183574202
"94",6.65219691256928
"95",6.91120319467659
"96",8.13052374275106
"97",7.94009708341302
"98",8.32338079170104
"99",8.29444461891183
"100",7.24985212575439
"101",6.69404712137402
"102",6.61850895436434
"103",6.00226878223177
"104",5.00890817779083
"105",5.04099739567306
"106",3.8260255987031
"107",3.74579777348681
"108",3.35396009882089
"109",0.791830899863606
"110",0.34295043572845
"111",1.52486966403279
"112",0.425448967617093
"113",-0.501855882128333
"114",0.351539484397557
"115",-0.307334857966576
"116",0.100164635954515
"117",-1.05016994426022
"118",-0.952707799349033
"119",-0.632505396348993
"120",-1.90122689145879
"121",-1.49170755388903
"122",-1.79662674248695
"123",-3.16160517570663
"124",-3.25789227700647
"125",-3.38106466100665
"126",-3.40336501552888
"127",-3.41433641981358
"128",-2.79452335189527
"129",-3.84044904984993
"130",-4.02867519366167
"131",-5.47339260529515
"132",-4.42021283017783
"133",-4.50002050920674
"134",-5.26240697906672
"135",-5.40122097481455
"136",-4.65044350838157
"137",-4.83142650867696
"138",-4.94108104306531
"139",-7.12787998108792
"140",-7.48235690078189
"141",-7.96611967184446
"142",-9.53688300271846
"143",-10.1137053399427
"144",-9.41880284078484
"145",-10.5769196349624
"146",-10.54621901389
"147",-11.4491162849109
"148",-11.0415138159665
"149",-9.84757566949635
"150",-8.58113395947083
"151",-7.85404480986594
"152",-8.12480670776766
"153",-7.35137958439205
"154",-7.13196145108499
"155",-7.46893598412258
"156",-6.64988359737837
"157",-7.8731856861748
"158",-8.1328243415203
"159",-9.25295335828605
"160",-11.1419589828567
"161",-8.52084374922296
"162",-6.98492977825271
"163",-7.67393052943329
"164",-8.58390341321029
"165",-8.48421846377819
"166",-7.523003279233
"167",-6.61595868232421
"168",-7.25566358611645
"169",-8.31690154627229
"170",-7.20161995143721
"171",-7.17531164436244
"172",-6.56997522971447
"173",-5.88522582616522
"174",-7.00757359950259
"175",-5.86543292678227
"176",-6.73763278794022
"177",-6.78632306386011
"178",-8.13347881677177
"179",-7.54902613122383
"180",-5.31545648996763
"181",-5.85847970207731
"182",-5.92655073549319
"183",-5.66355017694611
"184",-6.95604768050219
"185",-5.91815075161556
"186",-6.44316503072023
"187",-6.9456101414455
"188",-6.88752684967728
"189",-8.61348451528923
"190",-8.82831527192654
"191",-6.67707716041659
"192",-7.3848813410302
"193",-6.01246660563395
"194",-7.16703344196839
"195",-7.60619284315522
"196",-5.93207214070178
"197",-6.80675423226829
"198",-6.13884263916302
"199",-3.50102877974904
"200",-4.38259071695907
"201",-3.84709208572516
"202",-3.00594668931951
"203",-3.42499238426249
"204",-5.19924487971483
"205",-4.25692382740513
"206",-3.62723888174213
"207",-2.96812611867847
"208",-3.43680464043565
"209",-2.35439830565867
"210",-1.24241267517087
"211",-1.36054004084254
"212",-0.648108087119459
"213",-0.0657913028654511
"214",1.00837886926588
"215",1.60693476439285
"216",0.343673670583231
"217",0.0391797650042605
"218",-1.39859893102637
"219",-0.293052331964018
"220",-1.14262611052001
"221",-1.17592824611457
"222",-0.516677904166547
"223",-1.57969272547922
"224",-1.26249496092289
"225",-1.57811121180288
"226",-3.36940772569579
"227",-1.73165450931959
"228",-1.36734257614183
"229",-2.32941835600213
"230",-2.09947121818977
"231",-2.4091411563633
"232",-1.82056572534547
"233",-2.53722688094992
"234",-4.10014582190891
"235",-6.28170249720035
"236",-7.3878159996435
"237",-5.25468013540843
"238",-4.77093870542178
"239",-4.3897402392446
"240",-3.52880428733236
"241",-4.84113494544609
"242",-5.07452083747547
"243",-5.70214469211078
"244",-5.04576563045232
"245",-5.20552633993106
"246",-4.16691184641479
"247",-4.05515482615149
"248",-4.32308507219044
"249",-5.00524660751983
"250",-7.05776013561804
"251",-6.2660707611996
"252",-6.36179549758345
"253",-7.51766026541176
"254",-6.82952710540117
"255",-5.24428940771693
"256",-4.63441135331715
"257",-3.37452591738999
"258",-2.80636644377999
"259",-2.16638193206106
"260",-3.92919714445515
"261",-3.65920659011057
"262",-3.64008989821846
"263",-4.18982241013825
"264",-3.77887619376682
"265",-3.64850145025039
"266",-4.2612239142593
"267",-3.8232719028625
"268",-4.52445815148415
"269",-6.83190322056056
"270",-7.18307668224412
"271",-5.41214404689209
"272",-5.36799384539004
"273",-4.87905832413169
"274",-6.22320756835959
"275",-6.99568931686037
"276",-6.19085878410967
"277",-6.97559076801009
"278",-6.57835269587584
"279",-5.84334543810626
"280",-5.27080375726017
"281",-4.86173158169373
"282",-5.41400086096102
"283",-4.00658041892611
"284",-2.80614132288606
