"","time","t","S","E","I","R"
"1",1,1,52196380,1,0,0
"2",2,2,52196378.7401765,1.50680855908594,0.583002775840391,0.170012151174992
"3",3,3,52196376.9838184,2.1574833391738,1.37278522255984,0.485913064003547
"4",4,4,52196374.2433596,3.26576039196827,2.48150588099857,1.00937416261765
"5",5,5,52196370.6932348,4.47286285936741,4.01361105822212,1.82029134657339
"6",6,6,52196366.337132,5.73009492363201,5.95577653496494,2.97699654330161
"7",7,7,52196359.979042,7.94679424728436,8.48700549874002,4.58715820743778
"8",8,8,52196351.7941636,10.5262100317065,11.8630360828179,6.81659027116417
"9",9,9,52196343.86588,11.6825577122332,15.7506183363882,9.70094396421394
"10",10,10,52196334.4648209,13.4286394933339,19.8828985286574,13.2236411033644
"11",11,11,52196324.7389345,14.6021965912514,24.2378251332098,17.4210438674076
"12",12,12,52196312.0975925,17.4700199594259,29.0506141853756,22.3817734977889
"13",13,13,52196297.9287235,20.1629256896559,34.6318591255547,28.276491814336
"14",14,14,52196284.0362848,21.3768421910025,40.5032077374264,35.0836653126906
"15",15,15,52196269.3909528,22.5983057021454,46.2863715436112,42.7243700663959
"16",16,16,52196253.252467,24.3917307183006,52.1295284315809,51.2262739625635
"17",17,17,52196236.7106399,25.6537094934307,58.0311873778877,60.6044633045607
"18",18,18,52196218.570667,27.5488028255888,64.0135612752634,70.866968984835
"19",19,19,52196196.7609093,31.3734500670692,70.6713967058504,82.1942440451348
"20",20,20,52196171.7572972,35.8581069718129,78.534355060655,94.8502408523973
"21",21,21,52196142.697016,41.3566799926771,87.860349511262,109.085954557142
"22",22,22,52196111.3947313,45.995440110197,98.5210778068334,125.088750932336
"23",23,23,52196073.3150669,53.6696363186757,110.877534277289,143.137762658441
"24",24,24,52196037.3798054,56.0937701533242,124.208809234725,163.317615275436
"25",25,25,52195997.2323843,60.609266949878,137.680034314932,185.478314560258
"26",26,26,52195955.642121,64.1150759213627,151.516517256525,209.726285927414
"27",27,27,52195909.3522966,69.5801206166825,165.912785102893,236.154797799777
"28",28,28,52195862.7892312,72.6960947209533,180.694574488428,264.820099723802
"29",29,29,52195813.2903022,76.6003263976554,195.466955650787,295.642415832555
"30",30,30,52195761.6927335,80.2839236796167,210.358597302816,328.664745675542
"31",31,31,52195708.982555,83.0960342237107,225.094464288233,363.826946674058
"32",32,32,52195644.8594873,93.3371821196842,241.273260369137,401.530070401283
"33",33,33,52195581.2297889,98.4048407061243,259.209500252613,442.155870259968
"34",34,34,52195514.7733145,103.26542994151,277.458909771346,485.502345893062
"35",35,35,52195437.1010584,114.444208512921,297.453376055621,532.001357207774
"36",36,36,52195353.4953899,124.938969128257,320.28979380898,582.275847267316
"37",37,37,52195258.4039584,139.331258756709,346.417470723831,636.847312231372
"38",38,38,52195157.6482927,151.324154279043,375.801056835777,696.226496316186
"39",39,39,52195032.5944263,176.366240435557,410.60228814111,761.437045267757
"40",40,40,52194896.3282129,198.265272713558,452.527842446801,833.878672136294
"41",41,41,52194694.8465396,260.233805371022,509.297484042844,916.622171168495
"42",42,42,52194463.0524118,316.317994219855,587.539746109861,1014.08984803661
"43",43,43,52194173.6387982,390.44922196866,687.54534945471,1129.36663054191
"44",44,44,52193778.625757,511.316254816566,821.866238292159,1269.19174999157
"45",45,45,52193191.9685853,723.81190307243,1018.5701402474,1446.6493715802
"46",46,46,52192524.4664355,897.797919316016,1284.91356123433,1673.82208412614
"47",47,47,52191733.175293,1085.16014173128,1606.3817987832,1956.28276666044
"48",48,48,52190873.7866543,1236.56777457503,1971.61517422751,2299.03039711307
"49",49,49,52190073.2312296,1271.62971585637,2339.40914936048,2696.72990537543
"50",50,50,52189209.73963,1338.40813349169,2689.895896561,3142.95634016043
"51",51,51,52188350.2410018,1370.830534647,3024.05821359779,3635.87025020713
"52",52,52,52187302.4264661,1532.41692622433,3366.7081149053,4179.44849299631
"53",53,53,52186204.4672421,1656.68426038576,3737.93004254231,4781.91845511875
"54",54,54,52184960.4010924,1834.82210030187,4138.61414127748,5447.16266624637
"55",55,55,52183346.477455,2214.07527838412,4625.11057524388,6195.33669164173
"56",56,56,52181311.5403898,2739.64643296905,5269.17513424348,7060.63804318025
"57",57,57,52178681.040789,3477.59663043503,6136.97583106209,8085.38674975834
"58",58,58,52175388.549229,4378.69110218672,7292.20310056205,9321.55656851499
"59",59,59,52171221.5933834,5530.2222745723,8799.33414309264,10829.8501991419
"60",60,60,52165991.6992232,6959.42275586719,10743.0939739305,12686.7840472096
"61",61,61,52159871.0366075,8400.96418486862,13144.768245671,14964.2309622329
"62",62,62,52152213.8492556,10349.1555978565,16071.7474569325,17746.247689856
"63",63,63,52143508.4304201,12186.0068213519,19561.8207680696,21124.7419907047
"64",64,64,52130336.8648522,16617.3581823954,24113.1821579656,25313.5948077252
"65",65,65,52111731.2467197,23166.7035501287,30717.498378289,30765.5513521628
"66",66,66,52086166.9378672,32008.5213905748,40184.8519137163,38020.6888287599
"67",67,67,52052912.2530726,42613.8953587285,53161.4960181696,47693.3555507347
"68",68,68,52012189.6469586,53968.5939035338,69856.970205938,60365.7889322227
"69",69,69,51949866.8680381,76733.2957469259,92578.1652956167,77202.6709195723
"70",70,70,51862788.9296246,107907.70153564,125376.743095963,100307.625744045
"71",71,71,51725062.015031,163736.323534096,174631.497766942,132951.163668158
"72",72,72,51496995.3154378,263508.247126432,254305.715554568,181571.721881445
"73",73,73,51119341.7338186,432482.949468938,387290.042617113,257266.274095576
"74",74,74,50351810.97612,827050.356491036,632988.705200564,384530.96218863
"75",75,75,48688510.2987669,1737278.00204847,1146449.22462426,624143.474560576
"76",76,76,45290894.5238446,3567547.09355877,2234130.3752894,1103809.00730737
"77",77,77,40026258.4664688,5953884.13075697,4212509.14395009,2003729.25882433
"78",78,78,32925742.6333561,8592744.93853616,7189617.0434321,3488276.38467585
"79",79,79,24365329.2211574,11056669.5660294,11090324.9586294,5684057.25418404
"80",80,80,17343215.9551269,11175787.6652041,15161267.5977319,8516109.78193729
"81",81,81,12495884.963472,9613878.44319433,18383889.7148128,11702727.878521
"82",82,82,9209702.52330456,7617912.07587821,20371563.3286029,14997203.0722145
"83",83,83,6932821.70005504,5796957.81779325,21222473.0578733,18244128.4242786
"84",84,84,5529068.79556446,4172503.46470109,21153507.550302,21341301.1894326
"85",85,85,4542791.86955695,2987008.70844251,20434032.1730843,24232548.2489164
"86",86,86,3932490.42378067,2069252.73933677,19300714.9597419,26893922.8771408
"87",87,87,3531669.64875697,1418050.18156885,17929562.1876055,29317098.9820688
