"","x"
"1",0.0941101111053277
"2",0.162178725950538
"3",0.215589601172512
"4",0.331156512524246
"5",0.408136980462961
"6",0.567511808324561
"7",0.814386435413873
"8",1.08045020383176
"9",1.64944281150211
"10",2.19820452656005
"11",2.87828641810317
"12",4.41191537149551
"13",6.01161027973111
"14",9.65836257797413
"15",10.6794628700541
"16",22.946272453109
"17",28.0074608233613
"18",36.6071057686112
"19",53.16103948382
"20",66.7823570209413
"21",95.7932122930936
"22",136.48861457919
"23",175.063404640745
"24",241.84458928611
"25",237.022214662612
"26",290.731016399821
"27",425.446735862615
"28",608.100018874976
"29",688.939428757797
"30",1060.30138033342
"31",1581.6181174191
"32",1933.40725831441
"33",2703.32316201911
"34",4019.53938790908
"35",6714.49649173795
"36",9653.85212560645
"37",13134.594574613
"38",15958.4302538259
"39",23712.9137323454
"40",24095.2819519886
"41",34520.7159597835
"42",45082.1939120817
"43",60194.3187042826
"44",63058.7821778909
"45",84588.9555638672
"46",123726.533971092
"47",176470.362082819
"48",352375.261123844
"49",439494.328280114
"50",697819.713046902
"51",850642.081702455
"52",1020351.76585249
"53",655585.089463578
"54",522986.599689487
"55",557148.750291252
"56",339740.310825243
"57",335212.039835731
"58",215808.124345856
"59",158210.455692347
"60",138931.702186676
"61",115826.934815694
"62",95691.9882615782
"63",70292.8575391418
"64",67569.7063354734
"65",53862.9024309885
"66",50543.5204669719
"67",37466.2121769902
"68",33279.9928466364
"69",30870.3821583454
"70",24923.1518002405
"71",19027.9631208972
"72",20790.6461158971
"73",12435.903534059
"74",14788.8750682318
"75",12197.4132063163
"76",10404.3892769419
"77",7939.11555642276
"78",7664.49856342453
"79",7969.06147998517
"80",7343.14941778278
"81",5912.76018497813
"82",5762.86845851582
"83",4876.99594217285
"84",4732.81080547379
"85",3740.15358727242
"86",3703.28947481255
"87",3086.86552274402
"88",3041.2534403348
"89",2847.72003962331
"90",2874.61026485064
"91",1957.73896151822
"92",2016.15339984834
"93",1629.70163340815
"94",1404.73892726409
"95",1198.23987145244
"96",1041.70223795214
"97",1138.54841951782
"98",1027.38186324937
"99",1017.6095148958
"100",743.517885949492
"101",764.744134071991
"102",624.690088099357
"103",645.380455970059
"104",769.814653435405
"105",471.041827160221
"106",420.507345559644
"107",493.468847702579
"108",544.776798549932
"109",512.505532735646
"110",435.789651233401
"111",334.343342438569
"112",395.105249825916
"113",324.987821896051
"114",395.848945259282
"115",372.500503083723
"116",297.569459281612
"117",299.783661760161
"118",236.529685201573
"119",224.943324207519
"120",237.953362913236
"121",253.831883436288
"122",214.572679544508
"123",205.586867821651
"124",185.05010408495
"125",180.018545384081
"126",154.601021873766
"127",134.926324493928
"128",132.817312664651
"129",108.441858400622
"130",78.808265256245
"131",74.9380453770832
"132",66.9023628855708
"133",55.2581580231509
"134",57.8550076486668
"135",55.5107644581494
"136",47.4984061439243
"137",46.4624471083268
"138",38.5400467050065
"139",35.1398953314844
"140",29.689248339443
"141",27.3338773824862
"142",26.0782410766253
"143",21.132856637646
"144",18.2791736262534
"145",17.9331183508529
"146",13.8085693481893
"147",11.4953226826942
"148",9.16986222553802
"149",8.06880479577749
"150",7.76919056972165
"151",8.77128263340795
"152",5.93214981299408
"153",4.77911664562757
"154",5.3316243001357
"155",4.46703619618177
"156",4.24023388931021
"157",3.14911519186844
"158",2.83196182875642
"159",3.30227344541856
"160",2.49805844489079
"161",2.70567392331393
"162",2.08699015803229
"163",1.37400276387329
"164",1.39455968554435
"165",1.20847418915422
"166",1.11422525951344
"167",0.789861641839088
"168",0.786840051982569
"169",0.742722749390103
"170",0.631078171247936
"171",0.57920079723192
"172",0.475935868421879
"173",0.431173338868483
"174",0.462833244544042
"175",0.376200696083947
"176",0.334931264384333
"177",0.295595563506161
"178",0.276432078967771
"179",0.244204870670301
"180",0.223152539891235
"181",0.195589072447536
"182",0.160864749102168
"183",0.129247938803052
"184",0.118721969189782
"185",0.125478047296949
"186",0.110998441069476
"187",0.109198398566596
"188",0.0876415027371855
"189",0.0769586056784499
"190",0.0676171926859787
"191",0.0595342943956861
"192",0.0529345022158404
"193",0.0567573989189616
"194",0.0437681503455337
"195",0.0432701033214879
"196",0.0546821522296248
"197",0.0346975053241797
"198",0.0297006394644854
"199",0.0334131947188443
"200",0.0263430979334456
"201",0.0229441339464992
"202",0.0197645260782656
"203",0.0194974931523324
"204",0.0165005678035142
"205",0.014505011331312
"206",0.0089503576134471
"207",0.00715416258692835
"208",0.00802504333686829
"209",0.00672396795996837
"210",0.0050028998104525
"211",0.00421738216820142
"212",0.00477419558284378
"213",0.00333294353334581
"214",0.00355995697155274
"215",0.0035436305709607
"216",0.00301446252160825
"217",0.00243228197581588
"218",0.00211548578591761
"219",0.00185544237671003
"220",0.00154721259017429
"221",0.00151435864547705
"222",0.00103861881453956
"223",0.000935717570025655
"224",0.000960091435153828
"225",0.000682991454198321
"226",0.000570101404380003
"227",0.000607865152938012
"228",0.000402223934603651
"229",0.00037711953877404
"230",0.00030155029997381
"231",0.000322970418239169
"232",0.000237658842293679
"233",0.0002243158813138
"234",0.000192511981592806
"235",0.000160860946164537
"236",0.000141670337095323
"237",0.000139893267036376
"238",0.000119209162057298
"239",0.000131661053886604
"240",0.000106570307234724
"241",9.4909817705907e-05
"242",7.17555165221302e-05
"243",6.33697497036805e-05
"244",6.14903248426709e-05
"245",5.72260499396997e-05
