"","time","t","S","E","I","R"
"1",1,1,52196380,1,0,0
"2",2,2,52196378.7401689,1.50681612204648,0.58300278470116,0.17001215657403
"3",3,3,52196376.9186773,2.20872796209026,1.38374159193773,0.488853145454643
"4",4,4,52196374.2542011,3.23229768178398,2.49755638803913,1.01594485359424
"5",5,5,52196370.8489125,4.34215073527852,3.99070440290857,1.81823235155573
"6",6,6,52196366.574764,5.59785834308304,5.87343156550909,2.95394609285043
"7",7,7,52196360.2865837,7.82347609796796,8.35321854058503,4.53672158138138
"8",8,8,52196351.2368731,11.1385758753765,11.847386625687,6.77716429573997
"9",9,9,52196337.098287,16.8435255698481,17.0393647523094,10.0188226527288
"10",10,10,52196318.0489894,23.6418587870465,24.593666233413,14.7154855396982
"11",11,11,52196292.8914943,31.9468226480551,34.8502195791457,21.3114634495293
"12",12,12,52196255.5273356,45.8042204921686,49.1056125133515,30.5628313980347
"13",13,13,52196201.2075376,66.2608741316374,69.7678617393921,43.7637265005633
"14",14,14,52196126.15742,93.0885254680462,99.1990309839634,62.5550234740551
"15",15,15,52196033.2918896,120.95558665524,138.247510526823,88.5050131783041
"16",16,16,52195888.4499283,176.059773131968,192.090458204288,124.399840309907
"17",17,17,52195693.4690197,243.863354687041,268.782093037374,174.885532531565
"18",18,18,52195428.4625378,333.814037016113,373.835915681563,244.887509400492
"19",19,19,52195043.5204896,474.30112303882,520.77666469961,342.401722661394
"20",20,20,52194485.4054578,682.684308318858,732.620306924535,480.289926902806
"21",21,21,52193703.9675869,965.49066008949,1035.70570706819,675.836045882447
"22",22,22,52192669.839426,1309.87260191698,1452.22061481443,949.067357296782
"23",23,23,52191345.6841382,1715.5052958685,1998.39716606321,1321.4133998434
"24",24,24,52189731.6855572,2153.08004760384,2681.91449972426,1814.31989541885
"25",25,25,52187733.3499593,2680.85043758523,3515.48008633797,2451.31951678597
"26",26,26,52185227.2376379,3351.75412420184,4536.76478664061,3265.24345130026
"27",27,27,52182188.6044977,4116.95970703826,5781.07424619041,4294.361549086
"28",28,28,52178290.7960327,5185.09149341029,7315.21227421749,5589.900199693
"29",29,29,52172674.567875,7081.12169524216,9366.67096937425,7258.63946048767
"30",30,30,52164412.9753269,10134.1509302875,12339.5598802084,9494.31386262352
"31",31,31,52153172.5087639,14048.5290976714,16613.5772639711,12546.3848744831
"32",32,32,52138425.8248077,18822.6943253401,22449.6295452283,16682.8513218318
"33",33,33,52117199.6551013,26366.4000749983,30500.3451218816,22314.5997018494
"34",34,34,52081971.2094936,41251.7010434217,42812.292032235,30345.7974307414
"35",35,35,52032738.9171302,59919.9175327289,61632.9064190932,42089.2589179604
"36",36,36,51965536.8052424,83657.6148300547,88299.3660407528,58887.2138867996
"37",37,37,51875149.0284986,114105.352756258,124690.176144113,82436.442601102
"38",38,38,51748539.6697034,158225.386912571,174423.349148259,115192.594235838
"39",39,39,51586709.8938203,208670.359215959,240851.250064736,160149.496899122
"40",40,40,51386126.4309848,265179.388922399,325013.032261516,220062.147831304
"41",41,41,51146763.4517857,324897.204017673,427114.669648624,297605.674548033
"42",42,42,50830123.2652092,416169.816481059,553091.166943144,396996.751366595
"43",43,43,50423492.5377531,533855.285734419,713990.483974769,525042.692537759
"44",44,44,49890578.3695293,693547.598318216,921902.714970446,690352.317182051
"45",45,45,49153648.9520294,935645.184977839,1200496.54344632,906590.319546485
"46",46,46,48072258.9645815,1330141.32548593,1596443.29999921,1197537.40993347
"47",47,47,46360352.8417089,2027104.53864908,2202054.15746464,1606869.46217749
"48",48,48,43462623.1195488,3313890.09491917,3201623.08428088,2218244.70125125
"49",49,49,38848336.5822403,5312815.34574786,4866183.2234787,3169045.84853322
"50",50,50,32755830.1522267,7482525.42425283,7351747.87505331,4606277.54846726
"51",51,51,26247390.9642143,8923329.90655883,10435953.1270002,6589707.00222668
"52",52,52,21248952.9635024,8541432.05436178,13404378.9236176,9001617.05851827
"53",53,53,17120148.2618303,7681172.42020396,15733683.3721359,11661376.9458299
"54",54,54,14372945.2437501,6190116.54389793,17218114.555031,14415204.657321
"55",55,55,12118531.831299,5019243.55698194,17909587.973805,17149017.6379141
"56",56,56,10265077.7841795,4089271.10875202,18029205.2437236,19812826.8633449
"57",57,57,8835358.30273404,3272744.78694216,17721652.2386074,22366625.6717164
"58",58,58,7798886.88050408,2540207.81756593,17081246.4608183,24776039.8411117
"59",59,59,7029585.58873109,1946230.21237003,16200961.3953139,27019603.803585
"60",60,60,6439200.33074085,1492328.20545637,15174762.3761134,29090090.0876893
"61",61,61,5996871.76112686,1136930.38137671,14074783.923956,30987794.9335404
"62",62,62,5586188.17355151,921122.940821086,12967624.9699878,32721444.9156396
"63",63,63,5244089.33533937,753380.80005323,11895758.3638796,34303152.5007278
"64",64,64,4952687.30771361,624912.632425518,10875729.0795748,35743051.980286
"65",65,65,4691120.66831759,533202.271817522,9919700.72878448,37052357.3310804
"66",66,66,4459326.11103082,461412.815055968,9033394.75573176,38242247.3181814
"67",67,67,4278737.40434363,384424.735319807,8211663.6873907,39321555.1729458
"68",68,68,4112366.85437966,332174.090912037,7452796.92878734,40299043.1259209
"69",69,69,3972604.51099007,284068.217466481,6755920.38279962,41183787.8887437
"70",70,70,3857387.35257568,239736.604011015,6115911.3003572,41983345.743056
"71",71,71,3756494.41120299,205064.335571918,5529719.96299933,42705102.2902257
"72",72,72,3665809.19860204,178687.070566256,4995489.14878649,43356395.5820451
"73",73,73,3588988.41985654,154068.397683646,4509539.52889278,43943784.653567
"74",74,74,3522656.81116447,132918.811708439,4067715.20039487,44473090.1767322
"75",75,75,3460997.10148933,117985.498455714,3667409.51578054,44949988.8842744
"76",76,76,3404841.173731,105796.100617822,3305956.51451169,45379787.2111395
"77",77,77,3355436.30430199,94160.085878111,2979688.87540628,45767095.7344136
"78",78,78,3314230.83475855,81741.0941787216,2684536.7525613,46115872.3185014
"79",79,79,3274266.94895387,74093.0388529015,2418096.96840705,46429924.0437862
"80",80,80,3236391.65687613,68395.4330287471,2178635.58835381,46712958.3217413
