"","x"
"1",0.0480364964046244
"2",0.0723161247400196
"3",0.12754246572177
"4",0.21513926694251
"5",0.361636390253559
"6",0.615323065810419
"7",1.10097285312017
"8",1.48008302904567
"9",2.09549810960787
"10",4.18207461981804
"11",7.76207267496276
"12",12.6884147778237
"13",25.4289380291927
"14",34.2450342238879
"15",77.0721436728454
"16",154.967522293909
"17",336.926032028195
"18",650.380663746575
"19",1727.14375147215
"20",4321.01329599836
"21",11078.4711670717
"22",25030.3311112673
"23",67735.3767689055
"24",168691.199690194
"25",410913.111243131
"26",752157.338766286
"27",953255.828387179
"28",1055696.566481
"29",805698.164098338
"30",606974.424644017
"31",494078.974069368
"32",335797.64018893
"33",271653.360375947
"34",247759.759039958
"35",157753.350221418
"36",109960.776081617
"37",73254.5000678215
"38",63825.8844923644
"39",48434.1224154453
"40",38147.9046061953
"41",26332.6005786446
"42",17962.1004788612
"43",15513.2860801554
"44",11778.928658044
"45",8450.63196400326
"46",5699.62705326996
"47",4886.61469990556
"48",3073.05100787968
"49",2509.85671183003
"50",2134.69777967705
"51",1579.83786547151
"52",1240.7527397223
"53",1009.09944881037
"54",734.73684182632
"55",559.85383584802
"56",544.167995315796
"57",379.044439178247
"58",309.272767499532
"59",196.687359292707
"60",195.117499488482
"61",159.6220608013
"62",143.355691505689
"63",98.681087931019
"64",83.247272293103
"65",77.7167339754729
"66",57.3420739894808
"67",52.3284405617935
"68",54.3148956237027
"69",40.9861120912677
"70",33.553832362136
"71",31.2136902417668
"72",26.1714573397489
"73",16.4459229112874
"74",19.0116299095975
"75",16.5227116158358
"76",15.7585774980388
"77",13.1047474687681
"78",7.98367290560787
"79",9.72735553926433
"80",7.80184786431226
"81",5.78277495363383
"82",6.03431157356333
"83",4.17265331227289
"84",4.66830954240304
"85",4.11959453463321
"86",2.68961307074986
"87",3.53195700053144
"88",2.97105765173162
"89",2.81061253118322
"90",2.02817069104022
"91",2.1004249834554
"92",1.50309604865173
"93",1.6507821236351
"94",1.10429855582436
"95",1.02519132974748
"96",1.01217648020009
"97",0.707729509523311
"98",0.720125377841016
"99",0.61575497177421
"100",0.556932766014512
"101",0.559802285435292
"102",0.480158622536125
"103",0.398486523818557
"104",0.390858652330001
"105",0.297150694397243
"106",0.316395030189702
"107",0.30789931474257
"108",0.273469057138439
"109",0.219175810012167
"110",0.191051971507239
"111",0.184895907160168
"112",0.180409397108393
"113",0.134355760034588
"114",0.101296383158583
"115",0.10705033362262
"116",0.08215916245545
"117",0.0838869306991537
"118",0.0722494927373037
"119",0.0706229376389749
"120",0.0551400276361656
"121",0.0458599243793229
"122",0.0447588842551741
"123",0.0414992662597198
"124",0.0328237816284227
"125",0.0331045367846613
"126",0.0216238309782475
"127",0.019436280924222
"128",0.0173770873623824
"129",0.0137412003478667
