"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,0.0480364964046244,0,52196379,0,1,0,0,0,0,0,-0.147424029653068,17573
"2",1,0.87080647884546,1,0.0723161247400196,1,52196377.7886287,1,1.79134956183264,1,0.255956227821593,1,0.164065492096997,1,-0.0923493921654107,17573
"3",2,-1.54509783057802,2,0.12754246572177,2,52196375.6448433,2,3.17781694671333,2,0.688496320552616,2,0.488843426956249,2,-0.190069959213641,17573
"4",3,-0.878606137978779,3,0.21513926694251,3,52196372.2211477,3,5.30571031840869,3,1.39982874430544,3,1.07331327468092,3,-0.245637890457983,17573
"5",4,0.0449618032565681,4,0.361636390253559,4,52196366.6977076,4,8.69554892116913,4,2.54078671305089,4,2.06595671974796,4,-0.242794256338,17573
"6",5,-0.742602863645314,5,0.615323065810419,5,52196357.8862414,5,14.0282440994275,5,4.37155515099708,5,3.71395933935168,5,-0.289760585259653,17573
"7",6,-0.477351991139053,6,1.10097285312017,6,52196344.3993066,6,21.9947969908311,6,7.23746082915413,6,6.36843553797749,6,-0.319950976011972,17573
"8",7,1.67407118249979,7,1.48008302904567,7,52196322.1200522,7,35.5527925812319,7,11.729413255007,7,10.5977419432488,7,-0.214073417972957,17573
"9",8,0.448129957104551,8,2.09549810960787,8,52196282.4327758,8,60.6518037287326,8,19.2904853096812,8,17.6249351305806,8,-0.185731190928878,17573
"10",9,0.795636349108118,9,4.18207461981804,9,52196210.8652467,9,106.925619989802,9,32.5234529407626,9,29.6856804216665,9,-0.135410729880827,17573
"11",10,-2.02069545734328,10,7.76207267496276,10,52196091.1647584,10,182.287773389286,10,55.8559260826964,10,50.6915421250862,10,-0.263210731936035,17573
"12",11,1.1689861185664,11,12.6884147778237,11,52195895.8811836,11,303.931753294409,11,94.3917367506996,11,85.7953263385321,11,-0.189277558180246,17573
"13",12,0.613894936711124,12,25.4289380291927,12,52195542.2867787,12,531.260723684554,12,160.65878480527,12,145.793712766576,12,-0.150451433299204,17573
"14",13,1.42142559890209,13,34.2450342238879,13,52194863.8468063,13,982.946479585627,13,280.744416460987,13,252.462297658831,13,-0.0605525849592139,17573
"15",14,0.851685453744103,14,77.0721436728454,14,52193466.0844416,14,1944.31965144751,14,515.238031811617,14,454.357875157838,14,-0.00668726728190701,17573
"16",15,-0.485165406641587,15,154.967522293909,15,52190652.1471582,15,3884.26333424207,15,990.231810674279,15,853.357696917993,15,-0.037371821820091,17573
"17",16,0.940758958261954,16,336.926032028195,16,52184922.8874216,16,7867.44054118166,16,1943.77074174489,16,1645.90129546892,16,0.0221269989262101,17573
"18",17,0.624819656617243,17,650.380663746575,17,52172392.734767,17,16754.9660363748,17,3947.90197529153,17,3284.3972212964,17,0.0616440637613058,17573
"19",18,2.25241360954884,18,1727.14375147215,18,52141561.1610869,18,39455.0213530228,18,8470.70417749512,18,6893.1133825595,18,0.204099208540016,17573
"20",19,-1.13465640758892,19,4321.01329599836,19,52064559.117567,19,96483.7930766273,19,19722.3886664476,19,15614.7006898918,19,0.132337236346309,17573
"21",20,0.826078040129842,20,11078.4711670717,20,51880760.1476363,20,232432.537024266,20,46739.138049385,20,36448.177289989,20,0.184582998983475,17573
"22",21,2.27619879490242,21,25030.3311112673,21,51363306.5752854,21,627871.508627146,21,116112.835626594,21,89089.0804607967,21,0.328542450967917,17573
