"","x"
"1",0.0433072475664683
"2",0.0315311866239655
"3",0.0374953116238197
"4",0.0533707556687519
"5",0.0636159236035875
"6",0.0799520053871245
"7",0.131610079418134
"8",0.168615210669502
"9",0.192155637714805
"10",0.332912502133395
"11",0.404197032281069
"12",0.661896773164246
"13",0.895061421195373
"14",1.54984096400002
"15",2.71573523516097
"16",3.29338194727211
"17",5.30151244782889
"18",8.90445996673423
"19",14.2985133552639
"20",16.7092312894821
"21",31.3684950084107
"22",41.9513426455383
"23",60.9246920136704
"24",87.3046534112729
"25",134.230658191399
"26",128.686399398513
"27",200.889426205921
"28",231.696527281311
"29",339.367446549353
"30",452.930934407365
"31",549.827404025248
"32",813.850789135636
"33",1109.04947962092
"34",1921.81819349328
"35",2632.92552350069
"36",2990.9788944092
"37",4609.36423926815
"38",5942.09364166075
"39",8106.19840329164
"40",9147.61160202528
"41",15803.9470506972
"42",16435.197794389
"43",19777.6417313602
"44",28442.4621119636
"45",42506.2025758295
"46",42671.2786964204
"47",69397.9201180613
"48",91772.3121245597
"49",110651.854233694
"50",143259.691753336
"51",151082.470552952
"52",173864.802610317
"53",206138.42396739
"54",194767.275533372
"55",239106.462916979
"56",352437.951518204
"57",388025.642841964
"58",327525.47648389
"59",426919.987981641
"60",502147.159364579
"61",495871.436385525
"62",491792.663776965
"63",610295.459931744
"64",498741.587477936
"65",491739.241294247
"66",455060.289588803
"67",545332.803177058
"68",487002.431962644
"69",338853.357385595
"70",355769.486261818
"71",308359.013438161
"72",255048.630513932
"73",252213.760103144
"74",189961.589179241
"75",167311.604305209
"76",146253.882368532
"77",129905.95317306
"78",118586.265224434
"79",62928.1634543252
"80",71327.7308750443
"81",65667.2223570323
"82",50620.8793993237
"83",45547.6221913119
"84",40048.349399935
"85",29472.9555920701
"86",24695.3057549848
"87",24995.5695916878
"88",22056.361299117
"89",16310.404517785
"90",11504.3150152195
"91",9813.62405532237
"92",9509.17411642472
"93",7808.98663208006
"94",6587.6467965728
"95",6002.58736443471
"96",5310.50390252943
"97",3258.35204787156
"98",3665.71073022948
"99",2521.63493225508
"100",2320.33383276147
"101",2360.1098216893
"102",1755.31414612408
"103",1602.68142477973
"104",1194.9437003071
"105",938.430755296977
"106",875.04218511663
"107",728.001124456175
"108",617.365847598539
"109",549.511258048815
"110",503.194105774237
"111",340.492599787187
"112",338.803276861567
"113",288.14288273719
"114",281.590491982551
"115",217.354891832294
"116",191.592615326188
"117",171.040209616575
"118",138.773923428411
"119",90.4988586650123
"120",97.1479169040097
"121",96.0495442535692
"122",91.3420981758776
"123",66.204104561995
"124",62.2832809482145
"125",56.8317895134258
"126",38.9594644642366
"127",42.2078837345813
"128",35.9085126381309
"129",31.7647546320519
"130",31.0998947018642
"131",23.8075615755553
"132",22.6105648251918
"133",17.8837235731945
"134",15.323368019666
"135",13.8848356460336
"136",14.194466939863
"137",9.92537663942401
"138",6.8435114822775
"139",7.61108798293391
"140",6.29910302203812
"141",5.87390380875089
"142",5.52860041888369
"143",4.58595182273889
"144",4.19532558670082
"145",3.26069813001791
"146",3.54601093985123
"147",2.33890023896019
"148",2.50324863825922
"149",1.6344160396544
"150",1.76850718406454
"151",1.50563172917997
"152",1.24867193789021
"153",0.962112268769562
"154",1.03146241861403
"155",0.899923712677447
"156",0.634420569340361
"157",0.612370144696962
"158",0.615018049756291
"159",0.59605878229177
"160",0.528414525104483
"161",0.324900549335998
"162",0.352073752428782
"163",0.277341334438079
"164",0.296331378935468
"165",0.202335488831467
"166",0.220485727434388
"167",0.191332229704543
"168",0.147377898830922
"169",0.120768193359951
"170",0.132385500367928
"171",0.127630316819841
"172",0.0914115851367213
"173",0.0882540050473275
"174",0.0829773380897807
"175",0.0694709038835413
"176",0.0545453527199626
"177",0.0470364385825755
"178",0.046512842120999
"179",0.0387836098867952
"180",0.0329329328620094
"181",0.0282507423906768
"182",0.0283806761369823
"183",0.0279295784213681
"184",0.0183503728118385
"185",0.0176956978772682
"186",0.015847455602431
"187",0.0109886428379421
"188",0.0136816821152293
"189",0.011688169599248
"190",0.00940368850050155
"191",0.00861824092014625
"192",0.00615414448622134
"193",0.00711524252636582
"194",0.00565187473048957
"195",0.00492964777162446
"196",0.00387455687822857
"197",0.00403174028681617
"198",0.00349035830578393
"199",0.0023907843229894
"200",0.00253443685182076
"201",0.00241889379748462
"202",0.00203237672930353
"203",0.00190710350153246
"204",0.00166761409835369
"205",0.00150819775398105
"206",0.0012677198895307
"207",0.00111058731969814
"208",0.000833545447912776
"209",0.00116356734494864
"210",0.00087592810732755
"211",0.000749844875113869
"212",0.000672902550560461
"213",0.000547092071617163
"214",0.000552633610396297
"215",0.000484609877902369
"216",0.000541867476499713
"217",0.000407997627440796
"218",0.000360703900389596
"219",0.000264430240110729
"220",0.000298904238595482
"221",0.000305569316332708
"222",0.000243733904291136
"223",0.00021503699970468
"224",0.000227942193364811
"225",0.000179939272022248
"226",0.000177828867847344
"227",0.000130244395400905
"228",0.000126764239461823
"229",0.000126275140321636
"230",9.5958369793396e-05
"231",8.96580206411085e-05
"232",6.9032732790464e-05
"233",7.38775026058116e-05
"234",6.95068688151481e-05
"235",6.87630759696289e-05
"236",5.13652593495262e-05
"237",4.46994802388425e-05
"238",3.98460370208053e-05
"239",3.87128712147321e-05
"240",3.30546218433713e-05
"241",3.56996087281516e-05
"242",2.86750278594599e-05
"243",2.62612612697615e-05
"244",2.21286907971473e-05
"245",2.11753915528324e-05
"246",1.94892058277581e-05
"247",1.70432303991325e-05
"248",1.55690681233831e-05
"249",1.63075687242131e-05
"250",9.30448867281314e-06
"251",1.02887533128152e-05
"252",9.6513498097043e-06
"253",7.57062260185112e-06
"254",7.21838757378003e-06
"255",7.56548384994124e-06
"256",7.07880511919774e-06
"257",5.44695536049773e-06
"258",4.81406123974584e-06
"259",3.83169935115109e-06
"260",4.55060658370994e-06
"261",3.77749023382497e-06
"262",3.18955180153805e-06
"263",3.05784892016615e-06
"264",2.20810509965572e-06
"265",2.14444861779465e-06
"266",1.85524454819011e-06
"267",1.57756963014791e-06
"268",1.6426824921121e-06
"269",1.51518708766477e-06
"270",1.06304015300487e-06
"271",1.01330839100816e-06
"272",1.13818290173386e-06
"273",8.38861584192602e-07
"274",9.06254641421049e-07
"275",6.779975817509e-07
"276",5.51908964199888e-07
"277",4.9795251241476e-07
"278",4.85971193039734e-07
"279",4.30914271667591e-07
"280",3.45883127958871e-07
"281",2.90124967000638e-07
"282",2.68988453577055e-07
"283",2.30712537722434e-07
"284",2.16963378491189e-07
"285",1.9532577078519e-07
"286",1.81325996836953e-07
"287",1.73603657042553e-07
"288",1.34158980543e-07
"289",1.40356731227368e-07
"290",1.14364965733649e-07
"291",9.32114541946322e-08
"292",9.09621757097589e-08
"293",8.01800325103736e-08
"294",6.34767839755013e-08
"295",6.02010698335348e-08
"296",6.05784873859818e-08
"297",5.14907521210929e-08
"298",4.54771232364123e-08
"299",3.4876134065578e-08
"300",4.68610504834199e-08
"301",2.79476357144819e-08
"302",2.54655943476862e-08
"303",2.13145692418481e-08
"304",2.6633346685522e-08
"305",1.9468339864351e-08
