"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","x.time","x.value","clock"
"1",0,0,0,0.0433072475664683,0,52196379,0,1,0,0,0,0,0,0.235091279040162,24376
"2",1,-1.80081054429023,1,0.0315311866239655,1,52196378.8921993,1,0.919498762685621,1,0.177299396949306,1,0.0110025384201006,1,0.121198019952068,24376
"3",2,-1.11512210127641,2,0.0374953116238197,2,52196378.6127981,2,1.00840637543604,2,0.336968624829198,2,0.0418269118599393,2,0.05067150576754,24376
"4",3,-0.00415437597221748,3,0.0533707556687519,3,52196378.1704334,3,1.22927873380338,3,0.508072330415608,3,0.0922154853779472,3,0.0504087599609623,24376
"5",4,1.16767486639153,4,0.0636159236035875,4,52196377.5055997,4,1.61320973809176,4,0.716151344429291,4,0.165039189426978,4,0.124259002847563,24376
"6",5,-1.40785572782149,5,0.0799520053871245,5,52196376.5906574,5,2.15327043090762,5,0.989605050536385,5,0.266467120182674,5,0.0352183885109635,24376
"7",6,0.393292593285609,6,0.131610079418134,6,52196375.3724029,6,2.8732712218135,6,1.34878349558541,6,0.405542387611143,6,0.0600923961440989,24376
"8",7,1.24745973940839,7,0.168615210669502,7,52196373.6248692,7,3.94652460837242,7,1.83395707267302,7,0.594649129709432,7,0.138988677461911,24376
"9",8,-0.020214356508792,8,0.192155637714805,8,52196371.1517201,8,5.48437641060803,8,2.51122001305053,8,0.852683487291846,8,0.137710209301863,24376
"10",9,2.08742351301858,9,0.332912502133395,9,52196367.5075421,9,7.81822424528002,9,3.46692014492874,9,1.20731356616614,9,0.26973046415244,24376
"11",10,-0.425390618272686,10,0.404197032281069,10,52196362.1855374,10,11.2496707947221,10,4.86363612743748,10,1.7011556578845,10,0.242826399172261,24376
"12",11,1.25808421704821,11,0.661896773164246,11,52196354.4597929,11,16.2624500400626,11,6.88062889834983,11,2.39712818095776,11,0.322394631455901,24376
"13",12,2.04637687335657,12,0.895061421195373,12,52196342.2097895,12,24.5083640542788,12,9.89270232363839,12,3.38914414226827,12,0.451818868873914,24376
"14",13,1.46198517320899,13,1.54984096400002,13,52196322.2817785,13,38.2725449270284,13,14.6104099562144,13,4.83526657651635,13,0.544282929928638,24376
"15",14,-0.44587190391969,14,2.71573523516097,14,52196291.6084832,14,59.313821323362,14,22.0776737759928,14,7.00002168244171,14,0.516083514707398,24376
"16",15,1.25014325113943,15,3.29338194727211,15,52196243.6327593,15,92.4068344001155,15,33.6726076558507,15,10.2877985954394,15,0.595149516209168,24376
"17",16,-1.4285453061335,16,5.30151244782889,16,52196170.8745583,16,141.974906923825,16,51.8185688220976,16,15.331965937143,16,0.504800378046681,24376
"18",17,0.208629571943707,17,8.90445996673423,17,52196063.1395687,17,214.594176357288,17,79.1976228811039,17,23.0686320068572,17,0.517995270738842,24376
