"","x"
"1",0.235091279040162
"2",0.121198019952068
"3",0.05067150576754
"4",0.0504087599609623
"5",0.124259002847563
"6",0.0352183885109635
"7",0.0600923961440989
"8",0.138988677461911
"9",0.137710209301863
"10",0.26973046415244
"11",0.242826399172261
"12",0.322394631455901
"13",0.451818868873914
"14",0.544282929928638
"15",0.516083514707398
"16",0.595149516209168
"17",0.504800378046681
"18",0.517995270738842
"19",0.460662724335231
"20",0.407494713511473
"21",0.416071464323795
"22",0.320493022580476
"23",0.231071540767488
"24",0.224177050405182
"25",0.227603578947488
"26",0.104008764070151
"27",0.106403462469078
"28",-0.00444303111313206
"29",0.119480032795838
"30",0.135741997923835
"31",0.0750534506618548
"32",0.0794272822858663
"33",0.10640697335331
"34",0.0972063756748015
"35",0.0761634317823481
"36",0.0957750072067953
"37",0.116329636796374
"38",0.100204960687252
"39",-0.0340824341047301
"40",0.0133196962888072
"41",0.00675887363530093
"42",0.00819021982719977
"43",-0.0785059087579439
"44",0.0170936216894283
"45",-0.0248100315978574
"46",-0.0393106935895516
"47",-0.11847627612122
"48",-0.250290131447385
"49",-0.342395190172802
"50",-0.318876833258452
"51",-0.293594795138856
"52",-0.286901077586884
"53",-0.350708981236149
"54",-0.3427170059476
"55",-0.341982839042932
"56",-0.417659769640561
"57",-0.450901685451169
"58",-0.442597005980648
"59",-0.455672740464657
"60",-0.474440863349264
"61",-0.516819866909187
"62",-0.430189459682449
"63",-0.29807781627984
"64",-0.275000189984066
"65",-0.194782715087647
"66",-0.161690777511938
"67",-0.170377791522786
"68",-0.23759195588674
"69",-0.127432958313378
"70",-0.100118877349273
"71",-0.184920752692861
"72",-0.293342252758387
"73",-0.236363969511206
"74",-0.138531965256755
"75",-0.237662108430434
"76",-0.32450622789451
"77",-0.330418993332755
"78",-0.3320769723823
"79",-0.335109803689315
"80",-0.244339003640838
"81",-0.12171890020741
"82",-0.0504396962194184
"83",-0.0773898281034834
"84",-0.174888217022407
"85",-0.203082364495348
"86",-0.229161069079812
"87",-0.286018411326335
"88",-0.270785500093165
"89",-0.286857403834337
"90",-0.238949547755596
"91",-0.22991351311978
"92",-0.248643661361304
"93",-0.14919571986523
"94",-0.133917140032774
"95",-0.159626245835082
"96",-0.185645136314667
"97",-0.153751754417638
"98",-0.113990822192009
"99",-0.206258680895461
"100",-0.199985993373649
"101",-0.201257893238775
"102",-0.176651098994792
"103",-0.185091635075858
"104",-0.228895059453269
"105",-0.184076458864345
"106",-0.215622129475061
"107",-0.163416927988152
"108",-0.211195174395177
"109",-0.282755626547303
"110",-0.247588162165072
"111",-0.189134465405654
"112",-0.176715697684332
"113",-0.262012914665413
"114",-0.206740366801534
"115",-0.187976148005994
"116",-0.0786676128714944
"117",-0.154086434129587
"118",-0.0991626463854015
"119",-0.230194094652119
"120",-0.196035582084046
"121",-0.180690709484221
"122",-0.212368409352474
"123",-0.217103487967909
"124",-0.19100645907524
"125",-0.154505712647996
"126",-0.31635729482822
"127",-0.353127401844883
"128",-0.303336870049865
"129",-0.368645425614935
"130",-0.429594849254923
"131",-0.385550053720349
"132",-0.425748791005268
"133",-0.421860597409763
"134",-0.369454622366593
"135",-0.369122701034749
"136",-0.559430478238519
"137",-0.548235474512436
"138",-0.455626824197042
"139",-0.487451643090621
"140",-0.628741246989584
"141",-0.585984299615655
"142",-0.637991656132366
"143",-0.519122123052977
"144",-0.604934459671244
"145",-0.633628333788751
"146",-0.679801320446555
"147",-0.819763573428204
"148",-0.7491633057434
"149",-0.817033016995085
"150",-0.923965396180398
"151",-0.91219066894625
"152",-0.853375499124063
"153",-0.802001401124408
"154",-0.809985898331702
"155",-0.68547018691636
"156",-0.731409723828151
"157",-0.775508635241239
"158",-0.805773625905966
"159",-0.797445539591974
"160",-0.792392929098232
"161",-0.794623078081818
"162",-0.838265367494653
"163",-0.906601245835936
"164",-0.887255562384546
"165",-0.951461134155523
"166",-0.963628973685633
"167",-0.933481591034853
"168",-0.835482452978559
"169",-0.834038602311192
"170",-0.850619475800135
"171",-0.999682189457164
"172",-1.05135469470438
"173",-0.992397072358258
"174",-0.981117713122737
"175",-1.0409044813129
"176",-1.00209440980924
"177",-0.989174198439726
"178",-1.04938481957232
"179",-1.10307003901419
"180",-1.16157840577891
"181",-1.15849797409439
"182",-1.24589536423959
"183",-1.20510396322816
"184",-1.23899646376733
"185",-1.24706462371593
"186",-1.21468051023807
"187",-1.16188337920652
"188",-1.08269746705872
"189",-1.03692706317382
"190",-0.982009494070648
"191",-1.03319085856254
"192",-1.09371152635339
"193",-1.16569590759373
"194",-1.12979460390018
"195",-1.17119123461663
"196",-1.15205069480887
"197",-1.14030670123648
"198",-1.17188410620095
"199",-1.24995564117512
"200",-1.23512490992393
"201",-1.1963870279492
"202",-1.22175790711279
"203",-1.2025291885296
"204",-1.16438832218292
"205",-0.997679690629677
"206",-0.891646287602241
"207",-0.922588475043027
"208",-0.962073978381925
"209",-0.875631659059978
"210",-0.846369418196361
"211",-0.792724048068079
"212",-0.836647583045478
"213",-0.710075994645082
"214",-0.71066198260352
"215",-0.637861410062724
"216",-0.727577839342965
"217",-0.847653260609326
"218",-0.870261356065177
"219",-0.958860969252428
"220",-0.861933109866293
"221",-0.916466311275969
"222",-0.894121742070991
"223",-0.907895857356082
"224",-0.89087806528876
"225",-0.862992269486047
"226",-0.743650040047619
"227",-0.667954871959417
"228",-0.66166229710712
"229",-0.624465121623013
"230",-0.576108866319421
"231",-0.539269006607312
"232",-0.619090540341995
"233",-0.557053715091656
"234",-0.496839552316385
"235",-0.512085736244123
"236",-0.489374312248343
"237",-0.42956861935917
"238",-0.474027907001587
"239",-0.465816029029964
"240",-0.45113700303965
"241",-0.476649760899029
"242",-0.337108389361017
"243",-0.359066659287328
"244",-0.407260124693596
"245",-0.459129264195986
"246",-0.585508806664789
"247",-0.601605326374121
"248",-0.563872371650285
"249",-0.358070727082808
"250",-0.445396374236173
"251",-0.439256244514892
"252",-0.528400810130456
"253",-0.539783260230194
"254",-0.514157311762788
"255",-0.541835429856667
"256",-0.458773487021955
"257",-0.400187926611896
"258",-0.397759654117456
"259",-0.498382811280214
"260",-0.635194580375617
"261",-0.570249424134839
"262",-0.510377289767184
"263",-0.588727519829905
"264",-0.561497320912642
"265",-0.505866284006532
"266",-0.512294524832743
"267",-0.526927897789892
"268",-0.365553860430317
"269",-0.346165983438859
"270",-0.407495806365305
"271",-0.407262860005715
"272",-0.482150735845931
"273",-0.651579218355083
"274",-0.666700816767208
"275",-0.6791804115047
"276",-0.684071083666097
"277",-0.649070649710487
"278",-0.6558918521801
"279",-0.593064871942308
"280",-0.415903771141697
"281",-0.323270152546915
"282",-0.393355064127249
"283",-0.432617160771957
"284",-0.384170329228863
"285",-0.461433392808757
"286",-0.524839717413999
"287",-0.587063390796024
"288",-0.573554826150906
"289",-0.619345257618753
"290",-0.647849214573443
"291",-0.593914048947466
"292",-0.568923976372044
"293",-0.648698769462831
"294",-0.554915961182863
"295",-0.568689675765524
"296",-0.540972262288959
"297",-0.57425498859773
"298",-0.5051373235241
"299",-0.52205609468024
"300",-0.536719068620561
"301",-0.508426124173178
"302",-0.572213473017208
"303",-0.559611348138893
"304",-0.563276125327962
"305",-0.614249266628389
"306",-0.676764979007828
"307",-0.70629551531494
"308",-0.703008029235234
"309",-0.640858380203645
"310",-0.658601636138926
"311",-0.785853497885103
"312",-0.81715279325689
"313",-0.776822591920189
"314",-0.704591074425956
"315",-0.697181770451293
"316",-0.726034639302396
"317",-0.738121630123385
"318",-0.674742560135382
"319",-0.635617731245808
"320",-0.715147487600838
"321",-0.690089840363078
"322",-0.750440219205331
"323",-0.723355470915431
"324",-0.720455659764024
"325",-0.687448532433708
"326",-0.714074537756214
"327",-0.634959986745298
"328",-0.599976449162276
"329",-0.609259741781395
"330",-0.618219770957092
"331",-0.605520633289798
"332",-0.630043198337478
"333",-0.686590427727697
"334",-0.667986799512836
"335",-0.704789562464444
"336",-0.726859289162075
"337",-0.72765781370277
"338",-0.751835602229268
"339",-0.662069291353859
"340",-0.668418706285067
"341",-0.648966204940815
"342",-0.619475884311351
"343",-0.587506755442004
"344",-0.586601904933586
"345",-0.44832244019293
"346",-0.452813111238963
"347",-0.556496363888258
"348",-0.488742840037885
"349",-0.492844215717785
"350",-0.384052954013557
"351",-0.239932915544192
"352",-0.204983695965804
"353",-0.295603976224215
"354",-0.199766220737574
"355",-0.279824115085779
"356",-0.128540869573281
"357",-0.00263129887396061
"358",-0.0441725364080865
"359",0.0172761105987282
"360",0.0129099350398307
"361",-0.0496853393879773
"362",-0.112156083994973
"363",-0.162015847553995
"364",-0.275096484707217
"365",-0.228988341471889
"366",-0.278181577374242
