"","e.time","e.value","y.time","y.value","S.time","S.value","E.time","E.value","I.time","I.value","R.time","R.value","mu.time","mu.value","x.time","x.value","clock"
"1",0,0,0,0.0480364964046244,0,52196379,0,1,0,0,0,0,0,0,0,-0.118282686435379,26045
"2",1,0.87080647884546,1,0.0362426570872821,1,52196378.9155899,1,0.897770284654438,1,0.175691280736295,1,0.0109485738706835,1,-0.02,1,-0.0597689492210728,26045
"3",2,-1.54509783057802,2,0.0377882634033416,2,52196378.6897019,2,0.941523147999705,2,0.32758052360443,2,0.0411943862059568,2,-0.02,2,-0.153147158501435,26045
"4",3,-0.878606137978779,3,0.0437128741667371,3,52196378.3526441,3,1.07803587327335,3,0.479845472080753,3,0.0894745077905454,3,-0.02,3,-0.200855093634642,26045
"5",4,0.0449618032565681,4,0.0542455344348932,4,52196377.8897723,4,1.30433416311575,4,0.649040513484623,4,0.156852977219391,4,-0.02,4,-0.189260973438613,26045
"6",5,-0.742602863645314,5,0.0710183251875418,5,52196377.2839766,5,1.61908834012457,5,0.850631594978211,5,0.246303456383782,5,-0.02,5,-0.226817515345794,26045
"7",6,-0.477351991139053,6,0.1011944482535,6,52196376.5190241,6,2.02162236755164,6,1.09689250983437,6,0.362461016535278,6,-0.02,6,-0.246178960306781,26045
"8",7,1.67407118249979,7,0.108147149542887,7,52196375.4852588,7,2.59778208417731,7,1.40537372735284,7,0.511585321089207,7,-0.02,7,-0.131873895983899,26045
"9",8,0.448129957104551,8,0.11835327346333,8,52196374.059182,8,3.42560056715785,8,1.81205633164397,8,0.70316112155303,8,-0.02,8,-0.0987724079392566,26045
"10",9,0.795636349108118,9,0.178442313496453,9,52196372.1300259,9,4.56234207601322,9,2.35637472020692,9,0.951257261646,9,-0.02,9,-0.0458474765329389,26045
"11",10,-2.02069545734328,10,0.252711085254965,10,52196369.7091177,10,5.93477321985246,10,3.08101329669934,10,1.27509573154184,10,-0.02,10,-0.169244470511867,26045
"12",11,1.1689861185664,11,0.320973495955398,11,52196366.6050578,11,7.68843382683716,11,4.00905741672713,11,1.69745094587579,11,-0.02,11,-0.0898504648784923,26045
"13",12,0.613894936711124,12,0.488365597450709,12,52196362.3151131,12,10.2029215858897,12,5.23433524195996,12,2.24763007397749,12,-0.02,12,-0.0485723693122845,26045
"14",13,1.42142559890209,13,0.482013409977246,13,52196356.3033093,13,13.8353894276356,13,6.89245721363092,13,2.96884398198219,13,-0.02,13,0.0405094910413171,26045
"15",14,0.851685453744103,14,0.757303866002992,14,52196347.7706469,14,19.1047078570563,14,9.19955562324901,14,3.92508959808155,14,-0.02,14,0.0900992581080173,26045
"16",15,-0.485165406641587,15,1.0422204609602,15,52196336.2565812,15,26.1232719138833,15,12.4107019173586,15,5.20944489702715,15,-0.02,15,0.0547995870240077,26045
"17",16,0.940758958261954,16,1.53108387220742,16,52196320.5022654,16,35.7517976739358,16,16.8005247051046,16,6.94541217736172,16,-0.02,16,0.109187402151011,26045
"18",17,0.624819656617243,17,1.92629059331888,17,52196298.1727779,17,49.6246817691709,17,22.8992718086047,17,9.30326849507572,17,-0.02,17,0.141432257793689,26045
"19",18,2.25241360954884,18,3.11030522685479,18,52196264.8566427,18,71.0520818173789,18,31.5580086963839,18,12.5332667142513,18,-0.02,18,0.272511501300937,26045
"20",19,-1.13465640758892,19,4.52480079447779,19,52196217.7640957,19,101.034158809846,19,44.1763966822755,19,17.0253487770691,19,-0.02,19,0.188248093916724,26045
"21",20,0.826078040129842,20,6.76017260102719,20,52196152.9511281,20,141.832211744972,20,61.8970555581799,20,23.3196045394673,20,-0.02,20,0.229052832689406,26045
"22",21,2.27619879490242,21,8.25026131536389,21,52196053.5162724,21,206.953076074727,21,87.368355364716,21,32.1622960768192,21,-0.02,21,0.357326089081331,26045
"23",22,0.459707060356891,22,11.2370635249538,22,52195902.3456811,22,307.302726078551,22,125.586397013172,22,44.7651957027978,22,-0.02,22,0.367283209635818,26045
"24",23,-1.83323340691011,23,15.3560937971102,23,52195697.7847081,23,437.732339366357,23,181.51415821418,23,62.9687942825902,23,-0.02,23,0.235302208204783,26045
"25",24,0.783008331342074,24,24.3945396763245,24,52195416.2410809,24,615.227058952592,24,259.40990478706,24,89.1219552601217,24,-0.02,24,0.271155101487289,26045
"26",25,1.37641268756406,25,36.714288443664,25,52194991.870734,25,891.064931240117,25,370.616694222076,25,126.447640525406,25,-0.02,25,0.341866804690908,26045
"27",26,-0.516159805368487,26,52.7720893505772,26,52194379.2545437,26,1287.6895817841,26,533.06914530155,26,179.986729137844,26,-0.02,26,0.292376226603015,26045
"28",27,0.771242034559387,27,85.449437853906,27,52193503.4100539,27,1853.30676693107,27,766.304946080939,27,256.978233011571,27,-0.02,27,0.324719719138357,26045
"29",28,0.464448827929576,28,110.274763973715,28,52192215.5823852,28,2691.91034667633,28,1104.71140053997,28,367.795867530248,28,-0.02,28,0.336559592856869,26045
"30",29,2.02018276379838,29,154.055762692397,29,52190231.8776968,29,4016.2127985197,29,1603.89167084829,29,528.017833821753,29,-0.02,29,0.443795941000663,26045
"31",30,-0.582368110391682,30,240.657098877209,30,52187276.5603741,30,5981.35998525417,30,2359.63851787915,30,762.441122697189,30,-0.02,30,0.38524980075544,26045
"32",31,2.48462306895782,31,325.184248529735,31,52182719.0930457,31,9063.73275845899,31,3489.13794181102,31,1108.03625397359,31,-0.02,31,0.518763026475209,26045
"33",32,-0.938519609963308,32,527.612898844479,32,52175815.8924119,32,13710.8862122907,32,5230.04161814264,32,1623.17975760997,32,-0.02,32,0.434589555414639,26045
"34",33,-0.698845189789146,33,936.437015876429,33,52166225.5326315,33,19965.9573917052,33,7794.49675289325,33,2394.01322389745,33,-0.02,33,0.369306893547882,26045
"35",34,-0.699083320958525,34,1141.36023924199,34,52152911.4606869,34,28478.6800521907,34,11455.2808753256,34,3534.57838555157,34,-0.02,34,0.307193414253467,26045
"36",35,-1.13038112722941,35,1492.83451854913,35,52134905.995003,35,39712.3614215241,35,16564.8125705397,35,5196.83100494153,35,-0.02,35,0.221502293413933,26045
"37",36,0.667917560334221,36,1871.46402077169,36,52109730.1634844,36,55476.8352808797,36,23593.4861983486,36,7579.51503627504,36,-0.02,36,0.25092821612769,26045
"38",37,-0.0227337636549199,37,3095.75034554179,37,52073785.5159136,37,78179.8745055108,37,33451.2797255102,37,10963.3298552882,37,-0.02,37,0.236312435213001,26045
"39",38,-0.55958527512358,38,4407.54110568352,38,52024554.4092665,38,108849.233283708,38,47224.791492719,38,15751.5659569693,38,-0.02,38,0.189290868092688,26045
"40",39,1.97252669459141,39,6645.77303033873,39,51952648.6451472,39,154778.762177727,39,66459.1776201653,39,22493.4150548711,39,-0.02,39,0.30076967279482,26045
"41",40,0.987694730905535,40,9027.14089913388,40,51843099.0146756,40,226666.517305406,40,94583.2944768426,40,32031.1735420764,40,-0.02,40,0.346056874328271,26045
"42",41,-0.676624287477041,41,11907.6269330495,41,51688348.8827982,41,326535.492915375,41,135812.344316088,41,45683.2799702611,41,-0.02,41,0.28646281952071,26045
"43",42,1.04166145789683,42,19797.1247885429,42,51467425.6361076,42,468927.297035147,42,194754.254919546,42,65272.8119375708,42,-0.02,42,0.33577700568507,26045
"44",43,-0.240020956932197,43,28863.5661241779,43,51150105.9337382,43,673078.410416679,43,279799.835009512,43,93395.8208354988,43,-0.02,43,0.303618557794093,26045
"45",44,0.127103444700247,44,39237.4884271929,44,50706854.2986649,44,955098.428284792,44,400684.498127379,44,133742.774922838,44,-0.02,44,0.295676561987219,26045
"46",45,-0.389424611084783,45,49429.4138565009,45,50095600.036857,45,1338761.98128315,45,570649.085638991,45,191368.896220758,45,-0.02,45,0.256257058568733,26045
"47",46,-1.2799826529117,46,76765.5164949162,46,49297340.304111,46,1822403.10270279,46,803627.697338224,46,273008.895847895,46,-0.02,46,0.163821149082399,26045
"48",47,0.65012776493069,47,86572.5584051015,47,48232788.0011722,47,2462300.70954884,47,1114293.37920815,47,386997.910070757,47,-0.02,47,0.194962754084994,26045
"49",48,0.79942106629206,48,127693.434119321,48,46750014.8633961,48,3367193.4048905,48,1534781.86817189,48,544389.863541447,48,-0.02,48,0.23379553462176,26045
"50",49,0.440189336652741,49,194541.062955527,49,44733881.3137584,49,4592909.63589286,49,2108694.57853782,49,760894.471810818,49,-0.02,49,0.248573254442572,26045
"51",50,1.14192144693321,50,255034.509616371,50,42012725.1402433,50,6239322.7789385,50,2886550.71690221,50,1057781.36391586,50,-0.02,50,0.305920419394306,26045
"52",51,0.487131686246042,51,346846.324752086,51,38445607.4847826,51,8354007.77863335,51,3933402.29332474,51,1463362.44325917,51,-0.02,51,0.320076461303788,26045
"53",52,0.554008938028842,52,470402.374966413,52,34023450.1273936,52,10860586.7590118,52,5299269.1792319,52,2013073.93436256,52,-0.02,52,0.337667792027783,26045
"54",53,-1.14541737035088,53,538024.202022381,53,29080257.5609161,53,13374572.0222955,53,6994978.58703478,53,2746571.8297535,53,-0.02,53,0.249562825782667,26045
"55",54,0.3863425265688,54,608841.465803024,54,23888709.7230781,54,15660208.996807,54,8948052.71596837,54,3699408.56414639,54,-0.02,54,0.260249732303179,26045
"56",55,1.67446239898246,55,841872.674796158,55,18405651.3322969,55,17794672.0349599,55,11097515.9287217,55,4898540.7040213,55,-0.02,55,0.349880114652273,26045
"57",56,-1.32628689566541,56,779836.551017662,56,13424706.7356823,56,19066174.2871975,56,13342692.9761343,56,6362806.00098568,56,-0.02,56,0.250021625705836,26045
"58",57,-1.29778508140933,57,790318.676438998,57,9573411.77067577,57,19084159.3226051,57,15448738.0935123,57,8090070.81320665,57,-0.02,57,0.156791582211795,26045
"59",58,0.424156332245762,58,594668.112925967,58,6611060.79378409,58,18298850.96303,58,17234766.5039008,58,10051701.739285,58,-0.02,58,0.174335746002054,26045
"60",59,-0.00627788345301513,59,668900.948370532,59,4397899.3982194,59,16976396.4934454,59,18618281.4301272,59,12203802.6782078,59,-0.02,59,0.164470594433544,26045
"61",60,-1.02639475579141,60,598084.647384634,60,2900039.81443805,60,15246781.0285974,60,19554415.1492611,60,14495144.0077033,60,-0.02,60,0.0921551127174472,26045
"62",61,-2.1968025099747,61,573079.83704157,61,1966911.63330657,61,13321669.1245224,61,20036509.444473,61,16871289.7976978,61,-0.02,61,-0.0488364713164957,26045
"63",62,-1.73528379976404,62,415300.677763052,62,1389004.16421953,62,11426732.2436286,62,20101029.0682458,62,19279614.5239059,62,-0.02,62,-0.154480522101564,26045
