"","x"
"1",816.749830493059
"2",299.66818734075
"3",179.822121756797
"4",312.185810805437
"5",3526.99490209589
"6",415.874351835051
"7",194.201912737875
"8",641.972480640037
"9",158.837567555437
"10",92.6366194916859
"11",698.841765072091
"12",992.210874346217
"13",2488.06092167925
"14",859.806655138311
"15",385.041970709502
"16",671.506260690394
"17",1705.97249159253
"18",853.436070805649
"19",1201.50039632411
"20",1189.52573632544
"21",349.653981662868
"22",636.098556454522
"23",345.916128402032
"24",1438.72078403072
"25",3320.9089062139
"26",1646.97405725841
"27",2566.84432144488
"28",2685.31356829871
"29",4734.75546504214
"30",3554.57620141423
"31",4501.72971995817
"32",9134.34128174328
"33",10464.8900516656
"34",5222.26157767536
"35",39649.8687471096
"36",52463.5089259855
"37",10743.8294986703
"38",19167.3270507543
"39",7689.03252952414
"40",33896.3340317978
"41",27271.7705356184
"42",256335.108391385
"43",248264.270412761
"44",210902.031085258
"45",204848.643422471
"46",921102.883475544
"47",187769.840998906
"48",913616.220315474
"49",1346618.44429681
"50",238512.992696298
"51",1012253.41611929
"52",303873.759493379
"53",1533173.13006638
"54",564681.92623316
"55",754251.592826277
"56",282930.298483186
"57",610299.546270087
"58",381632.480914534
"59",1412076.48002018
"60",143588.207515742
