"","x"
"1",0.2
"2",0.174084359300105
"3",0.170449905658107
"4",0.183345324307424
"5",0.209931224442075
"6",0.249318743714863
"7",0.302009483431896
"8",0.369603608697121
"9",0.45468020341682
"10",0.56079552114521
"11",0.692571791168197
"12",0.855862316733128
"13",1.05798833606077
"14",1.30805550557865
"15",1.61735428242242
"16",1.99986437442712
"17",2.47288463885396
"18",3.05781176350022
"19",3.78110808230337
"20",4.67549589525751
"21",5.78143759601036
"22",7.14896428442581
"23",8.83993295026639
"24",10.930831004083
"25",13.5162188901518
"26",16.713005337688
"27",20.6657203966561
"28",25.5530324294272
"29",31.5957885210143
"30",39.0669591218701
"31",48.3038978955295
"32",59.7234721753304
"33",73.8407213185621
"34",91.2918460033745
"35",112.862514254884
"36",139.52267572203
"37",172.469325279695
"38",213.178946644795
"39",263.471697064594
"40",325.589763339322
"41",402.292713743766
"42",496.973066933748
"43",613.795651026005
"44",757.864555767669
"45",935.421461982364
"46",1154.07866226403
"47",1423.08885788884
"48",1753.65137073194
"49",2159.25007999926
"50",2656.01131003169
"51",3263.05854785539
"52",4002.8239366663
"53",4901.25433493444
"54",5987.81103204632
"55",7295.12877452269
"56",8858.13773152228
"57",10712.411624806
"58",12891.4510993505
"59",15422.6237554012
"60",18321.5565643747
"61",21584.9904767291
"62",25182.5208997241
"63",29048.2634386909
"64",33074.2308949037
"65",37107.9472149945
"66",40956.9345017786
"67",44402.223009275
"68",47220.7921137752
"69",49214.3651831068
"70",50238.7052432325
"71",50226.3243610358
"72",49196.4463443969
"73",47249.6807601396
"74",44549.1873863355
"75",41294.1530642373
"76",37692.1598094707
"77",33936.2089968869
"78",30189.4345153852
"79",26577.9268285103
"80",23190.1113163122
"81",20080.6265914766
"82",17276.4202910912
"83",14783.4311157139
"84",12592.8082179888
"85",10686.1405256833
"86",9039.53697175805
"87",7626.62858006306
"88",6420.64303149676
"89",5395.75659468603
"90",4527.91465664947
"91",3795.24501941721
"92",3178.22251100183
"93",2659.65511775731
"94",2224.56894069416
"95",1860.03101703393
"96",1554.94751555863
"97",1299.85416217994
"98",1086.71314888494
"99",908.723208843393
"100",760.146944233546
"101",636.156677336206
"102",532.698810614754
"103",446.37573688336
"104",374.343880084588
"105",314.226327316745
"106",264.038291603005
"107",222.123849144765
"108",187.102451460821
"109",157.823765433867
"110",133.329743847213
"111",112.822763419747
"112",95.6389323380516
"113",81.2257691022323
"114",69.1235467775156
"115",58.949728421017
"116",50.3859897983305
"117",43.1674073676113
"118",37.0734583033148
"119",31.9205315379584
"120",27.5556997130873
"121",23.8515417521122
"122",20.7018398859354
"123",18.0180045258629
"124",15.7261042823583
"125",13.7643989930474
"126",12.0812907271647
"127",10.6336219289714
"128",9.38526184564422
"129",8.30593229648887
"130",7.37023211912433
"131",6.55682653104427
"132",5.84777336811248
"133",5.22796293163658
"134",4.68465213498949
"135",4.20707692776249
"136",3.78612970680667
"137",3.41409068841417
"138",3.08440409571654
"139",2.79149157477564
"140",2.53059654577338
"141",2.29765426813317
"142",2.08918328750153
"143",1.90219466967561
"144",1.73411603778251
"145",1.58272793573981
"146",1.44611046119162
"147",1.32259845951474
"148",1.21074385941
"149",1.1092839702315
"150",1.01711475999404
"151",0.933268297934971
"152",0.856893682387423
"153",0.787240888347261
"154",0.723647063465844
"155",0.665524879569023
"156",0.612352609494112
"157",0.563665682649921
"158",0.519049394508744
"159",0.47813273069358
"160",0.440583048422793
"161",0.406101464240067
"162",0.374418892819992
"163",0.345292616534329
"164",0.318503306886612
"165",0.293852435224722
"166",0.271160013498181
"167",0.250262618618395
"168",0.231011660387483
"169",0.213271858744304
"170",0.196919901696295
"171",0.181843259440469
"172",0.167939133849204
"173",0.155113525597283
"174",0.143280403766201
"175",0.132360964953603
"176",0.122282970759744
"177",0.112980154081197
"178",0.104391685966359
"179",0.0964616959101226
"180",0.0891388394204168
"181",0.0823759075035675
"182",0.0761294734105124
"183",0.0703595725805515
"184",0.0650294122291394
"185",0.0601051074641923
"186",0.0555554407905397
"187",0.0513516445143163
"188",0.047467200543346
"189",0.0438776578814965
"190",0.0405604666076288
"191",0.0374948257186894
"192",0.0346615436714946
"193",0.0320429106984249
"194",0.0296225817070095
"195",0.0273854688612349
"196",0.0253176429601953
"197",0.0234062428377152
"198",0.0216393920986996
"199",0.0200061225523022
"200",0.0184963037752929
"201",0.0171005782882146
"202",0.0158103018730691
"203",0.0146174886068669
"204",0.0135147602216457
"205",0.0124952994367514
"206",0.0115528069403679
"207",0.0106814617249222
"208",0.00987588450665141
"209",0.00913110398244774
"210",0.00844252569791383
"211",0.00780590331952054
"212",0.00721731212090586
"213",0.00667312450902798
"214",0.00616998743015079
"215",0.00570480150865134
"216",0.00527470178353468
"217",0.00487703991840777
"218",0.00450936777060953
"219",0.00416942221430211
"220",0.00385511112067258
"221",0.00356450040604807
"222",0.00329580206574936
"223",0.00304736311795571
"224",0.00281765538777678
"225",0.00260526606717145
"226",0.00240888899135977
"227",0.00222731657697905
"228",0.002059432371474
"229",0.00190420416711237
"230",0.0017606776366116
"231",0.00162797045067221
"232",0.00150526684076483
"233",0.00139181257332972
"234",0.00128691030414024
"235",0.00118991528397322
"236",0.00110023138893404
"237",0.00101730745081932
"238",0.000940633864777488
"239",0.00086973945325993
"240",0.000804188566855105
"241",0.000743578404073914
"242",0.000687536533518002
"243",0.000635718603121102
"244",0.000587806222315881
"245",0.000543505004052145
"246",0.000502542754583746
"247",0.000464667799857356
"248",0.00042964743818234
"249",0.000397266509642552
"250",0.000367326073433058
"251",0.000339642184972038
"252",0.000314044765254665
"253",0.000290376555485523
"254",0.000268492150552621
"255",0.000248257105392646
"256",0.000229547108746794
"257",0.000212247219222119
"258",0.000196251158957511
"259",0.000181460660548437
"260",0.000167784863212779
"261",0.000155139754483463
"262",0.000143447653993958
"263",0.000132636736181964
"264",0.000122640588976169
"265",0.000113397805752519
"266",0.000104851608051148
"267",9.69494967344418e-05
"268",8.96429294417105e-05
"269",8.28870223576991e-05
"270",7.66402744617559e-05
"271",7.08643125627363e-05
"272",6.5523655552562e-05
"273",6.05854964295394e-05
"274",5.60195007518091e-05
"275",5.17976202823203e-05
"276",4.78939206801228e-05
"277",4.42844221791228e-05
"278",4.09469522752864e-05
"279",3.786100951709e-05
"280",3.50076375622655e-05
"281",3.23693087269888e-05
"282",2.9929816311999e-05
"283",2.767417504408e-05
"284",2.55885290212089e-05
"285",2.3660066595787e-05
"286",2.18769416730071e-05
"287",2.02282009408298e-05
"288",1.87037165844914e-05
"289",1.72941240721652e-05
"290",1.59907646295593e-05
"291",1.4785632050043e-05
"292",1.36713235135334e-05
"293",1.26409941120036e-05
"294",1.16883148022476e-05
"295",1.08074335275938e-05
"296",9.99293926972881e-06
"297",9.23982880979384e-06
"298",8.54347599468219e-06
"299",7.89960334278317e-06
"300",7.30425570703362e-06
"301",6.75377601707413e-06
"302",6.2447828290506e-06
"303",5.77414954029098e-06
"304",5.33898518284418e-06
"305",4.93661666497394e-06
"306",4.56457235089785e-06
"307",4.22056687819842e-06
"308",3.90248711939859e-06
"309",3.60837920155123e-06
"310",3.33643650409706e-06
"311",3.08498856126096e-06
"312",2.8524908008171e-06
"313",2.63751505618938e-06
"314",2.43874079360448e-06
"315",2.25494700040756e-06
"316",2.0850046847121e-06
"317",1.92786994031048e-06
"318",1.78257753424463e-06
"319",1.64823497764646e-06
"320",1.52401704342652e-06
"321",1.4091606971342e-06
"322",1.30296040985106e-06
"323",1.20476382432529e-06
"324",1.11396774772552e-06
"325",1.03001444639838e-06
"326",9.52388219869441e-07
"327",8.80612233042451e-07
"328",8.14245587137873e-07
"329",7.52880611378282e-07
"330",6.96140358784111e-07
"331",6.43676290697091e-07
"332",5.95166135808021e-07
"333",5.50311910536791e-07
"334",5.08838079786469e-07
"335",4.70489864227111e-07
"336",4.35031730879991e-07
"337",4.02245874849467e-07
"338",3.71930901464044e-07
"339",3.43900594487378e-07
"340",3.17982771643684e-07
"341",2.94018227058367e-07
"342",2.71859753301726e-07
"343",2.51371237127556e-07
"344",2.32426823368649e-07
"345",2.14910141843713e-07
"346",1.98713592527987e-07
"347",1.83737684596517e-07
"348",1.69890425279985e-07
"349",1.57086754778991e-07
"350",1.45248023765641e-07
"351",1.34301510262864e-07
"352",1.24179972933784e-07
"353",1.14821238037137e-07
"354",1.06167817511495e-07
"355",9.81665558423156e-08
"356",9.07683035426078e-08
"357",8.39276152414982e-08
"358",7.76024705261418e-08
"359",7.1754015822187e-08
"360",6.63463257272373e-08
"361",6.13461823312497e-08
"362",5.67228711682953e-08
"363",5.2447992517386e-08
"364",4.84953362644125e-08
"365",4.48405941575909e-08
"366",4.14612834045162e-08
