"","x"
"1",0.64415018386257
"2",22.6611521942129
"3",26.6215278359768
"4",6.33127807717713
"5",14.6167517504442
"6",4.85423315473463
"7",1.7879195790131
"8",6.87346125519087
"9",1.34978888113457
"10",2.23220686726977
"11",0.573667540821599
"12",0.896136722458466
"13",0.793593054664201
"14",0.825136550242808
"15",0.406073099277512
"16",2.21041060738047
"17",1.05131324285472
"18",1.23575353976781
"19",1.75909062786972
"20",0.916513979751698
"21",0.1867844107915
"22",0.338964803992221
"23",0.647950595294285
"24",0.471706446139829
"25",0.0584007933104764
"26",0.29973804383925
"27",0.194914843131607
"28",0.40463338848269
"29",0.0747896912352608
"30",0.861565434762355
"31",0.180808192657624
"32",0.182155363299697
"33",0.210272497371773
"34",0.44748091048606
"35",1.89527748031478
"36",0.732880952829551
"37",1.42132653982081
"38",1.00296327736423
"39",0.950402993522922
"40",1.37183899469381
"41",2.05421684384048
"42",3.16419686481002
"43",1.92525558936865
"44",9.41012413716374
"45",6.13879977621933
"46",23.8349440283512
"47",134.326020767306
"48",47.0230403083227
"49",33.3267711267224
"50",54.3005143844603
"51",283.486014666533
"52",897.661563703209
"53",299.062671368949
"54",1130.82920989232
"55",2145.38437794536
"56",4285.79337617907
"57",19310.8294249043
"58",39536.8173959795
"59",19397.8011425275
"60",133245.289195663
"61",74423.1484983011
"62",256033.748748465
"63",161983.20104596
"64",416327.03038715
"65",175695.716759833
"66",158957.59986676
"67",528207.41440464
"68",53273.6645494362
"69",222036.277309926
"70",55659.8626588006
"71",37773.9572226327
"72",232371.275719937
"73",5613.74163773367
"74",11414.2022853517
"75",18925.8977964466
"76",6576.11212522947
"77",11493.2760859457
"78",5115.90878539191
"79",2774.83321628091
"80",2740.20586626818
"81",5459.85747218903
"82",1388.81231424709
"83",3159.53993298545
"84",579.898954953854
"85",2688.11844812747
"86",676.733960211647
"87",413.416768518949
"88",109.956206546286
"89",181.030388627723
"90",116.135621989348
"91",51.9518876314333
"92",38.3148642915272
"93",13.6884306324398
"94",58.0334532170392
"95",44.6773694416946
"96",4.95327968941344
"97",7.76015786181003
"98",5.45751684456182
"99",3.76016844045718
"100",1.6066268064032
"101",1.77907314687089
"102",0.551124525358752
"103",0.180584902913499
"104",0.434221688023858
"105",0.138957735459772
"106",0.108616171542022
"107",0.046202662703751
"108",0.130884644063514
"109",0.0470650120410979
"110",0.0175266059368109
"111",0.00861435710371349
"112",0.0270598029726844
"113",0.00303335054976715
"114",0.00671300298890944
"115",0.00422881953325311
"116",0.00189903658392277
"117",0.00151668079275611
"118",0.00088523984885757
"119",0.00454988625662148
"120",0.00128833280871199
"121",0.00191785417465099
"122",0.000163456344432481
"123",0.000228111291085253
"124",0.000235117532964201
"125",0.00014633560603813
"126",0.000374083822284953
"127",8.77674998494556e-05
"128",0.000169281456184502
"129",0.000128040260946355
"130",5.00827268847669e-05
"131",8.88848809560166e-05
"132",7.41762835600349e-05
"133",3.29086764191193e-05
"134",3.75237134586128e-05
"135",1.58968841345844e-05
"136",1.77910067277666e-05
"137",1.92789294778664e-05
"138",7.66022920538663e-05
"139",1.08077212834468e-05
"140",1.65415072002967e-05
"141",1.38231163439594e-05
"142",2.22213390827419e-06
"143",5.28909004684225e-06
"144",8.51313348738543e-07
"145",1.07717657526061e-06
"146",1.09925880287518e-06
"147",2.38366318310218e-07
"148",6.82708816898122e-07
"149",1.14427793334416e-07
"150",2.08401731145497e-07
"151",3.51644684912936e-07
"152",1.90087293965791e-07
"153",1.44363181062434e-08
"154",7.41349390403981e-08
"155",7.36306578573476e-08
"156",1.41521217373883e-08
"157",1.06631918177029e-08
"158",5.25442548423759e-09
"159",2.06902683141914e-09
"160",1.33886731940581e-09
"161",2.65231270677963e-09
"162",6.51839412573629e-10
"163",6.45558559772639e-10
"164",7.59979401824194e-10
"165",4.84134754380676e-10
"166",1.75278700343776e-10
"167",2.16263970192189e-10
"168",2.4184166406751e-10
"169",1.19646880782274e-10
"170",6.57496594830568e-10
"171",4.24389860468106e-10
"172",1.55180577672721e-10
"173",6.05634637089756e-11
"174",2.28155643061184e-11
"175",6.24442790401949e-11
"176",6.41589793681644e-11
"177",9.35805325696727e-11
"178",2.62193105739365e-11
"179",6.7906186167947e-11
"180",1.02861479790974e-10
"181",5.44825637979391e-11
"182",7.16794560908541e-11
"183",1.71279631676278e-10
"184",1.46932226135196e-10
"185",1.30860228650666e-10
"186",2.92023660284712e-10
"187",2.07467634366816e-10
"188",2.22482740515446e-09
"189",7.39567681918333e-10
"190",4.5590792893992e-10
"191",1.16919173041666e-09
"192",4.9113070118598e-10
"193",3.21587781113533e-09
"194",1.34845301995925e-08
"195",2.74742566474945e-09
"196",8.59372211384361e-08
"197",9.63175307262207e-09
"198",8.2909625600932e-08
"199",1.79438034208611e-07
"200",5.58537804653567e-07
"201",8.96416145672484e-07
"202",6.49210863298909e-07
"203",5.9830487470437e-06
"204",6.57255751910741e-06
"205",3.13070919996164e-05
"206",6.64724229112153e-05
"207",0.000169899022905247
"208",6.06689777827526e-05
"209",0.00341835507886703
"210",0.0026189966741793
"211",0.00190591248958509
"212",0.00558260979971104
"213",0.0297540359688657
"214",0.0521127470951066
"215",0.0901378348667502
"216",0.0250299870815336
"217",0.173227720672192
"218",0.183475862464477
"219",0.348561258164572
"220",2.40887116024304
"221",2.80742033345536
"222",1.84858751735307
"223",7.68304458843767
"224",20.4076342432847
"225",11.6920346848629
"226",25.993738680976
"227",92.8078272338582
"228",412.939007990097
"229",698.22931282271
"230",1492.64808447888
"231",1290.34049073366
"232",17955.2044895545
"233",11551.7078079773
"234",146648.599350565
"235",78203.4346998595
"236",234921.377357047
"237",943274.928178548
"238",152888.954952535
"239",262706.6944697
"240",62369.0748019317
"241",394077.662166696
"242",27071.8675596411
"243",14516.2398728305
"244",20866.3170142988
"245",5087.64490174993
"246",1408.6150071297
"247",849.753438176539
"248",1098.12151591409
"249",214.960802398083
"250",92.9063927589829
"251",110.981869296143
"252",252.642853359588
"253",82.5314908788622
"254",43.2291995157675
"255",51.1574150481581
"256",6.49572705985488
"257",6.47970632827261
"258",3.98363805021473
"259",0.258830776382186
