"","time","t","S","E","I","R"
"1",1,1,50628175.4620486,15.4879842476065,2298.61996716483,1565891.43
"2",2,2,50626519.0330608,1554.19049060269,1975.335912199,1566332.44053645
"3",3,3,50625004.656232,2757.7070236848,1886.51308541528,1566732.12365898
"4",4,4,50623469.1220864,3822.14189313334,1958.73542399398,1567131.00059654
"5",5,5,50621807.9391219,4863.05200728453,2151.93974629392,1567558.06912457
"6",6,6,50619936.5202715,5962.22939956649,2446.04199007287,1568036.20833887
"7",7,7,50617777.2574301,7184.17783447888,2834.00837883002,1568585.55635662
"8",8,8,50615258.1513511,8579.64693478257,3317.45074926275,1569225.75096489
"9",9,9,50612284.4518226,10213.9385299823,3905.11056133028,1569977.49908616
"10",10,10,50608779.0940699,12127.1749552331,4610.7874762475,1570863.94349862
"11",11,11,50604609.6863571,14405.8153937794,5453.89933213584,1571911.59891697
"12",12,12,50599644.3272422,17124.392698053,6460.50781823614,1573151.77224155
"13",13,13,50593740.4119157,20357.4789321383,7661.37514743942,1574621.73400472
"14",14,14,50586682.769603,24237.5482490951,9094.86271581637,1576365.81943209
"15",15,15,50578249.7482007,28885.4665991724,10808.3832343694,1578437.40196574
"16",16,16,50568097.7627658,34519.9144252807,12862.4121305418,1580900.9106784
"17",17,17,50555833.4080004,41377.034918917,15335.273347199,1583835.2837336
"18",18,18,50540868.0001095,49844.0049396555,18330.8097764308,1587338.18517456
"19",19,19,50522572.1613355,60294.4604891324,21982.2009917645,1591532.17718374
"20",20,20,50500222.7699748,73140.0765900927,26447.9806706182,1596570.17276455
"21",21,21,50473182.0792643,88657.5665209742,31901.1898173256,1602640.16439753
"22",22,22,50440471.1862174,107405.376482257,38536.5666636366,1609967.87063676
"23",23,23,50401252.7708301,129735.158804648,46570.5426250059,1618822.52774038
"24",24,24,50353452.1942019,157107.723527342,56296.976062292,1629524.10620854
"25",25,25,50295595.4103664,190228.644117079,68092.2715460546,1642464.67397061
"26",26,26,50226197.3577011,229718.866890359,82347.8901942726,1658116.8852144
"27",27,27,50142768.5532636,277055.18137152,99517.8335626989,1677039.43180228
"28",28,28,50042058.3164831,334228.852413232,120194.371139926,1699899.45996389
"29",29,29,49921296.3227582,402516.566788756,145067.736252557,1727500.37420064
"30",30,30,49777113.8742277,483583.841443126,174888.534300242,1760794.75002911
"31",31,31,49605490.4042185,579482.252671041,210506.469956668,1800901.87315391
"32",32,32,49400051.9627605,694188.059717715,253002.488357548,1849138.48916437
"33",33,33,49155896.0525634,829774.005268064,303639.51282792,1907071.42934072
"34",34,34,48864092.3064439,991798.081959121,363940.784382889,1976549.82721424
"35",35,35,48518849.0008882,1182144.63738762,435616.064774663,2059771.29694963
"36",36,36,48111440.6053938,1405185.84547575,520462.313765213,2159292.23536536
"37",37,37,47629944.3006027,1667694.55912367,620661.885850543,2278080.25442323
"38",38,38,47064759.3342076,1973372.6599108,738654.475976637,2419594.52990509
"39",39,39,46403235.8170072,2328264.22912177,877060.649852005,2587820.30401922
"40",40,40,45632326.6250951,2737998.4468752,1038751.67922709,2787304.24880272
"41",41,41,44738101.7196033,3208251.70741231,1226799.02749932,3023228.54548526
"42",42,42,43707394.1354572,3743229.33344507,1444335.62005715,3301421.91104072
"43",43,43,42532914.6291377,4341087.05670464,1694046.35067639,3628332.96348146
"44",44,44,41210306.9445631,4997476.68047566,1977716.95836576,4010880.41659563
"45",45,45,39756195.7426538,5689040.56270116,2294975.81148993,4456168.88315533
"46",46,46,38191368.7229271,6391642.68183143,2642463.93721899,4970905.6580226
"47",47,47,36527315.114351,7093036.9978566,3015140.5161346,5560888.37165792
"48",48,48,34769696.529526,7788064.852751,3407799.91708475,6230819.70063847
"49",49,49,32935590.4357565,8461612.39398326,3814869.828283,6984308.34197737
"50",50,50,31024738.8644867,9116746.70813252,4231107.12961928,7823788.29776165
