"","time","t","S","E","I","R"
"1",1,1,50628175.4620486,15.4879842476065,2298.61996716483,1565891.43
"2",2,2,50627924.8570477,47.7140170988117,2057.03105319161,1566351.39788206
"3",3,3,50627598.765027,62.4040609175622,1940.66900369346,1566779.16190846
"4",4,4,50627193.6481116,78.5655801421651,1913.68617523089,1567195.10013308
"5",5,5,50626692.3677449,98.5037118374441,1972.2830369116,1567617.84550636
"6",6,6,50626065.4831266,124.779915618197,2123.85687049807,1568066.88008729
"7",7,7,50625267.0338345,160.919452421084,2387.98910630231,1568565.05760672
"8",8,8,50624227.4713353,212.008354895218,2799.8126974385,1569141.70761236
"9",9,9,50622836.3484027,287.06100512452,3420.22778455235,1569837.36280757
"10",10,10,50620922.6471957,399.32316485253,4347.89451958707,1570711.1351198
"11",11,11,50618216.6723724,570.611628899365,5741.75376639962,1571851.96223223
"12",12,12,50614290.351417,835.950018469078,7857.82582679313,1573396.87273769
"13",13,13,50608436.9336302,1257.90689031021,11123.982360275,1575562.17711914
"14",14,14,50599468.8437081,1944.61371360399,16268.79108785,1578698.75149038
"15",15,15,50585396.3915553,3075.79281125984,24523.1726353046,1583385.64299802
"16",16,16,50562818.4688294,4970.57853853996,38000.936314206,1590591.01631779
"17",17,17,50525861.721704,8188.14680197757,60373.6656160038,1601957.46587796
"18",18,18,50464210.0379302,13738.6991780803,98120.6814130846,1620311.58147855
"19",19,19,50359556.3039799,23439.634582773,162798.227172338,1650586.83426491
"20",20,20,50179861.4832991,40378.1900906764,274700.369427098,1701440.95718305
"21",21,21,49868699.4214389,70048.3306656084,469561.817737611,1788071.43015779
"22",22,22,49330619.038882,120953.816588447,807879.072869871,1936929.07165967
"23",23,23,48412042.7149896,205290.184262082,1386285.63385192,2192762.46689638
"24",24,24,46893364.3622648,335127.828401082,2340621.85088963,2627266.95844441
"25",25,25,44528393.1650854,510449.004845693,3813759.11304844,3343779.71702046
"26",26,26,41174895.6630371,700625.077701606,5855577.25623971,4465283.00302156
"27",27,27,36964995.1986246,845560.347580398,8291665.24023946,6094160.21355548
"28",28,28,32333854.7470283,894629.371085207,10710024.1981783,8257872.68370813
"29",29,29,27810102.9607078,846776.41861072,12656128.1456382,10883373.4750432
"30",30,30,23761478.6722522,741854.59288934,13868402.4853869,13824645.2494715
"31",31,31,20340740.2009835,618806.971392239,14321798.4840925,16915035.3435317
"32",32,32,17545292.900196,502249.422652535,14142065.8121088,20006772.8650425
"33",33,33,15299423.1126573,402287.661158161,13506176.8759733,22988493.3502112
"34",34,34,13505720.5265846,321049.896487216,12582879.34219,25786731.2347381
"35",35,35,12074407.6434319,256323.518119019,11505978.6240702,28359671.2143788
"36",36,36,10929903.9609484,205216.684256572,10372272.7194837,30688987.6353113
"37",37,37,10011621.2964701,164920.907260224,9247262.70885772,32772576.0874119
"38",38,38,9271106.39169303,133233.233819125,8173103.62955428,34618937.7449335
"39",39,39,8670388.24401491,108273.72037039,7174632.63451051,36243086.4011042
"40",40,40,8180315.14356044,88482.3007801655,6264133.64563814,37663449.9100212
"41",41,41,7778312.78261148,72696.8965684653,5445543.86944425,38899827.4513757
"42",42,42,7447018.61235955,59996.9852734604,4717346.550933,39972018.8514339
"43",43,43,7172745.91887061,49735.4633773241,4074903.34898933,40898996.2687627
"44",44,44,6944920.80512111,41360.4860187378,3511674.3539684,41698425.3548917
"45",45,45,6754972.13660672,34519.7020947408,3020454.07448958,42386435.0868089
"46",46,46,6596288.18846736,28863.1608162846,2593690.73697226,42977538.9137441
"47",47,47,6463373.03512283,24195.0603646634,2224173.20688186,43484639.6976306
"48",48,48,6351822.90667331,20319.3639295418,1905091.79464301,43919146.9347541
"49",49,49,6258029.3581649,17094.9521386082,1630189.0543249,44291067.6353716
"50",50,50,6178999.0857886,14411.3666798874,1393826.77802395,44609143.7695075
"51",51,51,6112294.42465377,12169.2082869796,1190942.32734431,44880975.0397149
"52",52,52,6055912.0181386,10289.883952975,1017027.74207876,45113151.3558297
"53",53,53,6008191.89577791,8711.89179565933,868116.751412165,45311360.4610143
"54",54,54,5967787.15235414,7378.34519095483,740713.72365442,45480501.7788005
"55",55,55,5933587.80946069,6246.57501347575,631765.360105556,45624781.2554203
"56",56,56,5904633.74375579,5289.43750151718,538648.311079301,45747809.5076634
"57",57,57,5880089.48198254,4484.58769903984,459123.631348509,45852683.2989699
"58",58,58,5859285.48613707,3801.65442366543,391236.193633174,45942057.6658061
