"","x"
"1",114.517986795417
"2",90.2022624679641
"3",73.3736670147727
"4",64.9040756889169
"5",67.2373988089915
"6",71.8208308806984
"7",64.4282858014985
"8",67.3428973701334
"9",59.7503184309506
"10",68.0384692301154
"11",70.9978022370247
"12",69.9296226816923
"13",74.8305510893711
"14",97.59189964082
"15",92.268974576713
"16",92.6136041181107
"17",77.4463991332048
"18",87.9448773709157
"19",98.7844293271916
"20",92.1783558504981
"21",80.8264586354591
"22",113.37296415333
"23",102.206802157527
"24",131.740009851706
"25",187.454808803511
"26",185.087961327815
"27",214.059167163808
"28",217.271334349178
"29",227.420259202247
"30",216.588006132998
"31",286.015439511521
"32",256.930187644711
"33",262.583916365065
"34",333.897985633387
"35",375.404357166445
"36",446.2303917506
"37",360.994136915801
"38",381.085537708847
"39",389.18919598412
"40",400.78762080147
"41",429.221362512526
"42",472.372476162517
"43",605.472099410605
"44",521.507156027154
"45",590.742353534757
"46",732.133937379377
"47",829.557707254756
"48",725.091562544246
"49",802.774424236862
"50",987.382849678411
"51",1138.09874677294
"52",1139.13421359537
"53",1160.57528921351
"54",1767.68620357326
"55",1948.87154727608
"56",1699.67271578119
"57",2094.5559339633
"58",2200.44369977784
"59",3332.16368806726
"60",4245.38099317435
"61",3639.71225829887
"62",4660.06299389593
"63",6183.89263787248
"64",7855.18578363725
"65",9006.7559472438
"66",15128.4107699598
"67",15514.186891944
"68",22989.3039026393
"69",28699.1917897322
"70",33681.1733791532
"71",47359.5947244629
"72",59962.5093646042
"73",77749.0287314267
"74",116168.987144311
"75",140321.376063108
"76",221083.15456665
"77",219325.728918759
"78",285913.283909578
"79",307449.187777215
"80",250787.596197183
"81",324943.29551223
"82",373217.914428833
"83",399299.321153808
"84",301191.272107109
"85",415683.797186292
"86",324784.96955019
"87",293884.866708013
"88",246153.161323962
"89",228093.737906394
"90",235170.979683138
"91",217099.190947536
"92",146343.677284069
"93",138749.870964823
"94",141124.644303362
"95",113424.514285786
"96",131102.577833853
"97",109843.277029208
"98",94198.0600641193
"99",77148.0362529414
"100",67735.9864971312
"101",50712.1026248785
"102",47449.4108308101
"103",41708.191426401
"104",32446.568191256
"105",21236.0353976281
"106",15602.8180771395
"107",14223.4799128084
"108",12324.7818090313
"109",11190.209255124
"110",7229.88491146478
"111",7243.52535493712
"112",6318.44080454666
"113",5971.47730377666
"114",4480.1038712173
"115",3835.19066167408
"116",3054.89993133273
"117",2791.58520592494
"118",2409.59159898933
"119",2668.50769713444
"120",2262.56177331536
"121",1485.69460449111
"122",1152.62893721651
"123",877.761833307438
"124",978.595141932689
"125",715.67891596137
"126",856.377168357291
"127",531.424369900748
"128",510.687995503501
"129",639.386456310735
"130",337.550085691071
"131",329.504435772441
"132",241.043129877831
"133",235.913632923778
"134",174.004489347228
"135",162.242839081
"136",127.124228815084
"137",95.9948339628238
"138",85.9562609784372
"139",75.2903885915717
"140",62.9239417660746
"141",36.3677862929556
"142",31.7116114942293
"143",27.3261713347153
"144",16.8333672433009
"145",10.8864605499273
"146",9.46746681910921
"147",6.86877972837415
"148",5.478783105167
"149",3.95022693606099
"150",3.1599946248707
"151",2.16110772285925
"152",1.6622296070291
"153",1.1116211651712
"154",0.936007614754093
"155",0.553310137516671
"156",0.43272665605056
"157",0.265462493331326
"158",0.201721939739407
"159",0.136687211171715
"160",0.07983212824149
"161",0.0627788552473659
"162",0.0499327655026527
"163",0.0332498688268333
"164",0.0219197606710279
"165",0.013582658376913
"166",0.0123428197362961
"167",0.00782660894059417
"168",0.00547006041392457
"169",0.00491432780089477
"170",0.00273606134643944
"171",0.00216052060886715
"172",0.00169783735460391
"173",0.00118207084297273
"174",0.000800409950321913
