"","time","S","E","I","R"
"1",1,39685449.8613886,4425.04627528171,361.463247040519,16309763.6290891
"2",2,39685089.551928,3967.92574156042,837.651116679951,16310104.8712137
"3",3,39684762.1084204,3561.98363627892,1226.03123417353,16310449.8767092
"4",4,39684464.1434761,3201.22441810167,1539.02872898048,16310795.6033769
"5",5,39684192.6491808,2880.37276478586,1787.44892795836,16311139.5291265
"6",6,39683944.9507211,2594.78241110629,1980.69016912714,16311479.5766986
"7",7,39683718.669208,2340.36329432281,2126.91331702331,16311814.0541806
"8",8,39683511.6869982,2113.51372498932,2233.19925989834,16312141.6000169
"9",9,39683322.1170258,1911.06054481819,2305.68750414646,16312461.1349252
"10",10,39683148.2763323,1730.20764628315,2349.69498971249,16312771.8210317
"11",11,39682988.662674,1568.49060613021,2369.82047790452,16313073.026242
"12",12,39682841.9337999,1423.73662261146,2370.03643097534,16313364.2931466
"13",13,39682706.8891419,1294.0292345455,2353.76963616222,16313645.3119874
"14",14,39682582.4537743,1177.67753532505,2323.9712604372,16313915.89743
"15",15,39682467.6642644,1073.1891235893,2283.17814099097,16314175.9684711
"16",16,39682361.6561495,979.246260225852,2233.56657175811,16314425.5310186
"17",17,39682263.6528914,894.684934577129,2176.99929200121,16314664.662882
"18",18,39682172.9561242,818.476470994645,2115.06655344455,16314893.5008514
"19",19,39682088.9370385,749.71136273602,2049.12200822975,16315112.2295906
"20",20,39682011.0287678,687.585064439981,1980.31405434207,16315321.0721135
"21",21,39681938.7196555,631.385501244413,1909.61321110236,16315520.2816321
"22",22,39681871.5472983,580.482087314991,1837.83601436047,16315710.1346001
"23",23,39681809.0932731,534.31606983687,1765.66586547861,16315890.9247916
"24",24,39681750.9784678,492.392037099889,1693.67121433198,16316062.9582808
"25",25,39681696.8589422,454.270449343226,1622.32140878929,16316226.5491997
"26",26,39681646.4222583,419.561067981336,1552.00050275779,16316382.0161709
"27",27,39681599.3842238,387.917174153243,1483.0192784143,16316529.6793237
"28",28,39681555.4859999,359.030480803376,1415.62570670156,16316669.8578126
"29",29,39681514.491532,332.626654173487,1350.01404244526,16316802.8677714
"30",30,39681476.1852643,308.46137085577,1286.33272607335,16316929.0206387
"31",31,39681440.3701054,286.316845547161,1224.69124260969,16317048.6218064
"32",32,39681406.8656166,265.998772549758,1165.16606989676,16317161.969541
"33",33,39681375.5063963,247.33363099785,1107.80583160113,16317269.3541411
"34",34,39681346.1406387,230.166309880089,1052.63575617743,16317371.0572953
"35",35,39681318.6288455,214.358014271207,999.661530359667,16317467.3516098
"36",36,39681292.8426752,199.784418880075,948.872624699533,16317558.5002812
"37",37,39681268.663912,186.33403914079,900.245158986594,16317644.7568899
"38",38,39681245.9835425,173.906793690637,853.744366897023,16317726.3652969
"39",39,39681224.7009279,162.412735254463,809.326711779561,16317803.5596251
"40",40,39681204.7230599,151.770929743503,766.941698969683,16317876.5643114
"41",41,39681185.9638924,141.908465825052,726.533424312713,16317945.5942175
"42",42,39681168.3437394,132.759579369349,688.041893574272,16318010.8547877
"43",43,39681151.7887329,124.264879068008,651.404143034816,16318072.542245
"44",44,39681136.2303339,116.370661176274,616.555187727665,16318130.8438172
"45",45,39681121.6048899,109.028302787511,583.428820419734,16318185.9379868
"46",46,39681107.8532355,102.193724327167,551.958281492306,16318237.9947587
"47",47,39681094.9203299,95.8269130767476,522.076817304003,16318287.1759397
"48",48,39681082.7549291,89.8915005250054,493.718142364377,16318333.635428
"49",49,39681071.3092873,84.3543872103391,466.816818674518,16318377.5195069
"50",50,39681060.5388858,79.1854094798529,441.308563865939,16318418.9671408
"51",51,39681050.4021867,74.3570432595884,417.13049826021,16318458.1102718
"52",52,39681040.8604073,69.8441405183101,394.221339652606,16318495.0741125
"53",53,39681031.8773149,65.6236946238394,372.521553469882,16318529.977437
"54",54,39681023.4190395,61.6746312449571,351.973464944639,16318562.9328644
"55",55,39681015.4539013,57.9776218509671,332.521339068495,16318594.0471378
"56",56,39681007.9522542,54.5149172118256,314.111433317636,16318623.4213953
"57",57,39681000.8863405,51.2701986101617,296.692027473385,16318651.1514334
"58",58,39680994.2301589,48.2284447477127,280.213434275,16318677.3279621
"59",59,39680987.9593424,45.3758125671932,264.627994131425,16318702.0368509
"60",60,39680982.0510457,42.6995304203916,249.89005667365,16318725.3593672
"61",61,39680976.4838418,40.187802197828,235.955951541714,16318747.3724045
"62",62,39680971.2376267,37.829721197677,222.783950462801,16318768.1487017
"63",63,39680966.2935307,35.6151926545543,210.334222383206,16318787.7570543
"64",64,39680961.6338372,33.5348639745432,198.568783161629,16318806.2625157
"65",65,39680957.2419067,31.5800618335745,187.451441109372,16318823.7265904
"66",66,39680953.1021069,29.742735393788,176.947739470502,16318840.2074182
"67",67,39680949.1997481,28.015404978404,167.024896768022,16318855.7599502
"68",68,39680945.5210221,26.3911156213133,157.65174579747,16318870.4361165
"69",69,39680942.052947,24.8633949742968,148.798671924161,16318884.2849861
"70",70,39680938.7833143,23.4262151135864,140.437551232148,16318897.3529193
"71",71,39680935.7006411,22.0739578393408,132.541688979618,16318909.6837121
"72",72,39680932.7941241,20.801383107352,125.085758735013,16318921.318734
"73",73,39680930.0535984,19.6036002715595,118.045742503391,16318932.2970588
"74",74,39680927.4694973,18.4760418788013,111.398872078818,16318942.6555887
"75",75,39680925.0328163,17.414439661307,105.12357181427,16318952.4291723
"76",76,39680922.7350781,16.4148026511062,99.1994029811023,16318961.6507163
"77",77,39680920.5683013,15.473397146962,93.607009822069,16318970.3512917
"78",78,39680918.5249702,14.5867283107964,88.3280673836883,16318978.5602341
"79",79,39680916.5980066,13.7515232846667,83.3452311698613,16318986.305239
"80",80,39680914.7807435,12.9647156775638,78.6420886626933,16318993.6124522
"81",81,39680913.0669009,12.2234312899137,74.2031127262759,16319000.5065551
"82",82,39680911.4505626,11.5249749631141,70.0136168896197,16319007.0108455
"83",83,39680909.9261545,10.8668184510477,66.0597124965805,16319013.1473146
"84",84,39680908.4884243,10.2465892218488,62.3282676984237,16319018.9367188
"85",85,39680907.1324228,9.66206009599439,58.8068682300449,16319024.3986488
"86",86,39680905.8534861,9.11113969785438,55.4837800429438,16319029.5515942
"87",87,39680904.6472182,8.59186357462353,52.347913582668,16319034.4130046
"88",88,39680903.5094763,8.1023859565524,49.3887897321143,16319038.999348
"89",89,39680902.4363552,7.64097213337333,46.5965074128517,16319043.3261652
"90",90,39680901.4241738,7.20599137265643,43.9617127652126,16319047.408122
"91",91,39680900.4694621,6.79591032963137,41.4755698250694,16319051.2590577
"92",92,39680899.5689487,6.40928691677465,39.1297326550851,16319054.8920317
"93",93,39680898.7195495,6.04476459621989,36.9163188763713,16319058.319367
"94",94,39680897.9183569,5.70106706141429,34.8278845412042,16319061.5526915
"95",95,39680897.1626293,5.37699327792055,32.8574002902652,16319064.6029771
"96",96,39680896.4497818,5.07141285579971,30.9982287387667,16319067.4805766
"97",97,39680895.7773771,4.78326172866588,29.2441030366595,16319070.1952581
"98",98,39680895.1431168,4.51153811657272,27.5891065495613,16319072.7562385
"99",99,39680894.5448338,4.25529875186767,26.0276536084138,16319075.1722138
"100",100,39680893.9804844,4.01365534892594,24.5544712774069,16319077.4513889
"101",101,39680893.4481414,3.78577130026174,23.1645820913472,16319079.6015052
"102",102,39680892.9459874,3.57085858296257,21.8532877153178,16319081.6298663
"103",103,39680892.4723082,3.3681748606959,20.616153481202,16319083.5433634
"104",104,39680892.0254876,3.17702076772024,19.4489937573772,16319085.3484978
"105",105,39680891.6040011,2.99673736240669,18.3478581096314,16319087.0514034
"106",106,39680891.2064109,2.82670373875163,17.3090182130842,16319088.6578671
"107",107,39680890.8313611,2.66633478524899,16.3289554766123,16319090.1733486
"108",108,39680890.4775727,2.51507908129837,15.4043493429608,16319091.6029988
"109",109,39680890.1438396,2.37241692206274,14.5320662293768,16319092.9516772
"110",110,39680889.8290241,2.23785846336262,13.7091490752095,16319094.2239684
"111",111,39680889.5320531,2.11094197880961,12.9328074644893,16319095.4241975
"112",112,39680889.2519145,1.99123222194566,12.200408293015,16319096.5564449
"113",113,39680888.9876539,1.8783188866717,11.5094669509492,16319097.6245603
"114",114,39680888.7383707,1.77181515972363,10.8576389933362,16319098.6321752
"115",115,39680888.5032156,1.67135635938982,10.2427122723223,16319099.5827157
"116",116,39680888.2813877,1.57659865506557,9.66259950617011,16319100.4794142
"117",117,39680888.0721312,1.48721786260976,9.11533126141503,16319101.3253197
"118",118,39680887.8747334,1.40290831080979,8.59904932572059,16319102.1233089
"119",119,39680887.6885222,1.32338177457595,8.1120004501401,16319102.8760956
"120",120,39680887.5128632,1.248366470777,7.6525304405974,16319103.5862399
"121",121,39680887.3471584,1.17760611289857,7.21907857945146,16319104.2561569
"122",122,39680887.1908434,1.11085902095474,6.81017235901427,16319104.8881252
"123",123,39680887.0433862,1.04789728331494,6.42442250984899,16319105.484294
"124",124,39680886.9042845,0.988505967322544,6.06051830758695,16319106.0466912
"125",125,39680886.7730649,0.932482375780887,5.71722314286934,16319106.5772296
"126",126,39680886.6492806,0.879635346567865,5.39337033984495,16319107.0777138
"127",127,39680886.5325101,0.829784592812384,5.08785920943872,16319107.549846
"128",128,39680886.4223562,0.782760081226657,4.79965132435085,16319107.9952324
"129",129,39680886.3184436,0.738401446337767,4.52776700345309,16319108.4153879
"130",130,39680886.2204188,0.696557438501435,4.2712819939195,16319108.8117418
"131",131,39680886.1279481,0.65708540371105,4.02932434006527,16319109.1856422
"132",132,39680886.0407167,0.619850793336545,3.80107142847018,16319109.5383611
"133",133,39680885.9584278,0.584726702041224,3.58574719953513,16319109.8710983
"134",134,39680885.8808013,0.551593432230805,3.38261951616148,16319110.1849858
"135",135,39680885.807573,0.520338083488203,3.19099768075603,16319110.4810913
"136",136,39680885.7384936,0.490854165540537,3.01023009224993,16319110.7604222
"137",137,39680885.6733281,0.46304123339179,2.83970203527968,16319111.0239287
"138",138,39680885.6118547,0.436804543336123,2.67883359411316,16319111.2725072
"139",139,39680885.5538642,0.412054728643167,2.5270776843153,16319111.5070034
"140",140,39680885.4991592,0.388707493778298,2.38391819553752,16319111.7282151
"141",141,39680885.4475537,0.366683326088019,2.24886823918274,16319111.9368948
"142",142,39680885.3988719,0.345907223943657,2.12146849504641,16319112.1337524
"143",143,39680885.3529482,0.326308440395713,2.00128565136288,16319112.3194577
"144",144,39680885.3096264,0.307820241446774,1.88791093299745,16319112.4946424
"145",145,39680885.268759,0.290379678103066,1.7809587128188,16319112.6599026
"146",146,39680885.230207,0.273927371413762,1.68006520156399,16319112.8158005
"147",147,39680885.1938391,0.258407309753191,1.58488721177093,16319112.9628664
"148",148,39680885.1595317,0.243766657644453,1.49510099160129,16319113.1016007
"149",149,39680885.1271679,0.229955575463598,1.4104011246111,16319113.2324754
"150",150,39680885.0966377,0.216927049401867,1.33049949174748,16319113.3559357
"151",151,39680885.0678372,0.204636731099482,1.25512429205918,16319113.4724018
"152",152,39680885.0406684,0.193042786398352,1.18401911880588,16319113.5822697
"153",153,39680885.0150388,0.182105752692969,1.11694208783764,16319113.6859133
"154",154,39680884.9908613,0.171788404388757,1.05366501529203,16319113.7836853
"155",155,39680884.9680535,0.162055626005368,0.993972641822447,16319113.8759183
"156",156,39680884.9465379,0.152874292489059,0.937661900728342,16319113.962926
"157",157,39680884.9262412,0.144213156323261,0.884541227505919,16319114.0450045
"158",158,39680884.9070944,0.136042741050062,0.834429908477971,16319114.122433
"159",159,39680884.8890323,0.128335240837529,0.787157466293386,16319114.195475
"160",160,39680884.8719936,0.121064425748696,0.742563080211531,16319114.2643789
"161",161,39680884.8559201,0.114205552387748,0.70049503920432,16319114.3293793
"162",162,39680884.8407573,0.107735279617495,0.660810226019826,16319114.3906972
"163",163,39680884.8264535,0.10163158905972,0.623373630456029,16319114.4485413
"164",164,39680884.8129601,0.0958737101064459,0.588057890192238,16319114.5031083
"165",165,39680884.8002311,0.0904420491857173,0.554742857619013,16319114.554584
"166",166,39680884.7882233,0.0853181230400947,0.523315191195506,16319114.6031434
"167",167,39680884.7768957,0.0804844957898816,0.493667969946276,16319114.6489518
"168",168,39680884.7662099,0.0759247195660768,0.46570032978803,16319114.6921651
"169",169,39680884.7561295,0.0716232785103088,0.439317120450805,16319114.7329301
"170",170,39680884.7466202,0.0675655359505557,0.414428581827911,16319114.7713857
"171",171,39680884.7376496,0.0637376845723383,0.390950038654896,16319114.8076627
"172",172,39680884.7291873,0.0601266994153391,0.36880161247995,16319114.8418845
"173",173,39680884.7212043,0.0567202935350769,0.347907949946879,16319114.8741675
"174",174,39680884.7136736,0.0535068761783861,0.328197966467108,16319114.9046216
"175",175,39680884.7065696,0.0504755133300541,0.309604604409463,16319114.9333504
"176",176,39680884.699868,0.0476158904960794,0.292064604985723,16319114.9604516
"177",177,39680884.6935461,0.0449182775966579,0.275518293056477,16319114.9860174
"178",178,39680884.6875823,0.0423734958492189,0.259909374125689,16319115.0101348
"179",179,39680884.6819564,0.0399728865286299,0.245184742833771,16319115.032886
"180",180,39680884.6766493,0.0377082814981007,0.231294302298033,16319115.0543482
"181",181,39680884.6716428,0.0355719754103658,0.218190793686223,16319115.0745945
"182",182,39680884.6669199,0.0335566994844255,0.205829635443654,16319115.0936938
"183",183,39680884.6624646,0.0316555967685022,0.194168771627195,16319115.111711
"184",184,39680884.6582617,0.0298621988049423,0.183168528830387,16319115.1287076
"185",185,39680884.654297,0.0281704036175765,0.172791481213096,16319115.1447412
"186",186,39680884.6505568,0.0265744549465606,0.16300232317672,16319115.1598665
"187",187,39680884.6470285,0.0250689226599755,0.153767749251885,16319115.1741348
"188",188,39680884.6437001,0.0236486842754757,0.145056340790162,16319115.1875949
"189",189,39680884.6405603,0.0223089075290634,0.136838459074393,16319115.2002923
"190",190,39680884.6375984,0.0210450339316291,0.129086144484094,16319115.2122705
"191",191,39680884.6348042,0.0198527632572731,0.121773021372947,16319115.22357
"192",192,39680884.6321684,0.0187280389105925,0.11487420833485,16319115.2342294
"193",193,39680884.6296819,0.0176670341231156,0.108366233553292,16319115.2442849
"194",194,39680884.6273363,0.0166661389318912,0.102226954946107,16319115.2537707
"195",195,39680884.6251235,0.0157219478959035,0.0964354848339945,16319115.2627191
"196",196,39680884.6230361,0.0148312485084976,0.0909721188765316,16319115.2711605
"197",197,39680884.621067,0.0139910102663715,0.0858182690339659,16319115.2791238
"198",198,39680884.6192094,0.0131983743579267,0.0809564003267263,16319115.2866359
"199",199,39680884.6174571,0.0124506439358781,0.076369971177532,16319115.2937224
"200",200,39680884.615804,0.0117452749410147,0.0720433771331541,16319115.3004074
"201",201,39680884.6142446,0.0110798674458786,0.0679618977743802,16319115.3067137
"202",202,39680884.6127735,0.0104521574889005,0.0641116466335765,16319115.3126627
"203",203,39680884.6113858,0.00986000937120026,0.0604795239494735,16319115.3182747
"204",204,39680884.6100767,0.00930140838983529,0.0570531720984487,16319115.3235688
"205",205,39680884.6088417,0.0087744539827659,0.0538209335506868,16319115.3285629
"206",206,39680884.6076768,0.00827735326220922,0.0507718112081847,16319115.3332741
"207",207,39680884.6065778,0.00780841491437408,0.04789543098967,16319115.3377184
"208",208,39680884.605541,0.00736604344481736,0.0451820065351474,16319115.3419109
"209",209,39680884.6045631,0.00694873374983843,0.042622305909995,16319115.3458659
"210",210,39680884.6036405,0.00655506599543819,0.0402076201953351,16319115.3495968
"211",211,39680884.6027702,0.00618370078648026,0.0379297338582149,16319115.3531164
"212",212,39680884.6019492,0.00583337461159241,0.035780896812919,16319115.3564366
"213",213,39680884.6011747,0.00550289553905012,0.0337537980215833,16319115.3595687
"214",214,39680884.6004441,0.00519113916325281,0.031841540631734,16319115.3625233
"215",215,39680884.5997548,0.00489704478142347,0.0300376185258342,16319115.3653105
"216",216,39680884.5991047,0.00461961178365731,0.0283358941793557,16319115.3679399
"217",217,39680884.5984913,0.00435789624807606,0.0267305777768228,16319115.3704202
"218",218,39680884.5979127,0.00411100772923372,0.0252162075131311,16319115.3727601
"219",219,39680884.5973669,0.00387810622846475,0.0237876310107854,16319115.3749674
"220",220,39680884.596852,0.00365839933588551,0.0224399877899557,16319115.3770496
"221",221,39680884.5963663,0.00345113953431238,0.0211686927316372,16319115.3790139
"222",222,39680884.5959081,0.00325562165592446,0.0199694204776618,16319115.3808669
"223",223,39680884.5954758,0.00307118048301761,0.0188380907144925,16319115.3826149
"224",224,39680884.5950681,0.00289718848468602,0.0177708542907285,16319115.3842639
"225",225,39680884.5946834,0.00273305368173015,0.0167640801210916,16319115.3858195
"226",226,39680884.5943205,0.00257821763252657,0.0158143428323378,16319115.3872869
"227",227,39680884.5939782,0.00243215353300631,0.0149184111090618,16319115.3886712
"228",228,39680884.5936553,0.00229436442427703,0.0140732366997435,16319115.3899771
"229",229,39680884.5933507,0.00216438150179043,0.0132759440456336,16319115.391209
"230",230,39680884.5930633,0.00204176252030189,0.0125238204971915,16319115.3923711
"231",231,39680884.5927923,0.00192609028919513,0.0118143070847903,16319115.3934674
"232",232,39680884.5925365,0.00181697125305252,0.0111449898122874,16319115.3945015
"233",233,39680884.5922953,0.00171403415264124,0.0105135914438392,16319115.3954771
"234",234,39680884.5920677,0.00161692876175959,0.00991796375601741,16319115.3963974
"235",235,39680884.591853,0.00152532469564548,0.00935608022886483,16319115.3972656
"236",236,39680884.5916505,0.00143891028689292,0.00882602915102413,16319115.3980846
"237",237,39680884.5914595,0.00135739152505184,0.00832600711548183,16319115.3988572
"238",238,39680884.5912792,0.00128049105630329,0.00785431288379727,16319115.399586
"239",239,39680884.5911092,0.00120794723980662,0.00740934159794128,16319115.4002735
"240",240,39680884.5909489,0.0011395132575078,0.00698957932005144,16319115.4009221
"241",241,39680884.5907976,0.00107495627438023,0.00659359788152636,16319115.4015339
"242",242,39680884.5906548,0.00101405664624075,0.0062200500239344,16319115.4021111
"243",243,39680884.5905202,0.000956607172445616,0.00586766481520428,16319115.4026555
"244",244,39680884.5903932,0.000902412390923734,0.00553524332550247,16319115.4031692
"245",245,39680884.5902734,0.000851287913148664,0.00522165454808502,16319115.4036537
"246",246,39680884.5901604,0.000803059796786685,0.00492583155124562,16319115.4041108
"247",247,39680884.5900537,0.000757563953886436,0.00464676784826732,16319115.4045419
"248",248,39680884.5899532,0.000714645592596581,0.00438351397302762,16319115.4049487
"249",249,39680884.5898583,0.000674158690512014,0.00413517424960591,16319115.4053324
"250",250,39680884.5897688,0.000635965497856735,0.00390090374490245,16319115.4056944
"251",251,39680884.5896843,0.000599936068813041,0.00367990539390087,16319115.4060358
"252",252,39680884.5896047,0.000565947819402464,0.00347142728779329,16319115.406358
"253",253,39680884.5895295,0.000533885110414174,0.0032747601157414,16319115.4066618
"254",254,39680884.5894587,0.000503638853961864,0.00308923475156977,16319115.4069485
"255",255,39680884.5893918,0.000475106142330448,0.00291421997718021,16319115.4072189
"256",256,39680884.5893287,0.000448189897849794,0.00274912033494179,16319115.407474
"257",257,39680884.5892692,0.000422798542604249,0.00259337410174962,16319115.4077147
"258",258,39680884.5892131,0.000398845686854163,0.00244645137785929,16319115.4079417
"259",259,39680884.5891601,0.000376249835109355,0.0023078522839949,16319115.4081558
"260",260,39680884.5891102,0.000354934108854436,0.00217710526059631,16319115.4083578
"261",261,39680884.589063,0.000334825984982651,0.00205376546341941,16319115.4085484
"262",262,39680884.5890186,0.000315857049048259,0.00193741325003054,16319115.4087282
"263",263,39680884.5889766,0.000297962762497961,0.00182765275204565,16319115.4088978
"264",264,39680884.5889371,0.000281082243086904,0.00172411052824119,16319115.4090578
"265",265,39680884.5888998,0.000265158056914292,0.00162643428893751,16319115.4092087
"266",266,39680884.5888646,0.000250136022646897,0.0015342916951406,16319115.409351
"267",267,39680884.5888313,0.000235965032741655,0.001447369261953,16319115.4094853
"268",268,39680884.5888,0.000222596873822095,0.00136537125679455,16319115.409612
"269",269,39680884.5887705,0.000209986063026965,0.00128801869559364,16319115.4097316
"270",270,39680884.5887426,0.000198089694210519,0.00121504839940671,16319115.4098443
"271",271,39680884.5887163,0.000186867291993763,0.0011462120991942,16319115.4099507
"272",272,39680884.5886915,0.000176280674053874,0.00108127559112788,16319115.410051
"273",273,39680884.5886681,0.000166293821216951,0.00102001793976252,16319115.4101456
"274",274,39680884.588646,0.000156872754908418,0.000962230726337943,16319115.4102349
"275",275,39680884.5886252,0.000147985421546637,0.000907717339669593,16319115.4103192
"276",276,39680884.5886055,0.000139601583486006,0.000856292307212441,16319115.4103986
"277",277,39680884.588587,0.000131692716138466,0.00080778066402217,16319115.4104736
"278",278,39680884.5885695,0.000124231910923409,0.000762017357466704,16319115.4105443
"279",279,39680884.588553,0.000117193783715774,0.000718846685662683,16319115.410611
"280",280,39680884.5885374,0.000110554388480845,0.000678121767726268,16319115.4106739
"281",281,39680884.5885228,0.000104291135801918,0.000639704044035901,16319115.4107333
"282",282,39680884.5885089,9.83827160236263e-05,0.000603462804806735,16319115.4107893
"283",283,39680884.5884959,9.28090267494409e-05,0.000569274745372796,16319115.4108421
"284",284,39680884.5884835,8.75511044466638e-05,0.000537023546663814,16319115.4108919
"285",285,39680884.5884719,8.25910599262167e-05,0.00050659947944934,16319115.4109389
"286",286,39680884.5884609,7.79120174777006e-05,0.000477899031003678,16319115.4109833
"287",287,39680884.5884506,7.34980574526468e-05,0.000450824552921423,16319115.4110251
"288",288,39680884.5884408,6.93341621006071e-05,0.00042528392888534,16319115.4110646
