"","time","t","S","E","I","R"
"1",1,1,49922816.6877743,11.6481087576168,2934.78078958345,2270617.88332737
"2",2,2,49922541.6628934,138.924241597804,1195.13984804662,2272505.273017
"3",3,3,49922324.3302197,135.223813908492,527.26764458567,2273394.17832183
"4",4,4,49922167.9700182,104.253985315198,255.318681979189,2273853.45731447
"5",5,5,49922057.0953668,75.6708994690834,136.024990841268,2274112.20874288
"6",6,6,49921983.9286115,51.2125757058611,78.3159957349264,2274267.54281709
"7",7,7,49921932.7638857,35.5547760630702,47.830903088564,2274364.85043512
"8",8,8,49921900.307455,23.0954180720642,30.2022068643768,2274427.39492003
"9",9,9,49921878.1162552,15.5833330963701,19.4341160047381,2274467.86629565
"10",10,10,49921861.4275415,11.4227430392033,12.982062120827,2274495.1676533
"11",11,11,49921848.5449155,8.72351299301114,9.10931013501383,2274514.62226132
"12",12,12,49921838.1719516,6.95225074599154,6.71382922037768,2274529.16196835
"13",13,13,49921828.9973026,6.03605914196459,5.26003408448658,2274540.70660418
"14",14,14,49921820.838824,5.34898540590145,4.3690019132981,2274550.44318866
"15",15,15,49921813.376547,4.86953531875109,3.78803720640852,2274558.96588048
"16",16,16,49921806.3101943,4.5850184859387,3.4106826124541,2274566.69410456
"17",17,17,49921799.9254256,4.16929028258301,3.11375946209717,2274573.79152463
"18",18,18,49921794.2541987,3.71699421799826,2.81809174831354,2274580.21071536
"19",19,19,49921789.1520568,3.33896172386194,2.53520690468889,2274585.97377455
"20",20,20,49921784.2605816,3.16985969519691,2.32035395234027,2274591.24920471
"21",21,21,49921779.3485617,3.15936640398396,2.2046581084397,2274596.28741381
"22",22,22,49921774.7354643,2.9919595057596,2.1169998037758,2274601.15557641
"23",23,23,49921769.9799114,3.04932489785702,2.06796953421792,2274605.90279417
"24",24,24,49921765.5994354,2.84815404420644,2.01000608926193,2274610.54240447
"25",25,25,49921762.014483,2.38128538374828,1.83971338198766,2274614.76451826
"26",26,26,49921758.888003,2.06085675725042,1.618415630544,2274618.43272464
"27",27,27,49921756.1332935,1.8102261391236,1.41761507920966,2274621.63886535
"28",28,28,49921753.6470694,1.62666978308129,1.25265753437396,2274624.47360327
"29",29,29,49921751.225307,1.56572383426787,1.14254118204648,2274627.06642806
"30",30,30,49921748.9107626,1.49825022182614,1.07263107420786,2274629.51835616
"31",31,31,49921746.7048476,1.42886275273572,1.01707053661805,2274631.84921918
"32",32,32,49921744.4507443,1.44668430897183,0.987724462383061,2274634.11484697
"33",33,33,49921741.9481274,1.58936922202705,1.01261666882134,2274636.44988675
"34",34,34,49921739.1334181,1.78378375745781,1.09245093013507,2274638.99034721
"35",35,35,49921735.8640774,2.06529608156198,1.22313835871992,2274641.84748813
"36",36,36,49921731.246313,2.87398359106357,1.50689552507131,2274645.37280791
"37",37,37,49921725.1948846,3.78250305346071,1.97203481375945,2274650.05057751
"38",38,38,49921716.5480895,5.37791573481349,2.67791785545298,2274656.39607683
"39",39,39,49921704.4501126,7.53248778967903,3.73282221974533,2274665.28457739
"40",40,40,49921687.8155919,10.3683747005567,5.18178677991591,2274677.63424655
"41",41,41,49921667.4564712,12.794354658576,6.82455255518667,2274693.92462159
"42",42,42,49921640.0125775,17.131863152924,8.88947083052956,2274714.96608851
"43",43,43,49921600.1794399,24.7528401048239,12.1969552803375,2274743.87076474
"44",44,44,49921538.8815385,37.9889775570332,17.8382787757592,2274786.29120519
"45",45,45,49921437.0345648,62.9558988042485,27.9970564532654,2274853.01247993
"46",46,46,49921264.3517132,106.698219872146,46.2602668534907,2274963.68980003
"47",47,47,49920959.3594316,188.289310622291,79.4500090915341,2275153.90124867
"48",48,48,49920349.1959941,376.150530378483,148.100447014786,2275507.55302853
"49",49,49,49919333.7517131,627.977343603456,266.786109981266,2276152.48483334
"50",50,50,49917597.4534311,1072.7995937949,458.202926100657,2277252.54404903
"51",51,51,49914591.0683904,1856.90391655976,788.691198821305,2279144.33649421
"52",52,52,49909208.4479392,3322.32422587008,1385.38352666797,2282464.84430835
"53",53,53,49900547.7958156,5360.51358639304,2348.76782860035,2288123.92276946
"54",54,54,49886151.761124,8900.45878451302,3887.06708501237,2297441.71300649
"55",55,55,49861534.5092995,15207.5722416352,6537.37250373794,2313101.54595518
"56",56,56,49814882.9660086,28766.4675473511,11691.4858496424,2341040.08059445
"57",57,57,49714407.5971868,61932.831960718,23324.5174812182,2396716.05337125
"58",58,58,49517515.8053751,121381.834357125,47153.9130014901,2510329.44726631
"59",59,59,49129580.9063931,239005.449442203,93264.8635286538,2734529.78063608
"60",60,60,48369515.4374902,467823.092668534,183459.131766795,3175583.33807455
"61",61,61,47135228.7871215,761397.088053949,328547.296382809,3971207.82844171
"62",62,62,45315305.4756529,1124770.96753773,523301.383168277,5233003.17364108
"63",63,63,43030685.6211916,1423539.36512084,736834.506669343,7005321.50701816
"64",64,64,40389970.960177,1655125.63244172,929787.821230727,9221496.58615057
"65",65,65,37914530.8121765,1590214.26450858,1030693.70207499,11660942.2212399
"66",66,66,36034217.0980336,1257375.03224241,975977.974685985,13928810.895038
"67",67,67,34548473.284553,993942.945559831,834732.334793866,15819232.4350933
"68",68,68,33375973.2741957,785020.892747901,684326.967555935,17351059.8655004
"69",69,69,32576139.7300718,553267.837146,532644.85567703,18534328.5771051
"70",70,70,31993657.2433995,399970.828234243,397776.034255894,19404976.8941103
"71",71,71,31591310.6543432,279343.808156427,289906.632610398,20035819.9048899
"72",72,72,31308020.8465805,196341.050048031,207536.850573011,20484482.2527985
"73",73,73,31103043.2077185,141127.991251105,148167.253507164,20804042.5475232
"74",74,74,30944461.8850006,107451.667074905,107666.405528373,21036801.0423961
"75",75,75,30822876.7592777,82291.0409909202,80065.3841006852,21211147.8156307
"76",76,76,30727583.9113869,64205.3225327629,60676.8970637017,21343914.8690166
"77",77,77,30646722.4542929,53625.3550910508,47530.7132783724,21448502.4773377
"78",78,78,30587832.7164072,40139.6031685037,37268.0081165062,21531140.6723078
"79",79,79,30546866.5049679,28383.7060958627,28126.8411328689,21593003.9478034
"80",80,80,30516346.8435977,20890.9468631817,20803.1064568695,21638340.1030823
"81",81,81,30490589.9885412,17146.8694363957,15806.2278613997,21672837.914161
"82",82,82,30470300.7195569,13618.395050968,12357.0893745197,21700104.7960176
"83",83,83,30454652.7253739,10565.730024272,9672.61915512941,21721489.9254467
"84",84,84,30443233.280397,7810.7981874869,7438.18314141171,21737898.7382741
"85",85,85,30435058.9008423,5630.85634167438,5574.62726650151,21750116.6155496
"86",86,86,30429568.2438186,3845.89292470673,4046.02418937707,21758920.8390673
"87",87,87,30425863.6048664,2602.21604402758,2850.85321630752,21765064.3258733
"88",88,88,30423329.2833182,1774.99570430944,1977.36720267445,21769299.3537749
"89",89,89,30421402.1936172,1315.73813144575,1389.41747574146,21772273.6507756
"90",90,90,30420085.9264213,915.987552159892,984.2282218512,21774394.8578047
"91",91,91,30419176.866285,633.796854311269,690.838987534047,21775879.4978732
"92",92,92,30418621.2761707,400.075411874642,471.511477080017,21776888.1369404
"93",93,93,30418284.115414,245.453494731892,309.635569320952,21777541.7955219
"94",94,94,30418085.7578427,146.175578093169,196.754133259956,21777952.312446
"95",95,95,30417956.8477377,92.5980097264557,123.569382007141,21778207.9848706
"96",96,96,30417874.1176621,59.2153376857128,78.0092870821717,21778369.6577132
"97",97,97,30417819.6758864,38.669741747512,49.7062274431696,21778472.9481445
"98",98,98,30417783.3430077,25.6629827243831,32.0840898689302,21778539.9099198
"99",99,99,30417760.8005108,16.2151864940242,20.7148669753775,21778583.2694358
"100",100,100,30417746.1601509,10.4509850036582,13.3190213527428,21778611.0698427
"101",101,101,30417737.0646263,6.55906509899906,8.5233792136686,21778628.8529293
"102",102,102,30417731.2389923,4.17701910614177,5.43056647744062,21778640.1534221
"103",103,103,30417727.2942334,2.78246941566666,3.49264961298018,21778647.4306475
"104",104,104,30417724.5233602,1.92895218506134,2.29765019381606,21778652.2500374
"105",105,105,30417722.6243285,1.32604198851365,1.54115102594208,21778655.5084785
"106",106,106,30417721.3777057,0.880776553447493,1.03608500986157,21778657.7054327
"107",107,107,30417720.5691193,0.574835251274,0.690323684587904,21778659.1657218
"108",108,108,30417720.0096692,0.391748297045843,0.46056697474377,21778660.1380155
"109",109,109,30417719.6188753,0.272022776995173,0.311327833763137,21778660.7977741
