"","time","x","S","E","I","R","Z"
"1",1,-3.23137312708423,51515015.1324025,37.8276364389928,2456.75732726288,4459668.2826338,0
"2",2,-3.23137312708423,51515005.2225692,37.1078946158543,2247.91358599649,4459867.30446181,7.50322948735246
"3",3,-3.23137312708423,51514996.0739303,35.9038772487126,2057.24499723804,4460049.61081143,14.810986884763
"4",4,-3.23137312708423,51514987.6380386,34.3772510382851,1883.07741664378,4460216.61190373,21.8433524203177
"5",5,-3.23137312708423,51514979.8670977,32.6491823957394,1723.91073422164,4460369.5975679,28.5485356741026
"6",6,-3.23137312708423,51514972.7146732,30.8098240856602,1578.39657573259,4460509.74791366,34.8956764346754
"7",7,-3.23137312708423,51514966.1361551,28.9254177200478,1445.32007442459,4460638.14277728,40.8695054990147
"8",8,-3.23137312708423,51514960.0890714,27.0440189734137,1323.58395158033,4460755.77049941,46.4660813331931
"9",9,-3.23137312708423,51514954.5332643,25.1998264630291,1212.19515080674,4460863.53582344,51.6896104411443
"10",10,-3.23137312708423,51514949.4309668,23.4164703194233,1110.2534741168,4460962.2670444,56.5500718496642
"11",11,-3.23137312708423,51514944.7468262,21.7096813578647,1016.94153287196,4461052.72259493,61.0613162986208
"12",12,-3.23137312708423,51514940.447866,20.0892469536794,931.516201166595,4461135.59699419,65.2397124869007
"13",13,-3.23137312708423,51514936.5034146,18.5605162515677,853.301134970236,4461211.5262835,69.1031351024492
"14",14,-3.23137312708423,51514932.885017,17.1256017781526,781.680135764778,4461281.09299637,72.6701789180723
"15",15,-3.23137312708423,51514929.5663255,15.7842563804326,716.091353802647,4461344.83069053,75.9596167462095
"16",16,-3.23137312708423,51514926.5229854,14.5345622307065,656.022119536694,4461403.22809174,78.9899938504474
"17",17,-3.23137312708423,51514923.7325157,13.3734463509051,601.004353514848,4461456.73288032,81.7793483658391
"18",18,-3.23137312708423,51514921.1741888,12.2970683415565,550.610466745961,4461505.7551535,84.345022418067
"19",19,-3.23137312708423,51514918.8289127,11.3011143753197,504.449681251822,4461550.67059265,86.70353777138
"20",20,-3.23137312708423,51514916.6791162,10.3810125884552,462.164726408916,4461591.82336074,88.8705248126635
"21",21,-3.23137312708423,51514914.708639,9.5320918026461,423.428863273924,4461629.52875121,90.8606881039617
"22",22,-3.23137312708423,51514912.9026271,8.74969933714861,387.943183431787,4461664.07562144,92.687797086167
"23",23,-3.23137312708423,51514911.2474337,8.02928100810481,355.434179463926,4461695.72861029,94.3646994391518
"24",24,-3.23137312708423,51514909.7305267,7.36643689805092,325.65153873724,4461724.7301705,95.9033473315935
"25",25,-3.23137312708423,51514908.340401,6.7569599979609,298.366134593227,4461751.30243258,97.3148314756211
"26",26,-3.23137312708423,51514907.0664983,6.19685884994018,273.3682031533,4461775.6489103,98.6094224319692
"27",27,-3.23137312708423,51514905.8991309,5.68236983986566,250.465683484212,4461797.95606255,99.7966151752085
"28",28,-3.23137312708423,51514904.8294123,5.20996191325933,229.482704976555,4461818.39472379,100.885175132652
"29",29,-3.23137312708423,51514903.8491918,4.77633540616792,210.258208323755,4461837.1214143,101.883184731527
"30",30,-3.23137312708423,51514902.9509956,4.37841699024247,192.644686990557,4461854.27954031,102.798089215245
"31",31,-3.23137312708423,51514902.1279705,4.01335185813114,176.507038085437,4461870.00049332,103.636741153057
"32",32,-3.23137312708423,51514901.3738334,3.67849396721329,161.721507964431,4461884.40466172,104.405443443624
"33",33,-3.23137312708423,51514900.6828244,3.37139537340226,148.174731900826,4461897.60235406,105.109989971403
"34",34,-3.23137312708423,51514900.0496648,3.08979506540272,135.762888903173,4461909.69461362,105.755702875909
"35",35,-3.23137312708423,51514899.4695156,2.83160715147738,124.390859023693,4461920.77403133,106.34747028032
"36",36,-3.23137312708423,51514898.9379416,2.59490938379659,113.971500437883,4461930.92544462,106.889779779897
"37",37,-3.23137312708423,51514898.450878,2.37793185488802,104.424981381814,4461940.22658404,107.386749973686
"38",38,-3.23137312708423,51514898.0045997,2.17904622031475,95.6781649766629,4461948.74866903,107.84215980837
"39",39,-3.23137312708423,51514897.5956928,1.9967553238419,87.6640466840055,4461956.5569534,108.259475846259
"40",40,-3.23137312708423,51514897.2210291,1.82968335947907,80.3212392328818,4461963.71122506,108.641877515486
"41",41,-3.23137312708423,51514896.8777417,1.67656661210995,73.5935009871297,4461970.26626392,108.992280440719
"42",42,-3.23137312708423,51514896.5632043,1.53624501245472,67.4293160659118,4461976.27224977,109.313357382487
"43",43,-3.23137312708423,51514896.2750092,1.40765331793791,61.7814639298283,4461981.77518055,109.607559837568
"44",44,-3.23137312708423,51514896.0109503,1.28981407705867,56.6066836784302,4461986.81719879,109.877135017695
"45",45,-3.23137312708423,51514895.7690066,1.18183076347193,51.8653505868789,4461991.4369062,110.124142281866
"46",46,-3.23137312708423,51514895.5473263,1.08288100350683,47.5211565447205,4461995.66967449,110.350469361541
"47",47,-3.23137312708423,51514895.3442125,0.992210596407956,43.5408348102115,4461999.54791322,110.557846458309
"48",48,-3.23137312708423,51514895.1581103,0.909127966863604,39.8939057939922,4462003.10131725,110.747859285023
"49",49,-3.23137312708423,51514894.987595,0.832999047333294,36.5524432682233,4462006.35709429,110.921961072445
"50",50,-3.23137312708423,51514894.8313613,0.763242550682567,33.4908604914026,4462009.3401731,111.081483591272
"51",51,-3.23137312708423,51514894.688213,0.699325622661887,30.6857141394207,4462012.07339447,111.227647268016
"52",52,-3.23137312708423,51514894.5570543,0.640759843052189,28.1155247029012,4462014.57768605,111.361570465084
"53",53,-3.23137312708423,51514894.4368809,0.587097546735212,25.7606119504531,4462016.87222263,111.484277995386
"54",54,-3.23137312708423,51514894.3267728,0.537928439682324,23.6029439476564,4462018.97457316,111.596708942288
"55",55,-3.23137312708423,51514894.2258871,0.492876508624572,21.6259995748038,4462020.90083467,111.699723787827
"56",56,-3.23137312708423,51514894.1334512,0.45159716266572,19.8146416051728,4462022.66575592,111.794110997932
"57",57,-3.23137312708423,51514894.0487575,0.413774613380177,18.1550005669572,4462024.2828505,111.880593051802
"58",58,-3.23137312708423,51514893.9711575,0.37911947756861,16.6343686907976,4462025.76450015,111.959831951744
"59",59,-3.23137312708423,51514893.9000571,0.347366577114752,15.2411026706071,4462027.12204951,112.032434276904
"60",60,-3.23137312708423,51514893.8349119,0.318272918493955,13.9645344599642,4462028.36589301,112.098955821172
"61",61,-3.23137312708423,51514893.7752232,0.291615840285412,12.7948895750207,4462029.50555443,112.159905842506
"62",62,-3.23137312708423,51514893.7205338,0.267191314834037,11.7232122444526,4462030.54975988,112.215750957037
"63",63,-3.23137312708423,51514893.670425,0.244812391044097,10.7412968310311,4462031.50650459,112.266918707877
"64",64,-3.23137312708423,51514893.6245133,0.224307766826661,9.84162499899079,4462032.38311411,112.313800835596
"65",65,-3.23137312708423,51514893.5824471,0.205520480547166,9.01730814393697,4462033.18630042,112.35675627525
"66",66,-3.23137312708423,51514893.5439042,0.188306711543779,8.26203464566978,4462033.92221331,112.396113902801
"67",67,-3.23137312708423,51514893.5085896,0.172534680767045,7.57002153941494,4462034.59648748,112.432175051773
"68",68,-3.23137312708423,51514893.4762329,0.158083643213006,6.9359702353317,4462035.21428568,112.465215819353
"69",69,-3.23137312708423,51514893.4465863,0.14484296450844,6.35502594719075,4462035.78033823,112.495489179518
"70",70,-3.23137312708423,51514893.4194229,0.132711274678914,5.82274051942333,4462036.29897926,112.523226919303
"71",71,-3.23137312708423,51514893.3945346,0.121595692653647,5.33503836788958,4462036.77417986,112.548641413008
"72",72,-3.23137312708423,51514893.3717309,0.11141111561806,4.88818527351868,4462037.20957854,112.571927247877
"73",73,-3.23137312708423,51514893.3508372,0.102079567810505,4.47875978983431,4462037.60850901,112.593262713681
"74",74,-3.23137312708423,51514893.3316935,0.0935296037953822,4.10362704541789,4462037.9740258,112.612811167586
"75",75,-3.23137312708423,51514893.3141533,0.0856957616687936,3.75991474068967,4462038.30892758,112.630722284745
"76",76,-3.23137312708423,51514893.2980822,0.0785180620242943,3.44499115520361,4462038.6157786,112.64713320417
"77",77,-3.23137312708423,51514893.2833572,0.0719415488534149,3.15644499704963,4462038.89692833,112.662169578652
"78",78,-3.23137312708423,51514893.2698655,0.0659158688769595,2.89206694006123,4462039.15452949,112.675946536761
"79",79,-3.23137312708423,51514893.2575039,0.0603948860922626,2.64983270745592,4462039.39055444,112.688569564286
"80",80,-3.23137312708423,51514893.2461776,0.0553363285910803,2.42788757237662,4462039.60681037,112.700135311857
"81",81,-3.23137312708423,51514893.2358,0.0507014649486151,2.22453215665276,4462039.8049531,112.710732334931
