"","time","x","S","E","I","R","Z"
"1",1,1.97436008742079,41140266.5438594,168.512687237794,203.428925248429,11055742.5145281,0
"2",2,1.97436008742079,41138206.0769348,1722.74177891992,669.334400146544,11055782.8468861,506.237832959702
"3",3,1.97436008742079,41129276.0770319,8075.49198182274,3071.76155501595,11055957.6694313,3083.48753295135
"4",4,1.97436008742079,41088012.8420251,37383.2799515769,14218.9052828301,11056765.9727405,15038.9345700243
"5",5,1.97436008742079,40897665.2560332,172483.145206409,65727.3767465863,11060505.2220138,70286.655307056
"6",6,1.97436008742079,40032286.2064567,784736.775158203,301630.613317551,11077727.4050676,323412.074931802
"7",7,1.97436008742079,36347719.9070133,3353269.44743918,1339910.89459998,11155480.7509476,1439445.70209428
"8",8,1.97436008742079,24334380.8117142,11160971.8085106,5222438.83681922,11478589.5429561,5645082.43632198
"9",9,1.97436008742079,6733060.01623373,18872046.9221872,14078017.4556642,12513256.605915,15535328.1181259
"10",10,1.97436008742079,504578.874163853,14287354.5297898,22804675.508408,14599772.0876384,26348501.6525931
"11",11,1.97436008742079,15629.0270200096,7960175.49500468,26822800.5525807,17397775.9253947,33164630.534522
"12",12,1.97436008742079,358.803941030787,4270382.83842117,27488670.0460223,20436969.3116156,36869693.4141845
"13",13,1.97436008742079,8.56468816929293,2285991.22133177,26465609.6376645,23444771.5763156,38854435.2705268
"14",14,1.97436008742079,0.249994215740214,1223608.17576122,24682190.8416006,26290581.732644,39916826.6307913
"15",15,1.97436008742079,0.00954988096469665,654950.413125837,22621708.6566949,28919721.9206295,40485484.633871
"16",16,1.97436008742079,0.000486783256148119,350569.701280715,20529220.1554292,31316591.1428034,40789865.3547792
"17",17,1.97436008742079,3.29402966519927e-05,187646.267378008,18523666.2498349,33485068.4827542,40952788.7891358
"18",18,1.97436008742079,2.94453679654531e-06,100439.765049021,16657767.2052186,35438174.0297295,41039995.2914948
"19",19,1.97436008742079,3.18848742471188e-07,53761.5667210623,14949949.7500592,37192669.6832195,41086673.4898254
"20",20,1.97436008742079,6.13583790625055e-08,28776.4759005824,13401314.089622,38766290.4344775,41111658.5806461
"21",21,1.97436008742079,1.30484826411545e-08,15402.9361623871,12004607.4028652,40176370.6609725,41125032.1203843
"22",22,1.97436008742079,1.88099064607118e-08,8244.59319672535,10748930.7730564,41439205.633747,41132190.46335
"23",23,1.97436008742079,5.39951841732281e-09,4413.00995364293,9622171.43504758,42569796.5549989,41136022.0465931
"24",24,1.97436008742079,-4.82577938073303e-10,2362.1125411183,8612227.23215922,43581791.6552998,41138072.9440056
"25",25,1.97436008742079,-4.74843611565534e-10,1264.34650959289,7707592.54370075,44487524.1097898,41139170.7100371
"26",26,1.97436008742079,-1.32930806864905e-09,676.755377553561,6897609.77635526,45298094.4682673,41139758.3011692
"27",27,1.97436008742079,-6.21853791769914e-10,362.240813271369,6172548.38185555,46023470.3773313,41140072.8157335
"28",28,1.97436008742079,-2.07254657154474e-10,193.893411503418,5523597.39390827,46672589.7126803,41140241.1631352
"29",29,1.97436008742079,-1.05168972541371e-10,103.783593971599,4942816.91270933,47253460.3036968,41140331.2729528
"30",30,1.97436008742079,-3.68894546944915e-11,55.5513142278473,4423072.29643286,47773253.152253,41140379.5052325
"31",31,1.97436008742079,1.15069446261171e-12,29.7344526800974,3957963.28591136,48238387.9796361,41140405.3220941
"32",32,1.97436008742079,6.25077902797156e-12,15.915693859066,3541754.16633645,48654610.9179698,41140419.1408529
"33",33,1.97436008742079,3.92212018005978e-12,8.51905147504671,3169307.83883886,49027064.6421098,41140426.5374953
"34",34,1.97436008742079,2.57682936798046e-12,4.55991667882449,2836024.98685718,49360351.4532262,41140430.49663
"35",35,1.97436008742079,1.77474932638848e-12,2.44074581301755,2537788.65585731,49658589.903397,41140432.6158009
"36",36,1.97436008742079,1.26654604814995e-12,1.306436110035,2270914.13441118,49925465.5591528,41140433.7501106
"37",37,1.97436008742079,9.40272757822359e-13,0.699284306197748,2032103.82390443,50164276.4768113,41140434.3572624
"38",38,1.97436008742079,7.21106818516509e-13,0.374299655679044,1818406.70328168,50377973.9224188,41140434.6822471
"39",39,1.97436008742079,5.68686121932787e-13,0.200348039052548,1627181.97573607,50569198.823916,41140434.8561987
"40",40,1.97436008742079,4.59820410336731e-13,0.107238414076696,1456066.4951,50740314.3976617,41140434.9493083
"41",41,1.97436008742079,3.80196658064989e-13,0.057400527195029,1302945.59459217,50893435.3480074,41140434.9991462
"42",42,1.97436008742079,3.20709963349981e-13,0.0307242590881895,1165926.97079911,51030453.9984767,41140435.0258225
"43",43,1.97436008742079,2.75414976947828e-13,0.0164454947454901,1043317.30742793,51153063.6761267,41140435.0401012
"44",44,1.97436008742079,2.40334655480671e-13,0.00880263105950371,933601.353779643,51262779.6374178,41140435.0477441
"45",45,1.97436008742079,2.12749093909675e-13,0.0047116874370289,835423.201433011,51360957.7938554,41140435.051835
"46",46,1.97436008742079,1.90759955481341e-13,0.0025220498055202,747569.529377445,51448811.4681006,41140435.0540247
"47",47,1.97436008742079,1.73017221388779e-13,0.00134996474774641,668954.608891752,51527426.3897584,41140435.0551968
"48",48,1.97436008742079,1.58544078577537e-13,0.000722588688910641,598606.885985322,51597774.1132922,41140435.0558241
"49",49,1.97436008742079,1.46622332549789e-13,0.000386674997384919,535656.958220225,51660724.0413932,41140435.0561601
"50",50,1.97436008742079,1.36716284410317e-13,0.000206972413927487,479326.879734262,51717054.1200588,41140435.0563398
"51",51,1.97436008742079,1.28420741908485e-13,0.000110784807163902,428920.511332198,51767460.4885571,41140435.0564359
"52",52,1.97436008742079,1.21425129379505e-13,5.9321054465791e-05,383814.88101874,51812566.118922,41140435.0564874
"53",53,1.97436008742079,1.1548893865717e-13,3.180491104621e-05,343452.608979988,51852928.3909883,41140435.0565149
"54",54,1.97436008742079,1.10423464003262e-13,1.7037631560822e-05,307334.858972764,51889046.1410103,41140435.0565297
"55",55,1.97436008742079,1.06079337502887e-13,9.13499179663608e-06,275015.278300258,51921365.7216907,41140435.0565376
"56",56,1.97436008742079,1.02337149717958e-13,4.89402729248941e-06,246094.45797418,51950286.542021,41140435.0565418
"57",57,1.97436008742079,9.91005486499994e-14,2.6236336051108e-06,220214.966101158,51976166.0338963,41140435.0565441
"58",58,1.97436008742079,9.62911993509678e-14,1.40568545397793e-06,197056.987483607,51999324.0125151,41140435.0565453
"59",59,1.97436008742079,9.38448792340125e-14,7.56277461796853e-07,176334.323234184,52020046.6767652,41140435.056546
"60",60,1.97436008742079,9.17086201518335e-14,4.11221482378645e-07,157790.940857764,52038590.0591419,41140435.0565463
"61",61,1.97436008742079,8.98382310288815e-14,2.08280799241882e-07,141197.542601558,52055183.4573983,41140435.0565465
"62",62,1.97436008742079,8.81968930544508e-14,1.04880898491087e-07,126349.115858034,52070031.884142,41140435.0565466
"63",63,1.97436008742079,8.67535979874757e-14,6.29119773727331e-08,113062.161680727,52083318.8383193,41140435.0565467
"64",64,1.97436008742079,8.54821148146963e-14,2.74913978950076e-08,101172.470514459,52095208.5294856,41140435.0565467
"65",65,1.97436008742079,8.43601443869883e-14,1.23266318642867e-08,90533.1036372326,52105847.8963629,41140435.0565467
"66",66,1.97436008742079,8.33686496931887e-14,1.28438669571472e-08,81012.5779400775,52115368.42206,41140435.0565467
"67",67,1.97436008742079,8.24913058399956e-14,-1.38183572309252e-09,72493.238864576,52123887.7611355,41140435.0565467
"68",68,1.97436008742079,8.17140553912479e-14,3.89097838360224e-09,64869.8001972,52131511.1998029,41140435.0565467
"69",69,1.97436008742079,8.10247519576272e-14,1.31205714688003e-08,58048.0475162521,52138332.9524838,41140435.0565467
"70",70,1.97436008742079,8.04128671924439e-14,-9.14741083457855e-09,51943.6749400119,52144437.3250601,41140435.0565467
"71",71,1.97436008742079,7.98692472807919e-14,2.19581630503967e-09,46481.242534989,52149899.7574651,41140435.0565467
"72",72,1.97436008742079,7.93859113329689e-14,1.40950986908767e-09,41593.2433635958,52154787.7566365,41140435.0565467
