"","time","t","S","E","I","R"
"1",1,1,50318612.9460871,257.592202863458,4484.31440745681,1873026.14730261
"2",2,2,50315498.9038359,2378.45912729734,2486.42417568566,1876017.21286109
"3",3,3,50313344.3048437,2853.65090505688,2094.2483932211,1878088.79585802
"4",4,4,50311366.7358215,2987.36030450771,2036.12659112496,1879990.77728283
"5",5,5,50309388.3142768,3061.8578519955,2050.55446018111,1881880.27341102
"6",6,6,50307387.9810932,3118.42033986729,2081.72371869075,1883792.87484825
"7",7,7,50305388.0027049,3148.19899205758,2110.49503009978,1885734.30327291
"8",8,8,50303355.4328003,3188.18223431538,2136.79648514185,1887700.58848024
"9",9,9,50301309.0821684,3219.66755250586,2161.48703493743,1889690.76324417
"10",10,10,50299228.0833378,3262.21451468201,2186.9871426153,1891703.71500489
"11",11,11,50297109.8135665,3312.71989411259,2216.45421828719,1893742.01232112
"12",12,12,50294979.4707117,3348.56018090444,2245.11815756469,1895807.85094984
"13",13,13,50292820.3081826,3389.01426798266,2272.39758868816,1897899.27996077
"14",14,14,50290635.5297509,3429.60241417902,2299.8265688274,1900016.04126614
"15",15,15,50288393.2331121,3494.18940736076,2333.29063540294,1902160.28684519
"16",16,16,50286111.3933877,3558.19379429035,2372.70465303661,1904338.70816497
"17",17,17,50283777.9027179,3630.82383139067,2416.63824594115,1906555.63520482
"18",18,18,50281400.277834,3702.42152494914,2463.47639567835,1908814.82424538
"19",19,19,50278979.0561043,3772.97989395317,2511.10914095105,1911117.85486082
"20",20,20,50276505.4103386,3849.58762482576,2560.40959923445,1913465.59243733
"21",21,21,50273980.5121518,3928.54818024782,2611.89995186242,1915860.03971612
"22",22,22,50271416.1333758,3999.91691618704,2662.76713483545,1918302.18257323
"23",23,23,50268811.5916381,4067.67529360861,2711.33799295107,1920790.39507543
"24",24,24,50266154.9458989,4142.51763053847,2760.17365614722,1923323.36281444
"25",25,25,50263435.5642058,4229.13779711044,2813.10471720099,1925903.19327988
"26",26,26,50260653.2003014,4322.25633501038,2871.10374004628,1928534.43962363
"27",27,27,50257808.5257126,4418.29150194451,2932.90125138454,1931221.28153406
"28",28,28,50254897.1240284,4519.1775762895,2997.90617519336,1933966.79222014
"29",29,29,50251907.5406451,4631.19880377078,3067.73597978995,1936774.52457142
"30",30,30,50248800.8526083,4778.37859907781,3149.9255253046,1939651.84326738
