"","time","t","S","E","I","R"
"1",1,1,49798704.4794624,132.763131096835,27.9013675676825,2397515.8560389
"2",2,2,49798660.3482495,104.57193056642,57.3940590124506,2397558.68576091
"3",3,3,49798603.200214,98.3932563913478,63.8547636855315,2397615.55176595
"4",4,4,49798542.4394438,97.6145137449053,65.4075814229822,2397675.53846099
"5",5,5,49798479.8474116,98.5321935889323,66.1613381480022,2397736.45905659
"6",6,6,49798418.7562477,97.8893835295382,66.4508729650908,2397797.90349579
"7",7,7,49798356.6679444,98.2818677370842,66.5720078878397,2397859.47817997
"8",8,8,49798291.6670312,100.676167282248,67.2755750037812,2397921.38122649
"9",9,9,49798218.2766471,108.260357417367,69.8009714617532,2397984.662024
"10",10,10,49798138.9143281,116.813880015248,74.0957502159911,2398051.17604163
"11",11,11,49798055.980266,124.042572949676,78.9500678359622,2398122.02709313
"12",12,12,49797959.9268484,137.728824954517,85.4171663813402,2398197.92716031
"13",13,13,49797859.0240984,148.653960130576,92.8595659447347,2398280.46237553
"14",14,14,49797732.1162632,174.013008987854,103.798313826564,2398371.07241398
"15",15,15,49797584.3589409,203.254220220115,119.322240610465,2398474.06459821
"16",16,16,49797434.0116849,220.654011489662,134.521999200899,2398591.8123044
"17",17,17,49797251.8640254,253.693923781486,151.561065229673,2398723.88098557
"18",18,18,49797048.9481747,286.86113890551,171.780578936842,2398873.41010746
"19",19,19,49796783.9602155,351.262689778437,200.865640653936,2399044.91145402
"20",20,20,49796506.2278792,395.035741297342,233.528956103333,2399246.20742334
"21",21,21,49796138.9875147,485.600121634289,275.765158373535,2399480.64720523
"22",22,22,49795627.2853293,643.226032393768,345.060202055397,2399765.42843626
"23",23,23,49794996.3990205,817.169959748252,440.136720412801,2400127.29429933
"24",24,24,49794240.5415482,1003.314540475,551.73948112242,2400585.40443024
"25",25,25,49793275.1637781,1259.80891993124,688.891249630502,2401157.13605231
"26",26,26,49792043.0033571,1597.26321325765,866.938529441582,2401873.79490016
"27",27,27,49790708.2928706,1852.35764621577,1055.56024884011,2402764.78923426
"28",28,28,49789323.8994022,2022.62393712238,1215.36226378333,2403819.11439686
"29",29,29,49787957.6550039,2097.02036652875,1326.35735490942,2404999.96727461
"30",30,30,49786415.4616931,2267.09302689184,1425.575819746,2406272.86946024
"31",31,31,49784881.5222787,2350.8119168994,1513.16895308532,2407635.49685128
"32",32,32,49783232.1302383,2480.99357273495,1594.26727334516,2409073.60891557
"33",33,33,49781656.2214682,2494.58622560961,1650.92352650679,2410579.26877963
"34",34,34,49780057.7427841,2517.66172280339,1682.16308327942,2412123.4324097
"35",35,35,49778334.177957,2623.37652136721,1724.74940419595,2413698.69611732
"36",36,36,49776664.026789,2639.74816037786,1762.32569017488,2415314.89936035
"37",37,37,49774660.9063376,2897.91637788212,1844.08369919819,2416978.09358529
"38",38,38,49772639.570142,3049.9562058494,1954.37175360599,2418737.10189854
"39",39,39,49770123.488545,3502.48665294995,2133.9848432876,2420621.03995877
"40",40,40,49767207.8846141,4045.37157966654,2409.65756232649,2422718.08624392
"41",41,41,49764027.9714329,4532.31939013664,2726.07071880813,2425094.63845809
"42",42,42,49760398.6494834,5127.42748913662,3077.30316738497,2427777.61985997
"43",43,43,49755880.0340046,6113.19723770987,3553.70565688917,2430834.06310076
"44",44,44,49750260.7892026,7468.51031663201,4230.77973556792,2434420.92074514
"45",45,45,49743123.2143177,9335.68642433024,5171.37865763128,2438750.72060027
"46",46,46,49734931.6688856,11119.1826019746,6283.6273223481,2444046.52119007
"47",47,47,49724306.8541799,13898.3663526482,7692.52387008377,2450483.25559737
"48",48,48,49712676.0817398,16125.3566485072,9250.17502405006,2458329.38658761
"49",49,49,49699231.7797473,18659.6828903003,10858.8913977231,2467630.6459647
"50",50,50,49683729.3177352,21545.4891839238,12620.0881484387,2478486.10493248
"51",51,51,49665345.5041367,25241.1967621862,14693.7871955005,2491100.51190566
"52",52,52,49644687.5693166,28907.984720687,17016.6233014183,2505768.82266135
"53",53,53,49620810.4319278,33266.3931279914,19606.6441567514,2522697.53078748
"54",54,54,49594432.9335442,37449.2107751808,22372.6614324815,2542126.1942482
"55",55,55,49562701.0240477,43689.7040914365,25681.8224321301,2564308.44942883
"56",56,56,49523575.069783,52580.1903371981,30169.0632424143,2590056.67663742
"57",57,57,49473774.3494132,65366.7599897115,36488.9402784936,2620750.95031863
"58",58,58,49408744.6933349,83676.1804912602,45494.8853687695,2658465.24080523
"59",59,59,49331922.3472455,102276.958558576,56575.3430469645,2705606.35114908
"60",60,60,49219693.2393552,138935.727438313,72837.1343502007,2764914.89885645
"61",61,61,49099795.86752,164100.272431439,91429.4381887418,2841055.42185996
"62",62,62,48939062.9702682,208141.719754261,113694.836913683,2935481.47306401
"63",63,63,48710958.2524477,282574.073554075,147577.356759732,3055271.31723857
"64",64,64,48447264.3247635,348854.814703174,189289.816041831,3210972.04449163
"65",65,65,48096443.1995924,449604.003165098,241219.899352633,3409113.89789
"66",66,66,47609780.7496449,605871.405106217,315903.086471979,3664825.75877705
"67",67,67,46901937.6556778,856612.939513336,431067.948613911,4006762.4561951
"68",68,68,46011396.0855195,1127457.25484389,583400.818546285,4474126.84109042
"69",69,69,44842437.1008104,1480433.89446376,774308.982885341,5099201.02184065
"70",70,70,43361649.4848761,1901783.18492099,1010849.77678612,5922098.55341693
"71",71,71,41483245.6305777,2423399.11673616,1301589.30200968,6988146.95067661
"72",72,72,39067559.6773,3102860.33527808,1669113.27603515,8356847.71138697
"73",73,73,36109271.5265835,3868280.87195145,2115199.87259616,10103628.728869
"74",74,74,32827834.5474764,4511055.46127166,2578846.64634538,12278644.3449068
"75",75,75,29104279.2510849,5175262.36472715,3037393.71577305,14879445.668415
"76",76,76,25515474.5995788,5419995.95895695,3391712.42961431,17869198.0118501
"77",77,77,21831714.1256824,5611495.44616717,3626817.75207821,21126353.6760724
"78",78,78,18682321.5071753,5312161.62808688,3676401.13508447,24525496.7296535
"79",79,79,16041257.4058285,4772459.0679905,3513793.92645639,27868870.5997248
"80",80,80,14060497.0141699,3996682.31271074,3165492.56417299,30973709.1089465
"81",81,81,12325937.1237619,3400367.90625073,2755374.24266142,33714701.7273261
"82",82,82,11010091.3064204,2775627.17228903,2337612.66682006,36073049.8544707
"83",83,83,10017857.9105913,2205387.84715305,1927262.23043365,38045873.0118222
"84",84,84,9311067.4797307,1692418.64901815,1543028.58558659,39649866.2856647
"85",85,85,8772572.98027142,1295752.0886179,1208817.70470738,40919238.2264035
"86",86,86,8421810.437851,947030.447390742,924247.191530518,41903292.9232279
"87",87,87,8162179.13519318,694442.715889816,692362.419430846,42647396.7294863
"88",88,88,7959652.9084405,518093.8211727,515892.870369531,43202741.4000174
"89",89,89,7826742.98535211,373248.92504738,381028.700195538,43615360.3894052
"90",90,90,7731704.90842951,268350.660951975,278087.042035854,43918238.3885828
"91",91,91,7651006.31599356,201982.091560123,204014.010054158,44139378.5823923
"92",92,92,7594331.61521837,149079.907412301,150641.696625544,44302327.7807439
"93",93,93,7554317.92315206,108704.591988476,110852.607444525,44422505.8774151
"94",94,94,7521996.05530945,81566.5449762601,81849.3292033188,44510969.0705111
"95",95,95,7498291.38768674,60809.2037722382,60777.2235303042,44576503.1850109
"96",96,96,7479553.47824212,46118.2949363514,45421.9408448023,44625287.2859769
"97",97,97,7463132.41975788,36604.5467510853,34611.2335499348,44662032.7999413
"98",98,98,7447675.57861799,30848.7551213654,27365.0065729809,44690491.6596878
