"","time","t","S","E","I","R"
"1",1,1,48389720.144334,4246.34260997735,178.554512058818,3802235.95854393
"2",2,2,48388818.58048,2976.30832319688,1449.69534873623,3803136.41584811
"3",3,3,48387249.1951257,2761.78815904748,1731.48025766581,3804638.53645755
"4",4,4,48385518.1896656,2760.41965858833,1815.76315602283,3806286.6275198
"5",5,5,48383731.9850408,2799.23900450423,1860.11855650704,3807989.65739821
"6",6,6,48381911.2631211,2845.24791549018,1895.71984685438,3809728.76911658
"7",7,7,48379770.6816426,3109.71010876314,1982.66723406528,3811517.94101464
"8",8,8,48377540.3953596,3318.83465285724,2110.07134038211,3813411.69864724
"9",9,9,48375122.3701512,3570.59735475016,2256.4939764787,3815431.53851763
"10",10,10,48372594.0730459,3786.74028924701,2408.56570480586,3817591.62096009
"11",11,11,48369758.4740861,4131.71826730408,2589.15661816615,3819901.65102842
"12",12,12,48366649.8196838,4520.28618463716,2811.72856247681,3822399.16556909
"13",13,13,48363190.4601324,4989.98419110875,3078.231468462,3825122.32420805
"14",14,14,48359319.5704519,5548.51368156436,3397.03654444053,3828115.87932214
"15",15,15,48355178.6063211,6047.16970114405,3736.71098597462,3831418.51299178
"16",16,16,48350734.7640628,6537.44074274745,4074.00155220513,3835034.79364228
"17",17,17,48346285.4409297,6799.33329452715,4353.09170268792,3838943.13407306
"18",18,18,48341918.1107093,6873.31918091357,4526.86833007249,3843062.70177977
"19",19,19,48337245.3733384,7138.89717320168,4675.73772508265,3847320.99176328
"20",20,20,48332482.7021123,7347.27872780349,4828.92922839673,3851722.08993148
"21",21,21,48327164.9444743,7874.02743771,5053.77536183398,3856288.25272616
"22",22,22,48321139.5166026,8687.42183212691,5426.33687878877,3861127.72468643
"23",23,23,48314420.1132279,9642.98353485954,5938.31734322083,3866379.58589393
"24",24,24,48306721.3678223,10887.4693538633,6600.40576599322,3872171.75705776
"25",25,25,48297739.394031,12514.6724341999,7461.90260967992,3878665.03092504
"26",26,26,48286947.023887,14743.3027244085,8610.35727774653,3886080.3161108
"27",27,27,48274589.0143198,17105.1366017385,10003.8873479596,3894682.9617305
"28",28,28,48259873.1007892,20131.3314126659,11681.0387707201,3904695.52902737
"29",29,29,48242279.6932843,23903.8333720491,13758.6213099657,3916438.85203372
"30",30,30,48221000.0412674,28682.5003339752,16360.8461743321,3930337.61222431
"31",31,31,48194991.8115771,34782.2029514582,19655.2913951121,3946951.69407638
"32",32,32,48163183.4956389,42390.3892221921,23806.3584256692,3967000.7567132
"33",33,33,48122553.7445014,53085.2402198321,29286.8649890431,3991455.15028974
"34",34,34,48069781.1422899,67940.6617584509,36793.5971229052,4021865.59882878
"35",35,35,47999416.9823578,89136.2715054857,47303.0324105709,4060524.71372616
"36",36,36,47909229.600737,115364.205711012,61271.1332991079,4110516.06025286
"37",37,37,47796175.1227866,146505.412801092,78667.8444597056,4175032.61995267
"38",38,38,47635396.0179834,199142.248752609,103331.570891116,4258511.16237291
"39",39,39,47421591.1210817,267241.579157646,138087.329897011,4369460.96986363
"40",40,40,47144724.860127,350959.498828273,183288.029921102,4517408.61112359
"41",41,41,46753614.7685935,481805.013303901,246428.68695959,4714532.53114302
"42",42,42,46245824.4310783,639369.821226392,330959.159245323,4980227.58844998
"43",43,43,45587702.494062,836161.005690167,438131.308826712,5334386.19142116
"44",44,44,44734144.7728521,1087678.64352215,574059.042514914,5800498.54111088
"45",45,45,43700079.2514738,1356373.19244174,734977.578859114,6404950.97722535
"46",46,46,42470256.1566278,1645000.44348363,914010.741293427,7167113.65859517
"47",47,47,40934858.9517582,2026978.35549435,1126215.18202583,8108328.51072166
"48",48,48,39065413.6492824,2479899.48871042,1384077.81849269,9266990.04351451
"49",49,49,36904795.6713049,2937040.58156798,1673513.80344361,10681030.9436835
"50",50,50,34369650.0663614,3457857.9262159,1992835.94092345,12376037.0664993
"51",51,51,31596547.9878965,3909133.81382176,2317710.55980654,14372988.6384753
"52",52,52,28610266.3446643,4303552.4365221,2620686.25938642,16661875.9594273
"53",53,53,25603706.7715122,4523477.76526249,2862276.20893654,19206920.2542888
"54",54,54,22607499.4165885,4627677.50588149,3023017.95703478,21938186.1204953
"55",55,55,19975644.1773445,4409097.44217478,3049603.05721618,24762036.3232646
"56",56,56,17808401.0077748,3945839.67721614,2909126.56225246,27533013.7527566
"57",57,57,15982610.9866479,3444909.74192405,2654152.25111883,30114708.0203093
"58",58,58,14549503.2191056,2888100.01970924,2331821.70206719,32426956.059118
"59",59,59,13351301.5234852,2418103.72945995,1996995.10011123,34429980.6469437
"60",60,60,12455264.1476261,1945749.19142293,1668827.05287955,36126540.6080715
