"","time","S","E","I","R"
"1",0,999999,1,0,0
"2",1,999998.94559795,0.82880021965197,0.203732183550209,0.0218696464076022
"3",2,999998.806414062,0.769920680011004,0.345843625508323,0.0778216323959683
"4",3,999998.604794015,0.779031730607601,0.457301258196293,0.158872996265841
"5",4,999998.351201104,0.831995733972159,0.55598566046701,0.260817501659329
"6",5,999998.049148095,0.916102352481245,0.652506522761786,0.382243029799597
"7",6,999997.697940039,1.02513844204588,0.753492550760082,0.523428968739369
"8",7,999997.294158421,1.15665551320899,0.86343648063347,0.685749585561398
"9",8,999996.832442817,1.31045500706497,0.985742372569446,0.871359803237378
"10",9,999996.305871846,1.48775862490821,1.12332746938951,1.08304206000045
"11",10,999995.706109814,1.69076845638604,1.27897437009334,1.32414735985862
"12",11,999995.023416299,1.92244293439101,1.45554934151696,1.59859142471832
"13",12,999994.246565371,2.18640209433524,1.65614536116651,1.91088717337866
"14",13,999993.362706619,2.48690632477081,1.88418646309066,2.26620059304599
"15",14,999992.35717675,2.82888164702964,2.14351511638495,2.67042648675743
"16",15,999991.213267348,3.21797675507714,2.43847405254007,3.13028184391576
"17",16,999989.911960077,3.66064221409038,2.77398540436487,3.65341230419625
"18",17,999988.431613074,4.16422904637644,3.15563963598279,4.24851824398265
"19",18,999986.747602528,4.73710761797892,3.5897909685578,4.92549888515473
"20",19,999984.831909308,5.38880616241627,4.08366602585999,5.69561850409502
"21",20,999982.652673616,6.13016067436984,4.64548021444485,6.57168549521876
"22",21,999980.17364002,6.97350314295452,5.28458131304746,7.56827552425802
"23",22,999977.353555433,7.93286603942878,6.01160492348155,8.70197360416204
"24",23,999974.145509345,9.0242064899506,6.83864475795662,9.9916394068984
"25",24,999970.496133834,10.265677947851,7.77945924734479,11.4587289708567
"26",25,999966.344719234,11.677931051876,8.84969936933947,13.1276503445476
"27",26,999961.62220647,13.284456320094,10.0671683553911,15.0261688550676
"28",27,999956.250038325,15.1119744736113,11.452118065104,17.1858691359987
"29",28,999950.138853739,17.1908804819291,13.0275854455873,19.6426803339982
