"","time","value","q025","q25","q50","q75","q975","Alpha"
"1",1,-0.782671988010406,-0.782671988010406,-0.782671988010406,-0.782671988010406,-0.782671988010406,-0.782671988010406,-0.283184367
"2",2,-0.630312502384186,-0.630312502384186,-0.630312502384186,-0.630312502384186,-0.630312502384186,-0.630312502384186,-0.461613364
"3",3,-0.682391464710236,-0.682391464710236,-0.682391464710236,-0.682391464710236,-0.682391464710236,-0.682391464710236,-0.635754226
"4",4,-0.706638753414154,-0.706638753414154,-0.706638753414154,-0.706638753414154,-0.706638753414154,-0.706638753414154,-0.682406388
"5",5,-0.586743831634521,-0.586743831634521,-0.586743831634521,-0.586743831634521,-0.586743831634521,-0.586743831634521,-0.648310433
"6",6,-0.668223738670349,-0.668223738670349,-0.668223738670349,-0.668223738670349,-0.668223738670349,-0.668223738670349,-0.766920368
"7",7,-0.522073209285736,-0.522073209285736,-0.522073209285736,-0.522073209285736,-0.522073209285736,-0.522073209285736,-0.855248834
"8",8,-0.454267948865891,-0.454267948865891,-0.454267948865891,-0.454267948865891,-0.454267948865891,-0.454267948865891,-0.526576889
"9",9,-0.636982798576355,-0.636982798576355,-0.636982798576355,-0.636982798576355,-0.636982798576355,-0.636982798576355,-0.640375422
"10",10,-0.782611846923828,-0.782611846923828,-0.782611846923828,-0.782611846923828,-0.782611846923828,-0.782611846923828,-0.51337943
"11",11,-0.731865286827087,-0.731865286827087,-0.731865286827087,-0.731865286827087,-0.731865286827087,-0.731865286827087,-0.420485501
"12",12,-0.669401407241821,-0.669401407241821,-0.669401407241821,-0.669401407241821,-0.669401407241821,-0.669401407241821,-0.520479828
"13",13,-0.755037486553192,-0.755037486553192,-0.755037486553192,-0.755037486553192,-0.755037486553192,-0.755037486553192,-0.328659153
"14",14,-0.733557045459747,-0.733557045459747,-0.733557045459747,-0.733557045459747,-0.733557045459747,-0.733557045459747,-0.129837928
"15",15,-0.945872843265533,-0.945872843265533,-0.945872843265533,-0.945872843265533,-0.945872843265533,-0.945872843265533,-0.270046693
"16",16,-1.08477342128754,-1.08477342128754,-1.08477342128754,-1.08477342128754,-1.08477342128754,-1.08477342128754,-0.427256627
"17",17,-1.02450859546661,-1.02450859546661,-1.02450859546661,-1.02450859546661,-1.02450859546661,-1.02450859546661,-0.46267506
"18",18,-1.05215108394623,-1.05215108394623,-1.05215108394623,-1.05215108394623,-1.05215108394623,-1.05215108394623,-0.36172396
"19",19,-1.01727426052094,-1.01727426052094,-1.01727426052094,-1.01727426052094,-1.01727426052094,-1.01727426052094,-0.476924061
"20",20,-1.09860801696777,-1.09860801696777,-1.09860801696777,-1.09860801696777,-1.09860801696777,-1.09860801696777,-0.550131983
"21",21,-1.32504391670227,-1.32504391670227,-1.32504391670227,-1.32504391670227,-1.32504391670227,-1.32504391670227,-0.955901435
"22",22,-1.37222480773926,-1.37222480773926,-1.37222480773926,-1.37222480773926,-1.37222480773926,-1.37222480773926,-0.890990685
"23",23,-1.47689390182495,-1.47689390182495,-1.47689390182495,-1.47689390182495,-1.47689390182495,-1.47689390182495,-0.794964884
"24",24,-1.3466784954071,-1.3466784954071,-1.3466784954071,-1.3466784954071,-1.3466784954071,-1.3466784954071,-0.90178306
"25",25,-1.66783511638641,-1.66783511638641,-1.66783511638641,-1.66783511638641,-1.66783511638641,-1.66783511638641,-0.842069125
"26",26,-1.48868203163147,-1.48868203163147,-1.48868203163147,-1.48868203163147,-1.48868203163147,-1.48868203163147,-1.039152609
"27",27,-1.37756478786469,-1.37756478786469,-1.37756478786469,-1.37756478786469,-1.37756478786469,-1.37756478786469,-0.874675529
"28",28,-1.26144897937775,-1.26144897937775,-1.26144897937775,-1.26144897937775,-1.26144897937775,-1.26144897937775,-0.910090168
"29",29,-1.10115802288055,-1.10115802288055,-1.10115802288055,-1.10115802288055,-1.10115802288055,-1.10115802288055,-0.868401824
"30",30,-1.18884479999542,-1.18884479999542,-1.18884479999542,-1.18884479999542,-1.18884479999542,-1.18884479999542,-0.644784457
"31",31,-1.08428859710693,-1.08428859710693,-1.08428859710693,-1.08428859710693,-1.08428859710693,-1.08428859710693,-0.625779891
"32",32,-1.23372161388397,-1.23372161388397,-1.23372161388397,-1.23372161388397,-1.23372161388397,-1.23372161388397,-0.809116697
"33",33,-1.13506495952606,-1.13506495952606,-1.13506495952606,-1.13506495952606,-1.13506495952606,-1.13506495952606,-0.841561554
"34",34,-1.17969965934753,-1.17969965934753,-1.17969965934753,-1.17969965934753,-1.17969965934753,-1.17969965934753,-0.920724743
"35",35,-1.33136546611786,-1.33136546611786,-1.33136546611786,-1.33136546611786,-1.33136546611786,-1.33136546611786,-1.004163757
"36",36,-1.21684861183167,-1.21684861183167,-1.21684861183167,-1.21684861183167,-1.21684861183167,-1.21684861183167,-0.98409151
"37",37,-1.24732828140259,-1.24732828140259,-1.24732828140259,-1.24732828140259,-1.24732828140259,-1.24732828140259,-0.961372953
"38",38,-1.07898414134979,-1.07898414134979,-1.07898414134979,-1.07898414134979,-1.07898414134979,-1.07898414134979,-1.098817769
"39",39,-1.01194882392883,-1.01194882392883,-1.01194882392883,-1.01194882392883,-1.01194882392883,-1.01194882392883,-1.283157563
"40",40,-1.13093328475952,-1.13093328475952,-1.13093328475952,-1.13093328475952,-1.13093328475952,-1.13093328475952,-1.192234691
"41",41,-1.24799811840057,-1.24799811840057,-1.24799811840057,-1.24799811840057,-1.24799811840057,-1.24799811840057,-1.162315268
"42",42,-1.31018114089966,-1.31018114089966,-1.31018114089966,-1.31018114089966,-1.31018114089966,-1.31018114089966,-1.20948673
"43",43,-1.20798802375793,-1.20798802375793,-1.20798802375793,-1.20798802375793,-1.20798802375793,-1.20798802375793,-1.363330196
"44",44,-0.813219904899597,-0.813219904899597,-0.813219904899597,-0.813219904899597,-0.813219904899597,-0.813219904899597,-1.278672979
"45",45,-0.882252216339111,-0.882252216339111,-0.882252216339111,-0.882252216339111,-0.882252216339111,-0.882252216339111,-1.334478619
"46",46,-0.799570858478546,-0.799570858478546,-0.799570858478546,-0.799570858478546,-0.799570858478546,-0.799570858478546,-1.251928406
"47",47,-0.726366877555847,-0.726366877555847,-0.726366877555847,-0.726366877555847,-0.726366877555847,-0.726366877555847,-1.280657666
"48",48,-0.594214558601379,-0.594214558601379,-0.594214558601379,-0.594214558601379,-0.594214558601379,-0.594214558601379,-1.336641579
"49",49,-0.664248049259186,-0.664248049259186,-0.664248049259186,-0.664248049259186,-0.664248049259186,-0.664248049259186,-1.521473357
"50",50,-0.573797225952148,-0.573797225952148,-0.573797225952148,-0.573797225952148,-0.573797225952148,-0.573797225952148,-1.342139595
"51",51,-1.04287731647491,-1.04287731647491,-1.04287731647491,-1.04287731647491,-1.04287731647491,-1.04287731647491,-1.569581265
"52",52,-1.05462193489075,-1.05462193489075,-1.05462193489075,-1.05462193489075,-1.05462193489075,-1.05462193489075,-1.758374083
"53",53,-0.890096247196198,-0.890096247196198,-0.890096247196198,-0.890096247196198,-0.890096247196198,-0.890096247196198,-1.695382075
"54",54,-1.03079414367676,-1.03079414367676,-1.03079414367676,-1.03079414367676,-1.03079414367676,-1.03079414367676,-1.84024463
"55",55,-0.956414759159088,-0.956414759159088,-0.956414759159088,-0.956414759159088,-0.956414759159088,-0.956414759159088,-1.898604979
"56",56,-1.09200489521027,-1.09200489521027,-1.09200489521027,-1.09200489521027,-1.09200489521027,-1.09200489521027,-1.785945101
"57",57,-1.09262871742249,-1.09262871742249,-1.09262871742249,-1.09262871742249,-1.09262871742249,-1.09262871742249,-1.72885909
"58",58,-1.09741938114166,-1.09741938114166,-1.09741938114166,-1.09741938114166,-1.09741938114166,-1.09741938114166,-1.921629173
"59",59,-1.11458086967468,-1.11458086967468,-1.11458086967468,-1.11458086967468,-1.11458086967468,-1.11458086967468,-1.716594708
"60",60,-1.14962136745453,-1.14962136745453,-1.14962136745453,-1.14962136745453,-1.14962136745453,-1.14962136745453,-1.501166033
"61",61,-1.19841432571411,-1.19841432571411,-1.19841432571411,-1.19841432571411,-1.19841432571411,-1.19841432571411,-1.511655518
"62",62,-1.22833430767059,-1.22833430767059,-1.22833430767059,-1.22833430767059,-1.22833430767059,-1.22833430767059,-1.46984781
"63",63,-1.46498680114746,-1.46498680114746,-1.46498680114746,-1.46498680114746,-1.46498680114746,-1.46498680114746,-1.531538783
"64",64,-1.50825726985931,-1.50825726985931,-1.50825726985931,-1.50825726985931,-1.50825726985931,-1.50825726985931,-1.631319041
"65",65,-1.46489429473877,-1.46489429473877,-1.46489429473877,-1.46489429473877,-1.46489429473877,-1.46489429473877,-1.698636342
"66",66,-1.59494388103485,-1.59494388103485,-1.59494388103485,-1.59494388103485,-1.59494388103485,-1.59494388103485,-1.794535154
"67",67,-1.51058602333069,-1.51058602333069,-1.51058602333069,-1.51058602333069,-1.51058602333069,-1.51058602333069,-1.812151607
"68",68,-1.43098366260529,-1.43098366260529,-1.43098366260529,-1.43098366260529,-1.43098366260529,-1.43098366260529,-1.676011022
"69",69,-1.39916265010834,-1.39916265010834,-1.39916265010834,-1.39916265010834,-1.39916265010834,-1.39916265010834,-1.368234213
"70",70,-1.32324981689453,-1.32324981689453,-1.32324981689453,-1.32324981689453,-1.32324981689453,-1.32324981689453,-1.422482418
"71",71,-1.47753524780273,-1.47753524780273,-1.47753524780273,-1.47753524780273,-1.47753524780273,-1.47753524780273,-1.531108538
"72",72,-1.57660698890686,-1.57660698890686,-1.57660698890686,-1.57660698890686,-1.57660698890686,-1.57660698890686,-1.811897793
"73",73,-1.79004597663879,-1.79004597663879,-1.79004597663879,-1.79004597663879,-1.79004597663879,-1.79004597663879,-1.801609013
"74",74,-1.72435641288757,-1.72435641288757,-1.72435641288757,-1.72435641288757,-1.72435641288757,-1.72435641288757,-1.638440353
"75",75,-1.52198970317841,-1.52198970317841,-1.52198970317841,-1.52198970317841,-1.52198970317841,-1.52198970317841,-1.74140455
"76",76,-1.47054100036621,-1.47054100036621,-1.47054100036621,-1.47054100036621,-1.47054100036621,-1.47054100036621,-1.709478959
"77",77,-1.62908852100372,-1.62908852100372,-1.62908852100372,-1.62908852100372,-1.62908852100372,-1.62908852100372,-1.741366224
"78",78,-1.40583848953247,-1.40583848953247,-1.40583848953247,-1.40583848953247,-1.40583848953247,-1.40583848953247,-1.724651611
"79",79,-1.56299960613251,-1.56299960613251,-1.56299960613251,-1.56299960613251,-1.56299960613251,-1.56299960613251,-1.73322772
"80",80,-1.4728581905365,-1.4728581905365,-1.4728581905365,-1.4728581905365,-1.4728581905365,-1.4728581905365,-1.890949182
"81",81,-1.45674324035645,-1.45674324035645,-1.45674324035645,-1.45674324035645,-1.45674324035645,-1.45674324035645,-1.969902763
"82",82,-1.53640115261078,-1.53640115261078,-1.53640115261078,-1.53640115261078,-1.53640115261078,-1.53640115261078,-1.931018854
"83",83,-1.52309465408325,-1.52309465408325,-1.52309465408325,-1.52309465408325,-1.52309465408325,-1.52309465408325,-1.976444367
"84",84,-1.46077346801758,-1.46077346801758,-1.46077346801758,-1.46077346801758,-1.46077346801758,-1.46077346801758,-1.864788031
"85",85,-1.38359832763672,-1.38359832763672,-1.38359832763672,-1.38359832763672,-1.38359832763672,-1.38359832763672,-1.720331114
"86",86,-1.17265820503235,-1.17265820503235,-1.17265820503235,-1.17265820503235,-1.17265820503235,-1.17265820503235,-1.746017711
"87",87,-1.15105521678925,-1.15105521678925,-1.15105521678925,-1.15105521678925,-1.15105521678925,-1.15105521678925,-1.603125041
"88",88,-1.1742799282074,-1.1742799282074,-1.1742799282074,-1.1742799282074,-1.1742799282074,-1.1742799282074,-1.528024096
"89",89,-1.02318334579468,-1.02318334579468,-1.02318334579468,-1.02318334579468,-1.02318334579468,-1.02318334579468,-1.417446726
"90",90,-0.983437597751617,-0.983437597751617,-0.983437597751617,-0.983437597751617,-0.983437597751617,-0.983437597751617,-1.568547739
"91",91,-1.16715002059937,-1.16715002059937,-1.16715002059937,-1.16715002059937,-1.16715002059937,-1.16715002059937,-1.38978766
"92",92,-1.05959916114807,-1.05959916114807,-1.05959916114807,-1.05959916114807,-1.05959916114807,-1.05959916114807,-1.406740723
"93",93,-0.887996196746826,-0.887996196746826,-0.887996196746826,-0.887996196746826,-0.887996196746826,-0.887996196746826,-1.379898081
"94",94,-0.949718594551086,-0.949718594551086,-0.949718594551086,-0.949718594551086,-0.949718594551086,-0.949718594551086,-1.458045244
"95",95,-0.859599351882935,-0.859599351882935,-0.859599351882935,-0.859599351882935,-0.859599351882935,-0.859599351882935,-1.347188093
"96",96,-0.926265358924866,-0.926265358924866,-0.926265358924866,-0.926265358924866,-0.926265358924866,-0.926265358924866,-1.200995068
"97",97,-0.947371661663055,-0.947371661663055,-0.947371661663055,-0.947371661663055,-0.947371661663055,-0.947371661663055,-1.171994703
"98",98,-0.832058846950531,-0.832058846950531,-0.832058846950531,-0.832058846950531,-0.832058846950531,-0.832058846950531,-1.358540732
"99",99,-0.788409233093262,-0.788409233093262,-0.788409233093262,-0.788409233093262,-0.788409233093262,-0.788409233093262,-1.506031818
"100",100,-0.562676668167114,-0.562676668167114,-0.562676668167114,-0.562676668167114,-0.562676668167114,-0.562676668167114,-1.459774709
"101",101,-0.779613018035889,-0.779613018035889,-0.779613018035889,-0.779613018035889,-0.779613018035889,-0.779613018035889,-1.502780553
"102",102,-0.876182854175568,-0.876182854175568,-0.876182854175568,-0.876182854175568,-0.876182854175568,-0.876182854175568,-1.562013998
"103",103,-1.10381782054901,-1.10381782054901,-1.10381782054901,-1.10381782054901,-1.10381782054901,-1.10381782054901,-1.575635191
"104",104,-1.03739368915558,-1.03739368915558,-1.03739368915558,-1.03739368915558,-1.03739368915558,-1.03739368915558,-1.627601731
"105",105,-1.06350708007812,-1.06350708007812,-1.06350708007812,-1.06350708007812,-1.06350708007812,-1.06350708007812,-1.693241712
"106",106,-1.3635026216507,-1.3635026216507,-1.3635026216507,-1.3635026216507,-1.3635026216507,-1.3635026216507,-1.774180326
