"","epsilon.time","epsilon.value","y.time","y.value","alpha.time","alpha.value","clock","loglikelihood","logprior"
"1",1,-0.28919181227684,1,-0.303135630562159,1,-0.782671988010406,46409,-1852.79895019531,0
"2",2,0.938986241817474,2,0.196613897133919,2,-0.630312502384186,46409,-1852.79895019531,0
"3",3,-0.479678601026535,3,-0.609321140373602,3,-0.682391464710236,46409,-1852.79895019531,0
"4",4,-0.29208505153656,4,0.234517577250675,4,-0.706638753414154,46409,-1852.79895019531,0
"5",5,0.722868084907532,5,0.101157624400229,5,-0.586743831634521,46409,-1852.79895019531,0
"6",6,-0.679872930049896,6,0.612399652040604,6,-0.668223738670349,46409,-1852.79895019531,0
"7",7,0.915314078330994,7,0.038582049184174,7,-0.522073209285736,46409,-1852.79895019531,0
"8",8,0.38716521859169,8,-0.344441592228661,8,-0.454267948865891,46409,-1852.79895019531,0
"9",9,-1.37229299545288,9,0.0092141423175709,9,-0.636982798576355,46409,-1852.79895019531,0
"10",10,-1.1423567533493,10,-0.0816360915610636,10,-0.782611846923828,46409,-1852.79895019531,0
"11",11,0.220485046505928,11,-0.389754890993444,11,-0.731865286827087,46409,-1852.79895019531,0
"12",12,0.31230953335762,12,0.0573097250698207,12,-0.669401407241821,46409,-1852.79895019531,0
"13",13,-0.723873317241669,13,-0.511156071271849,13,-0.755037486553192,46409,-1852.79895019531,0
"14",14,0.0184168126434088,14,0.494116334424797,14,-0.733557045459747,46409,-1852.79895019531,0
"15",15,-1.63097512722015,15,-0.0258015291703899,15,-0.945872843265533,46409,-1852.79895019531,0
"16",16,-1.14938390254974,16,-0.0251216864894571,16,-1.08477342128754,46409,-1852.79895019531,0
"17",17,0.234373897314072,17,-0.462098536218215,17,-1.02450859546661,46409,-1852.79895019531,0
"18",18,-0.376571208238602,18,-0.158735674088803,18,-1.05215108394623,46409,-1852.79895019531,0
"19",19,0.0606212876737118,19,0.0188758382700509,19,-1.01727426052094,46409,-1852.79895019531,0
"20",20,-0.754947602748871,20,-0.111354634424366,20,-1.09860801696777,46409,-1852.79895019531,0
"21",21,-1.79535150527954,21,0.188113616685784,21,-1.32504391670227,46409,-1852.79895019531,0
"22",22,-0.56785660982132,22,0.227079364210771,22,-1.37222480773926,46409,-1852.79895019531,0
"23",23,-0.982698857784271,23,0.361872532159532,23,-1.47689390182495,46409,-1852.79895019531,0
"24",24,0.659681558609009,24,-0.787797494062452,24,-1.3466784954071,46409,-1852.79895019531,0
"25",25,-2.50898194313049,25,-0.571016198542618,25,-1.66783511638641,46409,-1852.79895019531,0
"26",26,0.971969306468964,26,0.0250450731103884,26,-1.48868203163147,46409,-1852.79895019531,0
"27",27,0.522553503513336,27,-0.292426721574005,27,-1.37756478786469,46409,-1852.79895019531,0
"28",28,0.57754123210907,28,-0.0227308793347967,28,-1.26144897937775,46409,-1852.79895019531,0
"29",29,0.910433113574982,29,-0.0271438332215766,29,-1.10115802288055,46409,-1852.79895019531,0
"30",30,-0.814698278903961,30,-0.0787572620645344,30,-1.18884479999542,46409,-1852.79895019531,0
"31",31,0.52916431427002,31,0.169707455357874,31,-1.08428859710693,46409,-1852.79895019531,0
"32",32,-1.24832785129547,32,0.287803842030754,32,-1.23372161388397,46409,-1852.79895019531,0
"33",33,0.479514092206955,33,0.574230733975196,33,-1.13506495952606,46409,-1852.79895019531,0
"34",34,-0.516267538070679,34,0.0983123377908333,34,-1.17969965934753,46409,-1852.79895019531,0
"35",35,-1.28098225593567,35,0.308275445712457,35,-1.33136546611786,46409,-1852.79895019531,0
"36",36,0.574401259422302,36,0.108731597411394,36,-1.21684861183167,46409,-1852.79895019531,0
"37",37,-0.43063423037529,37,0.493801094848309,37,-1.24732828140259,46409,-1852.79895019531,0
"38",38,0.969874620437622,38,0.124731248446713,38,-1.07898414134979,46409,-1852.79895019531,0
"39",39,0.283272415399551,39,0.010753751793301,39,-1.01194882392883,46409,-1852.79895019531,0
"40",40,-1.02023613452911,40,-0.277074913104429,40,-1.13093328475952,46409,-1852.79895019531,0
"41",41,-1.02769613265991,41,-0.00686893645361914,41,-1.24799811840057,46409,-1852.79895019531,0
"42",42,-0.66031801700592,42,0.00487031496504723,42,-1.31018114089966,46409,-1852.79895019531,0
"43",43,0.491005718708038,43,0.116762071302358,43,-1.20798802375793,46409,-1852.79895019531,0
"44",44,2.57788753509521,44,0.294742672639537,44,-0.813219904899597,46409,-1852.79895019531,0
"45",45,-0.631890177726746,45,0.0886069320851454,45,-0.882252216339111,46409,-1852.79895019531,0
"46",46,0.428683638572693,46,0.188861876419577,46,-0.799570858478546,46409,-1852.79895019531,0
"47",47,0.376284927129745,47,0.448611126297298,47,-0.726366877555847,46409,-1852.79895019531,0
