"","x"
"1",0.0677240291767658
"2",0.186698825670324
"3",0.043401423720057
"4",0.169771561583423
"5",0.145281324210329
"6",-0.00980439635511263
"7",-0.150594159265758
"8",-0.285678269185521
"9",-0.377508063147749
"10",-0.421923061094152
"11",-0.387326442458954
"12",-0.262353318273956
"13",-0.160970442216939
"14",-0.16749014857506
"15",0.0259070349864611
"16",0.023935967010627
"17",0.124776171228765
"18",-0.0268616046384292
"19",-0.209724140022844
"20",-0.395168681980665
"21",-0.273062865148129
"22",-0.133756171938932
"23",0.152527470795778
"24",0.0794883675251438
"25",-0.128701164299242
"26",-0.368341733282416
"27",-0.262930435082859
"28",-0.344724975518235
"29",-0.521015846867044
"30",-0.475624677669024
"31",-0.127279421579665
"32",-0.197512204010305
"33",-0.420921548156407
"34",-0.42459450583121
"35",-0.429709265958746
"36",-0.328959618297139
"37",-0.282562338637395
"38",-0.269426438210416
"39",-0.1054312902165
"40",-0.17284691213987
"41",-0.0661321659738274
"42",-0.329341694038049
"43",-0.561913308982784
"44",-0.526821130357389
"45",-0.414216911511908
"46",-0.368367775336276
"47",-0.39552683374752
"48",-0.500217133018094
"49",-0.419317816469905
"50",-0.28597585040355
"51",-0.248970778174913
"52",-0.204745609110558
"53",-0.0731292329561486
"54",-0.00297276789948739
"55",-0.0926862524434757
"56",-0.036442365517499
"57",-0.346944451566093
"58",-0.305914646176768
"59",-0.291936443601474
"60",-0.11508816350278
"61",-0.145956950388619
"62",0.0702269432449687
"63",-0.0932127229713109
"64",0.132151166327522
"65",0.119863621558791
"66",0.0944681599123452
"67",-0.171381335625456
"68",-0.239166492690228
"69",-0.154122670206768
"70",-0.228799037590611
"71",-0.34661127384055
"72",-0.323244957196231
"73",-0.426997937679589
"74",-0.299897396411389
"75",-0.381520959418486
"76",-0.62077244934469
"77",-0.545939408343045
"78",-0.47027595494646
"79",-0.663828226506084
"80",-0.611647191782898
"81",-0.514826223440213
"82",-0.347585333532012
"83",-0.543384146051013
"84",-0.751384803091919
"85",-0.765616351973263
"86",-0.871780112483881
"87",-0.568377828734098
"88",-0.970014277167329
"89",-0.892430061108513
"90",-0.734221714318267
"91",-0.710730021979683
"92",-0.803477371642802
"93",-0.866949446804096
"94",-0.918570035914986
"95",-1.21636731742468
"96",-1.39244462581094
"97",-1.24933050532327
"98",-1.16786877882096
"99",-1.11461644594315
"100",-1.21690446617218
"101",-1.19125396145991
"102",-1.06338586619871
"103",-1.04566887620733
"104",-0.98439818835004
"105",-1.13524129784315
"106",-1.37871202160739
"107",-1.10593925948236
"108",-0.855845187810812
"109",-0.956762211631497
"110",-1.03113699590769
"111",-1.02920562800425
"112",-1.00506263588464
"113",-0.782647592222577
"114",-0.715547491965633
"115",-0.931806975751835
"116",-0.804406978851107
"117",-0.83745304988848
"118",-0.987529469974582
"119",-1.08501415304261
"120",-1.36804684152712
"121",-1.46981588357272
"122",-1.20190638930872
"123",-1.06929022316507
"124",-0.945462605506118
"125",-0.648327563417242
"126",-0.76192782458235
"127",-0.586364039789927
"128",-0.645445282846222
"129",-0.839210590955468
"130",-0.95717263265308
"131",-1.08360810587947
"132",-0.822241367649805
"133",-0.82939405643225
"134",-0.769789235643154
"135",-0.787804198925215
"136",-0.67264422946789
"137",-0.590336765671255
"138",-0.438027395090175
"139",-0.190992361321992
"140",-0.284556813678864
"141",-0.245802588885502
"142",-0.296589427919115
"143",-0.41840313101354
"144",-0.124435632257097
"145",-0.0198694416524536
"146",-0.00275634801293922
"147",0.0208948752347162
"148",-0.128187694180901
"149",-0.308004835913123
"150",-0.115433899234718
"151",-0.20126818077471
"152",-0.056331945564096
